date,open,high,low,close,volume
2024-01-30,4.6,4.68,4.56,4.65,2649895
2024-01-31,4.66,4.67,4.52,4.52,1378207
2024-02-01,4.56,4.58,4.51,4.55,978934
2024-02-02,4.56,4.58,4.52,4.52,1164374
2024-02-05,4.55,4.55,4.4,4.48,1385254
2024-02-06,4.45,4.56,4.45,4.54,1300171
2024-02-07,4.54,4.58,4.51,4.56,742682
2024-02-15,4.57,4.6,4.56,4.58,1000831
2024-02-16,4.58,4.69,4.58,4.66,2282635
2024-02-19,4.67,4.87,4.67,4.83,3290330
2024-02-20,4.85,4.85,4.73,4.76,2538376
2024-02-21,4.77,4.81,4.72,4.75,1802116
2024-02-22,4.78,5.08,4.78,5.08,8807868
2024-02-23,5.18,5.23,4.96,5.0,4858337
2024-02-26,5.0,5.08,4.85,4.92,3609170
2024-02-27,4.96,4.96,4.86,4.9,2771267
2024-02-28,4.91,5.06,4.88,5.01,2132944
2024-02-29,5.02,5.02,4.91,4.94,1782649
2024-03-01,4.94,5.0,4.91,4.97,1297941
2024-03-04,5.03,5.06,4.98,5.04,2627276
2024-03-05,5.1,5.14,5.0,5.07,2019289
2024-03-06,5.1,5.11,4.93,4.96,2832140
2024-03-07,4.96,4.97,4.92,4.95,1379211
2024-03-08,4.96,5.05,4.92,4.94,1880046
2024-03-11,4.94,4.97,4.82,4.82,1610644
2024-03-12,4.82,4.85,4.76,4.78,1767832
2024-03-13,4.78,4.87,4.78,4.86,915188
2024-03-14,4.9,4.92,4.81,4.84,1507511
2024-03-15,4.81,4.87,4.8,4.83,1278060
2024-03-18,4.9,4.96,4.7,4.83,2857557
2024-03-19,4.88,4.88,4.82,4.83,826428
2024-03-20,4.83,4.88,4.8,4.87,895674
2024-03-21,4.88,4.98,4.88,4.97,2283606
2024-03-22,4.97,5.02,4.92,4.93,1608014
2024-03-25,4.9,4.96,4.88,4.89,2011983
2024-03-26,4.88,4.99,4.86,4.95,1038123
2024-03-27,4.97,5.03,4.95,5.0,1824861
2024-03-28,5.03,5.06,4.94,4.97,1245098
2024-03-29,4.98,5.01,4.91,4.93,1461276
2024-04-01,4.91,4.93,4.85,4.88,1664347
2024-04-02,4.92,4.92,4.81,4.85,1120990
2024-04-03,4.83,4.84,4.74,4.78,2724994
2024-04-04,4.76,4.8,4.68,4.68,1797400
2024-04-05,4.68,4.68,4.6,4.63,1514588
2024-04-08,4.6,4.65,4.57,4.57,1483660
2024-04-09,4.55,4.64,4.54,4.64,714604
2024-04-10,4.66,4.68,4.6,4.62,936185
2024-04-11,4.59,4.81,4.55,4.72,1549283
2024-04-12,4.72,4.76,4.67,4.7,695136
2024-04-15,4.69,4.7,4.38,4.38,2672038
2024-04-16,4.4,4.45,4.17,4.31,2465554
2024-04-17,4.31,4.42,4.3,4.37,936575
2024-04-19,4.38,4.38,4.21,4.3,927366
2024-04-22,4.29,4.37,4.29,4.32,558403
2024-04-23,4.32,4.4,4.3,4.31,1042673
2024-04-24,4.31,4.4,4.31,4.39,758517
2024-04-25,4.4,4.4,4.35,4.39,332792
2024-04-26,4.39,4.49,4.38,4.43,813592
2024-05-02,4.47,4.47,4.4,4.43,346262
2024-05-03,4.44,4.52,4.43,4.45,828917
2024-05-06,4.46,4.49,4.45,4.47,625851
2024-05-07,4.47,4.5,4.45,4.48,544942
2024-05-08,4.49,4.5,4.44,4.48,458093
2024-05-09,4.5,4.5,4.47,4.49,576340
2024-05-10,4.5,4.62,4.5,4.54,1238688
2024-05-13,4.59,4.73,4.56,4.65,1194260
2024-05-14,4.66,4.72,4.59,4.6,746784
2024-05-15,4.63,4.64,4.59,4.62,879065
2024-05-16,4.62,4.67,4.58,4.62,582020
2024-05-17,4.62,4.65,4.58,4.63,537703
2024-05-20,4.67,4.73,4.65,4.67,1046231
2024-05-21,4.67,4.78,4.67,4.75,1984376
2024-05-22,4.78,4.94,4.74,4.88,2968401
2024-05-23,4.85,4.9,4.79,4.87,1602154
2024-05-24,4.82,4.82,4.6,4.62,1807866
2024-05-27,4.62,4.69,4.58,4.64,750938
2024-05-28,4.65,4.73,4.63,4.69,662465
2024-05-29,4.69,4.91,4.69,4.8,1772893
2024-05-30,4.8,4.91,4.74,4.8,1544076
2024-05-31,4.8,4.85,4.73,4.75,857504
2024-06-03,4.8,4.87,4.75,4.78,1156774
2024-06-04,4.83,4.84,4.74,4.78,1076787
2024-06-05,4.78,4.81,4.72,4.72,1060999
2024-06-06,4.73,4.78,4.71,4.74,755988
2024-06-07,4.74,4.76,4.7,4.7,906441
2024-06-10,4.74,4.74,4.69,4.69,1054668
2024-06-11,4.74,4.74,4.65,4.67,742562
2024-06-12,4.68,4.7,4.66,4.7,588021
2024-06-13,4.76,4.77,4.71,4.71,563526
2024-06-14,4.72,4.87,4.71,4.72,2016315
2024-06-17,4.73,4.79,4.65,4.68,704930
2024-06-18,4.68,4.7,4.65,4.65,617065
2024-06-19,4.69,4.69,4.6,4.63,808088
2024-06-20,4.6,4.64,4.59,4.61,613580
2024-06-21,4.62,4.62,4.56,4.57,729323
2024-06-24,4.6,4.63,4.45,4.46,984634
2024-06-25,4.48,4.55,4.48,4.51,570419
2024-06-26,4.5,4.55,4.49,4.49,416455
2024-06-27,4.5,4.5,4.46,4.48,333166
2024-06-28,4.49,4.51,4.46,4.46,496345
2024-07-01,4.54,4.54,4.45,4.46,362490
2024-07-02,4.47,4.57,4.45,4.56,266502
2024-07-03,4.58,4.59,4.53,4.54,232467
2024-07-04,4.56,4.56,4.49,4.49,421906
2024-07-05,4.48,4.5,4.45,4.46,453840
2024-07-08,4.49,4.5,4.45,4.47,448426
2024-07-09,4.47,4.49,4.45,4.48,282136
2024-07-10,4.5,4.51,4.48,4.49,241118
2024-07-11,4.5,4.53,4.49,4.53,319552
2024-07-12,4.5,4.54,4.5,4.52,391365
2024-07-15,4.51,4.53,4.5,4.5,303853
2024-07-16,4.51,4.64,4.5,4.55,887974
2024-07-17,4.6,4.6,4.45,4.45,727508
2024-07-18,4.51,4.56,4.46,4.56,802639
2024-07-19,4.56,4.56,4.47,4.5,344554
2024-07-22,4.5,4.5,4.37,4.41,773730
2024-07-23,4.38,4.43,4.35,4.38,489017
2024-07-24,4.3,4.42,4.3,4.42,472437
2024-07-25,4.38,4.39,4.28,4.32,633464
2024-07-26,4.36,4.37,4.33,4.36,243100
2024-07-29,4.36,4.37,4.26,4.3,497700
2024-07-30,4.35,4.35,4.3,4.33,391600
2024-07-31,4.38,4.53,4.38,4.39,629400
2024-08-01,4.39,4.45,4.26,4.28,510700
2024-08-02,4.28,4.28,4.24,4.28,513100
2024-08-05,4.24,4.28,4.05,4.14,1079200
2024-08-06,4.14,4.2,4.1,4.16,562900
2024-08-07,4.27,4.27,4.18,4.21,189200
2024-08-08,4.2,4.23,4.16,4.22,239600
2024-08-09,4.23,4.25,4.18,4.25,522200
2024-08-12,4.21,4.25,4.19,4.24,284100
2024-08-13,4.24,4.24,4.19,4.19,207100
2024-08-14,4.2,4.22,4.18,4.2,276600
2024-08-15,4.19,4.24,4.18,4.2,206600
2024-08-16,4.2,4.33,4.19,4.32,491400
2024-08-19,4.31,4.35,4.3,4.31,383300
2024-08-20,4.31,4.38,4.3,4.34,432300
2024-08-21,4.3,4.35,4.3,4.33,246000
2024-08-22,4.33,4.4,4.3,4.36,288800
2024-08-23,4.36,4.48,4.35,4.38,666700
2024-08-26,4.38,4.48,4.35,4.38,265100
2024-08-27,4.39,4.41,4.3,4.34,265600
2024-08-28,4.34,4.36,4.29,4.32,319000
2024-08-29,4.31,4.34,4.25,4.3,767600
