date,open,high,low,close,volume
2024-01-30,36.68,37.91,31.79,36.68,214619
2024-01-31,36.68,37.3,30.26,36.62,645261
2024-02-01,35.77,36.74,35.46,36.62,144038
2024-02-02,36.26,38.88,36.26,37.54,89127
2024-02-05,38.33,38.33,37.48,37.6,53103
2024-02-06,37.85,38.21,37.54,37.91,91505
2024-02-07,38.03,38.21,37.05,37.3,107691
2024-02-15,37.48,37.6,36.99,37.11,74812
2024-02-16,37.17,37.48,36.87,37.3,57930
2024-02-19,37.48,38.27,37.3,37.36,117192
2024-02-20,37.78,37.91,37.17,37.48,117970
2024-02-21,37.54,37.91,37.11,37.85,139109
2024-02-22,37.48,37.6,36.99,37.6,68958
2024-02-23,37.3,37.91,37.3,37.3,120767
2024-02-26,37.6,37.85,37.23,37.54,117024
2024-02-27,38.21,38.21,37.3,37.48,83629
2024-02-28,37.48,37.92,37.17,37.67,105188
2024-02-29,37.92,37.92,37.17,37.48,74590
2024-03-01,37.48,37.48,36.6,37.04,246394
2024-03-04,37.04,37.1,36.34,36.47,147008
2024-03-05,36.47,36.47,36.03,36.09,143856
2024-03-06,36.03,36.28,35.33,35.77,188374
2024-03-07,35.77,36.34,35.77,36.03,100443
2024-03-08,36.34,36.41,35.33,35.33,105966
2024-03-11,35.33,36.28,35.33,35.84,161544
2024-03-12,35.77,35.9,35.27,35.65,194122
2024-03-13,35.46,36.91,35.4,36.79,193414
2024-03-14,37.29,37.36,36.66,36.91,86604
2024-03-15,36.98,36.98,36.34,36.41,52739
2024-03-18,36.53,36.53,35.4,36.41,93231
2024-03-19,35.9,36.53,35.9,36.15,25788
2024-03-20,36.03,36.47,35.84,36.41,39384
2024-03-21,36.34,37.23,36.15,36.98,71332
2024-03-22,37.17,37.42,36.66,36.79,46698
2024-03-25,37.29,37.48,36.53,36.66,31821
2024-03-26,36.79,37.04,36.53,37.04,61231
2024-03-27,37.1,37.1,36.66,36.91,22483
2024-03-28,37.04,37.04,36.85,37.04,51971
2024-03-29,37.04,37.04,36.66,36.91,40405
2024-04-01,36.72,36.98,36.6,36.66,53184
2024-04-02,36.72,36.72,36.15,36.53,43007
2024-04-03,36.28,36.66,36.28,36.34,52248
2024-04-04,36.53,36.53,36.15,36.34,52949
2024-04-05,36.28,36.34,35.77,36.15,71675
2024-04-08,37.29,37.29,30.78,35.4,128732
2024-04-09,35.4,35.77,35.27,35.65,63220
2024-04-10,35.59,35.77,35.4,35.65,38343
2024-04-11,34.83,35.71,34.83,35.46,20542
2024-04-12,35.27,36.15,35.27,35.71,14176
2024-04-15,35.65,35.71,35.08,35.59,80320
2024-04-16,35.4,35.59,34.76,35.21,37439
2024-04-17,35.27,35.71,35.27,35.27,34025
2024-04-19,35.27,35.4,34.51,34.76,33146
2024-04-22,34.7,35.33,34.7,35.27,36673
2024-04-23,34.95,36.66,34.7,36.66,70060
2024-04-24,36.6,36.6,35.52,36.28,41390
2024-04-25,36.28,39.76,36.28,39.12,516457
2024-04-26,39.19,39.88,38.87,39.44,172093
2024-05-02,40.01,42.1,39.5,41.78,466204
2024-05-03,41.78,47.22,41.72,45.82,567888
2024-05-06,45.82,48.48,45.82,46.08,364852
2024-05-07,46.77,49.3,46.08,47.22,361116
2024-05-08,47.15,47.72,46.2,46.71,212046
2024-05-09,46.77,51.83,46.77,49.3,308747
2024-05-10,49.43,51.32,48.35,49.36,251026
2024-05-13,49.43,49.93,47.72,48.48,289534
2024-05-14,48.48,49.93,48.29,48.67,218578
2024-05-15,48.92,50.57,48.92,49.49,355758
2024-05-16,49.93,52.4,49.93,51.45,282824
2024-05-17,51.45,53.73,49.74,51.77,293689
2024-05-20,51.83,52.15,50.19,50.31,255679
2024-05-21,49.3,50.57,43.99,49.3,367634
2024-05-22,49.81,50.88,48.67,49.43,202275
2024-05-23,49.74,50.0,48.61,49.43,174852
2024-05-24,49.17,51.83,49.11,50.19,453339
2024-05-27,50.31,50.5,48.67,49.24,154784
2024-05-28,49.93,50.57,49.24,50.25,217436
2024-05-29,50.57,51.26,49.62,50.25,193663
2024-05-30,50.31,50.31,48.67,49.74,250687
2024-05-31,49.62,51.83,49.55,50.82,265601
2024-06-03,50.82,58.47,50.82,58.47,675809
2024-06-04,58.47,63.97,57.08,63.97,422141
2024-06-05,64.15,71.42,63.97,66.37,808364
2024-06-06,67.63,69.4,64.98,65.42,493255
2024-06-07,65.42,70.16,65.42,67.57,333014
2024-06-10,67.63,69.21,66.24,66.56,283060
2024-06-11,67.0,67.0,64.47,64.91,367739
2024-06-12,64.91,68.9,63.21,66.62,397608
2024-06-13,66.68,67.88,66.11,66.37,230647
2024-06-14,66.81,72.69,65.92,68.83,725402
2024-06-17,70.79,74.58,69.4,72.06,471951
2024-06-18,72.06,74.58,68.9,69.21,587219
2024-06-19,68.9,70.48,67.19,69.21,344150
2024-06-20,69.53,70.79,68.14,68.77,315145
2024-06-21,68.9,71.17,68.26,69.72,308074
2024-06-24,69.84,71.42,67.63,67.88,535069
2024-06-25,68.58,68.96,65.1,66.24,330920
2024-06-26,66.87,68.58,66.37,67.95,188198
2024-06-27,67.63,70.79,67.06,68.9,230799
2024-06-28,67.32,70.73,67.32,68.39,321154
2024-07-01,67.63,68.39,58.91,62.13,594905
2024-07-02,62.38,63.21,60.24,61.94,321444
2024-07-03,61.94,62.64,61.31,62.51,221299
2024-07-04,62.64,63.21,61.94,62.83,210414
2024-07-05,62.57,65.86,62.2,64.53,207556
2024-07-08,64.98,65.8,64.15,64.47,206436
2024-07-09,64.47,65.1,62.38,64.22,283885
2024-07-10,63.33,64.6,62.83,64.53,194353
2024-07-11,64.47,66.68,64.34,64.91,120610
2024-07-12,65.04,65.04,63.84,63.9,89606
2024-07-15,64.15,64.15,63.21,63.21,97044
2024-07-16,63.21,63.71,60.36,60.68,286893
2024-07-17,61.37,61.37,56.25,58.4,331750
2024-07-18,57.83,58.02,54.36,57.83,193410
2024-07-19,57.52,57.52,55.62,55.62,61065
2024-07-22,55.69,57.33,53.73,57.33,140419
2024-07-23,56.25,58.15,55.62,56.06,107455
2024-07-24,56.06,57.2,53.73,56.32,102601
2024-07-25,55.31,56.89,54.36,56.89,82184
2024-07-26,57.2,58.59,55.81,58.47,119763
2024-07-29,58.72,61.31,58.4,61.25,181841
2024-07-30,62.26,62.26,59.54,59.67,58407
2024-07-31,60.43,60.43,58.91,60.24,88027
2024-08-01,59.41,60.93,56.89,59.92,209400
2024-08-02,59.92,60.05,57.9,60.05,62484
2024-08-05,57.96,58.02,54.42,54.42,123056
2024-08-06,54.42,57.52,54.36,56.25,125975
2024-08-07,56.25,56.25,55.31,55.75,15605
2024-08-08,55.31,55.62,53.73,54.67,52471
2024-08-09,55.31,56.82,55.18,56.7,56053
2024-08-12,56.32,57.96,56.32,57.9,85346
2024-08-13,57.52,58.85,57.52,58.02,62400
2024-08-14,58.15,59.03,58.09,58.09,54911
2024-08-15,57.2,57.64,56.13,57.14,57125
2024-08-16,57.08,59.48,57.08,59.48,122770
2024-08-19,59.41,60.36,59.41,60.05,87587
