date,open,high,low,close,volume
2024-01-30,28.73,28.86,28.42,28.83,915928
2024-01-31,29.18,30.83,29.12,30.45,4233184
2024-02-01,30.26,30.96,30.26,30.8,954831
2024-02-02,31.09,31.53,30.8,30.93,1080774
2024-02-05,31.12,31.12,30.42,30.93,1219592
2024-02-06,30.96,31.47,30.77,30.86,783635
2024-02-07,30.86,31.28,30.74,30.93,741280
2024-02-15,31.15,31.24,30.7,30.77,752984
2024-02-16,30.89,31.59,30.61,30.93,1209616
2024-02-19,30.93,31.66,30.55,31.66,1844818
2024-02-20,31.91,33.56,31.78,32.48,2094340
2024-02-21,32.48,33.18,32.17,32.87,1423192
2024-02-22,32.87,33.12,32.42,32.42,700996
2024-02-23,32.36,32.74,31.15,31.21,1935867
2024-02-26,31.28,33.37,31.18,33.37,1968997
2024-02-27,33.63,34.39,33.5,33.69,1290922
2024-02-28,33.63,33.95,33.31,33.88,1272325
2024-02-29,34.2,36.23,33.5,36.23,2245784
2024-03-01,36.23,37.82,35.66,36.87,1720026
2024-03-04,37.06,37.19,36.55,36.87,1222867
2024-03-05,36.87,39.41,36.3,39.35,1983563
2024-03-06,39.22,39.35,38.27,39.1,1518335
2024-03-07,39.1,39.99,38.78,38.9,1427090
2024-03-08,38.97,39.1,37.25,37.7,2623570
2024-03-11,38.65,39.54,38.14,38.71,2613939
2024-03-12,38.71,39.92,38.65,39.1,2018059
2024-03-13,39.22,40.11,39.03,39.92,2605930
2024-03-14,40.05,40.05,38.84,39.1,2943349
2024-03-15,39.03,40.68,38.46,40.68,4854859
2024-03-18,40.62,40.62,37.89,38.46,3849397
2024-03-19,38.52,39.35,38.14,38.14,910653
2024-03-20,38.4,38.71,37.57,38.52,1561996
2024-03-21,39.16,39.16,38.52,38.59,1270913
2024-03-22,38.78,39.92,38.52,39.16,2349891
2024-03-25,39.16,39.73,38.46,38.78,1210390
2024-03-26,38.78,39.73,38.46,39.48,1282137
2024-03-27,39.99,39.99,39.16,39.41,928773
2024-03-28,39.92,40.62,39.41,40.3,2919543
2024-03-29,40.3,40.3,39.48,39.54,1235960
2024-04-01,39.54,40.11,39.03,39.86,1367562
2024-04-02,39.92,40.43,39.41,40.43,2084204
2024-04-03,40.68,41.83,40.05,40.62,3085550
2024-04-04,40.11,40.62,39.54,39.67,1530201
2024-04-05,39.03,39.22,37.0,37.0,2445210
2024-04-08,37.0,37.76,36.04,36.23,2107479
2024-04-09,36.43,37.82,36.23,37.82,1433125
2024-04-10,37.89,38.27,37.7,37.82,901430
2024-04-11,37.51,38.46,36.87,38.27,1227533
2024-04-12,38.78,39.22,38.01,39.1,1328314
2024-04-15,38.78,39.6,36.36,36.36,2693793
2024-04-16,36.23,36.68,34.33,36.23,2567686
2024-04-17,36.87,36.87,33.76,33.76,1646677
2024-04-19,32.17,34.2,31.47,31.78,4705805
2024-04-22,32.74,34.01,32.55,34.01,2195519
2024-04-23,34.2,34.65,32.8,33.44,1814231
2024-04-24,33.88,35.6,33.82,35.28,2241547
2024-04-25,35.09,35.22,34.07,34.9,1568071
2024-04-26,34.01,35.92,34.01,34.65,2189875
2024-05-02,35.34,35.34,34.07,34.65,1344231
2024-05-03,35.09,35.92,34.45,34.65,1722347
2024-05-06,35.47,37.06,35.03,37.06,3168592
2024-05-07,37.57,37.57,36.93,37.51,1345515
2024-05-08,37.19,38.52,36.93,38.08,2158100
2024-05-09,38.46,38.65,37.63,37.95,1560636
2024-05-10,38.14,38.46,37.38,38.27,2461696
2024-05-13,38.78,39.03,37.38,38.14,2097126
2024-05-14,38.33,38.78,37.7,37.82,2270474
2024-05-15,40.48,40.48,39.04,40.48,5013880
2024-05-16,42.0,42.09,41.02,41.24,2415773
2024-05-17,41.24,41.73,41.06,41.37,2220972
2024-05-20,41.37,41.73,40.84,40.97,2854355
2024-05-21,40.97,41.55,40.61,41.55,3279834
2024-05-22,41.69,43.62,41.55,42.0,3281034
2024-05-23,41.82,42.18,41.11,42.18,1645617
2024-05-24,41.46,42.09,39.49,40.75,3737621
2024-05-27,40.79,41.28,40.43,40.7,1084930
2024-05-28,41.11,41.82,40.75,41.6,2133642
2024-05-29,42.14,42.14,40.93,41.11,1560428
2024-05-30,40.48,40.84,39.71,40.79,2587805
2024-05-31,41.37,41.69,40.79,40.84,1072722
2024-06-03,41.28,41.64,41.15,41.28,2020427
2024-06-04,41.42,41.73,41.24,41.28,2109772
2024-06-05,41.55,42.9,41.28,42.27,4414378
2024-06-06,42.45,42.9,42.09,42.18,2488663
2024-06-07,42.54,42.81,42.0,42.27,1523619
2024-06-10,42.36,42.95,42.05,42.23,2068756
2024-06-11,42.36,42.63,42.0,42.63,2178407
2024-06-12,42.81,43.53,42.77,43.17,2558980
2024-06-13,43.75,43.75,42.63,42.63,1849316
2024-06-14,42.72,43.08,39.94,40.39,3799848
2024-06-17,40.39,41.15,40.39,40.84,1781843
2024-06-18,41.2,41.37,40.75,40.84,1075414
2024-06-19,40.84,41.2,40.48,40.84,1310701
2024-06-20,40.88,40.97,39.98,40.39,1610002
2024-06-21,40.39,40.79,39.85,39.85,2127289
2024-06-24,39.49,40.12,37.25,37.34,4141354
2024-06-25,37.96,37.96,37.11,37.78,1064124
2024-06-26,37.87,38.05,37.25,37.7,1008367
2024-06-27,37.52,37.96,37.25,37.38,920237
2024-06-28,37.7,37.83,36.08,36.35,1865242
2024-07-01,36.8,37.74,36.35,37.74,1173865
2024-07-02,37.87,39.22,37.87,38.86,1657943
2024-07-03,39.04,39.04,38.28,38.41,1024577
2024-07-04,38.41,39.0,38.19,38.41,920276
2024-07-05,37.78,38.55,37.7,38.14,2188362
2024-07-08,38.59,38.59,37.83,38.05,1896965
2024-07-09,38.19,39.4,37.74,39.27,3557413
2024-07-10,39.49,39.53,38.64,38.64,1579538
2024-07-11,38.68,39.31,38.5,38.91,1914484
2024-07-12,38.46,39.04,38.37,38.46,1247159
2024-07-15,39.13,39.13,38.05,38.23,1064236
2024-07-16,38.23,38.68,37.96,38.14,1468833
2024-07-17,38.1,38.32,35.9,36.35,2518671
2024-07-18,36.35,36.75,35.27,36.62,2407445
2024-07-19,36.66,36.8,35.41,35.41,1944834
2024-07-22,35.41,35.81,34.1,34.42,3208860
2024-07-23,34.55,34.96,32.76,32.76,1941782
2024-07-24,32.31,34.55,32.31,34.37,2955569
2024-07-25,34.1,34.64,33.52,34.37,1483050
2024-07-26,34.37,34.64,34.06,34.19,942023
2024-07-29,34.19,34.6,34.1,34.24,1375413
2024-07-30,33.97,34.19,33.21,33.34,1519046
2024-07-31,33.84,34.1,32.98,33.39,1268453
2024-08-01,33.66,33.66,31.05,31.1,3129063
2024-08-02,30.56,33.25,30.29,33.25,3465137
2024-08-05,32.76,34.51,32.31,33.3,4522454
2024-08-06,34.1,35.59,33.25,35.54,5083943
2024-08-07,35.72,35.72,34.64,35.54,2529736
2024-08-08,35.0,35.54,33.75,34.46,3605828
2024-08-09,34.96,36.84,34.73,36.84,5531546
2024-08-12,36.62,37.43,36.35,37.16,2237513
2024-08-13,37.16,37.16,36.08,36.48,2806090
2024-08-14,36.98,36.98,35.9,35.9,2221800
2024-08-15,35.72,36.8,35.54,36.44,3580118
2024-08-16,36.75,38.95,36.48,38.95,7239142
2024-08-19,39.31,39.31,38.46,38.82,2732734
2024-08-20,38.59,40.21,38.28,38.59,4674509
2024-08-21,38.59,38.95,38.32,38.82,2755278
2024-08-22,38.86,39.49,38.5,39.13,2517938
2024-08-23,39.13,40.03,38.82,39.71,3778368
2024-08-26,40.03,40.07,39.13,39.18,3144548
2024-08-27,39.13,39.58,39.04,39.18,2008568
2024-08-28,39.31,39.4,38.14,38.5,4056703
2024-08-29,38.55,39.04,38.32,38.5,1908367
2024-08-30,38.5,39.45,38.46,39.22,2524396
2024-09-04,38.59,39.89,38.46,39.67,3612847
2024-09-05,39.85,40.57,38.73,38.95,4070110
2024-09-06,38.82,39.18,38.23,38.86,2320383
2024-09-09,38.5,39.09,38.46,38.86,1469568
2024-09-10,39.13,39.13,37.78,37.78,3346160
2024-09-11,37.74,39.0,37.29,38.59,3262687
2024-09-12,38.95,39.0,38.5,38.59,1454394
2024-09-13,38.59,39.94,38.59,39.49,4553759
2024-09-16,39.58,39.58,38.77,38.77,1976248
2024-09-17,39.13,40.03,38.77,40.03,3510836
2024-09-18,40.21,40.97,39.85,40.21,4274982
2024-09-19,40.75,40.75,39.89,40.12,2495277
2024-09-20,40.66,40.66,39.94,40.21,4560814
2024-09-23,40.21,40.66,39.49,39.94,2083711
2024-09-24,40.03,40.39,39.89,40.39,1713513
2024-09-25,40.52,41.46,40.52,41.02,3998782
2024-09-26,41.11,41.24,40.66,40.66,2746658
2024-09-27,40.75,41.02,40.39,40.84,2243530
2024-09-30,40.84,41.46,40.57,41.28,2449526
2024-10-01,41.64,42.36,41.15,41.28,3736065
2024-10-02,41.02,41.24,40.57,40.61,2717124
2024-10-03,40.61,40.93,39.04,39.8,4010041
2024-10-04,39.85,40.3,39.49,39.67,2077838
2024-10-07,39.89,40.57,39.67,40.57,1589523
2024-10-08,40.66,40.75,39.67,39.85,2608646
2024-10-09,39.94,40.25,39.49,39.85,1869371
2024-10-10,39.94,40.43,39.76,39.76,1584149
2024-10-11,39.67,40.21,39.67,40.12,1158841
2024-10-14,40.57,40.57,40.03,40.03,1295744
2024-10-15,39.67,40.43,39.49,39.49,1460407
2024-10-16,39.71,39.71,39.09,39.13,1431407
2024-10-17,39.31,39.67,38.28,39.4,2286517
2024-10-18,39.13,39.67,39.13,39.22,1194539
2024-10-21,38.82,39.04,38.14,38.14,2540314
2024-10-22,38.01,38.28,36.35,37.25,2942683
2024-10-23,36.98,37.78,36.98,37.61,1472794
2024-10-24,37.7,37.7,36.44,36.44,1286418
2024-10-25,36.8,36.93,36.66,36.66,1303003
2024-10-28,36.66,37.65,36.66,37.43,1076552
2024-10-29,37.38,37.65,37.29,37.34,1031786
2024-10-30,37.52,37.52,37.07,37.25,965369
2024-10-31,37.25,37.7,37.2,37.52,931376
2024-11-01,37.34,37.52,36.75,37.02,1234444
2024-11-04,37.02,38.77,36.53,38.5,2470821
2024-11-05,38.41,38.59,37.96,38.19,723729
2024-11-06,38.55,38.73,38.19,38.68,1793795
2024-11-07,39.0,39.04,38.32,38.37,1138510
2024-11-08,38.37,39.04,38.1,38.5,1800738
2024-11-11,38.5,38.86,37.87,38.86,1871258
2024-11-12,39.0,39.67,38.5,38.55,1998067
2024-11-13,38.14,38.5,37.65,38.37,1758334
2024-11-14,38.05,39.0,37.25,37.25,2436042
2024-11-15,36.8,37.2,35.9,36.35,2858761
2024-11-18,36.17,38.01,36.17,37.11,2573992
2024-11-19,37.11,37.38,36.35,36.35,1089694
2024-11-20,36.3,38.05,35.14,37.11,3277072
2024-11-21,37.25,37.7,37.02,37.61,965869
2024-11-22,37.43,37.52,36.93,37.02,1292259
2024-11-25,37.07,37.56,36.57,37.34,1436945
2024-11-26,37.34,38.32,37.34,37.83,1952130
2024-11-27,37.52,38.01,37.43,37.52,1161164
2024-11-28,37.87,38.01,37.43,37.43,1502534
2024-11-29,37.43,37.87,37.29,37.7,1501808
2024-12-02,38.1,38.1,37.52,37.56,867235
2024-12-03,37.56,38.14,37.38,37.52,1699999
2024-12-04,37.47,37.7,36.44,36.75,2307354
2024-12-05,36.75,39.31,35.94,39.31,5867142
2024-12-06,39.67,39.67,38.91,39.22,2283612
2024-12-09,39.27,39.58,39.09,39.49,2127569
2024-12-10,39.36,39.62,39.04,39.49,1569899
2024-12-11,39.58,39.89,39.18,39.4,2250529
2024-12-12,39.45,39.76,39.04,39.04,1762142
2024-12-13,39.04,39.4,38.86,38.95,1513002
2024-12-16,38.95,39.27,38.59,39.09,985041
2024-12-17,39.27,39.31,38.46,38.46,1505374
2024-12-18,38.59,39.04,38.23,39.04,1303388
2024-12-19,38.23,38.68,38.14,38.55,2181402
2024-12-20,38.77,38.77,38.23,38.23,1043856
2024-12-23,38.41,38.68,38.32,38.32,812129
2024-12-24,38.23,38.41,37.7,37.74,1752135
2024-12-25,38.01,39.31,37.87,38.46,1964398
2024-12-26,38.46,38.77,38.37,38.37,610358
2024-12-27,38.59,38.68,38.14,38.41,1141173
