date,open,high,low,close,volume
2023-08-16,8.97,8.97,8.97,8.97,246
2023-08-17,8.8,8.8,8.35,8.6,2700
2023-08-18,8.1,8.1,8.0,8.0,4300
2023-08-21,8.0,8.0,7.45,7.45,907
2023-08-22,6.93,7.96,6.93,6.93,500
2023-08-23,7.41,7.41,6.93,7.2,1100
2023-08-24,6.8,7.7,6.8,7.7,1600
2023-08-25,7.84,8.0,7.17,8.0,3305
2023-08-28,7.99,7.99,7.45,7.98,1600
2023-08-29,7.98,7.98,7.98,7.98,105
2023-08-30,7.6,7.95,7.43,7.95,2600
2023-08-31,7.42,7.42,7.41,7.41,300
2023-09-05,7.5,7.6,7.5,7.6,400
2023-09-06,7.58,7.58,7.56,7.56,200
2023-09-07,7.55,7.55,7.55,7.55,2101
2023-09-08,7.55,7.55,7.06,7.55,24107
2023-09-11,7.07,7.55,7.07,7.55,1400
2023-09-12,7.3,7.3,7.3,7.3,114
2023-09-13,7.7,7.7,7.7,7.7,500
2023-09-14,7.2,7.7,7.18,7.7,3500
2023-09-15,7.7,7.7,7.22,7.25,55600
2023-09-18,7.25,7.25,7.25,7.25,200
2023-09-19,7.25,7.25,7.25,7.25,300
2023-09-20,6.87,7.25,6.87,7.25,1110
2023-09-21,7.25,7.25,7.25,7.25,4
2023-09-22,6.77,7.5,6.77,7.5,302
2023-09-25,7.17,7.3,7.17,7.3,1500
2023-09-26,7.3,7.3,7.3,7.3,0
2023-09-27,7.3,7.3,7.3,7.3,0
2023-09-28,7.3,7.3,7.3,7.3,0
2023-09-29,7.3,7.3,6.81,7.3,1112
2023-10-02,7.01,7.03,7.01,7.02,700
2023-10-03,7.5,7.5,7.0,7.0,1100
2023-10-04,7.0,7.0,7.0,7.0,2
2023-10-05,7.0,7.4,7.0,7.4,1100
2023-10-06,7.4,7.4,7.4,7.4,0
2023-10-09,7.39,7.39,7.39,7.39,100
2023-10-10,7.39,7.39,7.39,7.39,0
2023-10-11,7.4,7.4,7.0,7.0,500
2023-10-12,7.0,7.0,7.0,7.0,0
2023-10-13,7.0,7.0,7.0,7.0,0
2023-10-16,7.11,7.11,7.11,7.11,800
2023-10-17,7.08,7.49,7.04,7.04,1900
2023-10-18,7.0,7.0,7.0,7.0,500
2023-10-19,7.0,7.44,7.0,7.44,400
2023-10-20,7.49,7.49,6.92,7.4,1000
2023-10-23,7.4,7.4,7.4,7.4,0
2023-10-24,7.4,7.4,7.4,7.4,0
2023-10-25,7.3,7.3,7.3,7.3,400
2023-10-26,7.48,7.48,6.81,6.82,1000
2023-10-27,7.29,7.29,6.41,7.25,300
2023-10-30,7.25,7.25,7.25,7.25,0
2023-10-31,7.25,7.25,7.24,7.24,500
2023-11-01,7.34,7.34,7.34,7.34,200
2023-11-02,7.3,7.35,7.25,7.35,14500
2023-11-03,7.34,7.34,6.9,6.9,201
2023-11-06,7.2,7.28,6.92,7.25,4600
2023-11-07,7.25,7.25,7.25,7.25,0
2023-11-08,7.39,7.39,7.0,7.3,1900
2023-11-09,7.3,7.3,7.3,7.3,1420
2023-11-10,7.39,7.39,7.03,7.03,600
2023-11-13,7.39,7.39,6.93,6.93,600
2023-11-14,7.2,7.2,7.2,7.2,1600
2023-11-15,7.2,7.2,7.2,7.2,0
2023-11-16,7.34,7.34,7.34,7.34,100
2023-11-17,7.39,7.4,7.39,7.39,13800
2023-11-20,7.39,7.39,7.05,7.39,400
2023-11-21,6.96,6.96,6.88,6.88,10000
2023-11-22,6.98,7.36,6.98,7.14,2800
2023-11-23,7.36,7.36,7.15,7.15,2510
2023-11-24,7.02,7.04,7.02,7.04,200
2023-11-27,7.04,7.04,7.04,7.04,0
2023-11-30,6.55,7.32,6.55,7.32,5400
2023-12-05,7.38,7.38,7.38,7.38,100
2023-12-06,7.28,7.28,7.05,7.2,1200
2023-12-07,7.19,7.19,7.18,7.18,600
2023-12-08,6.85,7.34,6.85,7.03,1300
2023-12-13,6.99,7.0,6.99,7.0,800
2023-12-15,7.24,7.24,7.24,7.24,100
2023-12-20,7.23,7.23,7.23,7.23,100
2023-12-22,6.95,7.15,6.9,6.9,2100
2023-12-26,6.91,6.91,6.91,6.91,6900
2023-12-27,6.91,6.91,6.91,6.91,16500
2023-12-28,7.28,7.28,7.28,7.28,100
2023-12-29,7.25,7.25,7.24,7.24,200
2024-01-05,7.25,7.25,7.25,7.25,200
2024-01-08,6.79,7.29,6.79,7.29,300
2024-01-10,6.82,6.82,6.82,6.82,500
