date,open,high,low,close,volume
2024-01-30,10.87,10.91,10.87,10.91,26600
2024-01-31,10.95,10.99,10.82,10.9,33800
2024-02-01,10.81,11.6,10.81,10.94,8100
2024-02-02,11.04,11.04,10.97,10.99,20800
2024-02-05,11.01,11.12,10.97,11.06,74000
2024-02-06,11.06,11.13,11.03,11.13,32500
2024-02-07,11.31,11.31,11.05,11.19,14600
2024-02-15,11.2,11.34,11.2,11.25,24700
2024-02-16,11.39,11.39,11.16,11.25,54200
2024-02-19,11.5,11.5,11.22,11.25,7000
2024-02-20,11.25,11.27,11.25,11.27,7200
2024-02-21,11.27,11.28,11.24,11.27,26200
2024-02-22,11.2,11.3,11.2,11.29,8600
2024-02-23,11.35,11.35,11.05,11.08,92800
2024-02-26,10.9,11.25,10.9,11.25,28400
2024-02-27,11.2,11.32,11.2,11.32,29900
2024-02-28,11.3,11.43,11.3,11.41,24000
2024-02-29,11.5,11.5,11.36,11.4,41000
2024-03-01,11.42,11.55,11.42,11.55,57300
2024-03-04,11.55,11.67,11.55,11.66,71000
2024-03-05,11.7,11.7,11.62,11.7,57700
2024-03-06,11.7,11.77,11.63,11.63,43800
2024-03-07,11.63,11.67,11.05,11.66,78200
2024-03-08,11.65,11.65,11.52,11.61,45200
2024-03-11,11.47,11.59,11.34,11.49,21000
2024-03-12,11.49,11.6,11.42,11.6,23000
2024-03-13,11.65,11.84,11.61,11.84,52400
2024-03-14,11.84,11.84,11.75,11.8,18300
2024-03-15,11.96,11.96,11.7,11.9,47300
2024-03-18,11.92,11.95,11.31,11.95,67100
2024-03-19,11.99,11.99,11.5,11.85,15000
2024-03-20,11.84,11.84,11.55,11.84,58700
2024-03-21,11.84,11.9,11.84,11.85,13300
2024-03-22,11.85,12.04,11.85,11.94,39000
2024-03-25,12.0,12.02,11.75,12.02,75400
2024-03-26,12.02,12.02,11.77,12.02,36700
2024-03-27,12.21,12.21,11.87,11.92,12900
2024-03-28,12.0,12.14,11.98,12.14,22400
2024-03-29,12.05,12.1,11.9,12.1,8200
2024-04-01,12.11,12.11,11.86,12.0,77200
2024-04-02,12.0,12.07,11.83,12.07,47100
2024-04-03,12.01,12.05,11.92,11.92,40200
2024-04-04,11.9,11.96,11.8,11.8,94800
2024-04-05,11.89,11.89,11.7,11.8,39000
2024-04-08,11.77,11.77,11.61,11.61,17900
2024-04-09,11.62,11.85,11.59,11.85,32400
2024-04-10,11.86,11.86,11.67,11.67,25300
2024-04-11,11.67,11.8,11.58,11.8,9200
2024-04-12,11.8,11.92,11.7,11.89,17600
2024-04-15,11.99,11.99,11.44,11.44,69600
2024-04-16,11.36,11.5,11.01,11.5,253800
2024-04-17,11.9,11.9,11.0,11.5,384200
2024-04-19,11.11,12.2,10.75,11.19,148800
2024-04-22,11.19,11.24,10.9,11.24,43100
2024-04-23,10.98,11.04,10.8,10.89,51000
2024-04-24,11.14,11.29,11.01,11.29,542100
2024-04-25,11.29,11.29,11.08,11.25,12700
2024-04-26,11.2,11.95,11.1,11.25,8700
2024-05-02,11.49,11.49,11.21,11.3,10500
2024-05-03,11.5,11.5,11.33,11.33,13500
2024-05-06,11.4,11.54,11.4,11.52,18500
2024-05-07,11.74,11.74,11.5,11.69,19600
2024-05-08,11.56,11.6,11.41,11.56,19900
2024-05-09,11.62,11.7,11.56,11.61,22400
2024-05-10,11.69,11.69,11.49,11.65,56600
2024-05-13,11.6,11.63,11.5,11.51,49500
2024-05-14,11.54,11.64,11.54,11.63,9300
2024-05-15,12.09,12.09,11.6,11.73,13400
2024-05-16,11.87,11.92,11.87,11.88,30500
2024-05-17,11.96,12.0,11.87,12.0,10200
2024-05-20,12.3,12.84,12.01,12.08,174100
2024-05-21,12.08,12.1,11.97,12.07,19300
2024-05-22,12.12,12.18,12.01,12.12,53000
2024-05-23,12.09,12.27,12.01,12.27,7700
2024-05-24,12.12,12.26,12.07,12.15,77700
2024-05-27,12.15,12.15,11.91,12.0,26900
2024-05-28,12.05,12.2,12.05,12.2,33000
2024-05-29,12.21,12.31,12.1,12.27,9300
2024-05-30,12.27,12.27,12.0,12.25,14100
2024-05-31,12.18,12.35,12.18,12.35,23600
2024-06-03,12.35,12.44,12.35,12.4,30000
2024-06-04,12.4,12.53,12.4,12.45,9300
2024-06-05,12.5,12.55,12.42,12.45,49100
2024-06-06,12.45,12.45,12.35,12.35,26200
2024-06-07,12.36,12.45,12.32,12.35,31600
2024-06-10,12.36,12.42,11.54,12.42,162300
2024-06-11,12.5,12.5,12.31,12.34,41900
2024-06-12,11.88,12.54,11.88,12.47,74600
2024-06-13,12.58,12.58,12.47,12.52,35200
