date,open,high,low,close,volume
2024-01-17,7.71,7.79,7.71,7.71,1700
2024-01-18,7.73,7.74,7.73,7.74,600
2024-01-19,7.8,7.8,7.74,7.8,600
2024-01-22,7.8,7.8,7.8,7.8,700
2024-01-23,7.8,8.08,7.8,7.8,2200
2024-01-24,7.77,7.77,7.77,7.77,200
2024-01-25,7.72,7.75,7.72,7.72,44200
2024-01-26,7.73,7.81,7.73,7.8,600
2024-01-29,7.82,7.82,7.78,7.78,200
2024-01-30,7.78,7.81,7.77,7.79,1000
2024-01-31,7.81,7.81,7.68,7.71,39900
2024-02-01,7.74,7.74,7.69,7.69,4300
2024-02-02,7.76,7.76,7.73,7.73,600
2024-02-05,8.07,8.07,8.07,8.07,100
2024-02-06,7.96,7.96,7.94,7.95,1800
2024-02-07,7.95,8.04,7.94,8.04,4200
2024-02-15,8.04,8.07,8.01,8.01,55500
2024-02-16,8.02,8.05,8.0,8.05,3600
2024-02-19,8.09,8.11,8.07,8.11,53800
2024-02-20,8.16,8.18,8.15,8.18,6000
2024-02-21,8.2,8.2,8.16,8.19,10700
2024-02-22,8.19,8.19,8.13,8.19,8800
2024-02-23,8.24,8.24,8.1,8.1,33600
2024-02-26,8.11,8.14,8.05,8.14,32800
2024-02-27,8.14,8.21,8.12,8.21,2600
2024-02-28,8.3,8.34,8.22,8.34,23100
2024-02-29,8.35,8.35,8.31,8.32,1200
2024-03-01,8.34,8.36,8.32,8.36,21100
2024-03-04,8.39,8.39,8.31,8.35,17800
2024-03-05,8.35,8.36,8.32,8.36,32700
2024-03-06,8.39,8.43,8.39,8.4,12200
2024-03-07,8.4,8.4,8.35,8.37,17100
2024-03-08,8.38,8.38,8.26,8.35,41600
2024-03-11,8.3,8.3,8.11,8.27,22200
2024-03-12,8.12,8.17,8.12,8.15,4000
2024-03-13,8.21,8.35,8.19,8.35,69700
2024-03-14,8.38,8.38,8.36,8.36,18900
2024-03-15,8.02,8.36,8.02,8.36,7200
2024-03-18,8.24,8.24,8.05,8.18,52200
2024-03-19,8.09,8.11,8.09,8.1,2400
2024-03-20,8.17,8.28,8.17,8.26,71300
2024-03-21,8.34,8.38,8.33,8.37,36800
2024-03-22,8.38,8.5,8.38,8.47,61500
2024-03-25,8.48,8.48,8.4,8.4,45900
2024-03-26,8.4,8.47,8.4,8.47,14000
2024-03-27,8.47,8.47,8.44,8.47,57500
2024-03-28,8.52,8.6,8.52,8.6,62600
2024-03-29,8.7,8.7,8.57,8.64,31200
2024-04-01,8.64,8.64,8.5,8.56,31600
2024-04-02,8.56,8.56,8.4,8.48,62500
2024-04-03,8.48,8.49,8.4,8.49,35400
2024-04-04,8.4,8.5,8.37,8.5,32700
2024-04-05,8.44,8.52,8.31,8.31,16400
2024-04-08,8.36,8.36,8.24,8.24,58900
2024-04-09,8.25,8.3,8.25,8.3,32600
2024-04-10,8.3,8.35,8.3,8.35,100000
2024-04-11,8.25,8.3,8.25,8.3,65700
2024-04-12,8.31,8.5,8.3,8.5,51500
2024-04-15,8.3,8.46,8.13,8.41,302100
2024-04-16,8.38,8.99,8.07,8.4,12400
2024-04-17,8.38,8.45,8.38,8.45,3800
2024-04-19,8.45,8.45,7.97,8.4,35400
2024-04-22,8.4,8.45,8.4,8.45,4000
2024-04-23,7.9,8.4,7.86,7.91,102000
2024-04-24,8.03,8.1,8.03,8.1,37400
2024-04-25,8.1,8.15,8.1,8.15,20600
2024-04-26,8.15,8.16,8.07,8.16,26800
2024-05-02,8.16,8.18,8.16,8.18,13800
2024-05-03,8.28,8.29,8.21,8.21,16200
2024-05-06,8.29,8.4,8.29,8.4,20900
2024-05-07,8.4,8.4,8.38,8.38,24100
2024-05-08,8.36,8.43,8.33,8.43,42200
2024-05-09,8.41,8.46,8.41,8.46,600
2024-05-10,8.6,8.6,8.4,8.46,22900
2024-05-13,8.46,8.46,8.39,8.39,17100
2024-05-14,8.45,8.45,8.45,8.45,300
2024-05-15,8.46,8.48,8.46,8.48,29500
2024-05-16,8.5,8.65,8.5,8.65,59000
2024-05-17,8.65,8.65,8.61,8.64,3800
2024-05-20,8.64,8.7,8.64,8.66,26400
2024-05-21,8.63,8.63,8.58,8.63,10700
2024-05-22,8.6,8.6,8.52,8.58,33200
2024-05-23,8.5,8.55,8.5,8.55,26500
2024-05-24,8.56,8.64,8.55,8.56,101800
2024-05-27,8.56,8.56,8.48,8.56,26500
2024-05-28,8.56,8.65,8.55,8.65,2300
2024-05-29,8.55,8.6,8.53,8.6,17700
2024-05-30,8.49,8.9,8.4,8.9,3000
