date,open,high,low,close,volume
2022-08-12,9.6,9.6,9.6,9.6,0
2022-08-15,10.38,10.38,10.38,10.38,100
2022-08-16,10.38,10.38,10.38,10.38,0
2022-08-17,10.38,10.38,10.38,10.38,0
2022-08-18,10.38,10.38,10.38,10.38,0
2022-08-19,10.38,10.38,10.38,10.38,0
2022-08-22,10.38,10.38,10.38,10.38,0
2022-08-23,10.38,10.38,10.38,10.38,0
2022-08-24,10.38,10.38,10.38,10.38,0
2022-08-25,10.38,10.38,10.38,10.38,0
2022-08-26,11.94,11.94,11.16,11.25,300
2022-08-29,9.78,9.78,9.78,9.78,100
2022-08-30,11.16,11.16,11.16,11.16,100
2022-08-31,12.72,12.72,12.72,12.72,100
2022-09-05,12.72,12.72,12.72,12.72,0
2022-09-06,14.53,14.53,14.53,14.53,100
2022-09-07,14.53,14.53,14.53,14.53,0
2022-09-08,14.53,14.53,14.53,14.53,0
2022-09-09,14.53,14.53,14.53,14.53,0
2022-09-12,14.53,14.53,14.53,14.53,0
2022-09-13,14.53,14.53,14.53,14.53,0
2022-09-14,14.53,14.53,14.53,14.53,0
2022-09-15,14.53,14.53,14.53,14.53,0
2022-09-16,14.53,14.53,14.53,14.53,0
2022-09-19,14.53,14.53,14.53,14.53,0
2022-09-20,12.37,12.37,12.37,12.37,500
2022-09-21,12.37,12.37,12.37,12.37,0
2022-09-22,10.55,10.55,10.55,10.55,100
2022-09-23,9.0,9.0,9.0,9.0,1000
2022-09-26,9.0,9.0,9.0,9.0,100
2022-09-27,9.0,9.0,9.0,9.0,0
2022-09-28,9.0,9.0,9.0,9.0,0
2022-09-29,9.0,9.0,9.0,9.0,0
2022-09-30,9.0,9.0,9.0,9.0,0
2022-10-03,9.0,9.0,9.0,9.0,0
2022-10-04,9.0,9.0,9.0,9.0,0
2022-10-05,9.0,9.0,9.0,9.0,0
2022-10-06,9.0,9.0,9.0,9.0,0
2022-10-07,9.0,9.0,9.0,9.0,0
2022-10-10,9.0,9.0,9.0,9.0,0
2022-10-11,9.0,9.0,9.0,9.0,0
2022-10-12,9.0,9.0,9.0,9.0,0
2022-10-13,9.0,9.0,9.0,9.0,0
2022-10-14,7.7,10.12,7.7,10.12,500
2022-10-17,8.22,8.22,8.22,8.22,0
2022-10-18,9.34,9.34,9.34,9.34,100
2022-10-19,10.3,10.3,10.3,10.3,100
2022-10-20,10.99,10.99,10.99,10.99,400
2022-10-21,10.99,10.99,10.99,10.99,0
2022-10-24,10.99,10.99,10.99,10.99,0
2022-10-25,10.99,10.99,10.99,10.99,0
2022-10-26,10.99,10.99,10.99,10.99,0
2022-10-27,9.34,9.34,9.34,9.34,200
2022-10-28,9.34,9.34,9.34,9.34,0
2022-10-31,9.34,9.34,9.34,9.34,0
2022-11-01,9.34,9.34,9.34,9.34,0
2022-11-02,9.34,9.34,9.34,9.34,0
2022-11-03,9.34,9.34,9.34,9.34,0
2022-11-04,9.34,9.34,9.34,9.34,0
2022-11-07,9.34,9.34,9.34,9.34,0
2022-11-08,9.34,9.34,9.34,9.34,0
2022-11-09,9.34,9.34,9.34,9.34,0
