date,open,high,low,close,volume
2023-08-11,16.79,19.15,16.79,19.15,700
2023-08-14,19.15,19.15,19.15,19.15,47
2023-08-15,17.45,17.45,17.36,17.36,202
2023-08-16,16.42,19.06,16.42,19.06,1400
2023-08-17,19.06,19.44,19.06,19.44,200
2023-08-18,19.44,19.44,19.44,19.44,2
2023-08-21,18.12,18.12,18.12,18.12,400
2023-08-22,19.25,19.25,18.68,18.68,20600
2023-08-23,18.68,18.87,18.68,18.87,700
2023-08-24,18.87,18.87,18.87,18.87,510
2023-08-25,18.87,18.87,18.87,18.87,0
2023-08-28,18.87,18.87,18.87,18.87,0
2023-08-29,20.76,20.76,20.76,20.76,100
2023-08-30,22.64,22.64,22.64,22.64,100
2023-08-31,24.72,24.72,24.72,24.72,111
2023-09-05,26.7,26.7,22.27,24.63,1500
2023-09-06,24.63,24.63,24.63,24.63,10
2023-09-07,24.63,24.63,24.63,24.63,0
2023-09-08,24.63,24.63,24.63,24.63,12
2023-09-11,22.17,24.63,22.17,24.63,111001
2023-09-12,26.23,26.23,22.17,24.72,17723
2023-09-13,22.27,22.27,22.27,22.27,2637
2023-09-14,20.1,24.34,20.1,24.34,2727
2023-09-15,24.34,24.34,24.34,24.34,0
2023-09-18,21.98,21.98,21.98,21.98,114
2023-09-19,21.98,21.98,21.98,21.98,9
2023-09-20,19.81,19.81,19.81,19.81,200
2023-09-21,21.13,21.8,21.13,21.8,4300
2023-09-22,21.8,21.8,21.8,21.8,1
2023-09-25,21.8,21.8,21.8,21.8,0
2023-09-26,21.8,21.8,21.8,21.8,0
2023-09-27,21.8,21.8,21.8,21.8,0
2023-09-28,21.8,21.8,21.8,21.8,1
2023-09-29,23.12,23.12,23.12,23.12,3200
2023-10-02,23.12,23.12,23.12,23.12,0
2023-10-03,23.12,23.12,23.12,23.12,1
2023-10-04,23.12,23.12,23.12,23.12,0
2023-10-05,20.85,20.85,20.85,20.85,500
2023-10-06,20.85,20.85,20.85,20.85,301
2023-10-09,20.85,20.85,20.85,20.85,0
2023-10-10,18.87,21.7,18.87,21.7,600
2023-10-11,21.7,21.7,21.7,21.7,0
2023-10-12,19.53,20.76,19.53,20.76,1200
2023-10-13,18.87,18.87,18.87,18.87,400
2023-10-16,18.96,18.96,18.87,18.87,31700
2023-10-17,18.87,18.87,18.87,18.87,2100
2023-10-18,19.72,19.72,17.64,17.64,200
2023-10-19,16.51,18.78,16.51,18.78,300
2023-10-20,18.78,18.87,18.78,18.87,20000
2023-10-23,20.66,20.76,18.87,18.87,1500
2023-10-24,18.87,18.87,18.87,18.87,0
2023-10-25,20.66,20.66,20.66,20.66,100
2023-10-26,18.87,18.87,18.87,18.87,4000
2023-10-27,18.87,18.87,18.87,18.87,0
2023-10-30,16.98,20.66,16.98,17.93,22800
2023-10-31,17.93,17.93,17.93,17.93,0
2023-11-01,19.63,19.63,17.83,17.83,1200
2023-11-02,19.34,19.34,17.83,17.83,1200
2023-11-03,17.83,17.83,17.83,17.83,200
2023-11-06,17.83,17.83,17.83,17.83,0
2023-11-07,17.83,17.83,17.83,17.83,0
2023-11-08,17.83,17.83,17.83,17.83,1
2023-11-09,17.64,19.34,17.64,19.34,200
2023-11-10,17.83,17.83,17.83,17.83,100
2023-11-13,19.34,19.34,19.34,19.34,100
2023-11-14,18.3,18.4,18.3,18.4,2500
2023-11-15,18.4,18.4,18.4,18.4,0
2023-11-16,18.4,18.4,18.4,18.4,0
2023-11-17,18.4,18.4,18.4,18.4,1
2023-11-20,18.4,18.4,18.4,18.4,0
2023-11-21,18.4,18.4,18.4,18.4,1
2023-11-22,19.34,19.34,18.4,18.4,4602
2023-11-23,18.4,18.4,18.4,18.4,0
2023-11-24,17.43,17.43,17.43,17.43,2700
2023-11-27,17.43,17.43,17.43,17.43,300
2023-11-28,17.43,17.43,17.43,17.43,0
2023-11-29,17.43,17.43,17.43,17.43,1800
2023-11-30,18.4,18.4,18.4,18.4,1000
2023-12-01,18.4,18.4,18.4,18.4,0
2023-12-04,18.4,18.4,18.4,18.4,200
2023-12-05,18.4,18.4,18.4,18.4,0
2023-12-06,18.4,18.4,18.4,18.4,0
2023-12-07,18.4,18.4,18.4,18.4,0
2023-12-08,18.4,18.4,18.4,18.4,1000
2023-12-11,18.4,18.4,18.4,18.4,6500
2023-12-12,18.4,18.4,18.4,18.4,0
2023-12-13,18.4,18.4,18.4,18.4,0
2023-12-14,18.4,18.4,18.4,18.4,0
2023-12-15,18.4,18.4,18.4,18.4,0
2023-12-18,17.43,17.43,17.43,17.43,4900
2023-12-19,17.43,17.43,17.43,17.43,5600
2023-12-20,17.43,17.43,17.43,17.43,200
2023-12-21,17.43,17.43,17.43,17.43,0
