date,open,high,low,close,volume
2023-05-19,7.66,7.66,7.66,7.66,1000
2023-05-22,7.66,7.66,7.66,7.66,0
2023-05-23,8.8,8.8,8.8,8.8,100
2023-05-24,8.8,8.8,7.92,7.92,300
2023-05-25,8.45,8.45,8.45,8.45,0
2023-05-26,8.45,8.45,8.45,8.45,0
2023-05-29,7.3,7.3,7.22,7.3,300
2023-05-30,8.18,8.18,8.18,8.18,100
2023-05-31,8.18,8.18,8.18,8.18,0
2023-06-01,7.9,7.9,7.9,7.9,100
2023-06-02,7.9,7.9,7.9,7.9,0
2023-06-05,7.9,7.9,7.9,7.9,0
2023-06-06,7.9,7.9,7.9,7.9,0
2023-06-07,6.97,6.97,6.97,6.97,200
2023-06-08,6.97,6.97,6.97,6.97,0
2023-06-09,6.97,6.97,6.97,6.97,0
2023-06-12,7.07,7.07,7.07,7.07,3600
2023-06-13,7.53,7.53,7.53,7.53,100
2023-06-14,7.53,7.53,7.53,7.53,0
2023-06-15,7.53,7.53,7.53,7.53,0
2023-06-16,7.53,7.53,7.53,7.53,100
2023-06-19,7.53,7.53,7.53,7.53,100
2023-06-20,7.53,7.53,7.53,7.53,0
2023-06-21,7.53,7.53,7.53,7.53,0
2023-06-22,7.53,7.53,7.53,7.53,0
2023-06-23,7.53,7.53,7.53,7.53,0
2023-06-26,7.53,7.53,7.53,7.53,0
2023-06-27,7.53,7.53,7.53,7.53,0
2023-06-28,7.53,7.53,7.53,7.53,0
2023-06-29,7.53,7.53,7.53,7.53,0
2023-06-30,7.53,7.53,7.53,7.53,0
2023-07-03,7.53,7.53,7.53,7.53,0
2023-07-04,7.53,7.53,7.53,7.53,0
2023-07-05,7.53,7.53,7.53,7.53,0
2023-07-06,7.53,7.53,7.53,7.53,0
2023-07-07,7.53,7.53,7.53,7.53,0
2023-07-10,7.53,7.53,7.53,7.53,0
2023-07-11,7.07,7.44,6.97,7.44,500
2023-07-12,7.16,7.16,7.16,7.16,0
2023-07-13,7.16,7.16,7.16,7.16,0
2023-07-14,7.16,7.16,7.16,7.16,0
2023-07-17,7.16,7.16,7.16,7.16,0
2023-07-18,7.16,7.16,7.16,7.16,0
2023-07-19,6.51,6.51,6.51,6.51,100
2023-07-20,6.51,6.51,6.51,6.51,0
2023-07-21,6.51,6.51,6.51,6.51,0
2023-07-24,6.51,6.51,6.51,6.51,0
2023-07-25,6.51,6.51,6.51,6.51,0
2023-07-26,6.51,6.51,6.51,6.51,0
2023-07-27,6.51,6.51,6.51,6.51,200
2023-07-28,6.51,6.51,6.51,6.51,0
2023-07-31,6.51,6.51,6.51,6.51,0
2023-08-01,6.51,6.51,6.51,6.51,0
2023-08-02,6.51,6.51,6.51,6.51,0
2023-08-03,6.51,6.51,6.51,6.51,0
2023-08-04,6.14,6.14,6.14,6.14,100
2023-08-07,6.14,6.14,6.14,6.14,0
2023-08-08,6.14,6.14,6.14,6.14,0
2023-08-09,6.14,6.14,6.14,6.14,0
2023-08-10,6.14,6.14,6.14,6.14,0
2023-08-11,6.14,6.14,6.14,6.14,0
2023-08-14,6.14,6.14,6.14,6.14,0
2023-08-15,6.14,6.14,6.14,6.14,0
2023-08-16,6.14,6.14,6.14,6.14,0
2023-08-17,6.14,6.14,6.14,6.14,0
2023-08-18,6.14,6.14,6.14,6.14,0
2023-08-21,6.14,6.14,6.14,6.14,0
2023-08-22,6.14,6.14,6.14,6.14,0
