date,open,high,low,close,volume
2024-01-30,9.36,9.43,9.36,9.4,62959
2024-01-31,9.4,9.43,9.32,9.36,90885
2024-02-01,9.36,9.4,9.32,9.4,134902
2024-02-02,9.4,9.43,9.36,9.43,106764
2024-02-05,9.36,9.47,9.36,9.43,71519
2024-02-06,9.4,9.47,9.4,9.47,98493
2024-02-07,9.51,9.63,9.47,9.63,302921
2024-02-15,9.63,9.79,9.63,9.67,321088
2024-02-16,9.63,9.75,9.63,9.67,182308
2024-02-19,9.71,9.71,9.59,9.63,174549
2024-02-20,9.63,9.63,9.55,9.55,107166
2024-02-21,9.55,9.59,9.47,9.51,100994
2024-02-22,9.55,9.59,9.51,9.55,111960
2024-02-23,9.59,9.59,9.43,9.47,201355
2024-02-26,9.47,9.51,9.43,9.51,73403
2024-02-27,9.51,9.51,9.47,9.51,148585
2024-02-28,9.51,9.67,9.51,9.55,217801
2024-02-29,9.55,9.63,9.47,9.47,146028
2024-03-01,9.47,9.55,9.47,9.55,103545
2024-03-04,9.59,9.59,9.51,9.51,159701
2024-03-05,9.51,9.59,9.51,9.55,143543
2024-03-06,9.59,9.59,9.51,9.55,124453
2024-03-07,9.55,9.63,9.55,9.59,78100
2024-03-08,9.63,9.63,9.47,9.55,167003
2024-03-11,9.63,9.63,9.47,9.47,60969
2024-03-12,9.47,9.51,9.43,9.47,90582
2024-03-13,9.43,9.55,9.43,9.55,188044
2024-03-14,9.59,9.95,9.55,9.79,516301
2024-03-15,9.87,9.91,9.67,9.71,143702
2024-03-18,9.71,9.75,9.43,9.51,345064
2024-03-19,9.59,9.63,9.43,9.51,294690
2024-03-20,9.59,9.63,9.47,9.55,102142
2024-03-21,9.63,9.63,9.55,9.59,181080
2024-03-22,9.63,9.67,9.55,9.59,171844
2024-03-25,9.59,9.67,9.51,9.55,98327
2024-03-26,9.55,9.59,9.47,9.59,81000
2024-03-27,9.63,9.63,9.51,9.55,101610
2024-03-28,9.55,9.63,9.51,9.59,50916
2024-03-29,9.59,9.59,9.51,9.59,116334
2024-04-01,9.63,9.63,9.51,9.55,63202
2024-04-02,9.51,9.63,9.47,9.63,135211
2024-04-03,9.71,9.91,9.63,9.67,261785
2024-04-04,9.59,9.67,9.51,9.55,253305
2024-04-05,9.55,9.95,9.47,9.71,445943
2024-04-08,9.79,9.83,9.59,9.79,276381
2024-04-09,9.79,9.87,9.63,9.87,225812
2024-04-10,9.87,10.27,9.71,9.95,866461
2024-04-11,9.95,9.95,9.79,9.87,63205
2024-04-12,9.95,10.27,9.95,10.15,526150
2024-04-15,10.03,10.23,9.55,9.55,284148
2024-04-16,9.55,9.63,9.32,9.55,387572
2024-04-17,9.55,9.63,9.47,9.47,124201
2024-04-19,9.4,9.51,9.16,9.36,344054
2024-04-22,9.47,9.47,9.36,9.47,94292
2024-04-23,9.4,9.83,9.4,9.63,254802
2024-04-24,9.71,9.71,9.59,9.71,59115
2024-04-25,9.67,9.67,9.47,9.55,107151
2024-04-26,9.55,9.55,9.47,9.55,47700
2024-05-02,9.55,9.55,9.4,9.55,80618
2024-05-03,9.59,9.63,9.4,9.55,117662
2024-05-06,9.47,9.79,9.47,9.71,263561
2024-05-07,9.79,10.03,9.63,10.03,466780
2024-05-08,10.11,10.35,9.79,10.23,947775
2024-05-09,10.27,10.31,10.03,10.11,564910
2024-05-10,10.11,10.19,9.95,10.07,286586
2024-05-13,10.07,10.35,10.03,10.23,487222
2024-05-14,10.23,10.27,10.03,10.11,380847
2024-05-15,10.11,10.59,10.11,10.47,1023504
2024-05-16,10.59,10.63,10.39,10.51,309995
2024-05-17,10.47,10.55,10.35,10.51,431873
2024-05-20,10.55,10.75,10.35,10.43,366002
2024-05-21,10.43,10.51,10.31,10.47,375170
2024-05-22,10.51,10.51,10.35,10.43,362694
2024-05-23,10.35,10.51,10.31,10.35,344933
2024-05-24,10.39,10.79,10.19,10.27,585146
2024-05-27,10.27,10.59,10.19,10.59,303147
2024-05-28,10.63,11.07,10.63,11.07,938515
2024-05-29,11.11,11.11,10.83,10.83,457877
2024-05-30,10.71,10.99,10.51,10.91,534585
2024-05-31,10.91,10.91,10.71,10.83,186728
2024-06-03,10.91,10.99,10.79,10.87,273458
2024-06-04,10.91,11.23,10.83,10.99,389031
2024-06-05,11.03,11.11,10.95,10.99,205549
2024-06-06,11.03,11.03,10.83,10.83,204849
2024-06-07,10.87,11.15,10.87,11.11,383449
2024-06-10,11.31,11.86,11.31,11.86,1959437
2024-06-11,12.34,12.34,11.86,12.02,772701
2024-06-12,11.9,12.1,11.58,11.58,705357
2024-06-13,11.86,11.86,11.5,11.62,378154
2024-06-14,11.58,11.86,11.07,11.07,597422
2024-06-17,11.27,11.27,10.99,11.07,351532
2024-06-18,11.23,11.27,11.03,11.07,223679
2024-06-19,11.15,11.19,10.31,10.75,520493
2024-06-20,10.75,10.87,10.63,10.75,335711
2024-06-21,10.83,10.99,10.59,10.99,461035
2024-06-24,10.99,11.11,10.55,10.59,337452
2024-06-25,10.71,10.99,10.59,10.75,208549
2024-06-26,10.83,10.87,10.71,10.75,170960
2024-06-27,10.64,10.9,10.64,10.73,130259
2024-06-28,10.68,10.95,10.55,10.64,103317
2024-07-01,10.64,10.73,10.6,10.68,47932
2024-07-02,10.9,10.9,10.68,10.82,128563
2024-07-03,10.86,10.95,10.82,10.86,88223
2024-07-04,10.9,10.9,10.73,10.86,137264
2024-07-05,10.9,11.3,10.86,10.99,352111
2024-07-08,11.04,11.25,10.9,11.21,266336
2024-07-09,11.25,11.47,11.21,11.39,386253
2024-07-10,11.43,11.56,11.21,11.34,368805
2024-07-11,11.52,11.52,11.21,11.21,261735
2024-07-12,11.34,11.34,10.99,10.99,236429
2024-07-15,10.99,11.21,10.99,11.17,90525
2024-07-16,11.12,11.25,11.12,11.21,130661
2024-07-17,11.17,11.17,10.82,10.86,155198
2024-07-18,10.99,10.99,10.77,10.86,96332
2024-07-19,10.86,11.04,10.77,10.95,158744
2024-07-22,11.52,11.52,11.12,11.3,500419
2024-07-23,11.39,11.52,10.51,11.08,330660
2024-07-24,11.08,11.34,10.99,11.17,239233
2024-07-25,11.3,11.52,11.12,11.25,466354
2024-07-26,11.3,11.34,11.12,11.25,473706
2024-07-29,11.3,11.34,11.17,11.25,262150
2024-07-30,11.25,12.0,11.25,12.0,1457604
2024-07-31,12.0,12.09,11.65,11.74,303244
2024-08-01,11.78,11.91,10.95,11.17,1267628
2024-08-02,11.12,11.21,10.86,11.17,269056
2024-08-05,10.86,11.12,10.51,10.73,574235
2024-08-06,10.68,10.99,10.64,10.9,295675
2024-08-07,11.04,11.04,10.9,10.99,115601
2024-08-08,10.99,11.12,10.86,11.04,202354
2024-08-09,11.04,11.12,11.04,11.04,84973
2024-08-12,11.04,11.3,11.04,11.25,172400
2024-08-13,11.12,11.3,11.04,11.25,156584
2024-08-14,11.25,11.69,11.25,11.47,600837
2024-08-15,11.47,11.47,11.21,11.3,165942
2024-08-16,11.39,11.69,11.39,11.69,465665
2024-08-19,11.78,11.91,11.56,11.87,512984
2024-08-20,11.95,12.0,11.78,11.87,337841
2024-08-21,11.87,12.22,11.78,11.91,503297
2024-08-22,11.91,11.91,11.56,11.69,467013
2024-08-23,11.74,11.78,11.47,11.78,220134
2024-08-26,11.91,11.91,11.69,11.82,139910
2024-08-27,11.82,11.82,11.65,11.69,101940
2024-08-28,11.65,11.74,11.39,11.43,379216
2024-08-29,11.39,11.56,11.39,11.52,233148
2024-08-30,11.52,11.65,11.52,11.65,80370
2024-09-04,11.65,11.65,11.39,11.52,80788
2024-09-05,11.47,11.6,11.39,11.39,146437
2024-09-06,11.47,11.47,11.3,11.34,131795
2024-09-09,11.34,11.34,11.25,11.34,127801
2024-09-10,11.34,11.39,11.12,11.39,128673
2024-09-11,11.21,11.39,11.21,11.39,33008
2024-09-12,11.39,11.47,11.39,11.39,124722
2024-09-13,11.43,11.43,11.25,11.3,138312
2024-09-16,11.25,11.34,11.17,11.21,118413
2024-09-17,11.25,11.3,11.12,11.3,110341
2024-09-18,11.34,11.34,11.21,11.3,75068
2024-09-19,11.3,11.39,11.17,11.21,64679
2024-09-20,11.3,11.47,11.21,11.43,259193
2024-09-23,11.47,11.47,11.3,11.34,37998
2024-09-24,11.34,11.39,11.3,11.39,81707
2024-09-25,11.43,11.43,11.3,11.34,132097
2024-09-26,11.43,11.56,11.34,11.47,232018
2024-09-27,11.52,11.56,11.3,11.34,66994
2024-09-30,11.34,11.39,11.21,11.25,111702
2024-10-01,11.25,11.39,11.25,11.39,144923
2024-10-02,11.39,11.43,11.21,11.3,84185
2024-10-03,11.25,11.34,11.12,11.25,162612
2024-10-04,11.17,11.25,11.12,11.12,67906
2024-10-07,11.17,11.3,11.12,11.25,45313
2024-10-08,11.25,11.39,11.25,11.34,191432
2024-10-09,11.39,11.39,11.21,11.3,93852
2024-10-10,11.39,11.39,11.25,11.3,41050
2024-10-11,11.25,11.47,11.12,11.39,179557
2024-10-14,11.39,11.39,11.3,11.34,155588
2024-10-15,11.34,11.34,11.12,11.12,200023
2024-10-16,11.12,11.3,11.12,11.21,145274
2024-10-17,11.21,11.3,11.12,11.21,61092
2024-10-18,11.25,11.25,11.12,11.12,161845
2024-10-21,11.3,11.34,11.21,11.3,193700
2024-10-22,11.3,11.3,11.17,11.17,222379
2024-10-23,11.25,11.25,11.21,11.21,99769
2024-10-24,11.25,11.3,11.17,11.21,82162
2024-10-25,11.25,11.34,11.21,11.25,47330
2024-10-28,11.21,11.25,11.21,11.21,32425
2024-10-29,11.21,11.25,11.17,11.25,212354
2024-10-30,11.21,11.25,11.17,11.17,73291
2024-10-31,11.21,11.25,11.17,11.21,35308
2024-11-01,11.21,11.25,11.17,11.17,76900
2024-11-04,11.17,11.21,11.08,11.08,90130
2024-11-05,11.12,11.17,11.08,11.17,45496
2024-11-06,11.21,11.25,11.17,11.25,76670
2024-11-07,11.3,11.3,11.17,11.25,57147
2024-11-08,11.25,11.47,11.21,11.39,318913
2024-11-11,11.39,11.82,11.39,11.56,504455
2024-11-12,11.69,11.69,11.43,11.43,85460
2024-11-13,11.39,11.43,11.21,11.3,232809
2024-11-14,11.34,11.47,11.3,11.39,167024
2024-11-15,11.39,11.39,11.17,11.21,141228
2024-11-18,11.21,11.25,11.17,11.25,159741
2024-11-19,11.25,11.25,11.12,11.12,179200
2024-11-20,11.08,11.21,10.95,11.17,104590
2024-11-21,11.25,11.25,11.17,11.21,22370
2024-11-22,11.21,11.21,11.17,11.21,64139
2024-11-25,11.3,11.3,11.25,11.3,40600
2024-11-26,11.3,11.34,11.25,11.34,100812
2024-11-27,11.34,11.34,11.21,11.3,93654
2024-11-28,11.34,11.34,11.21,11.25,157374
2024-11-29,11.3,11.39,11.3,11.3,107570
2024-12-02,11.39,11.39,11.3,11.3,148374
2024-12-03,11.39,11.6,11.39,11.47,233992
2024-12-04,11.47,11.52,11.34,11.47,109701
2024-12-05,11.47,11.52,11.34,11.52,150469
2024-12-06,11.56,11.56,11.39,11.43,229328
2024-12-09,11.43,11.6,11.43,11.52,107158
2024-12-10,11.52,11.56,11.52,11.52,125281
2024-12-11,11.52,11.82,11.52,11.6,269631
2024-12-12,11.56,11.65,11.56,11.65,52900
2024-12-13,11.69,11.74,11.56,11.65,193016
2024-12-16,11.69,12.17,11.65,12.04,807125
2024-12-17,12.09,12.87,12.04,12.87,2290414
2024-12-18,13.01,13.05,12.61,12.83,521846
