date,open,high,low,close,volume
2024-01-30,21.98,22.76,21.73,22.42,3699669
2024-01-31,22.56,22.56,21.49,21.88,4075054
2024-02-01,21.93,23.4,21.93,23.4,5951322
2024-02-02,23.93,24.32,23.69,24.03,5670173
2024-02-05,24.23,24.76,23.74,24.47,5142493
2024-02-06,24.47,24.96,24.23,24.62,2649482
2024-02-07,24.62,24.81,24.37,24.76,2758053
2024-02-15,24.81,24.96,24.18,24.37,4640893
2024-02-16,24.32,26.03,24.27,26.03,7575594
2024-02-19,26.33,27.55,26.18,26.18,5354890
2024-02-20,26.28,27.55,25.74,27.55,5441175
2024-02-21,27.6,27.84,27.06,27.5,3978147
2024-02-22,27.45,27.64,27.11,27.3,2742218
2024-02-23,27.45,27.64,26.18,26.91,5828216
2024-02-26,26.86,28.43,26.67,28.13,7031061
2024-02-27,28.23,28.72,27.99,28.23,3319996
2024-02-28,28.23,29.21,27.79,28.23,5554165
2024-02-29,28.23,28.23,27.5,27.94,4999963
2024-03-01,27.94,28.57,27.35,28.47,4189691
2024-03-04,28.96,30.04,28.77,29.11,6029394
2024-03-05,28.82,29.26,28.67,29.01,2288960
2024-03-06,28.87,28.96,28.13,28.23,3516363
2024-03-07,28.18,28.52,27.99,28.43,3416035
2024-03-08,28.91,29.11,27.84,28.33,5531822
2024-03-11,28.33,29.65,28.33,28.87,5769843
2024-03-12,28.87,30.87,28.82,30.87,9494505
2024-03-13,31.45,32.24,31.06,31.55,3677330
2024-03-14,31.55,32.38,31.06,32.04,4829823
2024-03-15,32.04,33.8,31.65,33.8,5680581
2024-03-18,33.8,34.97,31.45,31.8,13921542
2024-03-19,31.99,33.11,31.16,31.8,5440927
2024-03-20,31.89,32.24,31.45,32.04,4026589
2024-03-21,32.53,32.63,31.84,32.48,4066537
2024-03-22,32.63,32.92,31.99,32.48,5649200
2024-03-25,32.04,32.43,30.87,31.16,6123029
2024-03-26,31.16,33.26,31.11,33.11,5041959
2024-03-27,33.11,33.11,32.24,32.63,2582849
2024-03-28,32.77,32.82,32.24,32.28,3196256
2024-03-29,32.24,32.92,32.14,32.38,3229674
2024-04-01,32.38,32.58,31.89,32.19,3764524
2024-04-02,32.04,34.43,31.99,34.43,10184749
2024-04-03,34.24,34.38,33.46,33.46,3902337
2024-04-04,33.36,33.6,32.33,32.33,5223942
2024-04-05,32.04,32.24,30.77,30.77,7356049
2024-04-08,30.87,31.65,30.57,30.97,3620190
2024-04-09,31.26,31.6,30.87,31.55,2031205
2024-04-10,31.7,31.75,30.87,30.92,2557102
2024-04-11,30.48,31.55,30.43,31.16,2723762
2024-04-12,31.21,31.5,30.92,31.26,2990242
2024-04-15,31.26,32.48,29.11,29.11,7401194
2024-04-16,29.3,29.65,28.62,29.65,5271483
2024-04-17,29.99,29.99,27.99,27.99,4712356
2024-04-19,26.86,28.72,26.86,27.45,5883275
2024-04-22,28.23,28.38,27.55,28.04,2523350
2024-04-23,27.99,28.23,26.42,26.96,4114748
2024-04-24,27.45,28.82,27.2,28.82,6237441
2024-04-25,29.01,29.3,28.47,28.72,3441565
2024-04-26,28.38,29.74,28.38,29.3,3971670
2024-05-02,29.3,29.65,28.57,29.3,3825407
2024-05-03,29.6,29.6,28.67,28.72,3959373
2024-05-06,29.16,30.53,28.82,30.48,6484421
2024-05-07,30.57,31.01,30.09,30.72,3852895
2024-05-08,30.28,31.41,29.79,30.97,5304778
2024-05-09,31.06,31.94,30.87,31.01,5782746
2024-05-10,31.06,31.16,30.48,30.92,3562584
2024-05-13,31.06,31.5,30.57,31.26,3375177
2024-05-14,31.45,32.09,31.36,31.75,4216822
2024-05-15,32.09,32.09,31.55,31.99,3873903
2024-05-16,32.24,32.63,31.75,31.8,4269646
2024-05-17,31.65,33.36,31.55,32.58,6325118
2024-05-20,32.87,33.7,32.72,32.82,5488563
2024-05-21,32.82,32.97,32.14,32.58,4042387
2024-05-22,33.02,33.16,31.84,32.04,5202951
2024-05-23,31.84,32.67,31.65,32.63,4459502
2024-05-24,32.24,34.19,32.04,33.46,12311917
2024-05-27,33.41,35.12,32.77,34.43,7434247
2024-05-28,34.68,34.78,34.14,34.78,4465496
2024-05-29,34.73,36.05,33.99,34.09,6871586
2024-05-30,33.51,35.41,33.26,35.17,8155218
2024-05-31,35.26,35.36,34.34,34.34,2635995
2024-06-03,34.87,34.87,34.19,34.19,4509000
2024-06-04,34.19,34.92,34.14,34.29,3284074
2024-06-05,34.68,35.46,34.29,34.34,4620183
2024-06-06,34.38,34.63,33.8,33.99,3063593
2024-06-07,34.09,34.38,33.99,34.19,2124683
2024-06-10,34.43,35.9,34.43,35.36,6189529
2024-06-11,35.46,35.61,34.43,34.78,4493203
2024-06-12,34.58,34.97,34.24,34.92,3276656
2024-06-13,35.12,35.12,34.48,34.53,3581691
2024-06-14,34.58,34.87,32.24,32.24,5511489
2024-06-17,32.63,33.11,32.24,32.58,5121554
2024-06-18,33.02,33.51,32.72,33.16,2556320
2024-06-19,33.16,33.21,32.63,32.82,3075412
2024-06-20,32.72,33.21,32.63,33.21,2559527
2024-06-21,33.21,34.04,33.21,33.75,3666515
2024-06-24,33.26,33.6,32.24,32.24,4721207
2024-06-25,32.48,32.92,32.24,32.82,2337372
2024-06-26,33.16,35.12,32.82,35.12,10262696
2024-06-27,35.12,35.95,34.48,35.17,6494668
2024-06-28,35.17,35.21,32.72,33.41,7379059
2024-07-01,33.41,33.65,32.82,33.51,3248985
2024-07-02,33.65,33.99,33.36,33.8,2053189
2024-07-03,33.8,34.29,33.6,33.8,3128411
2024-07-04,33.7,34.73,33.36,34.19,5656673
2024-07-05,34.19,34.63,33.8,34.29,3119041
2024-07-08,34.53,35.65,34.29,35.65,6639629
2024-07-09,36.53,37.61,36.29,37.12,8139491
2024-07-10,37.27,37.41,36.14,36.14,5597548
2024-07-11,36.63,36.92,35.8,36.09,3803036
2024-07-12,36.09,37.31,35.85,37.02,5395224
2024-07-15,37.02,38.1,36.73,37.61,4634143
2024-07-16,37.61,37.85,36.92,37.31,3258070
2024-07-17,37.31,37.31,34.73,34.73,10721086
2024-07-18,34.73,35.61,33.99,35.21,3849734
2024-07-19,35.21,35.21,33.65,33.7,5134806
2024-07-22,33.21,33.31,31.84,31.99,6235952
2024-07-23,32.24,32.67,29.89,29.89,3979857
2024-07-24,29.89,31.94,29.4,31.94,5007335
2024-07-25,31.94,32.28,31.31,32.24,1940394
2024-07-26,32.28,33.07,32.14,32.33,2931835
2024-07-29,32.72,32.72,32.33,32.72,2070999
2024-07-30,32.82,33.02,31.75,32.48,2019908
2024-07-31,32.48,32.97,32.09,32.24,2860313
2024-08-01,32.43,32.48,30.23,30.67,3736390
2024-08-02,29.99,31.65,29.99,31.6,2310026
2024-08-05,30.97,31.55,29.4,29.4,4196393
2024-08-06,30.57,31.01,29.7,30.62,3086232
2024-08-07,30.77,31.89,30.57,31.8,4144043
2024-08-08,31.36,32.04,30.92,31.16,3008195
2024-08-09,31.84,32.04,31.5,31.75,2929062
2024-08-12,31.8,32.67,31.65,32.43,2728947
2024-08-13,32.43,32.48,31.99,32.33,1987568
2024-08-14,32.43,33.02,32.14,32.63,2925460
2024-08-15,32.53,32.53,31.84,31.89,1955480
2024-08-16,32.24,34.04,32.19,33.75,4687238
2024-08-19,33.8,34.14,33.7,33.94,2027146
2024-08-20,33.85,34.78,33.65,34.29,3132047
2024-08-21,34.29,34.48,33.8,34.43,2077802
2024-08-22,34.78,34.78,33.9,33.99,2105135
2024-08-23,33.99,34.63,33.8,34.63,2070340
2024-08-26,35.26,35.36,34.24,34.24,1971335
2024-08-27,34.19,34.29,33.9,34.14,1420570
2024-08-28,34.38,35.26,34.24,34.82,4324289
2024-08-29,34.92,35.07,34.48,34.48,874865
2024-08-30,34.53,34.97,34.43,34.53,1249929
2024-09-04,33.99,34.14,32.63,33.9,3843698
2024-09-05,34.04,34.09,33.07,33.11,2269872
2024-09-06,32.92,33.8,32.87,33.7,1688659
2024-09-09,33.65,33.9,33.21,33.7,1066788
2024-09-10,33.8,34.04,33.11,33.31,1779291
2024-09-11,33.31,33.75,32.82,33.31,1828062
2024-09-12,33.6,34.34,33.51,33.75,2147812
2024-09-13,33.99,33.99,33.6,33.8,845105
2024-09-16,33.9,34.38,33.8,34.09,3307682
2024-09-17,34.09,34.78,33.94,34.78,2886416
2024-09-18,35.02,35.51,34.73,34.73,3877871
2024-09-19,34.87,34.97,34.38,34.87,2641242
2024-09-20,35.46,35.46,34.68,34.78,2375948
2024-09-23,34.78,34.87,34.48,34.73,1808882
2024-09-24,34.58,35.46,34.58,35.31,3635208
2024-09-25,35.51,35.61,35.12,35.17,3795161
2024-09-26,35.65,36.05,35.26,35.56,3547965
2024-09-27,35.8,35.8,35.07,35.17,2616113
2024-09-30,35.26,35.26,34.78,34.92,1845888
2024-10-01,35.26,35.8,35.07,35.17,4112192
2024-10-02,35.07,35.75,35.07,35.31,2573427
2024-10-03,35.36,35.61,34.34,34.73,3457186
2024-10-04,34.92,34.92,34.09,34.09,2302334
2024-10-07,34.19,34.38,33.75,33.99,1553834
2024-10-08,33.99,34.53,33.99,34.24,1379523
2024-10-09,34.43,34.82,34.43,34.82,1841384
2024-10-10,34.97,35.31,34.82,34.82,2463508
2024-10-11,34.87,35.07,34.43,34.68,2129099
2024-10-14,35.07,35.61,34.78,35.46,4003825
2024-10-15,35.46,35.61,34.78,34.92,2211292
2024-10-16,34.87,35.26,34.78,35.26,2254099
2024-10-17,35.26,35.26,34.53,35.17,2684205
2024-10-18,35.17,35.9,34.97,35.02,4560006
2024-10-21,35.02,35.17,34.38,34.38,1962798
2024-10-22,34.48,34.53,31.99,32.97,8189810
2024-10-23,33.07,33.07,32.28,32.72,2836347
2024-10-24,32.82,33.02,31.94,32.14,3869841
2024-10-25,32.33,32.33,31.45,31.5,2906223
2024-10-28,31.55,31.94,31.36,31.75,2185363
2024-10-29,32.04,32.28,31.89,32.19,1809430
2024-10-30,32.19,32.43,31.84,31.94,1422017
2024-10-31,32.04,32.24,31.89,32.14,1348438
2024-11-01,31.94,31.94,31.31,31.55,2877084
