date,open,high,low,close,volume
2023-10-11,15.3,15.3,15.3,15.3,0
2023-10-12,15.3,15.3,15.3,15.3,1000
2023-10-13,15.3,15.3,15.3,15.3,0
2023-10-16,15.3,15.3,15.3,15.3,600
2023-10-17,15.3,15.3,15.3,15.3,0
2023-10-18,15.3,15.3,15.3,15.3,1100
2023-10-19,15.3,15.3,15.3,15.3,800
2023-10-20,15.3,15.3,15.3,15.3,1500
2023-10-23,15.3,15.3,15.3,15.3,0
2023-10-24,15.3,15.3,15.3,15.3,1
2023-10-25,15.3,15.3,15.3,15.3,0
2023-10-26,15.3,15.3,15.05,15.05,16200
2023-10-27,15.05,15.05,15.05,15.05,0
2023-10-30,15.05,15.05,15.05,15.05,0
2023-10-31,15.05,15.05,15.05,15.05,0
2023-11-01,15.05,15.05,15.05,15.05,0
2023-11-02,15.05,15.05,15.05,15.05,0
2023-11-03,14.62,14.62,14.53,14.53,500
2023-11-06,14.62,15.91,14.62,15.91,1500
2023-11-07,14.62,14.62,14.53,14.53,800
2023-11-08,14.53,14.53,14.53,14.53,0
2023-11-09,14.53,14.53,14.53,14.53,0
2023-11-10,14.53,14.53,14.53,14.53,0
2023-11-13,14.53,14.53,14.53,14.53,0
2023-11-14,14.53,14.53,14.53,14.53,0
2023-11-15,14.53,15.48,14.44,15.48,300
2023-11-16,15.48,15.48,15.48,15.48,0
2023-11-17,15.48,15.48,15.48,15.48,0
2023-11-20,15.48,15.48,15.48,15.48,0
2023-11-21,14.53,14.53,14.53,14.53,100
2023-11-22,14.53,14.53,14.53,14.53,0
2023-11-23,14.53,14.53,14.53,14.53,0
2023-11-24,14.53,14.53,14.53,14.53,100
2023-11-27,14.53,14.53,14.53,14.53,0
2023-11-28,14.53,14.53,14.53,14.53,0
2023-11-29,15.39,15.39,15.39,15.39,100
2023-11-30,15.39,15.39,15.39,15.39,2
2023-12-01,15.39,15.39,15.39,15.39,0
2023-12-04,15.39,15.39,15.39,15.39,0
2023-12-05,15.39,15.39,15.39,15.39,0
2023-12-06,15.39,15.39,15.39,15.39,0
2023-12-07,15.39,15.39,15.39,15.39,0
2023-12-08,15.39,15.39,15.39,15.39,0
2023-12-11,15.39,15.39,15.39,15.39,0
2023-12-12,15.39,15.39,15.39,15.39,0
2023-12-13,15.39,15.39,15.39,15.39,0
2023-12-14,15.39,15.39,15.39,15.39,0
2023-12-15,15.39,15.39,15.39,15.39,0
2023-12-18,15.39,15.39,15.39,15.39,0
2023-12-19,15.48,15.48,15.48,15.48,300
2023-12-20,15.48,15.48,15.48,15.48,0
2023-12-21,15.48,15.48,15.48,15.48,0
2023-12-22,15.48,15.48,15.48,15.48,0
2023-12-25,15.48,15.48,15.48,15.48,0
2023-12-26,15.48,15.48,15.48,15.48,0
