date,open,high,low,close,volume
2024-01-30,4.66,4.7,4.65,4.69,88069
2024-01-31,4.7,4.7,4.64,4.66,77227
2024-02-01,4.68,4.68,4.66,4.67,39459
2024-02-02,4.68,4.68,4.62,4.64,73578
2024-02-05,4.64,4.8,4.62,4.69,103322
2024-02-06,4.69,4.7,4.64,4.68,50951
2024-02-07,4.66,4.69,4.64,4.69,154518
2024-02-15,4.7,4.77,4.67,4.71,101194
2024-02-16,4.75,4.75,4.66,4.7,154577
2024-02-19,4.7,4.72,4.69,4.72,83977
2024-02-20,4.72,4.87,4.72,4.83,644791
2024-02-21,4.83,4.89,4.79,4.88,341670
2024-02-22,4.88,4.94,4.83,4.88,374996
2024-02-23,4.92,4.95,4.78,4.8,382150
2024-02-26,4.75,4.88,4.74,4.87,81682
2024-02-27,4.87,4.9,4.79,4.9,119194
2024-02-28,4.91,4.91,4.8,4.84,60005
2024-02-29,4.88,4.88,4.83,4.88,148147
2024-03-01,4.87,4.88,4.84,4.87,100412
2024-03-04,4.87,4.9,4.85,4.88,211345
2024-03-05,4.88,4.94,4.85,4.92,151008
2024-03-06,4.92,4.99,4.9,4.9,126783
2024-03-07,4.9,4.97,4.88,4.94,97400
2024-03-08,4.93,4.96,4.88,4.88,129379
2024-03-11,4.89,4.89,4.8,4.8,79424
2024-03-12,4.81,4.86,4.75,4.83,98401
2024-03-13,4.81,4.89,4.77,4.89,187616
2024-03-14,4.89,4.89,4.8,4.83,72351
2024-03-15,4.83,4.95,4.81,4.85,292951
2024-03-18,4.81,4.86,4.75,4.79,155054
2024-03-19,4.79,4.82,4.73,4.8,160043
2024-03-20,4.79,4.81,4.74,4.8,111603
2024-03-21,4.8,4.83,4.77,4.8,131349
2024-03-22,4.83,4.83,4.77,4.81,460190
2024-03-25,4.85,4.85,4.75,4.81,53844
2024-03-26,4.81,4.82,4.8,4.81,131712
2024-03-27,4.86,4.95,4.85,4.9,289534
2024-03-28,4.9,4.93,4.87,4.91,170726
2024-03-29,4.95,4.96,4.87,4.89,131515
2024-04-01,4.89,4.89,4.84,4.85,116948
2024-04-02,4.85,4.85,4.8,4.83,160983
2024-04-03,4.83,4.85,4.8,4.83,164924
2024-04-04,4.84,4.84,4.78,4.83,124382
2024-04-05,4.85,4.85,4.75,4.79,187300
2024-04-08,4.78,4.8,4.75,4.75,65537
2024-04-09,4.77,4.8,4.74,4.8,66804
2024-04-10,4.79,4.8,4.76,4.8,92376
2024-04-11,4.8,4.85,4.73,4.85,147545
2024-04-12,4.85,4.86,4.78,4.82,42069
