date,open,high,low,close,volume
2023-03-09,7.48,7.48,7.47,7.47,200
2023-03-10,7.47,7.47,7.47,7.47,0
2023-03-13,6.95,6.95,6.95,6.95,100
2023-03-14,6.95,6.95,6.95,6.95,0
2023-03-15,6.95,6.95,6.95,6.95,0
2023-03-16,6.95,6.95,6.95,6.95,0
2023-03-17,6.95,6.95,6.95,6.95,0
2023-03-20,7.43,7.43,7.43,7.43,119
2023-03-21,7.93,7.93,7.93,7.93,102
2023-03-22,7.88,7.88,7.88,7.88,100
2023-03-23,7.34,7.34,7.34,7.34,100
2023-03-24,7.3,7.3,7.3,7.3,2600
2023-03-27,7.3,7.3,7.3,7.3,0
2023-03-28,7.3,7.3,7.3,7.3,0
2023-03-29,7.3,7.3,7.3,7.3,0
2023-03-30,7.3,7.3,7.3,7.3,0
2023-03-31,7.55,7.8,7.55,7.8,300
2023-04-03,7.8,7.8,7.8,7.8,0
2023-04-04,7.8,7.8,7.8,7.8,0
2023-04-05,7.79,7.79,7.79,7.79,107
2023-04-06,7.55,8.24,7.55,8.24,207
2023-04-07,8.24,8.24,8.24,8.24,0
2023-04-10,8.24,8.24,8.24,8.24,300
2023-04-11,8.24,8.24,8.24,8.24,1
2023-04-12,8.24,8.74,8.24,8.74,405
2023-04-13,8.14,8.24,8.14,8.14,2601
2023-04-14,8.14,8.14,8.14,8.14,5100
2023-04-17,8.14,8.14,8.14,8.14,2
2023-04-18,8.14,8.14,8.14,8.14,0
2023-04-19,8.09,8.09,8.09,8.09,100
2023-04-20,8.04,8.04,8.04,8.04,200
2023-04-21,8.04,8.04,8.04,8.04,0
2023-04-24,8.04,8.04,8.04,8.04,0
2023-04-25,8.04,8.04,8.04,8.04,115
2023-04-26,8.04,8.04,8.04,8.04,0
2023-04-27,8.6,8.6,7.95,7.95,270
2023-04-28,8.5,8.5,8.5,8.5,100
2023-05-04,8.5,8.5,8.5,8.5,0
2023-05-05,7.95,7.95,7.95,7.95,105
2023-05-08,7.95,7.95,7.95,7.95,5
2023-05-09,8.5,8.5,8.5,8.5,108
2023-05-10,8.5,8.5,8.5,8.5,0
2023-05-11,8.54,8.54,8.54,8.54,500
2023-05-12,8.54,8.54,8.54,8.54,8
2023-05-15,8.93,8.93,8.93,8.93,200
2023-05-16,9.44,9.44,8.31,8.94,12500
2023-05-17,9.44,9.44,8.31,9.34,2100
2023-05-18,9.34,9.34,9.34,9.34,1200
2023-05-19,8.74,9.24,8.69,9.19,1400
2023-05-22,9.19,9.19,9.19,9.19,0
2023-05-23,9.04,9.04,8.55,8.93,1400
2023-05-24,8.62,9.09,8.62,9.09,500
2023-05-25,8.45,9.34,8.45,9.34,6400
2023-05-26,9.73,9.73,8.69,9.33,2112
2023-05-29,9.33,9.33,9.33,9.33,0
2023-05-30,9.32,9.32,9.32,9.32,101
2023-05-31,9.27,9.27,9.24,9.24,201
2023-06-01,8.93,9.39,8.93,9.39,4100
2023-06-02,9.39,9.39,9.39,9.39,0
2023-06-05,8.73,9.39,8.73,9.14,1912
2023-06-06,8.5,9.23,8.5,9.23,1105
2023-06-07,8.6,9.23,8.6,9.23,5700
2023-06-08,9.23,9.23,9.23,9.23,161
2023-06-09,8.65,8.65,8.65,8.65,1904
2023-06-12,9.14,9.14,8.34,8.93,1180
2023-06-13,9.18,9.18,9.14,9.14,400
2023-06-14,9.23,9.23,8.74,8.74,6150
2023-06-15,9.14,9.14,8.35,8.35,405
2023-06-16,8.92,8.92,8.83,8.83,401
2023-06-19,8.83,8.83,8.82,8.83,900
2023-06-20,8.24,8.24,8.23,8.23,2000
2023-06-21,8.15,8.81,8.14,8.81,701
2023-06-22,8.94,8.94,8.39,8.39,6978
2023-06-23,8.34,8.92,8.3,8.83,6205
2023-06-26,8.82,8.82,8.39,8.39,204
2023-06-27,8.44,8.44,8.44,8.44,220
2023-06-28,8.44,8.44,8.44,8.44,16
2023-06-29,8.43,8.43,8.43,8.43,100
2023-06-30,8.06,8.06,8.06,8.06,100
2023-07-03,8.04,8.56,8.04,8.56,715
2023-07-04,8.04,8.51,8.04,8.51,6100
2023-07-05,8.34,8.34,8.34,8.34,200
2023-07-06,8.14,8.34,8.14,8.34,1207
2023-07-07,8.24,8.24,8.24,8.24,100
2023-07-10,8.34,8.44,8.34,8.44,472
2023-07-11,7.95,8.43,7.95,8.43,1601
2023-07-12,8.33,8.33,8.33,8.33,250
2023-07-13,8.24,8.24,8.23,8.23,802
2023-07-14,8.23,8.23,8.23,8.23,100
2023-07-17,8.24,8.24,8.24,8.24,2546
2023-07-18,8.24,8.24,8.24,8.24,100
2023-07-19,8.24,8.24,8.15,8.15,2200
2023-07-20,8.43,8.43,8.33,8.33,200
2023-07-21,8.43,8.43,8.39,8.42,704
2023-07-24,8.43,8.43,8.06,8.43,850
2023-07-25,8.34,8.34,8.34,8.34,107
2023-07-26,8.24,8.24,8.04,8.24,1100
2023-07-27,8.44,8.44,8.44,8.44,100
2023-07-28,8.44,8.44,8.43,8.43,602
2023-07-31,8.43,8.44,8.34,8.44,1611
2023-08-01,8.43,8.43,8.43,8.43,102
2023-08-02,8.43,8.43,8.43,8.43,0
2023-08-03,8.43,8.43,8.43,8.43,141
2023-08-04,8.44,8.44,8.44,8.44,11023
2023-08-07,8.84,8.84,8.84,8.84,100
2023-08-08,8.84,8.84,8.74,8.84,1100
2023-08-09,8.84,8.84,8.84,8.84,100
2023-08-10,8.84,8.84,8.84,8.84,20
2023-08-11,8.84,8.84,8.84,8.84,1
2023-08-14,8.84,8.84,8.84,8.84,50
2023-08-15,8.34,8.83,8.34,8.83,1243
2023-08-16,8.79,8.79,8.79,8.79,100
2023-08-17,8.25,8.74,8.25,8.74,744
2023-08-18,8.74,8.74,8.13,8.13,9400
2023-08-21,8.68,8.7,8.68,8.7,29376
2023-08-22,8.94,9.31,8.94,9.18,9004
2023-08-23,9.67,9.67,8.69,8.71,12200
2023-08-24,9.24,9.24,8.33,8.79,4201
2023-08-25,8.32,8.79,8.24,8.79,8726
2023-08-28,8.32,8.79,8.32,8.79,6609
2023-08-29,8.32,8.75,8.29,8.75,5627
2023-08-30,8.73,8.75,8.73,8.75,800
2023-08-31,8.32,8.72,8.32,8.34,1001
2023-09-05,7.86,8.72,7.86,8.64,1600
2023-09-06,8.14,8.49,8.14,8.48,2010
2023-09-07,8.22,8.64,8.22,8.64,9645
2023-09-08,8.64,8.64,8.64,8.64,0
2023-09-11,8.14,8.63,8.14,8.62,801
2023-09-12,8.06,8.64,8.04,8.64,5500
2023-09-13,8.14,8.14,8.14,8.14,2000
2023-09-14,8.67,8.67,8.44,8.49,901
2023-09-15,8.49,8.49,8.49,8.49,0
2023-09-18,8.14,8.59,8.0,8.0,2500
2023-09-19,8.0,8.37,8.0,8.24,500
2023-09-20,8.24,8.24,7.95,7.95,8007
2023-09-21,7.95,7.95,7.95,7.95,110
2023-09-22,8.42,8.42,8.42,8.42,101
2023-09-25,8.42,8.42,8.42,8.42,0
2023-09-26,8.33,8.33,8.33,8.33,100
2023-09-27,7.8,8.31,7.8,8.21,701
2023-09-28,8.15,8.15,7.75,8.12,604
2023-09-29,7.95,8.09,7.7,8.09,900
2023-10-02,8.09,8.09,8.09,8.09,110
2023-10-03,7.95,7.95,7.95,7.95,702
2023-10-04,7.95,7.95,7.95,7.95,100
2023-10-05,7.84,7.84,7.84,7.84,300
2023-10-06,7.84,7.84,7.84,7.84,603
2023-10-09,7.29,7.29,7.29,7.29,107
2023-10-10,7.77,7.77,7.77,7.77,200
2023-10-11,7.77,7.77,7.77,7.77,2
2023-10-12,7.77,7.77,7.77,7.77,100
2023-10-13,8.04,8.23,8.04,8.04,1200
2023-10-16,8.04,8.04,8.04,8.04,2
2023-10-17,8.04,8.04,7.75,7.75,700
2023-10-18,7.75,7.75,7.23,7.23,8700
2023-10-19,7.23,7.23,7.23,7.23,600
2023-10-20,7.23,7.23,7.23,7.23,3000
2023-10-23,7.23,7.23,7.23,7.23,200
2023-10-24,7.23,7.23,6.95,6.95,12500
2023-10-25,7.42,7.42,7.42,7.42,100
2023-10-26,7.45,7.45,7.45,7.45,102
2023-10-27,6.95,6.95,6.95,6.95,1101
2023-10-30,6.95,6.95,6.95,6.95,2
2023-10-31,6.95,6.95,6.95,6.95,0
2023-11-01,6.95,6.95,6.47,6.47,16200
2023-11-02,6.03,6.9,6.02,6.9,28780
2023-11-03,6.89,6.89,6.89,6.89,100
2023-11-06,6.46,6.69,6.46,6.47,3500
2023-11-07,6.48,6.48,6.47,6.47,1300
2023-11-08,6.47,6.47,6.47,6.47,0
2023-11-09,6.47,6.47,6.47,6.47,5
2023-11-10,6.31,6.31,6.31,6.31,1000
2023-11-13,6.31,6.31,6.31,6.31,202
2023-11-14,6.31,6.43,6.31,6.43,300
2023-11-15,6.46,6.46,6.46,6.46,1205
2023-11-16,6.07,6.26,6.07,6.26,505
2023-11-17,6.27,6.27,6.26,6.26,1500
2023-11-20,6.46,6.46,6.44,6.44,200
2023-11-21,6.45,6.45,6.36,6.36,200
2023-11-22,6.45,6.45,6.45,6.45,200
2023-11-23,6.45,6.45,6.45,6.45,100
2023-11-24,6.44,6.44,6.44,6.44,600
2023-11-27,6.44,6.44,6.44,6.44,100
2023-11-28,6.44,6.44,6.06,6.06,2400
2023-11-29,6.06,6.48,6.06,6.48,4700
2023-11-30,6.48,6.83,6.48,6.74,5500
2023-12-01,6.74,6.74,6.36,6.36,500
2023-12-04,6.36,6.36,6.06,6.36,16600
2023-12-05,6.36,6.79,6.36,6.79,800
2023-12-06,6.79,6.79,6.79,6.79,0
2023-12-07,6.33,7.15,6.33,7.15,405
