date,open,high,low,close,volume
2023-10-30,32.46,32.46,31.5,31.59,5700
2023-10-31,29.75,29.84,29.57,29.75,5300
2023-11-01,32.55,32.55,32.55,32.55,600
2023-11-02,31.94,32.29,29.4,29.84,5800
2023-11-03,31.06,31.06,29.92,30.01,600
2023-11-06,30.01,30.01,30.01,30.01,0
2023-11-07,29.75,29.75,29.75,29.75,800
2023-11-08,27.39,29.66,27.12,29.49,3700
2023-11-09,29.49,30.97,29.49,29.75,2600
2023-11-10,31.5,31.5,29.75,29.75,1800
2023-11-13,29.66,29.84,29.66,29.84,702
2023-11-14,30.62,30.62,30.62,30.62,100
2023-11-15,30.62,30.62,30.62,30.62,0
2023-11-16,30.62,30.62,30.62,30.62,801
2023-11-17,30.62,30.62,30.62,30.62,0
2023-11-20,29.31,30.45,29.31,30.45,500
2023-11-21,30.45,30.45,30.45,30.45,100
2023-11-22,32.29,32.29,32.29,32.29,100
2023-11-23,32.29,32.29,32.29,32.29,1001
2023-11-24,29.84,32.37,29.75,32.37,800
2023-11-27,29.75,29.75,29.75,29.75,500
2023-11-28,32.64,32.72,32.64,32.72,6900
2023-11-29,35.0,35.0,31.5,35.0,30000
2023-11-30,35.0,35.0,35.0,35.0,0
2023-12-01,31.76,35.35,31.76,35.35,700
2023-12-04,35.35,35.35,35.35,35.35,0
2023-12-05,35.35,35.35,35.35,35.35,100
2023-12-06,35.35,35.35,35.35,35.35,0
2023-12-07,34.56,34.56,34.56,34.56,100
2023-12-08,34.3,34.56,34.3,34.56,1400
2023-12-11,34.56,35.79,34.56,34.56,2000
2023-12-12,34.56,34.56,34.56,34.56,100
2023-12-13,34.56,34.56,34.56,34.56,200
2023-12-14,34.56,34.56,34.56,34.56,200
2023-12-15,34.56,34.56,34.56,34.56,400
2023-12-18,33.95,33.95,33.95,33.95,300
2023-12-19,34.56,37.27,34.56,37.27,15900
2023-12-20,37.27,37.27,37.27,37.27,0
2023-12-21,34.21,34.21,34.21,34.21,200
2023-12-22,37.62,37.62,37.62,37.62,100
2023-12-25,37.19,37.62,37.19,37.62,5257
2023-12-26,34.65,39.29,34.65,39.29,400
2023-12-27,39.29,39.29,37.62,37.62,7700
2023-12-28,37.62,37.62,35.0,37.62,6400
2023-12-29,37.62,37.62,37.62,37.62,0
2024-01-02,37.62,37.71,37.62,37.62,3100
2024-01-03,37.62,37.71,37.62,37.71,16500
2024-01-04,37.62,37.62,37.62,37.62,9900
2024-01-05,37.62,37.62,37.62,37.62,18600
2024-01-08,37.62,37.71,37.62,37.71,13600
2024-01-09,37.71,37.71,37.71,37.71,1000
2024-01-10,37.62,37.62,37.62,37.62,11402
2024-01-11,37.62,37.62,37.62,37.62,0
2024-01-12,37.62,37.62,37.62,37.62,0
2024-01-15,33.86,33.86,33.86,33.86,300
2024-01-16,33.86,33.86,33.86,33.86,2
2024-01-17,33.86,33.86,33.86,33.86,0
2024-01-18,33.86,33.86,33.86,33.86,0
2024-01-19,35.0,37.19,35.0,37.19,10400
2024-01-22,37.27,37.27,37.27,37.27,300
2024-01-23,37.27,37.27,37.27,37.27,0
2024-01-24,37.27,37.27,37.27,37.27,0
2024-01-25,37.27,37.27,37.27,37.27,0
2024-01-26,37.62,39.37,37.62,39.37,4000
2024-01-29,39.37,39.46,39.37,39.37,8300
2024-01-30,39.37,39.37,39.37,39.37,500
2024-01-31,39.37,39.37,39.37,39.37,0
2024-02-01,39.37,39.37,39.37,39.37,1400
