date,open,high,low,close,volume
2024-01-25,24.06,24.06,23.7,23.97,9320
2024-01-26,24.06,24.23,23.97,23.97,3200
2024-01-29,23.88,24.32,23.88,24.14,9621
2024-01-30,24.14,24.23,24.14,24.14,12200
2024-01-31,23.97,24.41,23.97,24.14,7743
2024-02-01,24.32,24.32,24.06,24.32,7240
2024-02-02,24.23,24.23,24.06,24.06,7006
2024-02-05,24.14,24.14,24.06,24.06,3906
2024-02-06,24.06,24.23,23.97,24.06,7917
2024-02-07,24.23,24.23,23.97,24.14,15100
2024-02-15,24.14,24.23,23.97,24.23,4114
2024-02-16,24.23,24.23,24.06,24.06,10800
2024-02-19,24.06,24.23,24.06,24.06,11446
2024-02-20,24.23,24.23,24.06,24.14,4164
2024-02-21,24.14,24.14,24.06,24.06,13045
2024-02-22,24.14,24.23,24.14,24.23,6730
2024-02-23,24.23,24.32,24.14,24.14,13000
2024-02-26,24.06,24.23,24.06,24.23,4001
2024-02-27,24.14,24.58,24.14,24.58,31700
2024-02-28,24.58,25.02,24.58,24.93,27303
2024-02-29,24.93,25.99,24.93,25.46,35808
2024-03-01,25.46,26.6,25.37,25.55,13808
2024-03-04,25.64,25.64,25.2,25.28,7013
2024-03-05,25.46,25.64,25.28,25.64,11518
2024-03-06,25.9,25.9,25.28,25.46,13676
2024-03-07,25.46,25.81,25.46,25.81,9163
2024-03-08,25.64,25.9,25.55,25.9,16306
2024-03-11,25.9,25.99,25.81,25.81,11206
2024-03-12,25.81,25.99,25.64,25.72,41555
2024-03-13,25.9,26.43,25.9,26.43,23320
2024-03-14,25.99,26.87,25.99,26.87,34314
2024-03-15,26.69,26.78,26.08,26.16,25835
2024-03-18,26.51,26.51,25.46,26.16,15205
2024-03-19,25.99,26.16,25.99,26.16,1620
2024-03-20,26.16,26.34,25.99,26.34,7350
2024-03-21,26.34,26.6,26.34,26.51,3443
2024-03-22,26.51,26.69,26.34,26.51,5420
2024-03-25,26.51,26.51,26.25,26.34,5850
2024-03-26,26.34,26.43,26.16,26.43,5841
2024-03-27,26.25,26.34,26.16,26.25,5720
2024-03-28,26.25,26.25,26.16,26.16,3423
2024-03-29,26.16,26.16,26.08,26.16,1544
2024-04-01,26.25,26.34,26.25,26.34,16649
2024-04-02,26.34,26.51,26.34,26.51,16200
2024-04-03,27.22,27.22,26.43,26.43,2305
2024-04-04,26.43,26.43,26.16,26.16,7219
2024-04-05,26.25,26.25,26.16,26.25,10700
2024-04-08,26.34,26.6,26.34,26.6,2700
2024-04-09,26.34,26.51,26.34,26.51,3440
2024-04-10,26.43,26.43,26.08,26.08,4060
2024-04-11,26.25,26.34,26.25,26.34,1517
2024-04-12,26.16,26.43,26.16,26.34,4124
2024-04-15,26.34,26.34,26.16,26.16,6610
2024-04-16,26.34,26.34,25.9,25.9,3800
2024-04-17,25.9,26.16,25.81,26.16,4088
2024-04-19,25.9,25.9,25.81,25.9,2400
2024-04-22,25.9,25.9,25.81,25.81,20600
2024-04-23,25.81,25.81,25.72,25.81,14202
2024-04-24,25.72,25.72,25.46,25.72,5900
2024-04-25,25.64,25.64,25.64,25.64,13
2024-04-26,25.64,26.16,25.55,25.55,1932
2024-05-02,26.16,26.16,25.46,25.64,11907
2024-05-03,25.55,25.55,25.55,25.55,0
2024-05-06,25.9,25.9,25.64,25.81,3559
2024-05-07,25.72,25.81,25.72,25.81,1965
2024-05-08,25.72,25.9,25.55,25.55,30502
2024-05-09,25.64,25.9,25.64,25.9,13100
2024-05-10,25.99,26.34,25.81,25.81,1600
2024-05-13,25.9,25.9,25.81,25.9,3500
2024-05-14,25.72,25.81,25.72,25.81,8700
2024-05-15,25.9,26.08,25.81,25.9,36619
2024-05-16,26.08,26.08,25.72,26.08,21056
2024-05-17,25.81,25.9,25.72,25.72,4404
2024-05-20,25.72,25.81,25.72,25.81,6500
2024-05-21,25.9,25.99,25.81,25.99,4434
2024-05-22,25.99,26.08,25.99,25.99,17100
2024-05-23,26.25,26.25,26.08,26.08,1600
2024-05-24,25.9,26.08,25.9,25.9,2564
2024-05-27,25.99,26.08,25.99,26.08,4205
2024-05-28,25.9,26.34,25.9,26.25,1227
2024-05-29,26.16,26.25,26.08,26.25,35416
2024-05-30,26.34,26.51,26.34,26.51,5025
2024-05-31,26.43,26.51,25.9,26.51,4600
2024-06-03,26.34,26.69,26.34,26.69,1883
2024-06-04,26.6,26.78,26.6,26.78,7980
2024-06-05,26.69,27.22,26.69,26.95,2712
2024-06-06,27.13,27.13,26.78,26.87,2203
2024-06-07,26.69,27.04,26.69,26.78,1308
2024-06-10,27.04,27.13,26.69,26.87,4400
2024-06-11,27.13,27.57,27.04,27.13,25512
2024-06-12,27.13,28.09,25.72,28.09,72103
2024-06-13,27.39,28.01,27.22,28.01,13824
2024-06-14,28.09,28.09,27.83,27.92,17536
2024-06-17,27.83,27.83,27.57,27.57,6105
2024-06-18,27.83,28.01,27.74,27.92,11246
2024-06-19,28.01,28.09,27.83,27.92,2205
2024-06-20,28.01,28.36,28.01,28.27,4800
2024-06-21,28.27,28.36,28.27,28.36,3724
2024-06-24,28.36,28.53,28.18,28.45,30400
2024-06-25,28.62,28.62,28.45,28.45,5710
2024-06-26,28.09,28.45,28.09,28.09,19338
2024-06-27,28.72,28.72,28.18,28.72,6000
2024-06-28,28.09,28.18,27.91,27.91,12112
2024-07-01,28.0,28.0,27.91,28.0,700
2024-07-02,28.0,28.09,28.0,28.09,4510
2024-07-03,31.71,31.71,29.36,29.36,416
2024-07-04,30.17,30.17,30.17,30.17,7
2024-07-05,29.0,29.0,28.0,28.54,3315
2024-07-08,29.0,29.0,28.81,28.81,2360
2024-07-09,28.72,29.0,28.72,29.0,2407
2024-07-10,29.0,29.0,29.0,29.0,9
2024-07-11,29.0,29.0,28.72,28.72,4800
2024-07-12,28.81,28.91,28.63,28.63,5005
2024-07-15,28.72,29.0,28.72,28.91,4100
2024-07-16,28.72,31.71,28.72,30.81,17832
2024-07-17,30.81,30.81,29.0,29.0,28003
2024-07-18,29.27,29.27,29.0,29.0,2900
2024-07-19,29.99,29.99,29.27,29.27,7262
2024-07-22,29.45,29.45,28.36,28.81,19166
2024-07-23,28.72,28.81,28.18,28.54,5700
2024-07-24,28.54,28.54,28.54,28.54,1100
2024-07-25,28.54,29.0,28.54,29.0,19300
2024-07-26,29.0,29.09,28.91,29.0,8000
2024-07-29,29.0,29.09,29.0,29.09,10500
2024-07-30,29.0,29.18,29.0,29.0,16800
2024-07-31,29.09,29.27,29.0,29.09,12039
2024-08-01,29.72,29.72,29.0,29.0,28101
2024-08-02,28.54,29.0,28.54,29.0,4428
2024-08-05,29.45,29.45,28.36,28.36,9810
2024-08-06,28.36,28.54,28.36,28.54,3807
2024-08-07,28.54,29.0,28.54,29.0,4279
2024-08-08,29.0,29.81,29.0,29.27,7079
2024-08-09,29.09,29.18,29.09,29.09,3217
2024-08-12,29.18,29.9,29.18,29.9,3810
2024-08-13,29.72,29.72,29.45,29.54,1110
2024-08-14,29.18,29.18,29.18,29.18,2011
2024-08-15,29.09,29.09,29.09,29.09,500
2024-08-16,29.09,29.27,29.09,29.27,1600
2024-08-19,29.18,29.36,29.18,29.36,561
2024-08-20,29.72,29.81,29.72,29.81,3860
2024-08-21,29.9,29.9,29.9,29.9,9700
2024-08-22,30.17,30.81,29.9,29.9,4650
2024-08-23,29.99,29.99,29.99,29.99,81
2024-08-26,30.81,30.81,29.9,29.9,2700
2024-08-27,29.99,29.99,29.99,29.99,702
2024-08-28,29.63,29.9,29.54,29.9,2110
2024-08-29,29.45,30.17,29.45,30.17,2860
