date,open,high,low,close,volume
2023-06-13,15.8,15.8,15.8,15.8,0
2023-06-14,15.0,15.0,15.0,15.0,800
2023-06-15,15.0,15.0,15.0,15.0,0
2023-06-16,15.7,15.7,15.0,15.0,300
2023-06-19,15.5,15.5,15.5,15.5,0
2023-06-20,15.5,15.5,15.5,15.5,100
2023-06-21,15.0,15.3,15.0,15.3,600
2023-06-22,13.6,15.1,13.5,15.0,1300
2023-06-23,15.4,15.4,14.2,14.2,10600
2023-06-26,14.6,14.6,13.5,13.5,3400
2023-06-27,13.5,13.5,13.2,13.5,24400
2023-06-28,14.0,14.0,14.0,14.0,200
2023-06-29,14.5,14.5,14.5,14.5,100
2023-06-30,13.5,13.8,13.5,13.8,6900
2023-07-03,13.5,13.7,13.5,13.7,1000
2023-07-04,13.8,13.9,13.8,13.8,5500
2023-07-05,13.5,13.5,13.5,13.5,3000
2023-07-06,13.8,13.8,13.8,13.8,100
2023-07-07,13.7,14.4,13.6,14.2,10300
2023-07-10,14.3,14.3,13.7,13.7,400
2023-07-11,14.0,14.1,14.0,14.1,200
2023-07-12,14.2,14.2,14.2,14.2,1401
2023-07-13,14.4,14.4,14.4,14.4,4900
2023-07-14,14.4,14.5,14.4,14.5,1000
2023-07-17,14.5,14.5,14.5,14.5,0
2023-07-18,13.8,14.4,13.8,14.3,1300
2023-07-19,13.9,13.9,13.9,13.9,0
2023-07-20,14.9,14.9,14.9,14.9,100
2023-07-21,14.7,14.7,14.2,14.2,11300
2023-07-24,14.5,14.5,14.0,14.3,3500
2023-07-25,14.0,14.0,12.2,12.3,7000
2023-07-26,13.5,14.3,13.5,14.3,300
2023-07-27,13.0,13.6,13.0,13.5,4500
2023-07-28,14.0,14.0,13.5,13.5,800
2023-07-31,13.5,13.9,13.5,13.9,10000
2023-08-01,13.9,13.9,13.6,13.6,2000
2023-08-02,13.8,13.8,13.8,13.8,0
2023-08-03,13.5,13.7,13.0,13.7,4100
2023-08-04,13.2,13.8,12.7,13.8,30600
2023-08-07,13.5,13.9,13.5,13.5,3500
2023-08-08,13.4,13.9,13.4,13.9,3200
2023-08-09,13.9,13.9,13.9,13.9,200
2023-08-10,13.9,13.9,13.9,13.9,2900
2023-08-11,13.9,13.9,13.5,13.5,500
2023-08-14,13.6,13.6,13.6,13.6,0
2023-08-15,14.1,14.1,14.1,14.1,400
2023-08-16,14.1,14.1,14.0,14.0,400
2023-08-17,13.7,13.9,13.6,13.6,4000
2023-08-18,13.7,13.7,13.7,13.7,0
2023-08-21,13.8,14.0,13.7,13.7,2000
2023-08-22,13.8,13.8,13.8,13.8,0
2023-08-23,13.8,13.8,13.8,13.8,0
2023-08-24,13.5,13.5,13.4,13.5,400
2023-08-25,13.7,13.7,13.5,13.5,5600
2023-08-28,13.6,13.6,13.6,13.6,0
2023-08-29,14.5,15.6,12.9,13.6,6800
2023-08-30,13.2,13.8,13.2,13.8,1000
2023-08-31,13.3,13.7,13.3,13.3,1300
2023-09-05,15.0,15.0,15.0,15.0,102
2023-09-06,13.2,13.8,13.0,13.8,6700
2023-09-07,13.4,13.8,13.1,13.8,1600
2023-09-08,14.0,14.0,14.0,14.0,500
2023-09-11,13.5,13.5,12.7,13.5,600
2023-09-12,13.2,13.2,13.2,13.2,0
2023-09-13,14.0,14.0,13.2,13.2,1600
2023-09-14,12.7,13.5,12.7,13.5,500
2023-09-15,14.8,14.8,12.1,12.5,7300
2023-09-18,13.0,13.0,12.2,12.2,1100
2023-09-19,13.0,13.3,13.0,13.3,500
2023-09-20,13.1,13.1,12.8,12.8,5300
2023-09-21,12.5,12.9,12.0,12.6,43100
2023-09-22,12.5,12.5,12.5,12.5,2700
2023-09-25,12.5,12.6,12.0,12.0,26000
2023-09-26,12.2,12.3,11.8,11.8,1300
2023-09-27,12.2,12.3,12.2,12.3,900
2023-09-28,12.2,12.2,12.2,12.2,0
2023-09-29,12.3,12.3,12.0,12.0,5900
2023-10-02,11.8,12.0,11.8,12.0,1800
2023-10-03,12.0,13.3,12.0,13.0,2600
2023-10-04,12.6,12.7,12.2,12.2,600
2023-10-05,12.4,12.4,12.4,12.4,100
2023-10-06,12.4,12.4,12.4,12.4,0
2023-10-09,12.1,13.8,11.1,11.1,700
2023-10-10,12.0,12.0,11.7,11.7,1700
2023-10-11,11.8,11.8,11.8,11.8,0
2023-10-12,13.0,13.0,12.2,12.2,200
2023-10-13,12.6,12.6,12.6,12.6,0
2023-10-16,12.2,12.2,12.2,12.2,400
2023-10-17,12.3,12.3,12.3,12.3,100
2023-10-18,12.2,12.2,11.6,12.0,2600
2023-10-19,11.7,11.7,11.7,11.7,200
2023-10-20,11.6,11.6,11.6,11.6,1800
2023-10-23,11.6,11.6,11.6,11.6,0
2023-10-24,12.2,12.2,12.2,12.2,200
2023-10-25,12.5,12.5,12.5,12.5,100
2023-10-26,11.6,12.3,11.5,12.3,3100
2023-10-27,12.4,12.4,12.4,12.4,100
2023-10-30,12.9,12.9,12.9,12.9,100
2023-10-31,12.9,12.9,12.9,12.9,0
2023-11-01,12.9,12.9,12.9,12.9,0
2023-11-02,11.6,11.6,11.6,11.6,1900
2023-11-03,11.6,11.6,11.6,11.6,0
2023-11-06,11.5,11.6,11.5,11.6,1700
2023-11-07,11.5,11.5,11.5,11.5,0
2023-11-08,11.5,11.5,11.5,11.5,0
2023-11-09,11.5,11.5,11.5,11.5,0
2023-11-10,11.2,11.2,11.0,11.0,4000
2023-11-13,11.3,11.3,11.3,11.3,500
2023-11-14,11.4,11.5,11.4,11.5,2600
2023-11-15,11.4,12.0,11.4,12.0,7600
2023-11-16,12.0,12.0,11.6,11.7,1200
2023-11-17,11.7,11.7,11.7,11.7,200
2023-11-20,11.7,11.7,11.7,11.7,0
2023-11-21,11.7,11.7,11.5,11.5,2200
2023-11-22,11.5,11.5,11.0,11.5,10300
2023-11-23,11.9,11.9,11.9,11.9,100
2023-11-24,11.3,11.7,11.3,11.7,1700
2023-11-27,11.3,11.3,11.3,11.3,2000
2023-11-28,11.3,11.3,11.3,11.3,0
2023-11-29,11.3,11.3,11.3,11.3,1000
2023-11-30,11.5,11.5,11.5,11.5,300
2023-12-01,11.5,11.5,11.5,11.5,0
2023-12-04,11.3,11.3,11.3,11.3,200
2023-12-05,11.3,11.3,11.3,11.3,300
2023-12-06,11.4,11.4,11.4,11.4,200
2023-12-07,11.4,11.4,11.4,11.4,100
2023-12-08,11.5,11.5,11.5,11.5,500
2023-12-11,11.3,11.3,11.3,11.3,100
2023-12-12,11.3,11.3,11.3,11.3,600
2023-12-13,12.3,12.3,11.3,11.3,1700
2023-12-14,11.4,11.4,11.4,11.4,0
2023-12-15,11.3,11.4,11.3,11.4,1400
2023-12-18,11.3,11.4,11.3,11.4,1700
2023-12-19,11.3,11.3,11.3,11.3,1200
2023-12-20,11.4,11.4,11.4,11.4,1800
2023-12-21,11.3,11.3,11.1,11.1,1600
2023-12-22,11.2,11.8,11.2,11.8,2200
2023-12-25,11.2,12.8,11.2,12.2,1200
2023-12-26,12.3,12.3,12.3,12.3,0
2023-12-27,12.3,12.3,12.3,12.3,0
2023-12-28,12.3,12.3,12.3,12.3,0
2023-12-29,12.3,12.3,12.3,12.3,0
2024-01-02,11.9,12.5,10.6,11.2,5800
2024-01-03,11.1,11.2,11.1,11.2,900
2024-01-04,11.1,11.2,11.1,11.2,1300
2024-01-05,11.0,11.2,10.9,11.0,10800
2024-01-08,11.0,11.0,11.0,11.0,800
2024-01-09,10.7,11.0,10.7,11.0,3900
2024-01-10,10.8,10.8,10.8,10.8,0
2024-01-11,11.3,11.3,11.3,11.3,200
2024-01-12,11.3,11.3,11.3,11.3,0
2024-01-15,11.3,11.3,11.3,11.3,0
2024-01-16,11.0,11.4,11.0,11.4,5100
2024-01-17,10.8,11.0,10.8,11.0,2400
2024-01-18,10.8,11.0,10.8,11.0,3000
2024-01-19,11.0,11.0,11.0,11.0,100
2024-01-22,11.3,11.4,11.3,11.4,2700
2024-01-23,11.4,11.4,11.4,11.4,0
2024-01-24,11.4,11.4,11.4,11.4,0
2024-01-25,11.4,11.4,11.4,11.4,0
2024-01-26,11.0,11.0,11.0,11.0,600
2024-01-29,11.0,11.0,11.0,11.0,0
2024-01-30,10.8,11.0,10.8,11.0,700
2024-01-31,10.9,10.9,10.8,10.8,600
2024-02-01,11.3,11.3,11.3,11.3,100
2024-02-02,11.3,11.5,11.3,11.5,300
2024-02-05,11.5,11.5,11.4,11.4,800
2024-02-06,11.5,11.5,11.5,11.5,100
2024-02-07,11.0,11.4,10.8,11.4,800
2024-02-15,11.0,11.0,11.0,11.0,1500
2024-02-16,11.0,11.0,10.7,10.7,5700
2024-02-19,10.8,10.8,10.8,10.8,0
2024-02-20,10.8,11.2,10.8,11.2,3900
2024-02-21,11.0,11.0,11.0,11.0,100
2024-02-22,11.3,11.3,10.8,10.8,400
2024-02-23,11.1,11.4,11.1,11.3,1100
2024-02-26,11.3,11.3,11.3,11.3,100
2024-02-27,11.5,11.5,11.5,11.5,100
2024-02-28,11.5,11.5,11.5,11.5,0
2024-02-29,11.5,11.5,11.5,11.5,0
2024-03-01,11.0,11.3,11.0,11.3,2200
2024-03-04,11.1,11.1,11.1,11.1,800
2024-03-05,11.4,11.4,11.4,11.4,100
2024-03-06,11.4,11.4,11.4,11.4,0
2024-03-07,11.0,11.4,11.0,11.0,800
2024-03-08,11.1,11.1,11.1,11.1,12
2024-03-11,11.4,11.4,11.1,11.1,400
2024-03-12,11.2,11.5,11.2,11.5,300
2024-03-13,11.3,11.4,11.2,11.3,2200
2024-03-14,11.3,11.3,11.3,11.3,500
2024-03-15,11.3,11.6,11.3,11.3,700
2024-03-18,11.3,11.3,11.2,11.3,6400
2024-03-19,11.2,11.6,11.2,11.2,1700
2024-03-20,11.2,11.5,11.2,11.5,400
2024-03-21,11.2,11.7,11.2,11.7,2200
2024-03-22,11.4,11.4,11.4,11.4,222
2024-03-25,11.2,11.2,11.0,11.0,1100
2024-03-26,11.6,11.6,11.6,11.6,100
2024-03-27,11.6,11.6,11.6,11.6,0
2024-03-28,11.6,11.6,11.6,11.6,0
2024-03-29,11.6,11.6,11.6,11.6,0
2024-04-01,11.0,11.0,11.0,11.0,4000
2024-04-02,11.3,11.3,11.3,11.3,100
2024-04-03,11.0,11.0,11.0,11.0,700
2024-04-04,11.0,11.0,11.0,11.0,500
2024-04-05,11.0,11.0,11.0,11.0,500
2024-04-08,11.0,11.0,11.0,11.0,500
2024-04-09,10.7,10.7,10.7,10.7,1000
2024-04-10,10.9,11.4,10.9,11.0,1100
2024-04-11,11.6,12.3,11.6,12.3,702
2024-04-12,11.0,11.0,11.0,11.0,1201
2024-04-15,11.0,11.0,11.0,11.0,200
2024-04-16,11.0,11.0,11.0,11.0,0
2024-04-17,11.4,11.4,10.9,10.9,1700
2024-04-19,11.0,11.0,11.0,11.0,0
2024-04-22,11.5,11.5,11.5,11.5,500
2024-04-23,10.2,11.4,10.2,11.4,200
2024-04-24,11.4,11.4,11.3,11.4,1000
2024-04-25,11.4,11.4,11.4,11.4,0
2024-04-26,11.2,11.2,11.2,11.2,1100
2024-05-02,11.2,11.2,11.2,11.2,0
2024-05-03,11.0,11.5,11.0,11.5,1300
2024-05-06,11.1,11.1,11.1,11.1,1
2024-05-07,11.1,11.1,11.1,11.1,0
2024-05-08,11.3,11.3,11.3,11.3,100
2024-05-09,11.3,11.3,11.3,11.3,0
2024-05-10,10.9,10.9,10.9,10.9,2000
2024-05-13,10.9,10.9,10.9,10.9,0
2024-05-14,10.9,10.9,10.9,10.9,0
2024-05-15,10.9,10.9,10.9,10.9,0
2024-05-16,11.2,11.2,11.0,11.0,1200
2024-05-17,11.0,11.0,11.0,11.0,0
2024-05-20,10.9,11.0,10.9,11.0,600
2024-05-21,11.4,11.4,11.4,11.4,100
2024-05-22,11.0,11.0,11.0,11.0,530
2024-05-23,11.0,11.0,11.0,11.0,2400
2024-05-24,11.2,11.2,10.0,11.2,11100
2024-05-27,10.2,11.5,10.2,11.5,3600
2024-05-28,11.3,12.5,11.3,12.5,19522
2024-05-29,12.6,13.0,12.0,12.0,11103
2024-05-30,12.5,12.9,12.2,12.2,6600
2024-05-31,12.9,12.9,12.5,12.5,2100
2024-06-03,12.6,12.6,12.1,12.4,3000
2024-06-04,12.3,12.3,12.0,12.0,3900
2024-06-05,11.8,12.4,11.7,11.7,800
2024-06-06,11.8,11.8,11.8,11.8,1200
2024-06-07,11.6,11.6,11.6,11.6,2000
2024-06-10,11.9,11.9,11.9,11.9,100
2024-06-11,11.9,11.9,11.9,11.9,500
2024-06-12,11.9,11.9,11.9,11.9,0
