date,open,high,low,close,volume
2023-05-30,16.64,16.64,16.64,16.64,0
2023-05-31,16.64,16.64,16.64,16.64,700
2023-06-01,16.64,16.64,16.64,16.64,100
2023-06-02,16.64,16.64,16.64,16.64,0
2023-06-05,16.64,16.64,16.64,16.64,0
2023-06-06,16.64,16.64,16.64,16.64,0
2023-06-07,19.09,19.09,19.09,19.09,100
2023-06-08,18.6,18.6,18.6,18.6,200
2023-06-09,18.6,18.6,18.6,18.6,0
2023-06-12,18.6,18.6,18.6,18.6,0
2023-06-13,21.34,21.34,16.64,16.64,600
2023-06-14,17.42,17.42,17.42,17.42,0
2023-06-15,17.42,17.42,17.42,17.42,0
2023-06-16,17.42,17.42,17.42,17.42,100
2023-06-19,17.42,17.42,17.42,17.42,0
2023-06-20,16.35,16.35,16.35,16.35,1000
2023-06-21,18.6,18.6,18.6,18.6,100
2023-06-22,18.6,18.6,18.6,18.6,0
2023-06-23,18.6,18.6,18.6,18.6,0
2023-06-26,18.6,18.6,18.6,18.6,0
2023-06-27,18.6,18.6,18.6,18.6,0
2023-06-28,18.6,18.6,18.6,18.6,0
2023-06-29,18.6,18.6,18.6,18.6,0
2023-06-30,18.6,18.6,18.6,18.6,0
2023-07-03,18.6,18.6,18.6,18.6,0
2023-07-04,18.79,18.89,18.79,18.89,1800
2023-07-05,18.89,18.89,18.89,18.89,0
2023-07-06,18.89,18.89,18.89,18.89,100
2023-07-07,18.89,18.89,18.89,18.89,0
2023-07-10,18.89,18.89,18.89,18.89,0
2023-07-11,18.89,18.89,18.89,18.89,0
2023-07-12,21.63,21.63,21.63,21.63,500
2023-07-13,21.63,21.63,21.63,21.63,0
2023-07-14,21.63,21.63,21.63,21.63,0
2023-07-17,21.63,21.63,21.63,21.63,0
2023-07-18,21.63,21.63,21.63,21.63,0
2023-07-19,21.63,21.63,21.63,21.63,0
2023-07-20,24.67,24.67,24.67,24.67,200
2023-07-21,24.67,24.67,24.67,24.67,0
2023-07-24,24.67,24.67,24.67,24.67,0
2023-07-25,24.67,24.67,24.67,24.67,0
2023-07-26,21.05,22.32,21.05,22.32,3600
2023-07-27,22.22,22.22,22.22,22.22,0
2023-07-28,22.22,22.22,22.22,22.22,0
2023-07-31,22.22,22.22,22.22,22.22,0
2023-08-01,22.22,22.22,22.22,22.22,0
2023-08-02,22.22,22.22,22.22,22.22,0
2023-08-03,22.22,22.22,22.22,22.22,0
2023-08-04,22.22,22.22,22.22,22.22,0
2023-08-07,22.22,22.22,22.22,22.22,0
2023-08-08,22.91,22.91,22.91,22.91,100
2023-08-09,22.91,22.91,22.91,22.91,0
2023-08-10,24.37,24.37,23.4,23.4,600
2023-08-11,23.59,23.59,23.59,23.59,0
2023-08-14,23.59,23.59,23.59,23.59,0
2023-08-15,23.59,23.59,23.59,23.59,0
2023-08-16,23.59,23.59,23.59,23.59,0
2023-08-17,23.59,23.59,23.59,23.59,0
2023-08-18,23.59,23.59,23.59,23.59,0
2023-08-21,23.59,23.59,23.59,23.59,0
2023-08-22,23.59,23.59,23.59,23.59,0
2023-08-23,23.59,23.59,23.59,23.59,0
2023-08-24,23.59,23.59,23.59,23.59,0
2023-08-25,23.59,23.59,23.59,23.59,0
2023-08-28,23.59,23.59,23.59,23.59,0
2023-08-29,23.59,23.59,23.59,23.59,0
2023-08-30,20.07,21.44,20.07,21.44,4700
2023-08-31,24.08,24.08,17.82,17.82,5100
2023-09-05,20.56,20.56,20.56,20.56,200
2023-09-06,23.59,23.59,23.59,23.59,100
2023-09-07,23.59,23.59,23.59,23.59,0
2023-09-08,23.59,23.59,23.59,23.59,0
2023-09-11,20.07,20.07,20.07,20.07,1000
2023-09-12,20.07,20.07,20.07,20.07,0
2023-09-13,20.07,20.07,20.07,20.07,0
2023-09-14,17.13,17.13,17.13,17.13,1200
2023-09-15,19.58,19.58,19.58,19.58,100
2023-09-18,20.56,20.56,20.56,20.56,200
2023-09-19,17.52,19.48,17.52,18.99,2800
2023-09-20,18.79,18.79,18.79,18.79,0
2023-09-21,18.79,18.79,18.79,18.79,0
2023-09-22,18.79,18.79,18.79,18.79,0
2023-09-25,18.79,18.79,18.79,18.79,0
2023-09-26,18.79,18.79,18.79,18.79,0
2023-09-27,21.54,21.54,21.54,21.54,100
2023-09-28,18.31,18.31,18.31,18.31,100
2023-09-29,18.31,18.31,18.31,18.31,0
2023-10-02,18.31,18.31,18.31,18.31,0
2023-10-03,20.85,20.85,20.85,20.85,100
2023-10-04,20.85,20.85,20.85,20.85,0
2023-10-05,20.85,20.85,20.85,20.85,0
2023-10-06,20.85,20.85,20.85,20.85,0
2023-10-09,20.85,20.85,20.85,20.85,0
2023-10-10,17.82,17.82,17.82,17.82,100
2023-10-11,19.48,19.48,19.48,19.48,100
2023-10-12,19.48,19.48,19.48,19.48,0
2023-10-13,21.63,21.63,20.95,20.95,700
2023-10-16,21.05,21.05,21.05,21.05,0
2023-10-17,21.05,21.05,21.05,21.05,0
2023-10-18,21.05,21.05,21.05,21.05,0
2023-10-19,21.05,21.05,21.05,21.05,0
2023-10-20,18.31,18.31,18.31,18.31,1100
2023-10-23,19.87,19.87,19.87,19.87,100
2023-10-24,19.87,19.87,19.87,19.87,0
2023-10-25,19.87,19.87,19.87,19.87,0
2023-10-26,18.31,18.31,18.31,18.31,200
2023-10-27,18.31,18.31,18.31,18.31,0
2023-10-30,18.31,18.31,18.31,18.31,0
2023-10-31,18.31,18.31,18.31,18.31,0
2023-11-01,18.31,18.31,18.31,18.31,0
2023-11-02,18.31,18.31,18.31,18.31,0
2023-11-03,18.31,18.31,18.31,18.31,0
2023-11-06,18.31,18.31,18.31,18.31,0
2023-11-07,18.31,18.31,18.31,18.31,0
2023-11-08,18.31,18.31,18.31,18.31,0
2023-11-09,18.31,18.31,18.31,18.31,0
2023-11-10,15.56,15.56,15.56,15.56,100
2023-11-13,17.62,17.62,17.62,17.62,100
2023-11-14,17.62,17.62,17.62,17.62,0
2023-11-15,15.27,18.21,15.27,18.21,500
2023-11-16,17.62,17.62,17.62,17.62,0
2023-11-17,18.6,18.6,18.6,18.6,100
2023-11-20,18.6,18.6,18.6,18.6,0
2023-11-21,16.15,16.15,16.15,16.15,500
2023-11-22,16.15,16.15,16.15,16.15,0
2023-11-23,16.15,16.15,16.15,16.15,0
2023-11-24,16.15,16.15,16.15,16.15,0
2023-11-27,16.15,16.15,16.15,16.15,0
2023-11-28,16.15,16.15,16.15,16.15,2500
2023-11-29,18.5,18.5,18.5,18.5,100
2023-11-30,18.5,18.5,18.5,18.5,0
2023-12-01,18.5,18.5,18.5,18.5,0
2023-12-04,18.5,18.5,18.5,18.5,0
2023-12-05,18.5,18.5,18.5,18.5,0
2023-12-06,18.5,18.5,18.5,18.5,0
2023-12-07,18.5,18.5,18.5,18.5,0
2023-12-08,21.14,21.14,21.14,21.14,600
2023-12-11,21.14,21.14,21.14,21.14,0
2023-12-12,21.14,21.14,21.14,21.14,0
2023-12-13,21.14,21.14,21.14,21.14,0
2023-12-14,18.01,18.01,18.01,18.01,200
2023-12-15,18.01,18.01,18.01,18.01,0
2023-12-18,18.01,18.01,18.01,18.01,0
2023-12-19,18.01,18.01,18.01,18.01,0
2023-12-20,18.01,18.01,18.01,18.01,0
2023-12-21,18.01,18.01,18.01,18.01,1700
2023-12-22,18.01,18.01,18.01,18.01,0
2023-12-25,15.47,15.47,15.47,15.47,200
2023-12-26,15.47,15.47,15.47,15.47,600
2023-12-27,15.47,15.47,15.47,15.47,0
2023-12-28,15.47,15.47,15.47,15.47,0
2023-12-29,16.64,17.62,16.64,17.62,300
2024-01-02,17.33,17.33,17.33,17.33,0
2024-01-03,17.33,17.33,17.33,17.33,0
2024-01-04,17.33,17.33,17.33,17.33,0
2024-01-05,17.33,17.33,17.33,17.33,0
2024-01-08,17.33,17.33,17.33,17.33,0
2024-01-09,17.33,17.33,17.33,17.33,0
2024-01-10,17.33,17.33,17.33,17.33,0
2024-01-11,17.33,17.33,17.33,17.33,0
2024-01-12,17.33,17.33,17.33,17.33,0
2024-01-15,17.33,17.33,17.33,17.33,0
2024-01-16,17.33,17.33,17.33,17.33,0
2024-01-17,17.33,17.33,17.33,17.33,0
2024-01-18,17.33,17.33,17.33,17.33,0
2024-01-19,17.33,17.33,17.33,17.33,0
2024-01-22,17.33,17.33,17.33,17.33,0
2024-01-23,17.33,17.33,17.33,17.33,0
2024-01-24,17.33,17.33,17.33,17.33,0
2024-01-25,17.33,17.33,17.33,17.33,0
2024-01-26,17.33,17.33,17.33,17.33,0
2024-01-29,17.33,17.33,17.33,17.33,0
2024-01-30,17.33,17.33,17.33,17.33,0
2024-01-31,17.33,17.33,17.33,17.33,0
2024-02-01,17.33,17.33,17.33,17.33,0
2024-02-02,17.33,17.33,17.33,17.33,0
2024-02-05,17.33,17.33,17.33,17.33,24
2024-02-06,17.33,17.33,17.33,17.33,0
2024-02-07,17.33,17.33,17.33,17.33,0
2024-02-15,17.33,17.33,17.33,17.33,0
2024-02-16,17.33,17.33,17.33,17.33,0
2024-02-19,23.4,23.4,23.4,23.4,100
2024-02-20,19.97,19.97,19.97,19.97,137
2024-02-21,19.97,19.97,19.97,19.97,5
2024-02-22,17.13,17.13,17.13,17.13,116
2024-02-23,17.13,17.13,17.13,17.13,18
2024-02-26,17.13,17.13,17.13,17.13,0
2024-02-27,17.13,17.13,17.13,17.13,29
2024-02-28,17.13,17.13,17.13,17.13,0
2024-02-29,17.13,17.13,17.13,17.13,22
2024-03-01,17.13,17.13,17.13,17.13,0
2024-03-04,17.13,17.13,17.13,17.13,16
2024-03-05,17.13,17.13,17.13,17.13,0
2024-03-06,17.13,17.13,17.13,17.13,13
2024-03-07,17.13,17.13,17.13,17.13,0
2024-03-08,17.13,17.13,17.13,17.13,9
2024-03-11,17.13,17.13,17.13,17.13,0
2024-03-12,17.13,17.13,17.13,17.13,6
2024-03-13,17.13,17.13,17.13,17.13,0
2024-03-14,17.13,17.13,17.13,17.13,7
2024-03-15,17.13,17.13,17.13,17.13,0
2024-03-18,17.13,17.13,17.13,17.13,3
2024-03-19,17.13,17.13,17.13,17.13,0
2024-03-20,17.13,17.13,17.13,17.13,0
2024-03-21,17.13,17.13,17.13,17.13,2
2024-03-22,17.13,17.13,17.13,17.13,0
2024-03-25,17.13,17.13,17.13,17.13,2
2024-03-26,17.13,17.13,17.13,17.13,0
2024-03-27,17.13,17.13,17.13,17.13,2
2024-03-28,17.13,17.13,14.68,14.68,200
2024-03-29,15.96,15.96,15.96,15.96,2
2024-04-01,15.96,15.96,15.96,15.96,0
2024-04-02,15.96,15.96,15.96,15.96,2
2024-04-03,15.96,15.96,15.96,15.96,3
2024-04-04,15.96,15.96,15.96,15.96,0
2024-04-05,15.96,15.96,15.96,15.96,0
2024-04-08,15.96,15.96,15.96,15.96,1
2024-04-09,15.96,15.96,15.96,15.96,0
2024-04-10,16.05,16.05,16.05,16.05,1500
2024-04-11,16.05,16.05,16.05,16.05,1
2024-04-12,16.15,16.15,16.15,16.15,400
2024-04-15,16.15,16.15,16.15,16.15,0
2024-04-16,16.15,16.15,16.15,16.15,0
2024-04-17,16.15,16.15,16.15,16.15,0
2024-04-19,16.15,16.15,16.15,16.15,0
2024-04-22,16.64,16.64,16.64,16.64,100
2024-04-23,16.64,16.64,16.64,16.64,2300
2024-04-24,16.64,16.64,16.64,16.64,0
2024-04-25,16.64,16.64,16.64,16.64,0
2024-04-26,16.64,16.64,16.64,16.64,0
2024-05-02,16.64,16.64,16.64,16.64,0
2024-05-03,18.89,18.89,18.79,18.79,2100
2024-05-06,18.79,18.79,18.79,18.79,0
2024-05-07,18.79,18.79,18.79,18.79,0
2024-05-08,18.79,18.79,18.79,18.79,0
2024-05-09,18.79,18.79,18.79,18.79,0
2024-05-10,18.79,18.79,18.79,18.79,200
2024-05-13,18.79,18.79,18.79,18.79,1
2024-05-14,18.79,18.79,18.79,18.79,0
2024-05-15,18.79,18.79,18.79,18.79,0
2024-05-16,18.79,18.79,18.79,18.79,0
2024-05-17,18.11,18.21,17.62,17.62,400
2024-05-20,18.01,18.01,18.01,18.01,0
2024-05-21,18.01,18.01,18.01,18.01,0
2024-05-22,18.01,18.01,18.01,18.01,20
2024-05-23,18.01,18.01,18.01,18.01,0
2024-05-24,18.01,18.01,18.01,18.01,0
2024-05-27,18.01,18.01,18.01,18.01,0
2024-05-28,18.01,18.01,18.01,18.01,0
2024-05-29,16.64,16.64,16.64,16.64,100
2024-05-30,16.64,16.64,16.64,16.64,0
2024-05-31,16.64,16.64,16.64,16.64,0
2024-06-03,16.64,16.64,16.64,16.64,0
2024-06-04,16.64,16.64,16.64,16.64,0
2024-06-05,16.64,16.64,16.64,16.64,0
2024-06-06,16.64,16.64,16.64,16.64,0
2024-06-07,16.64,16.64,16.64,16.64,0
2024-06-10,16.64,16.64,16.64,16.64,0
2024-06-11,16.64,16.64,16.64,16.64,0
2024-06-12,16.64,16.64,16.64,16.64,0
2024-06-13,16.64,16.64,16.64,16.64,0
2024-06-14,16.64,16.64,16.64,16.64,0
2024-06-17,16.64,16.64,16.64,16.64,0
2024-06-18,16.64,16.64,16.64,16.64,0
2024-06-19,16.64,16.64,16.64,16.64,0
2024-06-20,16.64,16.64,16.64,16.64,0
2024-06-21,16.64,16.64,16.64,16.64,0
2024-06-24,16.64,16.64,16.64,16.64,0
2024-06-25,16.64,16.64,16.64,16.64,0
2024-06-26,16.64,16.64,16.64,16.64,0
2024-06-27,16.64,16.64,16.64,16.64,0
2024-06-28,16.64,16.64,16.64,16.64,1
2024-07-01,16.64,16.64,16.64,16.64,0
2024-07-02,19.09,19.09,19.09,19.09,100
2024-07-03,21.83,21.83,21.83,21.83,100
2024-07-04,21.83,21.83,21.83,21.83,0
2024-07-05,21.83,21.83,21.83,21.83,0
2024-07-08,21.83,21.83,21.83,21.83,0
2024-07-09,21.83,21.83,21.83,21.83,0
2024-07-10,21.83,21.83,21.83,21.83,0
2024-07-11,21.83,21.83,21.83,21.83,1
2024-07-12,21.83,21.83,21.83,21.83,0
2024-07-15,21.83,21.83,21.83,21.83,0
2024-07-16,21.83,21.83,21.83,21.83,0
2024-07-17,21.83,21.83,21.83,21.83,0
2024-07-18,21.83,21.83,21.83,21.83,0
2024-07-19,18.6,18.6,18.6,18.6,100
2024-07-22,18.6,18.6,18.6,18.6,0
2024-07-23,18.6,18.6,18.6,18.6,0
2024-07-24,18.6,18.6,18.6,18.6,0
2024-07-25,18.6,18.6,18.6,18.6,0
2024-07-26,18.6,18.6,18.6,18.6,0
2024-07-29,18.6,18.6,18.6,18.6,0
2024-07-30,18.6,18.6,18.6,18.6,0
2024-07-31,18.6,18.6,18.6,18.6,0
2024-08-01,18.6,18.6,18.6,18.6,0
2024-08-02,18.6,18.6,18.6,18.6,0
2024-08-05,21.34,21.34,21.34,21.34,100
2024-08-06,21.34,21.34,21.34,21.34,5
2024-08-07,21.34,21.34,21.34,21.34,0
2024-08-08,21.34,21.34,21.34,21.34,0
2024-08-09,21.34,21.34,21.34,21.34,0
2024-08-12,21.34,21.34,21.34,21.34,0
2024-08-13,21.34,21.34,21.34,21.34,0
2024-08-14,21.34,21.34,21.34,21.34,0
2024-08-15,21.34,21.34,21.34,21.34,0
2024-08-16,21.34,21.34,21.34,21.34,0
2024-08-19,21.34,21.34,21.34,21.34,0
2024-08-20,21.34,21.34,21.34,21.34,0
2024-08-21,21.34,21.34,21.34,21.34,0
2024-08-22,21.34,21.34,21.34,21.34,1
2024-08-23,21.34,21.34,21.34,21.34,0
2024-08-26,21.34,21.34,21.34,21.34,0
2024-08-27,21.34,21.34,21.34,21.34,0
2024-08-28,21.34,21.34,21.34,21.34,0
2024-08-29,21.34,21.34,21.34,21.34,0
2024-08-30,21.34,21.34,21.34,21.34,0
2024-09-04,21.34,21.34,21.34,21.34,0
2024-09-05,21.34,21.34,21.34,21.34,5
2024-09-06,21.34,21.34,21.34,21.34,0
2024-09-09,21.34,21.34,21.34,21.34,5
2024-09-10,21.34,21.34,21.34,21.34,0
2024-09-11,21.34,21.34,21.34,21.34,0
2024-09-12,21.34,21.34,21.34,21.34,0
2024-09-13,21.34,21.34,21.34,21.34,0
2024-09-16,21.34,21.34,21.34,21.34,0
2024-09-17,21.34,21.34,21.34,21.34,0
2024-09-18,21.34,21.34,21.34,21.34,0
2024-09-19,29.86,29.86,29.86,29.86,100
2024-09-20,29.86,29.86,29.86,29.86,6
2024-09-23,29.86,29.86,29.86,29.86,0
2024-09-24,29.86,29.86,29.86,29.86,0
2024-09-25,29.86,29.86,29.86,29.86,5
2024-09-26,29.86,29.86,29.86,29.86,0
2024-09-27,29.86,29.86,29.86,29.86,0
2024-09-30,29.86,29.86,29.86,29.86,0
2024-10-01,29.86,29.86,29.86,29.86,0
2024-10-02,28.19,28.19,26.23,27.8,3193
2024-10-03,31.52,31.52,31.52,31.52,300
2024-10-04,31.52,31.52,31.52,31.52,0
2024-10-07,31.52,31.52,31.52,31.52,0
2024-10-08,31.52,31.52,31.52,31.52,0
2024-10-09,31.52,31.52,31.52,31.52,0
2024-10-10,31.52,31.52,31.52,31.52,0
2024-10-11,31.52,31.52,31.52,31.52,0
2024-10-14,36.22,36.22,36.22,36.22,100
2024-10-15,41.6,41.6,41.6,41.6,100
2024-10-16,47.67,47.67,47.67,47.67,145
2024-10-17,47.67,47.67,47.67,47.67,0
2024-10-18,48.85,48.85,48.85,48.85,102
2024-10-21,56.09,56.09,41.6,41.6,252
2024-10-22,48.85,48.85,48.85,48.85,11
2024-10-23,55.99,55.99,55.99,55.99,106
2024-10-24,55.99,55.99,55.99,55.99,0
2024-10-25,55.99,55.99,55.99,55.99,10
2024-10-28,64.22,64.22,64.22,64.22,157
2024-10-29,54.62,54.62,54.62,54.62,1225
2024-10-30,54.62,54.62,54.62,54.62,0
2024-10-31,46.5,46.5,46.5,46.5,100
2024-11-01,46.5,46.5,46.5,46.5,0
2024-11-04,46.5,46.5,46.5,46.5,0
2024-11-05,46.5,46.5,46.5,46.5,0
2024-11-06,46.5,46.5,46.5,46.5,11
2024-11-07,46.5,46.5,46.5,46.5,0
2024-11-08,46.5,46.5,46.5,46.5,0
2024-11-11,46.5,46.5,46.5,46.5,0
2024-11-12,46.5,46.5,46.5,46.5,0
2024-11-13,46.5,46.5,46.5,46.5,5
2024-11-14,46.5,46.5,46.5,46.5,0
2024-11-15,46.5,46.5,46.5,46.5,0
2024-11-18,46.5,46.5,46.5,46.5,0
2024-11-19,46.5,46.5,46.5,46.5,0
2024-11-20,46.5,46.5,46.5,46.5,0
2024-11-21,46.5,46.5,46.5,46.5,0
2024-11-22,46.5,46.5,46.5,46.5,0
2024-11-25,46.5,46.5,46.5,46.5,0
2024-11-26,46.5,46.5,46.5,46.5,0
2024-11-27,46.5,46.5,46.5,46.5,0
2024-11-28,46.5,46.5,46.5,46.5,0
2024-11-29,46.5,46.5,46.5,46.5,0
2024-12-02,46.5,46.5,46.5,46.5,0
2024-12-03,46.5,46.5,46.5,46.5,0
2024-12-04,46.5,46.5,46.5,46.5,0
2024-12-05,46.5,46.5,46.5,46.5,3
2024-12-06,46.5,46.5,46.5,46.5,0
2024-12-09,46.5,46.5,46.5,46.5,0
2024-12-10,46.5,46.5,46.5,46.5,0
2024-12-11,46.5,46.5,46.5,46.5,0
2024-12-12,46.5,46.5,46.5,46.5,0
2024-12-13,46.5,46.5,46.5,46.5,0
2024-12-16,46.5,46.5,46.5,46.5,0
2024-12-17,46.5,46.5,46.5,46.5,0
2024-12-18,46.5,46.5,46.5,46.5,0
2024-12-19,46.5,46.5,46.5,46.5,0
2024-12-20,46.5,46.5,46.5,46.5,0
2024-12-23,46.5,46.5,46.5,46.5,0
2024-12-24,46.5,46.5,46.5,46.5,0
2024-12-25,46.5,46.5,46.5,46.5,0
2024-12-26,46.5,46.5,46.5,46.5,0
2024-12-27,46.5,46.5,46.5,46.5,0
2024-12-30,46.5,46.5,46.5,46.5,0
2024-12-31,46.5,46.5,46.5,46.5,0
2025-01-02,46.5,46.5,46.5,46.5,0
2025-01-03,46.5,46.5,46.5,46.5,0
2025-01-06,46.5,46.5,46.5,46.5,0
2025-01-07,46.5,46.5,46.5,46.5,0
2025-01-08,27.9,27.9,27.9,27.9,200
2025-01-09,23.79,23.79,23.79,23.79,300
2025-01-10,23.79,23.79,23.79,23.79,0
2025-01-13,20.26,20.26,20.26,20.26,3503
2025-01-14,20.26,20.26,20.26,20.26,1
2025-01-15,23.3,23.3,20.26,20.26,852
2025-01-16,20.65,20.65,20.65,20.65,530
2025-01-17,20.65,20.65,20.65,20.65,100
2025-01-20,20.65,20.65,20.65,20.65,0
2025-01-21,20.65,20.65,20.65,20.65,600
2025-01-22,20.65,20.65,20.65,20.65,0
2025-01-23,20.65,20.65,20.65,20.65,2
2025-01-24,19.58,23.69,19.58,23.69,5030
2025-02-03,19.68,19.68,19.68,19.68,1
2025-02-04,19.68,19.68,19.68,19.68,0
2025-02-05,19.68,19.68,19.68,19.68,0
2025-02-06,19.68,19.68,19.68,19.68,0
