date,open,high,low,close,volume
2022-12-12,8.2,8.2,8.2,8.2,0
2022-12-13,8.2,8.2,8.2,8.2,0
2022-12-14,8.2,8.2,8.2,8.2,0
2022-12-15,8.2,8.2,8.2,8.2,0
2022-12-16,5.2,5.2,5.2,5.2,500
2022-12-19,5.2,5.2,5.2,5.2,0
2022-12-20,5.2,5.2,5.2,5.2,0
2022-12-21,5.2,5.2,5.2,5.2,0
2022-12-22,5.2,5.2,5.2,5.2,0
2022-12-23,5.2,5.2,5.2,5.2,0
2022-12-26,5.2,5.2,5.2,5.2,0
2022-12-27,4.6,4.6,4.6,4.6,100
2022-12-28,4.6,4.6,4.6,4.6,0
2022-12-29,4.6,4.6,4.6,4.6,0
2022-12-30,4.6,4.6,4.6,4.6,0
2023-01-03,4.6,4.6,4.6,4.6,0
2023-01-04,4.6,4.6,4.6,4.6,0
2023-01-05,4.6,4.6,4.6,4.6,0
2023-01-06,4.6,4.6,4.6,4.6,0
2023-01-09,4.6,4.6,4.6,4.6,0
2023-01-10,4.6,4.6,4.6,4.6,0
2023-01-11,4.6,4.6,4.6,4.6,0
2023-01-12,4.6,4.6,4.6,4.6,0
2023-01-13,4.6,4.6,4.6,4.6,0
2023-01-16,4.6,4.6,4.6,4.6,0
2023-01-17,4.6,4.6,4.6,4.6,0
2023-01-18,4.6,4.6,4.6,4.6,0
2023-01-19,4.6,4.6,4.6,4.6,0
2023-01-27,4.6,4.6,4.6,4.6,0
2023-01-30,4.6,4.6,4.6,4.6,0
2023-01-31,4.6,4.6,4.6,4.6,0
2023-02-01,4.6,4.6,4.6,4.6,0
2023-02-02,4.6,4.6,4.6,4.6,0
2023-02-03,4.6,4.6,4.6,4.6,0
2023-02-06,4.6,4.6,4.6,4.6,0
2023-02-07,4.6,4.6,4.6,4.6,0
2023-02-08,5.2,5.2,5.2,5.2,100
2023-02-09,5.9,5.9,5.9,5.9,100
2023-02-10,6.7,6.7,6.7,6.7,100
2023-02-13,6.7,6.7,6.7,6.7,0
2023-02-14,6.7,6.7,6.7,6.7,0
2023-02-15,6.7,6.7,6.7,6.7,0
2023-02-16,6.7,6.7,6.7,6.7,0
2023-02-17,6.7,6.7,6.7,6.7,0
2023-02-20,6.7,6.7,6.7,6.7,0
2023-02-21,6.7,6.7,6.7,6.7,0
2023-02-22,6.7,6.7,6.7,6.7,0
2023-02-23,6.7,6.7,6.7,6.7,0
2023-02-24,7.7,7.7,7.7,7.7,100
2023-02-27,7.7,7.7,7.7,7.7,0
2023-02-28,7.7,7.7,7.7,7.7,0
2023-03-01,7.7,7.7,7.7,7.7,0
2023-03-02,8.3,8.3,8.3,8.3,100
2023-03-03,8.8,8.8,8.8,8.8,100
2023-03-06,8.8,8.8,8.8,8.8,0
2023-03-07,8.8,8.8,8.8,8.8,0
2023-03-08,8.8,8.8,8.8,8.8,0
2023-03-09,9.3,9.3,9.3,9.3,100
2023-03-10,9.3,9.3,9.3,9.3,0
