date,open,high,low,close,volume
2024-01-30,13.68,13.86,13.59,13.86,3669589
2024-01-31,13.86,14.04,13.64,13.64,5194691
2024-02-01,13.64,13.73,13.59,13.64,4419878
2024-02-02,13.73,13.95,13.64,13.64,4877513
2024-02-05,13.73,13.82,13.59,13.73,4377863
2024-02-06,13.77,13.77,13.64,13.73,3419357
2024-02-07,13.73,13.82,13.64,13.77,5223569
2024-02-15,13.86,14.3,13.86,14.17,14396624
2024-02-16,14.3,14.3,14.04,14.08,5053791
2024-02-19,14.13,14.17,13.9,14.04,6505541
2024-02-20,14.08,14.13,13.9,13.95,7284935
2024-02-21,13.99,13.99,13.82,13.82,6226879
2024-02-22,13.82,14.04,13.77,13.82,5293931
2024-02-23,13.82,13.9,13.46,13.46,10105388
2024-02-26,13.46,13.64,13.33,13.64,6234540
2024-02-27,13.68,13.82,13.64,13.82,5626850
2024-02-28,13.86,13.86,13.64,13.73,4458352
2024-02-29,13.77,13.82,13.55,13.59,5304404
2024-03-01,13.64,13.95,13.55,13.9,10187198
2024-03-04,13.99,14.04,13.82,13.86,6690959
2024-03-05,13.95,14.13,13.86,13.9,8423955
2024-03-06,13.9,13.9,13.59,13.68,5895047
2024-03-07,13.59,13.73,13.59,13.68,5548825
2024-03-08,13.82,13.82,13.42,13.46,8252749
2024-03-11,13.46,13.68,13.37,13.42,4273388
2024-03-12,13.42,13.46,13.33,13.37,3444891
2024-03-13,13.55,13.55,13.42,13.55,4821598
2024-03-14,13.55,13.64,13.46,13.46,5155377
2024-03-15,13.46,13.68,13.42,13.46,5861075
2024-03-18,13.51,13.64,13.02,13.33,9919901
2024-03-19,13.28,13.55,13.24,13.33,12232394
2024-03-20,13.33,13.42,13.24,13.42,6004436
2024-03-21,13.46,13.73,13.37,13.73,16997709
2024-03-22,13.86,13.99,13.68,13.73,14831065
2024-03-25,13.9,14.08,13.73,13.77,17488590
2024-03-26,13.82,13.82,13.64,13.77,7330318
2024-03-27,13.86,14.08,13.82,13.9,9742041
2024-03-28,13.99,13.99,13.73,13.77,5754389
2024-03-29,13.77,13.82,13.59,13.64,5857590
2024-04-01,13.68,13.95,13.59,13.68,8413090
2024-04-02,13.68,13.77,13.55,13.77,7141002
2024-04-03,13.82,14.35,13.82,13.9,24838779
2024-04-04,13.86,13.99,13.68,13.68,7081073
2024-04-05,13.64,13.64,13.42,13.42,9189320
2024-04-08,13.46,13.51,13.33,13.33,7845834
2024-04-09,13.37,13.46,13.28,13.46,4477274
2024-04-10,13.51,13.55,13.33,13.33,4943608
2024-04-11,13.24,13.37,13.2,13.28,7167087
2024-04-12,13.37,13.46,13.33,13.37,4953075
2024-04-15,13.37,13.42,12.44,12.44,12543913
2024-04-16,12.27,12.4,11.69,11.91,12090638
2024-04-17,12.0,12.13,11.65,11.65,6373405
2024-04-19,11.51,11.51,10.94,11.07,9675295
2024-04-22,11.29,11.34,11.07,11.25,6021723
2024-04-23,11.29,11.34,10.76,10.85,5875745
2024-04-24,10.98,11.34,10.94,11.29,5376074
2024-04-25,11.34,11.47,11.16,11.2,3628297
2024-04-26,11.07,11.25,11.07,11.2,3035531
2024-05-02,11.38,11.6,11.34,11.42,5263630
2024-05-03,11.51,11.6,11.34,11.34,3914567
2024-05-06,11.38,11.69,11.29,11.69,8171348
2024-05-07,11.78,11.78,11.56,11.6,3436982
2024-05-08,11.51,11.51,11.34,11.38,7684005
2024-05-09,11.47,11.65,11.34,11.38,5926299
2024-05-10,11.42,11.51,11.2,11.34,4567710
2024-05-13,11.38,11.42,11.2,11.29,3380909
2024-05-14,11.34,11.42,11.25,11.25,5062541
2024-05-15,11.29,11.47,11.2,11.42,4837223
