date,open,high,low,close,volume
2024-01-30,3.0,3.05,3.0,3.03,43523
2024-01-31,3.0,3.04,2.95,2.99,47900
2024-02-01,2.98,3.04,2.96,2.96,97800
2024-02-02,3.03,3.03,2.94,2.96,77500
2024-02-05,3.04,3.04,2.97,2.97,23000
2024-02-06,3.0,3.02,2.98,3.0,25103
2024-02-07,3.0,3.01,2.95,2.95,50823
2024-02-15,2.97,3.06,2.97,3.02,25800
2024-02-16,3.02,3.03,2.97,2.97,74630
2024-02-19,3.0,3.0,2.97,2.99,221858
2024-02-20,2.99,3.16,2.95,3.1,124435
2024-02-21,3.1,3.1,3.01,3.05,37309
2024-02-22,3.1,3.1,3.0,3.04,43209
2024-02-23,3.05,3.09,3.02,3.02,129148
2024-02-26,3.01,3.02,3.0,3.02,109205
2024-02-27,3.01,3.04,3.0,3.01,42546
2024-02-28,3.01,3.03,2.99,3.01,142008
2024-02-29,3.01,3.04,2.99,2.99,76900
2024-03-01,2.99,3.01,2.99,3.01,133810
2024-03-04,3.01,3.03,3.0,3.02,98600
2024-03-05,3.02,3.03,3.0,3.01,104500
2024-03-06,3.01,3.02,2.99,3.01,47062
2024-03-07,3.0,3.02,2.98,2.99,136584
2024-03-08,2.98,3.0,2.96,2.98,200000
2024-03-11,2.98,3.01,2.93,2.93,182326
2024-03-12,2.93,2.98,2.93,2.95,41338
2024-03-13,2.95,2.96,2.94,2.96,89501
2024-03-14,3.0,3.0,2.94,2.94,116706
2024-03-15,2.94,2.97,2.92,2.94,100626
2024-03-18,2.93,2.96,2.9,2.91,149200
2024-03-19,2.94,2.94,2.9,2.91,91739
2024-03-20,2.91,2.91,2.9,2.91,85958
2024-03-21,2.92,2.94,2.91,2.94,121922
2024-03-22,2.96,2.96,2.91,2.95,74901
2024-03-25,2.95,2.95,2.91,2.94,64601
2024-03-26,2.93,2.93,2.92,2.93,62390
2024-03-27,2.93,2.95,2.9,2.94,116133
2024-03-28,2.93,2.93,2.91,2.93,75632
2024-03-29,2.94,2.94,2.91,2.93,108963
2024-04-01,2.93,2.93,2.91,2.93,81600
2024-04-02,2.94,2.97,2.9,2.95,202933
2024-04-03,2.98,2.98,2.93,2.96,264991
2024-04-04,2.98,2.98,2.92,2.95,118026
2024-04-05,2.93,2.98,2.93,2.93,436412
2024-04-08,2.94,2.95,2.89,2.9,218012
2024-04-09,2.9,2.93,2.89,2.93,111897
2024-04-10,2.93,2.93,2.87,2.87,204756
2024-04-11,2.86,2.93,2.86,2.86,182353
2024-04-12,2.86,2.89,2.86,2.86,58722
2024-04-15,2.86,2.87,2.7,2.7,35921
2024-04-16,2.76,2.8,2.63,2.7,120206
2024-04-17,2.72,2.77,2.65,2.7,27903
2024-04-19,2.8,2.8,2.65,2.66,48232
2024-04-22,2.67,2.74,2.67,2.73,35329
2024-04-23,2.8,2.8,2.68,2.69,30224
2024-04-24,2.69,2.87,2.65,2.87,244400
2024-04-25,2.97,3.07,2.88,3.07,1286810
2024-04-26,3.1,3.28,3.08,3.16,921494
2024-05-02,3.27,3.38,3.23,3.38,1087517
2024-05-03,3.57,3.57,3.38,3.5,624012
2024-05-06,3.49,3.49,3.36,3.4,582242
2024-05-07,3.4,3.45,3.18,3.22,518787
2024-05-08,3.05,3.2,3.01,3.16,596476
2024-05-09,3.2,3.23,3.11,3.21,304058
2024-05-10,3.24,3.27,3.11,3.15,202345
2024-05-13,3.15,3.25,3.11,3.24,382086
2024-05-14,3.25,3.28,3.11,3.18,252579
2024-05-15,3.11,3.2,3.11,3.16,162419
2024-05-16,3.21,3.21,3.1,3.12,129519
2024-05-17,3.19,3.19,3.08,3.15,153817
2024-05-20,3.15,3.16,3.07,3.08,272382
2024-05-21,3.09,3.29,3.09,3.29,760164
2024-05-22,3.37,3.45,3.19,3.21,285059
2024-05-23,3.28,3.28,3.1,3.18,227100
2024-05-24,3.13,3.2,3.11,3.19,280682
2024-05-27,3.19,3.2,3.12,3.18,177318
2024-05-28,3.13,3.3,3.13,3.3,338832
2024-05-29,3.3,3.4,3.23,3.32,373918
2024-05-30,3.29,3.29,3.17,3.2,311400
2024-05-31,3.23,3.3,3.15,3.19,211742
2024-06-03,3.19,3.31,3.19,3.25,210004
2024-06-04,3.2,3.27,3.2,3.27,82683
2024-06-05,3.27,3.29,3.21,3.25,111525
2024-06-06,3.25,3.26,3.18,3.21,501402
2024-06-07,3.22,3.26,3.2,3.2,166021
2024-06-10,3.2,3.3,3.2,3.29,198502
2024-06-11,3.3,3.3,3.24,3.27,145255
2024-06-12,3.23,3.28,3.2,3.24,113026
2024-06-13,3.27,3.27,3.18,3.22,202397
2024-06-14,3.22,3.25,3.16,3.16,182855
2024-06-17,3.16,3.19,3.12,3.13,54400
2024-06-18,3.15,3.19,3.13,3.16,81400
2024-06-19,3.15,3.16,3.09,3.14,122912
2024-06-20,3.11,3.15,3.09,3.13,89700
2024-06-21,3.1,3.14,3.09,3.13,157611
2024-06-24,3.13,3.14,3.06,3.13,184925
2024-06-25,3.13,3.13,3.06,3.08,291401
2024-06-26,3.1,3.29,3.08,3.29,271429
2024-06-27,3.5,3.52,3.28,3.52,1079109
2024-06-28,3.3,3.55,3.28,3.28,719956
2024-07-01,3.44,3.44,3.09,3.12,285635
2024-07-02,3.2,3.2,3.0,3.0,955257
2024-07-03,3.0,3.1,3.0,3.1,58691
2024-07-04,3.1,3.1,3.01,3.09,143661
2024-07-05,3.09,3.09,3.0,3.06,112910
2024-07-08,3.06,3.1,3.02,3.08,51056
2024-07-09,3.07,3.07,3.0,3.01,293261
2024-07-10,3.05,3.05,2.99,3.04,150251
2024-07-11,3.03,3.06,3.0,3.05,67702
2024-07-12,3.04,3.08,3.01,3.04,119404
2024-07-15,3.03,3.08,3.0,3.04,53500
2024-07-16,3.01,3.08,3.01,3.02,112141
2024-07-17,3.07,3.07,2.95,3.02,140471
2024-07-18,3.02,3.03,2.98,3.03,38350
2024-07-19,3.04,3.05,2.97,2.98,39900
2024-07-22,2.98,2.98,2.9,2.94,86854
2024-07-23,2.94,2.95,2.92,2.93,24124
2024-07-24,2.93,2.93,2.78,2.93,65500
2024-07-25,2.94,2.94,2.9,2.9,18410
2024-07-26,2.94,2.94,2.88,2.92,74100
2024-07-29,2.92,2.95,2.85,2.91,11100
2024-07-30,2.91,2.91,2.84,2.88,26900
2024-07-31,2.84,2.87,2.78,2.79,157000
2024-08-01,2.9,2.9,2.65,2.69,163800
2024-08-02,2.69,2.7,2.58,2.7,70400
2024-08-05,2.68,2.7,2.55,2.58,273900
2024-08-06,2.76,2.76,2.55,2.7,84100
2024-08-07,2.74,2.74,2.64,2.7,29600
2024-08-08,2.7,2.73,2.7,2.72,41900
2024-08-09,2.71,2.72,2.66,2.69,42600
2024-08-12,2.69,2.7,2.65,2.7,72300
2024-08-13,2.65,2.72,2.65,2.7,8500
2024-08-14,2.72,2.72,2.68,2.71,77900
2024-08-15,2.74,2.74,2.59,2.71,40100
2024-08-16,2.71,2.78,2.7,2.74,99700
2024-08-19,2.74,2.84,2.71,2.71,91600
2024-08-20,2.75,2.75,2.71,2.74,28400
2024-08-21,2.74,2.8,2.68,2.74,30500
