date,open,high,low,close,volume
2024-01-05,39.04,39.04,39.04,39.04,0
2024-01-08,35.18,35.18,35.18,35.18,116
2024-01-09,31.67,32.02,31.67,32.02,500
2024-01-10,32.02,32.02,32.02,32.02,0
2024-01-11,28.86,28.86,28.86,28.86,123
2024-01-12,28.86,28.86,28.86,28.86,0
2024-01-15,28.86,28.86,28.86,28.86,0
2024-01-16,28.86,28.86,28.86,28.86,4
2024-01-17,26.76,26.76,26.76,26.76,100
2024-01-18,27.2,28.95,27.2,28.95,211
2024-01-19,28.95,28.95,28.95,28.95,43
2024-01-22,28.95,28.95,28.95,28.95,0
2024-01-23,27.02,27.02,27.02,27.02,100
2024-01-24,28.95,28.95,28.95,28.95,200
2024-01-25,27.02,28.95,27.02,28.95,210
2024-01-26,27.2,27.2,27.2,27.2,100
2024-01-29,27.2,27.2,27.2,27.2,0
2024-01-30,29.83,29.83,29.83,29.83,170210
2024-01-31,27.28,27.28,27.28,27.28,100
2024-02-01,27.28,27.28,27.28,27.28,0
2024-02-02,27.28,27.28,27.28,27.28,0
2024-02-05,27.02,29.83,27.02,29.83,4800
2024-02-06,28.95,28.95,28.95,28.95,700
2024-02-07,31.85,31.85,30.71,30.71,601
2024-02-15,30.71,30.71,30.71,30.71,0
2024-02-16,27.9,29.83,27.9,28.95,22500
2024-02-19,28.95,28.95,28.95,28.95,0
2024-02-20,28.95,28.95,28.95,28.95,1000
2024-02-21,28.95,28.95,28.78,28.86,5300
2024-02-22,31.49,31.49,28.16,31.41,10000
2024-02-23,31.41,31.41,31.41,31.41,0
2024-02-26,31.41,31.41,31.41,31.41,2
2024-02-27,28.34,29.39,28.34,28.95,13307
2024-02-28,31.67,31.67,28.95,30.18,4201
2024-02-29,28.42,29.74,28.42,29.74,200
2024-03-01,31.67,31.67,31.67,31.67,100
2024-03-04,28.51,29.74,28.51,28.95,9650
2024-03-05,28.95,28.95,28.86,28.86,303
2024-03-06,28.95,28.95,28.86,28.95,1704
2024-03-07,28.95,29.39,28.95,28.95,4100
2024-03-08,28.86,28.86,28.86,28.86,2800
2024-03-11,28.95,28.95,28.95,28.95,5800
2024-03-12,28.16,30.09,28.16,30.09,220
2024-03-13,30.09,30.09,28.16,30.0,1004
2024-03-14,28.95,29.83,28.95,29.83,800
