date,open,high,low,close,volume
2023-06-09,6.1,6.6,6.1,6.6,2900
2023-06-12,6.6,6.6,6.6,6.6,300
2023-06-13,6.1,6.5,6.1,6.5,1900
2023-06-14,6.5,6.5,6.2,6.2,1601
2023-06-15,6.6,6.6,6.0,6.3,1400
2023-06-16,6.3,6.3,5.8,5.8,2400
2023-06-19,5.9,6.0,5.9,5.9,1100
2023-06-20,5.9,6.2,5.9,6.2,3200
2023-06-21,6.2,6.2,6.2,6.2,700
2023-06-22,6.2,6.2,6.0,6.0,4200
2023-06-23,6.0,6.2,6.0,6.2,1600
2023-06-26,5.9,6.2,5.7,6.2,3800
2023-06-27,5.9,6.0,5.7,5.9,17500
2023-06-28,5.7,6.1,5.7,6.0,4100
2023-06-29,5.7,5.9,5.5,5.9,3403
2023-06-30,5.9,6.0,5.9,6.0,200
2023-07-03,6.0,6.0,6.0,6.0,300
2023-07-04,6.0,6.0,6.0,6.0,400
2023-07-05,5.6,6.0,5.5,6.0,26400
2023-07-06,5.6,5.6,5.6,5.6,400
2023-07-07,5.5,5.8,5.5,5.8,1600
2023-07-10,5.5,5.7,5.5,5.5,5210
2023-07-11,5.5,5.7,5.3,5.7,400
2023-07-12,5.5,5.7,5.4,5.7,6100
2023-07-13,5.7,5.7,5.7,5.7,100
2023-07-14,5.4,5.6,5.4,5.6,4400
2023-07-17,5.3,5.7,5.3,5.7,400
2023-07-18,5.4,5.5,5.4,5.4,3000
2023-07-19,5.2,5.6,5.2,5.6,2500
2023-07-20,5.4,5.6,5.4,5.6,1100
2023-07-21,5.6,5.6,5.4,5.4,3100
2023-07-24,5.4,5.7,5.4,5.7,5210
2023-07-25,5.5,5.7,5.5,5.7,200
2023-07-26,5.7,5.8,5.7,5.8,300
2023-07-27,5.9,6.2,5.9,6.2,200
2023-07-28,5.6,5.9,5.6,5.9,3810
2023-07-31,5.7,5.9,5.6,5.9,16300
2023-08-01,5.6,5.8,5.6,5.8,700
2023-08-02,5.6,5.8,5.6,5.8,5300
2023-08-03,5.5,5.5,5.5,5.5,2300
2023-08-04,5.7,5.7,5.5,5.5,701
2023-08-07,5.2,5.5,5.2,5.5,1300
2023-08-08,5.5,5.9,5.5,5.9,4300
2023-08-09,5.8,5.9,5.4,5.6,17200
2023-08-10,5.6,5.7,5.5,5.7,17500
2023-08-11,5.5,5.5,5.4,5.5,1500
2023-08-14,5.5,5.6,5.4,5.5,3000
2023-08-15,5.4,5.6,5.4,5.6,2800
2023-08-16,5.4,5.4,5.4,5.4,2100
2023-08-17,5.5,5.5,5.4,5.4,400
2023-08-18,5.1,5.3,5.1,5.3,200
2023-08-21,5.3,5.3,5.3,5.3,0
2023-08-22,5.0,5.3,4.8,5.3,16000
2023-08-23,5.5,5.5,5.0,5.3,5300
2023-08-24,5.2,5.2,5.0,5.2,1400
2023-08-25,5.2,5.7,5.2,5.5,2310
2023-08-28,5.5,5.6,5.2,5.5,2600
2023-08-29,5.6,5.7,5.2,5.4,1700
2023-08-30,5.1,5.3,5.1,5.3,3705
2023-08-31,5.0,5.4,4.8,5.4,2500
2023-09-05,5.4,5.4,5.4,5.4,200
2023-09-06,5.2,5.2,5.2,5.2,700
2023-09-07,5.2,5.5,5.2,5.4,1100
2023-09-08,5.2,5.3,5.0,5.3,5300
2023-09-11,5.0,5.2,4.9,5.2,400
2023-09-12,5.2,5.5,5.2,5.5,300
2023-09-13,5.5,5.6,5.0,5.5,12700
2023-09-14,5.2,5.6,5.1,5.4,6200
2023-09-15,5.2,5.2,5.0,5.0,7600
2023-09-18,4.8,5.0,4.8,5.0,500
2023-09-19,4.7,4.7,4.7,4.7,100
2023-09-20,5.0,5.1,5.0,5.1,2700
2023-09-21,5.1,5.1,5.1,5.1,200
2023-09-22,4.9,5.3,4.7,5.3,700
2023-09-25,5.3,5.3,5.3,5.3,100
2023-09-26,4.9,5.1,4.8,5.1,2600
2023-09-27,5.1,5.1,5.1,5.1,0
2023-09-28,5.1,5.1,5.1,5.1,200
2023-09-29,4.7,5.0,4.6,4.6,19700
2023-10-02,4.6,4.6,4.6,4.6,0
2023-10-03,4.6,4.6,4.6,4.6,0
2023-10-04,4.6,4.6,4.6,4.6,0
2023-10-05,4.6,4.6,4.6,4.6,0
2023-10-06,4.2,4.5,4.2,4.5,300
2023-10-09,4.3,4.4,4.2,4.4,3700
2023-10-10,4.4,4.4,4.3,4.3,200
2023-10-11,4.3,4.3,4.3,4.3,200
2023-10-12,4.3,4.3,4.3,4.3,0
2023-10-13,4.2,4.2,4.0,4.0,1100
2023-10-16,4.2,4.2,4.2,4.2,1000
2023-10-17,4.2,4.2,4.2,4.2,0
2023-10-18,3.9,3.9,3.8,3.9,5900
2023-10-19,3.9,3.9,3.7,3.7,2000
2023-10-20,3.6,3.7,3.6,3.7,200
2023-10-23,3.7,3.7,3.7,3.7,500
2023-10-24,3.7,3.7,3.7,3.7,300
2023-10-25,3.7,3.7,3.7,3.7,500
2023-10-26,3.5,3.6,3.4,3.5,3800
2023-10-27,3.5,3.5,3.3,3.5,1000
2023-10-30,3.8,3.8,3.7,3.7,308
2023-10-31,3.5,3.6,3.4,3.6,14500
2023-11-01,3.4,3.6,3.4,3.5,500
2023-11-02,3.3,3.3,3.3,3.3,100
2023-11-03,3.3,3.3,3.3,3.3,0
2023-11-06,3.5,3.6,3.4,3.4,5501
2023-11-07,3.4,3.4,3.4,3.4,500
2023-11-08,3.3,3.3,3.3,3.3,500
2023-11-09,3.3,3.3,3.3,3.3,100
2023-11-10,3.4,3.4,3.4,3.4,100
2023-11-13,3.4,3.4,3.4,3.4,100
2023-11-14,3.4,3.4,3.4,3.4,0
2023-11-15,3.5,3.5,3.5,3.5,1200
2023-11-16,3.5,3.5,3.5,3.5,0
2023-11-17,3.5,3.5,3.5,3.5,0
2023-11-20,3.5,3.5,3.5,3.5,0
2023-11-21,3.5,3.5,3.5,3.5,0
2023-11-22,3.6,3.6,3.6,3.6,100
2023-11-23,3.6,3.6,3.6,3.6,0
2023-11-24,3.6,3.6,3.6,3.6,0
2023-11-27,3.6,3.6,3.6,3.6,0
2023-11-28,3.6,3.6,3.6,3.6,0
2023-11-29,3.6,3.6,3.5,3.5,300
2023-11-30,3.4,3.4,3.4,3.4,2100
2023-12-01,3.6,3.7,3.6,3.7,1200
2023-12-04,3.5,3.8,3.4,3.8,2100
2023-12-05,3.8,3.9,3.8,3.9,2100
2023-12-06,3.9,4.0,3.6,4.0,4000
2023-12-07,4.0,4.0,4.0,4.0,10
2023-12-08,3.7,4.0,3.7,4.0,1000
2023-12-11,4.0,4.0,4.0,4.0,0
2023-12-12,3.7,4.0,3.7,4.0,800
2023-12-13,3.7,4.0,3.6,4.0,1305
2023-12-14,4.0,4.0,4.0,4.0,0
2023-12-15,4.0,4.0,4.0,4.0,0
