date,open,high,low,close,volume
2023-07-10,17.39,17.39,17.39,17.39,1200
2023-07-11,17.31,17.31,17.22,17.22,2700
2023-07-12,17.22,17.22,17.22,17.22,1100
2023-07-13,17.57,17.57,17.48,17.48,4100
2023-07-14,17.39,17.39,17.13,17.13,900
2023-07-17,17.22,17.22,16.86,16.86,500
2023-07-18,16.95,17.22,16.95,17.22,5700
2023-07-19,17.04,17.22,17.04,17.22,300
2023-07-20,17.13,17.13,17.13,17.13,0
2023-07-21,17.22,17.22,17.22,17.22,200
2023-07-24,17.13,17.13,17.13,17.13,300
2023-07-25,17.13,17.13,17.13,17.13,1900
2023-07-26,16.95,16.95,16.95,16.95,1100
2023-07-27,17.13,17.13,16.95,17.13,6700
2023-07-28,17.13,17.13,17.13,17.13,4500
2023-07-31,17.13,17.13,17.13,17.13,5000
2023-08-01,17.13,17.13,17.13,17.13,6100
2023-08-02,17.22,17.22,17.22,17.22,10200
2023-08-03,17.31,17.48,17.31,17.48,8600
2023-08-04,17.84,17.84,17.84,17.84,100
2023-08-07,17.84,18.81,17.39,18.54,4300
2023-08-08,18.28,19.51,18.28,19.51,11600
2023-08-09,19.87,19.95,19.78,19.95,7500
2023-08-10,17.92,17.92,17.04,17.04,146400
2023-08-11,17.57,17.57,17.57,17.57,100
2023-08-14,17.57,18.45,17.31,18.37,11600
2023-08-15,18.45,18.54,18.45,18.45,3300
2023-08-16,18.45,18.45,18.45,18.45,2500
2023-08-17,18.28,18.28,18.28,18.28,200
2023-08-18,17.39,18.37,17.39,18.28,3200
2023-08-21,18.28,18.28,18.28,18.28,500
2023-08-22,18.28,18.28,18.28,18.28,0
2023-08-23,18.19,18.19,18.19,18.19,1000
2023-08-24,18.1,18.1,18.01,18.01,1200
2023-08-25,18.1,18.1,18.1,18.1,500
2023-08-28,18.1,18.19,18.01,18.19,4600
2023-08-29,18.1,18.1,18.1,18.1,0
2023-08-30,18.1,18.63,18.1,18.63,5900
2023-08-31,18.45,18.45,18.45,18.45,0
2023-09-05,18.98,18.98,18.98,18.98,2000
2023-09-06,19.87,19.87,19.87,19.87,300
2023-09-07,19.69,19.87,19.69,19.87,2500
2023-09-08,19.87,19.87,19.87,19.87,0
2023-09-11,19.87,19.87,19.87,19.87,0
2023-09-12,19.87,19.87,19.87,19.87,0
2023-09-13,19.87,19.87,19.87,19.87,0
2023-09-14,19.87,19.87,19.25,19.34,8300
2023-09-15,17.22,19.34,17.22,19.34,2100
2023-09-18,19.25,19.34,19.25,19.34,1000
2023-09-19,19.34,19.34,19.34,19.34,0
2023-09-20,19.34,19.34,19.34,19.34,0
2023-09-21,19.34,19.34,18.54,19.34,1700
2023-09-22,19.16,19.25,19.16,19.25,1300
2023-09-25,19.25,19.25,19.25,19.25,0
2023-09-26,19.25,19.25,19.25,19.25,0
2023-09-27,19.25,19.25,19.25,19.25,0
2023-09-28,19.25,19.25,19.25,19.25,0
2023-09-29,19.25,19.25,19.25,19.25,0
2023-10-02,17.57,17.57,17.48,17.48,1300
2023-10-03,17.39,17.39,17.39,17.39,1200
2023-10-04,17.39,17.39,17.39,17.39,0
2023-10-05,17.13,17.13,17.04,17.04,3200
2023-10-06,17.13,17.13,17.13,17.13,1700
2023-10-09,17.13,17.13,17.13,17.13,0
2023-10-10,17.22,17.22,17.22,17.22,1000
2023-10-11,17.22,17.22,17.22,17.22,0
2023-10-12,17.66,18.45,17.66,18.45,700
2023-10-13,17.92,17.92,17.92,17.92,0
2023-10-16,17.84,18.1,17.84,18.1,1600
2023-10-17,18.37,18.37,18.37,18.37,100
2023-10-18,18.1,18.28,18.1,18.28,1500
2023-10-19,18.1,18.28,18.1,18.28,4000
2023-10-20,18.19,18.19,18.19,18.19,1
2023-10-23,18.19,18.19,18.19,18.19,1
2023-10-24,18.1,18.45,18.1,18.45,1400
2023-10-25,18.37,18.37,18.37,18.37,0
2023-10-26,17.31,17.31,17.31,17.31,4400
2023-10-27,17.31,17.31,17.31,17.31,0
2023-10-30,17.31,17.31,17.31,17.31,0
2023-10-31,17.31,17.48,17.31,17.31,5300
2023-11-01,17.31,17.31,17.31,17.31,0
2023-11-02,18.54,18.72,18.54,18.72,5200
2023-11-03,17.31,18.72,17.31,18.72,200
2023-11-06,18.89,18.98,18.81,18.89,2000
2023-11-07,18.89,18.89,18.89,18.89,100
2023-11-08,18.89,18.89,18.89,18.89,0
2023-11-09,18.89,18.89,18.89,18.89,2100
2023-11-10,18.98,18.98,18.98,18.98,1500
2023-11-13,18.1,19.25,17.66,19.25,6300
2023-11-14,18.19,18.19,18.19,18.19,0
2023-11-15,18.19,18.19,18.19,18.19,0
2023-11-16,17.75,17.75,17.75,17.75,1000
2023-11-17,17.75,17.75,17.75,17.75,0
2023-11-20,17.75,17.84,17.75,17.84,3000
2023-11-21,17.84,17.84,17.84,17.84,0
2023-11-22,17.84,17.84,17.84,17.84,0
2023-11-23,17.84,17.84,17.84,17.84,0
2023-11-24,18.1,18.1,17.84,17.84,1100
2023-11-27,17.84,17.84,17.84,17.84,0
2023-11-28,18.98,18.98,18.98,18.98,100
2023-11-29,18.98,18.98,18.98,18.98,1000
2023-11-30,18.81,18.81,18.81,18.81,1000
2023-12-01,18.81,18.81,18.81,18.81,0
2023-12-04,18.81,18.81,18.81,18.81,1000
2023-12-05,18.81,18.81,18.81,18.81,0
2023-12-06,18.81,18.81,18.81,18.81,0
2023-12-07,18.81,18.81,18.81,18.81,1000
2023-12-08,18.81,18.81,18.81,18.81,0
2023-12-11,18.81,18.81,18.81,18.81,0
2023-12-12,18.81,18.81,18.81,18.81,0
2023-12-13,18.81,18.81,18.81,18.81,0
2023-12-14,18.81,18.81,18.81,18.81,0
2023-12-15,18.72,18.81,18.72,18.81,1400
2023-12-18,18.54,18.54,18.54,18.54,600
2023-12-19,18.54,18.54,18.54,18.54,0
2023-12-20,18.54,18.54,18.54,18.54,0
2023-12-21,18.54,18.54,18.54,18.54,0
2023-12-22,18.1,18.1,18.1,18.1,600
2023-12-25,18.81,18.81,18.81,18.81,100
2023-12-26,18.81,18.81,18.81,18.81,0
2023-12-27,16.16,16.16,16.16,16.16,600
2023-12-28,16.16,16.16,16.16,16.16,0
2023-12-29,18.54,18.54,17.75,17.75,3300
2024-01-02,18.1,18.1,18.1,18.1,200
2024-01-03,18.1,18.1,18.1,18.1,100
2024-01-04,18.1,18.98,18.1,18.98,2600
2024-01-05,18.45,18.45,18.45,18.45,0
2024-01-08,18.45,18.45,18.45,18.45,0
2024-01-09,18.45,18.45,18.45,18.45,300
2024-01-10,18.45,18.45,18.45,18.45,6000
2024-01-11,18.45,18.45,18.45,18.45,1
2024-01-12,18.45,18.45,18.45,18.45,3000
2024-01-15,18.45,18.45,18.45,18.45,700
2024-01-16,18.45,18.45,18.45,18.45,0
2024-01-17,18.45,18.98,18.45,18.98,2600
2024-01-18,18.89,18.89,18.89,18.89,0
2024-01-19,18.89,18.89,18.89,18.89,0
2024-01-22,18.89,18.89,18.89,18.89,200
2024-01-23,18.89,18.89,18.89,18.89,0
2024-01-24,18.89,18.89,18.89,18.89,0
2024-01-25,18.89,18.89,18.89,18.89,5000
2024-01-26,18.89,19.42,18.89,19.42,300
2024-01-29,19.07,19.07,19.07,19.07,10
2024-01-30,19.34,19.34,19.34,19.34,100
2024-01-31,19.34,19.34,19.34,19.34,0
2024-02-01,19.07,19.07,19.07,19.07,14000
2024-02-02,21.1,21.19,19.42,19.42,7500
2024-02-05,20.4,20.4,20.4,20.4,0
2024-02-06,19.87,19.87,19.87,19.87,5000
2024-02-07,19.87,19.87,19.87,19.87,10
2024-02-15,19.87,19.87,19.87,19.87,10
2024-02-16,19.87,19.87,19.87,19.87,0
2024-02-19,19.87,19.87,19.87,19.87,0
2024-02-20,19.87,19.87,19.87,19.87,0
2024-02-21,19.87,19.87,19.87,19.87,45
2024-02-22,19.87,19.87,19.87,19.87,0
2024-02-23,19.87,19.87,19.87,19.87,11
2024-02-26,20.31,20.31,20.04,20.04,1000
2024-02-27,17.75,17.75,17.66,17.66,5000
2024-02-28,18.19,18.19,18.19,18.19,404
2024-02-29,18.72,19.07,18.72,18.98,2700
2024-03-01,18.98,18.98,18.98,18.98,1400
2024-03-04,17.84,18.54,17.84,18.1,3200
