date,open,high,low,close,volume
2024-01-12,18.46,18.46,18.46,18.46,0
2024-01-15,18.46,18.46,18.46,18.46,0
2024-01-16,18.46,18.46,18.46,18.46,0
2024-01-17,18.46,18.46,18.46,18.46,0
2024-01-18,18.46,18.46,18.46,18.46,0
2024-01-19,18.46,18.46,18.46,18.46,0
2024-01-22,18.46,18.46,18.46,18.46,0
2024-01-23,18.46,18.46,18.46,18.46,0
2024-01-24,18.46,18.46,18.46,18.46,0
2024-01-25,18.46,18.46,18.46,18.46,0
2024-01-26,18.46,18.46,18.46,18.46,0
2024-01-29,18.46,18.46,18.46,18.46,0
2024-01-30,18.46,18.46,18.46,18.46,0
2024-01-31,18.46,18.46,18.46,18.46,0
2024-02-01,18.46,18.46,18.46,18.46,0
2024-02-02,18.46,18.46,18.46,18.46,0
2024-02-05,18.46,18.46,18.46,18.46,0
2024-02-06,18.46,18.46,18.46,18.46,0
2024-02-07,18.46,18.46,18.46,18.46,0
2024-02-15,18.46,18.46,18.46,18.46,0
2024-02-16,18.46,18.46,18.46,18.46,0
2024-02-19,18.46,18.46,18.46,18.46,0
2024-02-20,18.46,18.46,18.46,18.46,0
2024-02-21,18.46,18.46,18.46,18.46,0
2024-02-22,18.46,18.46,18.46,18.46,0
2024-02-23,18.46,18.46,18.46,18.46,0
2024-02-26,18.46,18.46,18.46,18.46,0
2024-02-27,18.46,18.46,18.46,18.46,0
2024-02-28,18.46,18.46,18.46,18.46,0
2024-02-29,18.46,18.46,18.46,18.46,0
2024-03-01,18.46,18.46,18.46,18.46,0
2024-03-04,17.55,17.55,17.55,17.55,59900
2024-03-05,17.55,17.55,17.55,17.55,1
2024-03-06,17.55,17.55,17.55,17.55,0
2024-03-07,17.55,17.55,17.55,17.55,0
2024-03-08,17.55,17.55,17.55,17.55,0
2024-03-11,17.55,17.55,17.55,17.55,0
2024-03-12,17.55,17.55,17.55,17.55,0
2024-03-13,17.55,17.55,17.55,17.55,0
2024-03-14,18.1,18.1,18.1,18.1,100
2024-03-15,18.1,18.1,18.1,18.1,0
2024-03-18,18.1,18.1,18.1,18.1,0
2024-03-19,18.1,18.1,18.1,18.1,0
2024-03-20,18.1,18.1,18.1,18.1,0
2024-03-21,18.1,18.1,18.1,18.1,0
2024-03-22,18.1,18.1,18.1,18.1,0
2024-03-25,18.1,18.1,18.1,18.1,0
2024-03-26,18.1,18.1,18.1,18.1,0
2024-03-27,18.1,18.1,18.1,18.1,0
2024-03-28,18.1,18.1,18.1,18.1,0
2024-03-29,18.1,18.1,18.1,18.1,0
2024-04-01,18.1,18.1,18.1,18.1,0
2024-04-02,18.1,18.1,18.1,18.1,0
2024-04-03,18.1,18.1,18.1,18.1,0
2024-04-04,18.1,18.1,18.1,18.1,0
2024-04-05,18.1,18.1,18.1,18.1,0
2024-04-08,18.1,18.1,18.1,18.1,0
2024-04-09,18.1,18.1,18.1,18.1,0
2024-04-10,18.1,18.1,18.1,18.1,0
2024-04-11,18.1,18.1,18.1,18.1,0
2024-04-12,18.1,18.1,18.1,18.1,0
2024-04-15,18.1,18.1,18.1,18.1,0
2024-04-16,18.1,18.1,18.1,18.1,0
2024-04-17,18.1,18.1,18.1,18.1,0
2024-04-19,18.1,18.1,18.1,18.1,0
2024-04-22,18.1,18.1,18.1,18.1,0
2024-04-23,15.38,15.38,15.38,15.38,1300
2024-04-24,15.38,15.38,15.38,15.38,0
2024-04-25,15.38,15.38,15.38,15.38,0
2024-04-26,15.38,15.38,15.38,15.38,0
2024-05-02,15.38,15.38,15.38,15.38,0
2024-05-03,15.38,15.38,15.38,15.38,0
2024-05-06,15.38,15.38,15.38,15.38,0
2024-05-07,15.38,15.38,15.38,15.38,0
2024-05-08,15.38,15.38,15.38,15.38,0
2024-05-09,15.38,15.38,15.38,15.38,0
2024-05-10,15.38,15.38,15.38,15.38,0
2024-05-13,15.38,15.38,15.38,15.38,0
2024-05-14,15.38,15.38,15.38,15.38,0
2024-05-15,15.38,15.38,15.38,15.38,0
2024-05-16,15.38,15.38,15.38,15.38,0
2024-05-17,15.38,15.38,15.38,15.38,0
2024-05-20,15.38,15.38,15.38,15.38,0
2024-05-21,15.38,15.38,15.38,15.38,0
2024-05-22,15.38,15.38,15.38,15.38,0
2024-05-23,15.38,15.38,15.38,15.38,0
2024-05-24,15.38,15.38,15.38,15.38,0
2024-05-27,15.38,15.38,15.38,15.38,0
2024-05-28,15.38,15.38,15.38,15.38,0
2024-05-29,15.38,15.38,15.38,15.38,0
2024-05-30,15.38,15.38,15.38,15.38,0
2024-05-31,15.38,15.38,15.38,15.38,0
2024-06-03,15.38,15.38,15.38,15.38,0
2024-06-04,15.38,15.38,15.38,15.38,0
2024-06-05,15.38,15.38,15.38,15.38,0
2024-06-06,15.38,15.38,15.38,15.38,0
2024-06-07,15.38,15.38,15.38,15.38,0
2024-06-10,15.38,15.38,15.38,15.38,0
2024-06-11,15.38,15.38,15.38,15.38,0
2024-06-12,15.38,15.38,15.38,15.38,0
2024-06-13,15.38,15.38,15.38,15.38,0
2024-06-14,15.38,15.38,15.38,15.38,0
2024-06-17,15.38,15.38,15.38,15.38,0
2024-06-18,15.38,15.38,15.38,15.38,0
2024-06-19,16.29,16.29,16.29,16.29,1000
2024-06-20,16.29,16.29,16.29,16.29,0
2024-06-21,16.29,16.29,16.29,16.29,2000
2024-06-24,16.29,16.29,16.29,16.29,1
2024-06-25,16.29,16.29,16.29,16.29,0
2024-06-26,16.29,16.29,16.29,16.29,0
2024-06-27,16.29,16.29,16.29,16.29,0
2024-06-28,16.29,16.29,16.29,16.29,0
2024-07-01,16.29,16.29,16.29,16.29,0
2024-07-02,16.29,16.29,16.29,16.29,0
2024-07-03,16.29,16.29,16.29,16.29,0
2024-07-04,16.29,16.29,16.29,16.29,0
2024-07-05,16.29,16.29,16.29,16.29,0
2024-07-08,16.29,16.29,16.29,16.29,0
2024-07-09,16.29,16.29,16.29,16.29,0
2024-07-10,16.29,16.29,16.29,16.29,0
2024-07-11,16.29,16.29,16.29,16.29,0
2024-07-12,16.29,16.29,16.29,16.29,1
2024-07-15,16.29,16.29,16.29,16.29,0
2024-07-16,16.29,16.29,16.29,16.29,0
2024-07-17,16.29,16.29,16.29,16.29,0
2024-07-18,16.29,16.29,16.29,16.29,0
2024-07-19,16.29,16.29,16.29,16.29,0
2024-07-22,16.29,16.29,16.29,16.29,0
2024-07-23,16.29,16.29,16.29,16.29,0
2024-07-24,16.29,16.29,16.29,16.29,0
2024-07-25,16.29,16.29,16.29,16.29,0
2024-07-26,16.29,16.29,16.29,16.29,0
2024-07-29,16.29,16.29,16.29,16.29,0
2024-07-30,16.29,16.29,16.29,16.29,0
2024-07-31,16.29,16.29,16.29,16.29,0
2024-08-01,16.29,16.29,16.29,16.29,0
2024-08-02,16.29,16.29,16.29,16.29,0
2024-08-05,16.29,16.29,16.29,16.29,0
2024-08-06,16.29,16.29,16.29,16.29,0
2024-08-07,16.29,16.29,16.29,16.29,0
2024-08-08,16.29,16.29,16.29,16.29,0
2024-08-09,16.29,16.29,16.29,16.29,0
2024-08-12,16.29,16.29,16.29,16.29,0
2024-08-13,16.29,16.29,16.29,16.29,0
2024-08-14,16.29,16.29,16.29,16.29,0
2024-08-15,16.29,16.29,16.29,16.29,0
2024-08-16,16.29,16.29,16.29,16.29,0
2024-08-19,16.29,16.29,16.29,16.29,0
2024-08-20,16.29,16.29,16.29,16.29,0
2024-08-21,16.29,16.29,16.29,16.29,0
2024-08-22,16.29,16.29,16.29,16.29,0
2024-08-23,16.29,16.29,16.29,16.29,0
2024-08-26,16.29,16.29,16.29,16.29,0
2024-08-27,16.29,16.29,16.29,16.29,0
2024-08-28,16.29,16.29,16.29,16.29,0
2024-08-29,16.29,16.29,16.29,16.29,0
2024-08-30,16.29,16.29,16.29,16.29,0
2024-09-04,16.29,16.29,16.29,16.29,0
2024-09-05,16.29,16.29,16.29,16.29,0
2024-09-06,16.29,16.29,16.29,16.29,0
2024-09-09,16.29,16.29,16.29,16.29,0
2024-09-10,16.29,16.29,16.29,16.29,0
2024-09-11,16.29,16.29,16.29,16.29,0
2024-09-12,16.29,16.29,16.29,16.29,0
2024-09-13,16.29,16.29,16.29,16.29,0
2024-09-16,16.29,16.29,16.29,16.29,0
2024-09-17,16.29,16.29,16.29,16.29,0
2024-09-18,16.29,16.29,16.29,16.29,0
2024-09-19,16.29,16.29,16.29,16.29,0
2024-09-20,16.29,16.29,16.29,16.29,0
2024-09-23,16.29,16.29,16.29,16.29,0
2024-09-24,16.29,16.29,16.29,16.29,0
2024-09-25,19.91,19.91,19.91,19.91,3300
2024-09-26,19.91,19.91,19.91,19.91,4
2024-09-27,19.91,19.91,19.91,19.91,0
2024-09-30,19.91,19.91,19.91,19.91,0
2024-10-01,19.91,19.91,19.91,19.91,0
2024-10-02,22.44,22.62,22.44,22.62,300
2024-10-03,22.53,22.53,22.53,22.53,0
2024-10-04,22.53,22.53,22.53,22.53,0
2024-10-07,22.53,22.53,22.53,22.53,0
2024-10-08,22.53,22.53,22.53,22.53,0
2024-10-09,22.53,22.53,22.53,22.53,0
2024-10-10,22.53,22.53,22.53,22.53,0
2024-10-11,22.53,22.53,22.53,22.53,0
2024-10-14,22.53,22.53,22.53,22.53,0
2024-10-15,22.53,22.53,22.53,22.53,0
2024-10-16,22.53,22.53,22.53,22.53,0
2024-10-17,22.53,22.53,22.53,22.53,0
