date,open,high,low,close,volume
2023-04-27,41.35,41.35,41.35,41.35,0
2023-04-28,41.35,41.35,41.35,41.35,0
2023-05-04,41.35,41.35,41.35,41.35,1
2023-05-05,41.35,41.35,41.35,41.35,0
2023-05-08,41.35,41.35,41.35,41.35,0
2023-05-09,41.35,41.35,41.35,41.35,0
2023-05-10,41.35,41.35,41.35,41.35,0
2023-05-11,41.35,41.35,41.35,41.35,0
2023-05-12,41.35,41.35,41.35,41.35,0
2023-05-15,41.35,41.35,41.35,41.35,0
2023-05-16,41.35,41.35,41.35,41.35,0
2023-05-17,41.35,41.35,41.35,41.35,0
2023-05-18,41.35,41.35,41.35,41.35,0
2023-05-19,41.35,41.35,41.35,41.35,0
2023-05-22,41.35,41.35,41.35,41.35,0
2023-05-23,41.35,41.35,41.35,41.35,0
2023-05-24,41.35,41.35,41.35,41.35,0
2023-05-25,35.22,35.22,35.22,35.22,201
2023-05-26,40.5,40.5,40.5,40.5,100
2023-05-29,34.46,34.46,34.46,34.46,1905
2023-05-30,34.45,34.45,34.45,34.45,0
2023-05-31,34.45,34.45,34.45,34.45,0
2023-06-01,39.62,39.62,39.62,39.62,104
2023-06-02,45.52,45.52,45.52,45.52,102
2023-06-05,45.52,45.52,45.52,45.52,0
2023-06-06,49.96,49.96,49.96,49.96,100
2023-06-07,53.86,53.86,53.86,53.86,108
2023-06-08,45.79,53.77,45.79,53.77,2000
2023-06-09,53.04,53.04,53.04,53.04,102
2023-06-12,45.15,60.93,45.15,60.93,2702
2023-06-13,58.57,58.57,58.57,58.57,1
2023-06-14,58.57,58.57,58.57,58.57,0
2023-06-15,58.57,58.57,58.57,58.57,0
2023-06-16,58.57,58.57,58.57,58.57,0
2023-06-19,58.57,58.57,58.57,58.57,0
2023-06-20,58.57,58.57,58.57,58.57,0
2023-06-21,58.57,58.57,58.57,58.57,0
2023-06-22,58.57,58.57,58.57,58.57,0
2023-06-23,58.57,58.57,58.57,58.57,0
2023-06-26,58.57,58.57,58.57,58.57,0
2023-06-27,58.57,58.57,58.57,58.57,0
2023-06-28,58.57,58.57,58.57,58.57,0
2023-06-29,58.57,58.57,58.57,58.57,0
2023-06-30,58.57,58.57,58.57,58.57,0
2023-07-03,58.57,58.57,58.57,58.57,0
2023-07-04,58.57,58.57,58.57,58.57,0
2023-07-05,58.57,58.57,58.57,58.57,0
2023-07-06,58.57,58.57,58.57,58.57,0
2023-07-07,58.57,58.57,58.57,58.57,0
2023-07-10,58.57,58.57,58.57,58.57,0
2023-07-11,58.57,58.57,58.57,58.57,0
2023-07-12,58.57,58.57,58.57,58.57,0
2023-07-13,58.57,58.57,58.57,58.57,0
2023-07-14,58.57,58.57,58.57,58.57,0
2023-07-17,58.57,58.57,58.57,58.57,0
2023-07-18,58.57,58.57,58.57,58.57,0
2023-07-19,58.57,58.57,58.57,58.57,0
2023-07-20,58.57,58.57,58.57,58.57,0
2023-07-21,58.57,58.57,58.57,58.57,0
2023-07-24,58.57,58.57,58.57,58.57,0
2023-07-25,58.57,58.57,58.57,58.57,0
2023-07-26,58.57,58.57,58.57,58.57,0
2023-07-27,58.57,58.57,58.57,58.57,0
2023-07-28,58.57,58.57,58.57,58.57,0
2023-07-31,58.57,58.57,58.57,58.57,0
2023-08-01,58.57,58.57,58.57,58.57,0
2023-08-02,58.57,58.57,58.57,58.57,0
2023-08-03,58.57,58.57,58.57,58.57,0
2023-08-04,58.57,58.57,58.57,58.57,0
2023-08-07,58.57,58.57,58.57,58.57,0
2023-08-08,58.57,58.57,58.57,58.57,0
2023-08-09,58.57,58.57,58.57,58.57,0
2023-08-10,58.57,58.57,58.57,58.57,0
2023-08-11,58.57,58.57,58.57,58.57,0
2023-08-14,58.57,58.57,58.57,58.57,0
2023-08-15,58.57,58.57,58.57,58.57,0
2023-08-16,58.57,58.57,58.57,58.57,0
2023-08-17,58.57,58.57,58.57,58.57,0
2023-08-18,58.57,58.57,58.57,58.57,0
2023-08-21,58.57,58.57,58.57,58.57,0
2023-08-22,58.57,58.57,58.57,58.57,0
2023-08-23,58.57,58.57,58.57,58.57,0
2023-08-24,58.57,58.57,58.57,58.57,0
2023-08-25,58.57,58.57,58.57,58.57,0
2023-08-28,58.57,58.57,58.57,58.57,0
2023-08-29,58.57,58.57,58.57,58.57,0
2023-08-30,58.57,58.57,58.57,58.57,0
2023-08-31,58.57,58.57,58.57,58.57,0
2023-09-05,58.57,58.57,58.57,58.57,0
2023-09-06,58.57,58.57,58.57,58.57,0
2023-09-07,58.57,58.57,58.57,58.57,0
2023-09-08,58.57,58.57,58.57,58.57,0
2023-09-11,58.57,58.57,58.57,58.57,0
2023-09-12,58.57,58.57,58.57,58.57,0
2023-09-13,58.57,58.57,58.57,58.57,0
2023-09-14,58.57,58.57,58.57,58.57,0
2023-09-15,58.57,58.57,58.57,58.57,0
2023-09-18,58.57,58.57,58.57,58.57,0
2023-09-19,58.57,58.57,58.57,58.57,0
2023-09-20,58.57,58.57,58.57,58.57,0
2023-09-21,58.57,58.57,58.57,58.57,0
2023-09-22,58.57,58.57,58.57,58.57,0
2023-09-25,58.57,58.57,58.57,58.57,0
2023-09-26,58.57,58.57,58.57,58.57,0
2023-09-27,58.57,58.57,58.57,58.57,0
2023-09-28,58.57,58.57,58.57,58.57,0
2023-09-29,58.57,58.57,58.57,58.57,0
2023-10-02,58.57,58.57,58.57,58.57,0
2023-10-03,58.57,58.57,58.57,58.57,0
2023-10-04,58.57,58.57,58.57,58.57,0
2023-10-05,58.57,58.57,58.57,58.57,0
2023-10-06,58.57,58.57,58.57,58.57,0
2023-10-09,58.57,58.57,58.57,58.57,0
2023-10-10,58.57,58.57,58.57,58.57,0
2023-10-11,58.57,58.57,58.57,58.57,0
2023-10-12,58.57,58.57,58.57,58.57,0
2023-10-13,58.57,58.57,58.57,58.57,0
2023-10-16,58.57,58.57,58.57,58.57,0
2023-10-17,58.57,58.57,58.57,58.57,0
2023-10-18,58.57,58.57,58.57,58.57,0
2023-10-19,58.57,58.57,58.57,58.57,0
2023-10-20,58.57,58.57,58.57,58.57,0
2023-10-23,58.57,58.57,58.57,58.57,0
2023-10-24,58.57,58.57,58.57,58.57,0
2023-10-25,58.57,58.57,58.57,58.57,0
2023-10-26,58.57,58.57,58.57,58.57,0
2023-10-27,58.57,58.57,58.57,58.57,0
2023-10-30,58.57,58.57,58.57,58.57,0
2023-10-31,58.57,58.57,58.57,58.57,0
2023-11-01,58.57,58.57,58.57,58.57,0
2023-11-02,58.57,58.57,58.57,58.57,0
2023-11-03,58.57,58.57,58.57,58.57,0
2023-11-06,58.57,58.57,58.57,58.57,0
2023-11-07,58.57,58.57,58.57,58.57,0
2023-11-08,58.57,58.57,58.57,58.57,0
2023-11-09,58.57,58.57,58.57,58.57,0
2023-11-10,58.57,58.57,58.57,58.57,0
2023-11-13,58.57,58.57,58.57,58.57,0
2023-11-14,58.57,58.57,58.57,58.57,0
2023-11-15,58.57,58.57,58.57,58.57,0
2023-11-16,58.57,58.57,58.57,58.57,0
2023-11-17,58.57,58.57,58.57,58.57,0
2023-11-20,58.57,58.57,58.57,58.57,0
2023-11-21,58.57,58.57,58.57,58.57,0
2023-11-22,58.57,58.57,58.57,58.57,0
2023-11-23,58.57,58.57,58.57,58.57,0
2023-11-24,58.57,58.57,58.57,58.57,0
2023-11-27,58.57,58.57,58.57,58.57,0
2023-11-28,58.57,58.57,58.57,58.57,0
2023-11-29,58.57,58.57,58.57,58.57,0
2023-11-30,58.57,58.57,58.57,58.57,0
2023-12-01,58.57,58.57,58.57,58.57,0
2023-12-04,58.57,58.57,58.57,58.57,0
2023-12-05,58.57,58.57,58.57,58.57,0
2023-12-06,58.57,58.57,58.57,58.57,0
2023-12-07,58.57,58.57,58.57,58.57,0
2023-12-08,58.57,58.57,58.57,58.57,0
2023-12-11,58.57,58.57,58.57,58.57,0
2023-12-12,58.57,58.57,58.57,58.57,0
2023-12-13,58.57,58.57,58.57,58.57,0
2023-12-14,58.57,58.57,58.57,58.57,0
2023-12-15,58.57,58.57,58.57,58.57,0
2023-12-18,58.57,58.57,58.57,58.57,0
2023-12-19,58.57,58.57,58.57,58.57,0
2023-12-20,58.57,58.57,58.57,58.57,0
2023-12-21,58.57,58.57,58.57,58.57,0
2023-12-22,58.57,58.57,58.57,58.57,0
2023-12-25,58.57,58.57,58.57,58.57,0
2023-12-26,58.57,58.57,58.57,58.57,0
2023-12-27,58.57,58.57,58.57,58.57,0
2023-12-28,58.57,58.57,58.57,58.57,0
2023-12-29,58.57,58.57,58.57,58.57,0
2024-01-02,58.57,58.57,58.57,58.57,0
