date,open,high,low,close,volume
2022-10-17,48.5,49.0,47.7,48.8,527300
2022-10-18,48.6,49.5,48.0,48.5,510417
2022-10-19,48.3,48.4,46.8,46.8,1144340
2022-10-20,46.5,47.3,43.5,47.2,301400
2022-10-21,47.0,47.4,45.8,47.2,265500
2022-10-24,46.8,47.4,45.5,46.8,259700
2022-10-25,46.5,47.6,46.0,47.4,270800
2022-10-26,47.1,47.4,46.5,47.4,452700
2022-10-27,47.1,47.6,47.1,47.5,252000
2022-10-28,47.4,47.4,46.8,47.1,266100
2022-10-31,47.0,47.4,46.3,47.1,220400
2022-11-01,46.9,47.3,46.8,47.2,489100
2022-11-02,47.0,47.2,46.3,46.8,248500
2022-11-03,46.8,46.8,46.0,46.8,277000
2022-11-04,46.6,46.8,45.2,46.6,226500
2022-11-07,46.4,47.1,46.3,46.7,193000
2022-11-08,46.3,47.0,46.2,46.7,174400
2022-11-09,46.4,46.7,46.0,46.5,179300
2022-11-10,46.3,46.8,45.8,45.9,270400
2022-11-11,45.8,45.9,45.0,45.9,237800
2022-11-14,45.6,45.6,44.0,44.8,89600
2022-11-15,44.6,44.6,43.6,43.7,102400
2022-11-16,43.5,44.7,41.6,43.7,285300
2022-11-17,43.3,43.3,43.0,43.2,74300
2022-11-18,42.5,43.4,42.0,43.4,84900
2022-11-21,43.0,44.5,42.9,43.4,143700
2022-11-22,42.8,42.8,42.5,42.5,86320
2022-11-23,46.7,46.7,38.3,41.5,333334
2022-11-24,41.9,41.9,40.0,41.3,182400
2022-11-25,41.0,41.0,40.0,41.0,107905
2022-11-28,40.9,40.9,39.0,39.0,114600
2022-11-29,38.7,40.0,38.7,40.0,86500
2022-11-30,39.8,39.9,38.0,39.6,24500
2022-12-01,39.8,43.5,35.7,43.5,186158
2022-12-02,43.5,43.5,41.0,41.9,10900
2022-12-05,42.8,42.9,39.8,39.8,74700
2022-12-06,39.5,41.0,37.0,41.0,13000
2022-12-07,42.8,42.8,40.5,41.5,64100
2022-12-08,41.5,42.8,37.4,37.4,48400
2022-12-09,37.4,41.0,37.4,41.0,58500
2022-12-12,39.9,41.0,36.9,36.9,52300
2022-12-13,36.9,36.9,36.9,36.9,0
2022-12-14,34.5,34.5,34.0,34.0,200
2022-12-15,36.0,36.0,36.0,36.0,100
2022-12-16,34.5,34.5,32.4,32.4,2104
2022-12-19,29.2,30.9,29.2,30.9,2900
2022-12-20,32.5,32.5,32.5,32.5,200
2022-12-21,34.0,34.0,34.0,34.0,1800
2022-12-22,34.0,34.0,34.0,34.0,0
2022-12-23,34.0,34.0,34.0,34.0,0
2022-12-26,34.0,34.0,34.0,34.0,0
2022-12-27,33.7,33.7,33.7,33.7,1200
2022-12-28,33.7,33.7,33.7,33.7,0
2022-12-29,30.4,35.4,30.4,35.4,900
2022-12-30,35.3,37.4,35.3,37.4,3200
2023-01-03,36.9,36.9,36.9,36.9,100
2023-01-04,36.9,36.9,36.9,36.9,0
2023-01-05,37.4,40.0,37.4,40.0,153600
2023-01-06,40.0,40.0,40.0,40.0,0
2023-01-09,40.0,40.0,40.0,40.0,50100
2023-01-10,40.0,40.0,40.0,40.0,0
2023-01-11,40.0,40.0,40.0,40.0,0
2023-01-12,40.0,40.0,40.0,40.0,0
2023-01-13,38.0,39.9,38.0,39.9,68500
2023-01-16,39.9,39.9,39.9,39.9,51000
2023-01-17,39.9,39.9,39.9,39.9,0
2023-01-18,39.9,39.9,39.9,39.9,0
2023-01-19,39.9,39.9,39.9,39.9,0
2023-01-27,39.9,39.9,39.9,39.9,0
2023-01-30,39.9,39.9,39.9,39.9,0
2023-01-31,39.9,39.9,39.9,39.9,0
2023-02-01,39.9,39.9,39.9,39.9,0
2023-02-02,39.9,39.9,39.9,39.9,0
2023-02-03,39.9,39.9,39.9,39.9,0
2023-02-06,39.9,39.9,39.9,39.9,0
2023-02-07,39.9,39.9,39.9,39.9,0
2023-02-08,36.0,39.9,36.0,39.9,200
2023-02-09,39.9,39.9,39.9,39.9,0
2023-02-10,39.9,39.9,39.9,39.9,0
2023-02-13,39.9,39.9,39.9,39.9,0
2023-02-14,39.9,39.9,39.9,39.9,0
2023-02-15,39.9,39.9,39.9,39.9,0
2023-02-16,39.9,39.9,39.9,39.9,0
2023-02-17,39.9,39.9,39.9,39.9,0
2023-02-20,39.9,39.9,39.9,39.9,0
2023-02-21,39.0,39.4,39.0,39.3,126600
2023-02-22,39.3,39.3,39.3,39.3,0
2023-02-23,39.3,39.3,39.3,39.3,0
2023-02-24,39.3,39.3,39.3,39.3,0
2023-02-27,38.5,38.8,38.5,38.5,84000
2023-02-28,38.5,38.5,38.5,38.5,0
2023-03-01,38.5,38.5,38.5,38.5,0
2023-03-02,38.5,38.5,38.5,38.5,0
2023-03-03,34.7,39.8,34.7,39.6,41800
2023-03-06,39.6,39.6,39.6,39.6,0
2023-03-07,39.6,39.6,39.6,39.6,0
2023-03-08,39.6,39.6,39.6,39.6,0
2023-03-09,39.6,39.6,39.6,39.6,0
2023-03-10,39.6,39.6,39.6,39.6,0
2023-03-13,39.4,39.4,39.1,39.1,350000
2023-03-14,39.0,39.4,38.8,39.4,101500
2023-03-15,39.4,39.4,38.0,39.1,110000
2023-03-16,37.5,39.0,35.5,39.0,44500
2023-03-17,39.1,39.1,39.0,39.1,121200
2023-03-20,39.0,39.4,38.9,39.4,97401
2023-03-21,40.0,40.0,40.0,40.0,15800
2023-03-22,40.5,40.5,40.5,40.5,11304
2023-03-23,40.8,40.8,40.8,40.8,12600
2023-03-24,40.9,40.9,40.9,40.9,11500
2023-03-27,40.7,40.7,40.7,40.7,13300
2023-03-28,39.9,40.6,37.8,40.6,40400
2023-03-29,40.5,40.8,40.0,40.0,25900
2023-03-30,40.5,40.8,40.5,40.5,51703
2023-03-31,39.9,42.5,39.9,41.6,62173
2023-04-03,41.6,41.9,40.5,41.8,50900
2023-04-04,41.7,41.7,41.0,41.3,46630
2023-04-05,41.5,41.5,40.5,41.0,455100
2023-04-06,41.0,41.0,39.2,40.5,46003
2023-04-07,40.5,40.8,40.5,40.6,57900
2023-04-10,40.4,40.4,38.0,40.3,147200
2023-04-11,39.9,40.4,37.9,40.4,41300
2023-04-12,40.3,40.6,37.2,40.6,111700
2023-04-13,40.6,40.7,40.1,40.6,16600
2023-04-14,40.2,40.8,39.8,40.8,18600
2023-04-17,40.5,40.5,40.5,40.5,5000
2023-04-18,40.4,40.4,37.6,39.0,16900
2023-04-19,38.5,39.0,35.1,39.0,20200
2023-04-20,36.1,39.0,35.1,39.0,10500
2023-04-21,39.0,39.0,38.9,38.9,3600
2023-04-24,38.9,38.9,38.9,38.9,2000
2023-04-25,37.7,38.8,37.7,38.4,2300
2023-04-26,38.1,39.0,38.1,39.0,5500
2023-04-27,39.0,39.0,39.0,39.0,1000
2023-04-28,40.0,40.0,40.0,40.0,2000
2023-05-04,40.0,40.0,40.0,40.0,1000
2023-05-05,39.5,39.5,39.5,39.5,2000
2023-05-08,40.0,40.0,40.0,40.0,1000
2023-05-09,40.0,40.0,40.0,40.0,2001
2023-05-10,39.8,39.8,39.8,39.8,51000
2023-05-11,39.8,39.8,38.9,38.9,2100
2023-05-12,38.0,38.9,38.0,38.9,1100
2023-05-15,40.0,40.0,39.6,39.6,2000
2023-05-16,39.3,39.3,37.5,39.3,1600
2023-05-17,38.9,39.1,35.6,39.1,4401
2023-05-18,39.0,39.0,39.0,39.0,4000
2023-05-19,38.8,38.8,38.8,38.8,2000
2023-05-22,38.4,38.8,37.1,38.8,16160
2023-05-23,38.7,38.7,35.4,35.4,2101
2023-05-24,38.6,38.6,38.4,38.4,2000
2023-05-25,38.4,38.4,38.4,38.4,7300
2023-05-26,38.3,38.3,38.2,38.2,7300
2023-05-29,38.0,42.0,38.0,38.3,20710
2023-05-30,38.3,38.8,34.5,34.5,14600
2023-05-31,35.0,37.9,35.0,37.9,166900
2023-06-01,40.0,40.5,34.2,35.2,33300
2023-06-02,32.3,34.8,32.3,34.8,26600
2023-06-05,34.8,34.8,31.7,34.2,89200
2023-06-06,34.7,34.7,31.7,34.0,16000
2023-06-07,34.0,34.0,30.7,33.6,12600
2023-06-08,33.8,33.8,33.4,33.4,8000
2023-06-09,33.1,33.1,30.9,32.9,13900
2023-06-12,34.0,34.0,30.3,33.2,11600
2023-06-13,33.2,33.2,30.1,33.2,36400
2023-06-14,34.5,34.5,33.5,33.5,7800
2023-06-15,33.1,33.1,33.1,33.1,8100
2023-06-16,31.9,32.9,31.8,32.9,29800
2023-06-19,32.9,32.9,31.8,31.8,20800
2023-06-20,31.9,33.0,31.0,31.8,43100
2023-06-21,32.8,32.8,32.3,32.3,38600
2023-06-22,32.8,32.8,31.1,31.1,39300
2023-06-23,32.7,32.7,32.1,32.1,17400
2023-06-26,31.9,31.9,31.9,31.9,5500
2023-06-27,31.7,31.9,31.4,31.9,19700
2023-06-28,31.7,31.9,30.5,31.9,8900
2023-06-29,30.0,34.6,29.1,34.6,22800
2023-06-30,37.4,37.4,32.3,35.7,20000
2023-07-03,35.0,35.0,34.4,34.4,8800
2023-07-04,35.3,35.3,32.2,33.0,40500
2023-07-05,32.3,32.5,32.0,32.0,39400
2023-07-06,32.0,33.6,32.0,33.6,39500
2023-07-07,32.0,32.5,32.0,32.5,42500
2023-07-10,32.0,32.5,31.9,32.5,34001
2023-07-11,32.0,32.5,30.0,30.0,50400
2023-07-12,31.5,31.8,31.5,31.8,8400
2023-07-13,31.5,31.5,31.0,31.0,100600
2023-07-14,31.5,31.5,31.0,31.5,100800
2023-07-17,31.0,31.6,31.0,31.5,40500
2023-07-18,31.2,32.0,30.5,32.0,62200
2023-07-19,32.0,32.0,28.8,28.8,7200
2023-07-20,30.9,31.6,30.0,31.6,112508
2023-07-21,31.6,32.5,31.6,32.2,22200
2023-07-24,31.8,31.8,29.5,29.5,23000
2023-07-25,29.5,32.0,29.5,31.8,29540
2023-07-26,31.8,31.8,31.8,31.8,2000
