date,open,high,low,close,volume
2023-12-04,8.72,8.8,8.72,8.8,6000
2023-12-05,8.72,8.72,8.71,8.71,600
2023-12-06,8.71,8.8,8.71,8.8,2100
2023-12-07,8.8,8.8,8.8,8.8,0
2023-12-08,8.8,8.9,8.8,8.9,2200
2023-12-11,8.85,8.95,8.85,8.95,500
2023-12-12,8.95,8.95,8.95,8.95,0
2023-12-13,8.9,8.9,8.9,8.9,400
2023-12-14,8.9,8.95,8.9,8.95,801
2023-12-15,8.98,8.99,8.97,8.99,3004
2023-12-18,8.9,9.04,8.9,9.04,5100
2023-12-19,8.72,8.99,8.72,8.99,200
2023-12-20,8.99,8.99,8.99,8.99,0
2023-12-21,8.99,8.99,8.99,8.99,500
2023-12-22,8.95,9.13,8.95,9.13,5150
2023-12-25,8.99,9.28,8.99,9.28,7703
2023-12-26,9.02,9.28,9.01,9.28,300
2023-12-27,9.03,9.28,9.02,9.28,3000
2023-12-28,9.04,9.27,9.01,9.27,2800
2023-12-29,9.27,9.27,9.27,9.27,0
2024-01-02,9.27,9.27,8.86,8.86,203
2024-01-03,8.99,8.99,8.99,8.99,100
2024-01-04,9.08,9.08,9.08,9.08,120
2024-01-05,8.99,9.19,8.99,9.09,13300
2024-01-08,9.04,9.28,9.01,9.27,40020
2024-01-09,9.27,9.27,9.13,9.13,5815
2024-01-10,9.09,9.09,9.05,9.05,3020
2024-01-11,9.09,9.36,9.09,9.13,29700
2024-01-12,9.17,9.18,9.17,9.18,1400
2024-01-15,9.17,9.37,9.17,9.37,2520
2024-01-16,9.36,9.37,9.36,9.37,2200
2024-01-17,9.36,9.37,9.36,9.37,5150
2024-01-18,9.36,9.37,9.36,9.37,1104
2024-01-19,9.37,9.37,9.35,9.36,546
2024-01-22,9.28,9.28,9.01,9.28,440
2024-01-23,9.32,9.47,9.04,9.42,4510
2024-01-24,9.15,9.15,9.15,9.15,100
2024-01-25,9.47,9.47,9.47,9.47,100
2024-01-26,9.44,9.45,9.44,9.45,200
2024-01-29,9.12,9.12,9.12,9.12,500
2024-01-30,9.47,9.47,9.47,9.47,101
2024-01-31,9.09,9.09,8.99,8.99,709
2024-02-01,8.99,8.99,8.99,8.99,2734
2024-02-02,8.99,8.99,8.99,8.99,0
2024-02-05,8.99,8.99,8.99,8.99,0
2024-02-06,9.18,9.18,9.18,9.18,108
2024-02-07,8.9,9.18,8.9,9.18,600
2024-02-15,9.18,9.18,9.18,9.18,0
2024-02-16,9.18,9.18,9.18,9.18,100
2024-02-19,9.18,9.28,9.18,9.28,2500
2024-02-20,9.28,9.28,9.28,9.28,10000
2024-02-21,9.28,9.28,9.28,9.28,0
2024-02-22,9.28,9.28,9.28,9.28,1
2024-02-23,9.27,9.28,9.27,9.28,18000
2024-02-26,8.81,9.18,8.81,9.18,635
2024-02-27,9.18,9.18,9.09,9.09,700
2024-02-28,8.9,8.9,8.9,8.9,100
2024-02-29,8.9,9.17,8.9,8.9,2300
2024-03-01,8.9,8.9,8.9,8.9,1100
2024-03-04,8.85,8.99,8.72,8.9,15000
2024-03-05,9.09,9.09,8.81,8.81,22701
2024-03-06,8.82,8.99,8.81,8.9,10400
2024-03-07,8.89,8.95,8.89,8.95,5700
2024-03-08,8.95,8.95,8.8,8.94,6000
2024-03-11,8.94,8.94,8.94,8.94,0
2024-03-12,8.53,8.8,8.53,8.78,3105
2024-03-13,8.99,8.99,8.71,8.89,15900
2024-03-14,8.72,8.73,8.71,8.71,3700
2024-03-15,8.67,8.76,8.66,8.67,11125
2024-03-18,8.67,8.71,8.66,8.71,3100
2024-03-19,8.71,8.71,8.59,8.61,11300
2024-03-20,8.78,8.78,8.61,8.61,2910
2024-03-21,8.62,8.76,8.52,8.53,30300
2024-03-22,8.61,8.61,8.42,8.42,48900
2024-03-25,8.42,8.52,8.41,8.52,10800
2024-03-26,8.42,8.52,8.39,8.39,8200
2024-03-27,8.42,8.52,8.33,8.52,30983
2024-03-28,8.47,8.71,8.34,8.57,9315
2024-03-29,8.71,8.71,8.7,8.7,201
2024-04-01,8.61,8.61,8.44,8.44,1900
2024-04-02,8.46,8.52,8.46,8.52,9935
2024-04-03,8.6,8.65,8.52,8.52,6800
2024-04-04,8.52,8.52,8.52,8.52,7200
2024-04-05,8.52,8.52,8.52,8.52,200
2024-04-08,8.39,8.51,8.34,8.42,9814
2024-04-09,8.38,8.38,8.38,8.38,300
2024-04-10,8.46,8.46,8.46,8.46,662
2024-04-11,8.35,8.55,8.34,8.55,1300
2024-04-12,8.55,8.55,8.55,8.55,11
2024-04-15,8.45,8.45,8.35,8.35,1900
2024-04-16,8.36,8.61,8.36,8.47,362
