date,open,high,low,close,volume
2023-10-23,4.0,4.0,3.8,3.9,19900
2023-10-24,3.9,4.0,3.9,4.0,20700
2023-10-25,3.5,4.0,3.4,4.0,7619
2023-10-26,3.5,3.9,3.5,3.8,9720
2023-10-27,3.8,4.2,3.8,4.2,600
2023-10-30,4.1,4.1,4.0,4.0,2296
2023-10-31,3.9,3.9,3.9,3.9,3200
2023-11-01,3.9,3.9,3.5,3.5,3300
2023-11-02,4.0,4.0,4.0,4.0,34800
2023-11-03,3.5,4.5,3.4,4.3,5500
2023-11-06,4.1,4.1,4.1,4.1,7590
2023-11-07,3.8,4.3,3.8,4.0,2401
2023-11-08,3.8,4.7,3.8,4.7,600
2023-11-09,4.5,4.6,4.5,4.5,1400
2023-11-10,4.5,4.5,4.4,4.4,802
2023-11-13,4.3,4.3,4.0,4.3,700
2023-11-14,4.6,4.6,4.0,4.4,5300
2023-11-15,4.6,4.6,4.0,4.2,1821
2023-11-16,4.1,4.2,4.0,4.1,3341
2023-11-17,4.5,4.6,4.1,4.1,3300
2023-11-20,4.2,4.2,4.0,4.0,1300
2023-11-21,4.0,4.0,3.9,4.0,14800
2023-11-22,4.4,4.4,3.9,4.0,2800
2023-11-23,3.5,4.0,3.5,4.0,4400
2023-11-24,3.8,4.0,3.8,3.9,2100
2023-11-27,3.9,4.0,3.9,3.9,1732
2023-11-28,3.6,3.8,3.6,3.8,4500
2023-11-29,3.8,3.9,3.8,3.9,1800
2023-11-30,4.2,4.2,3.8,3.8,2400
2023-12-01,3.9,3.9,3.9,3.9,100
2023-12-04,3.6,3.9,3.5,3.9,5200
2023-12-05,3.8,4.0,3.8,4.0,22900
2023-12-06,3.8,4.0,3.4,4.0,700
2023-12-07,3.8,4.0,3.8,4.0,800
2023-12-08,4.3,4.3,3.8,3.8,1940
2023-12-11,3.8,3.9,3.8,3.9,2100
2023-12-12,3.8,3.8,3.7,3.8,5001
2023-12-13,3.7,3.7,3.7,3.7,500
2023-12-14,3.7,3.8,3.7,3.8,8400
2023-12-15,4.2,4.2,3.9,3.9,1300
2023-12-18,3.6,3.6,3.6,3.6,106
2023-12-19,4.1,4.1,3.7,3.7,2300
2023-12-20,3.7,3.8,3.4,3.7,37710
2023-12-21,3.6,3.7,3.6,3.6,1700
2023-12-22,3.6,3.6,3.6,3.6,2300
2023-12-25,3.7,3.7,3.6,3.7,10815
2023-12-26,3.3,3.7,3.3,3.7,2900
2023-12-27,3.5,3.5,3.5,3.5,2000
2023-12-28,3.6,3.8,3.6,3.6,22600
2023-12-29,3.3,3.6,3.3,3.6,1804
2024-01-02,3.7,3.7,3.7,3.7,2400
2024-01-03,3.7,3.9,3.7,3.9,4168
2024-01-04,3.4,3.6,3.4,3.6,2516
2024-01-05,3.8,3.8,3.8,3.8,100
2024-01-08,3.8,3.8,3.8,3.8,9400
2024-01-09,3.4,4.0,3.4,3.8,2700
2024-01-10,3.9,4.2,3.9,3.9,7400
2024-01-11,4.5,4.5,3.9,3.9,2145
2024-01-12,3.9,3.9,3.7,3.9,1100
2024-01-15,4.3,4.3,3.9,4.3,7249
2024-01-16,3.8,3.8,3.8,3.8,133
2024-01-17,3.8,4.1,3.7,4.1,12500
2024-01-18,3.8,4.1,3.8,4.1,500
2024-01-19,3.9,4.1,3.9,4.0,21501
2024-01-22,4.0,4.4,3.9,4.4,27277
2024-01-23,4.8,4.9,4.3,4.3,2101
2024-01-24,4.2,4.2,4.1,4.1,1202
2024-01-25,4.2,4.2,4.2,4.2,0
2024-01-26,4.5,4.5,4.3,4.3,800
2024-01-29,4.2,4.2,4.2,4.2,11000
2024-01-30,3.9,4.2,3.9,4.2,1900
2024-01-31,4.2,4.2,3.9,4.0,3600
2024-02-01,4.0,4.0,4.0,4.0,100
2024-02-02,4.1,4.1,4.1,4.1,200
2024-02-05,4.0,4.0,4.0,4.0,302
2024-02-06,3.6,3.9,3.6,3.9,5600
2024-02-07,4.4,4.4,3.8,3.8,2000
2024-02-15,4.4,4.4,4.0,4.1,2500
2024-02-16,3.6,4.3,3.6,4.0,2360
2024-02-19,3.8,3.8,3.8,3.8,24000
2024-02-20,3.8,3.8,3.8,3.8,7700
2024-02-21,4.1,4.1,4.0,4.0,5200
2024-02-22,4.0,4.0,3.7,3.7,700
2024-02-23,4.0,4.0,3.8,4.0,1700
2024-02-26,4.0,4.0,4.0,4.0,1300
2024-02-27,4.0,4.0,3.8,3.8,900
2024-02-28,3.8,4.0,3.7,4.0,2301
2024-02-29,4.3,4.3,4.0,4.0,2900
2024-03-01,3.8,3.8,3.8,3.8,101
2024-03-04,3.8,3.8,3.7,3.7,56300
2024-03-05,3.6,3.8,3.6,3.7,41500
2024-03-06,4.0,4.0,3.5,3.6,46800
2024-03-07,3.7,3.7,3.5,3.7,17075
2024-03-08,3.1,3.5,3.0,3.3,185120
2024-03-11,3.5,3.7,3.5,3.5,7901
2024-03-12,3.8,3.8,3.6,3.6,10400
2024-03-13,3.7,3.7,3.7,3.7,10202
2024-03-14,4.2,4.2,3.4,3.5,21900
2024-03-15,3.4,3.6,3.3,3.6,42900
2024-03-18,3.5,3.5,3.4,3.4,17600
2024-03-19,3.4,3.5,3.4,3.5,18900
2024-03-20,3.5,3.6,3.5,3.6,968
2024-03-21,4.0,4.0,3.5,3.6,9710
2024-03-22,3.4,3.5,3.4,3.5,16700
2024-03-25,3.6,3.6,3.5,3.5,11400
2024-03-26,3.5,3.5,3.5,3.5,5710
2024-03-27,3.9,3.9,3.6,3.6,1300
2024-03-28,3.5,3.6,3.5,3.6,900
2024-03-29,3.5,3.8,3.5,3.8,17300
2024-04-01,3.6,3.7,3.6,3.6,27200
2024-04-02,3.6,3.6,3.6,3.6,700
2024-04-03,3.5,3.5,3.5,3.5,800
2024-04-04,3.8,3.8,3.7,3.7,600
2024-04-05,3.8,3.8,3.5,3.6,12990
2024-04-08,3.5,3.5,3.4,3.5,5953
2024-04-09,3.6,3.6,3.5,3.6,2300
2024-04-10,3.8,3.8,3.5,3.7,3500
2024-04-11,3.6,3.7,3.6,3.7,567
2024-04-12,3.8,3.8,3.6,3.6,2001
2024-04-15,3.6,3.7,3.5,3.5,5868
2024-04-16,3.6,3.6,3.4,3.5,1900
2024-04-17,3.5,3.5,3.4,3.4,2500
2024-04-19,3.4,3.5,3.4,3.5,1900
2024-04-22,3.6,3.6,3.5,3.5,20129
2024-04-23,3.7,3.7,3.5,3.5,3100
2024-04-24,3.5,3.5,3.1,3.1,8500
2024-04-25,3.5,3.5,3.5,3.5,2722
2024-04-26,3.2,3.4,3.1,3.4,25100
2024-05-02,3.3,3.5,3.3,3.5,300
2024-05-03,3.5,3.7,3.5,3.5,2700
2024-05-06,3.6,3.6,3.6,3.6,100
2024-05-07,3.6,3.6,3.6,3.6,1000
2024-05-08,3.6,3.6,3.6,3.6,0
2024-05-09,3.2,3.6,3.2,3.6,347
2024-05-10,3.7,3.7,3.4,3.4,2400
2024-05-13,3.6,3.6,3.4,3.4,2200
2024-05-14,3.6,3.6,3.6,3.6,1600
2024-05-15,3.7,3.7,3.5,3.6,2700
2024-05-16,3.7,3.7,3.4,3.6,3300
2024-05-17,3.4,3.4,3.4,3.4,19700
2024-05-20,3.4,3.4,3.4,3.4,400
2024-05-21,3.9,3.9,3.4,3.4,1600
2024-05-22,3.4,3.6,3.3,3.6,16640
2024-05-23,3.6,3.7,3.6,3.6,20100
2024-05-24,3.7,3.7,3.4,3.5,10500
2024-05-27,3.4,4.2,3.4,4.2,114786
2024-05-28,4.5,4.5,4.1,4.4,118630
2024-05-29,4.4,4.8,4.2,4.8,359288
2024-05-30,5.4,5.4,5.4,5.4,104423
2024-05-31,6.2,6.2,4.6,5.4,290462
2024-06-03,5.6,5.7,5.0,5.2,109275
2024-06-04,5.2,5.5,4.8,5.0,46001
2024-06-05,5.0,5.2,4.6,4.6,60103
2024-06-06,4.8,4.9,4.3,4.5,44800
2024-06-07,4.5,4.9,4.3,4.9,41210
2024-06-10,4.8,5.1,4.6,4.7,22600
2024-06-11,4.8,4.8,4.3,4.3,37540
2024-06-12,4.7,4.7,4.1,4.5,42574
2024-06-13,4.5,4.5,4.2,4.2,33054
2024-06-14,4.2,4.2,4.0,4.1,58316
2024-06-17,4.3,4.5,3.8,4.1,32400
2024-06-18,4.2,4.3,4.0,4.1,16623
2024-06-19,4.2,4.2,3.9,4.0,42400
2024-06-20,4.0,4.5,3.9,4.1,27600
2024-06-21,4.1,4.2,3.9,3.9,51500
2024-06-24,4.3,4.3,4.0,4.1,38201
2024-06-25,4.1,4.2,4.0,4.1,10766
2024-06-26,4.2,4.2,4.0,4.2,7400
2024-06-27,4.1,4.1,3.8,3.8,44701
2024-06-28,3.8,3.9,3.8,3.8,27000
2024-07-01,4.0,4.0,3.9,3.9,1000
2024-07-02,4.0,4.0,3.8,3.9,11330
2024-07-03,4.0,4.0,3.7,3.9,18600
2024-07-04,3.7,3.9,3.5,3.7,15360
2024-07-05,3.8,3.9,3.6,3.9,2703
2024-07-08,3.7,3.9,3.5,3.8,34200
2024-07-09,3.9,4.2,3.9,4.2,71508
2024-07-10,4.5,4.6,4.0,4.0,19200
2024-07-11,4.2,4.2,3.7,4.0,46900
2024-07-12,3.8,3.9,3.6,3.6,8210
2024-07-15,3.8,4.0,3.7,3.9,10412
2024-07-16,3.8,3.9,3.8,3.9,18605
2024-07-17,3.8,3.9,3.7,3.8,15100
2024-07-18,3.8,3.8,3.6,3.6,5100
2024-07-19,3.8,3.8,3.7,3.7,4400
2024-07-22,3.7,3.7,3.6,3.6,2100
2024-07-23,3.7,3.7,3.5,3.7,14800
2024-07-24,3.6,3.7,3.5,3.6,7811
2024-07-25,3.5,3.5,3.5,3.5,10500
2024-07-26,3.5,3.6,3.5,3.6,2600
2024-07-29,3.7,3.7,3.5,3.5,10300
2024-07-30,3.5,3.6,3.4,3.6,13300
2024-07-31,3.8,3.8,3.5,3.6,24400
