date,open,high,low,close,volume
2024-01-30,24.58,24.58,24.58,24.58,1400
2024-01-31,24.58,24.58,24.46,24.46,3500
2024-02-01,24.17,24.46,24.17,24.46,2831
2024-02-02,24.4,24.58,24.35,24.58,1528
2024-02-05,24.46,24.46,24.29,24.46,1503
2024-02-06,24.17,24.46,24.17,24.29,5200
2024-02-07,24.35,24.4,24.35,24.4,4800
2024-02-15,24.35,24.46,24.29,24.4,1100
2024-02-16,24.46,24.64,24.46,24.52,20601
2024-02-19,24.58,24.7,24.58,24.64,7600
2024-02-20,24.64,24.7,24.58,24.58,9300
2024-02-21,24.58,24.64,24.52,24.52,3400
2024-02-22,24.58,24.58,24.58,24.58,4800
2024-02-23,24.23,24.29,24.23,24.29,400
2024-02-26,24.4,24.64,24.35,24.46,7500
2024-02-27,24.58,24.58,24.4,24.58,6600
2024-02-28,24.64,24.76,24.64,24.7,13011
2024-02-29,24.7,24.88,24.46,24.46,21100
2024-03-01,24.58,24.64,24.46,24.46,5300
2024-03-04,24.99,24.99,24.46,24.52,5402
2024-03-05,24.52,24.52,24.29,24.52,11401
2024-03-06,23.93,24.35,23.87,24.29,5401
2024-03-07,24.7,24.7,24.46,24.58,3200
2024-03-08,24.76,24.76,24.46,24.46,6300
2024-03-11,24.7,24.7,24.46,24.58,5300
2024-03-12,24.52,24.64,24.52,24.58,4009
2024-03-13,24.64,24.76,24.58,24.76,15770
2024-03-14,24.7,24.76,24.7,24.7,12827
2024-03-15,24.76,24.99,24.76,24.99,15500
2024-03-18,24.99,24.99,24.76,24.76,3100
2024-03-19,24.7,24.99,24.7,24.94,5701
2024-03-20,24.99,24.99,24.99,24.99,501
2024-03-21,24.94,24.94,24.58,24.58,5800
2024-03-22,24.94,24.94,24.7,24.7,4501
2024-03-25,24.46,24.76,24.46,24.7,3501
2024-03-26,24.58,24.7,24.4,24.64,2100
2024-03-27,24.76,24.76,24.35,24.35,1500
2024-03-28,24.52,24.64,24.4,24.46,1200
2024-03-29,24.4,24.4,24.4,24.4,500
2024-04-01,24.46,24.46,24.35,24.35,8770
2024-04-02,24.58,24.58,24.46,24.46,1700
2024-04-03,24.4,24.4,23.87,23.87,12300
2024-04-04,23.99,24.05,23.99,23.99,1500
2024-04-05,24.05,24.05,23.99,23.99,610
2024-04-08,24.64,24.64,24.4,24.4,1400
2024-04-09,24.29,24.58,24.17,24.52,2400
2024-04-10,24.35,24.35,24.35,24.35,1405
2024-04-11,24.35,24.58,24.29,24.46,3024
2024-04-12,24.46,24.52,24.46,24.52,601
2024-04-15,24.4,24.52,24.17,24.17,2900
2024-04-16,23.7,24.23,23.64,24.23,518
2024-04-17,23.93,24.52,23.76,23.87,2900
2024-04-19,24.58,24.58,23.76,23.82,3502
2024-04-22,23.7,23.7,23.58,23.7,8209
2024-04-23,23.64,24.4,23.64,24.17,4200
2024-04-24,24.17,24.17,23.87,24.17,7040
2024-04-25,24.11,24.11,24.11,24.11,200
2024-04-26,24.11,24.11,23.87,23.87,3009
2024-05-02,24.05,24.05,23.7,23.7,1400
2024-05-03,23.87,24.11,23.87,24.05,1150
2024-05-06,24.4,24.4,23.76,23.87,7700
2024-05-07,24.11,24.11,23.87,23.99,4200
2024-05-08,24.05,24.05,23.76,23.76,3601
2024-05-09,23.82,23.87,23.82,23.82,2500
2024-05-10,23.87,24.05,23.87,24.05,600
2024-05-13,23.87,23.87,23.87,23.87,100
2024-05-14,23.82,23.87,23.82,23.87,800
2024-05-15,23.82,23.99,23.82,23.87,2407
2024-05-16,23.87,23.93,23.87,23.93,2800
2024-05-17,24.05,24.05,23.87,24.05,10200
2024-05-20,24.23,24.35,23.93,23.99,9100
2024-05-21,23.93,24.35,23.93,24.35,7000
