date,open,high,low,close,volume
2023-11-27,21.4,21.4,21.4,21.4,0
2023-11-28,21.4,21.4,21.4,21.4,0
2023-11-29,21.4,21.4,21.4,21.4,0
2023-11-30,20.82,20.82,18.67,18.67,600
2023-12-01,19.03,21.54,19.03,21.54,300
2023-12-04,19.39,21.54,19.39,21.54,600
2023-12-05,19.53,21.54,19.53,21.54,700
2023-12-06,20.1,21.9,20.1,21.9,300
2023-12-07,20.1,20.1,20.1,20.1,100
2023-12-08,21.54,21.54,21.54,21.54,300
2023-12-11,20.1,20.1,20.1,20.1,100
2023-12-12,21.9,21.9,21.9,21.9,100
2023-12-13,20.25,20.25,20.25,20.25,100
2023-12-14,20.25,20.25,20.25,20.25,0
2023-12-15,21.9,21.9,21.9,21.9,100
2023-12-18,20.53,20.53,20.53,20.53,100
2023-12-19,20.53,20.53,20.53,20.53,0
2023-12-20,20.53,20.53,20.53,20.53,0
2023-12-21,21.9,21.9,21.9,21.9,100
2023-12-22,21.9,21.9,21.9,21.9,0
2023-12-25,21.9,21.9,21.9,21.9,0
2023-12-26,20.89,20.89,20.89,20.89,100
2023-12-27,20.89,20.89,20.89,20.89,0
2023-12-28,20.89,20.89,20.89,20.89,0
2023-12-29,20.89,20.89,20.89,20.89,0
2024-01-02,20.89,20.89,20.89,20.89,0
2024-01-03,20.89,20.89,20.89,20.89,2000
2024-01-04,21.18,21.18,21.18,21.18,2100
2024-01-05,21.18,21.18,21.18,21.18,0
2024-01-08,22.26,22.26,22.26,22.26,200
2024-01-09,20.89,20.89,20.89,20.89,100
2024-01-10,20.89,20.89,20.89,20.89,0
2024-01-11,20.89,20.89,20.89,20.89,0
2024-01-12,22.26,22.26,22.26,22.26,100
2024-01-15,20.89,20.89,20.89,20.89,100
2024-01-16,20.89,20.89,20.89,20.89,0
2024-01-17,20.89,20.89,20.89,20.89,0
2024-01-18,20.89,20.89,20.89,20.89,0
2024-01-19,22.98,23.33,22.98,22.98,900
2024-01-22,20.89,20.89,20.89,20.89,100
2024-01-23,20.89,20.89,20.89,20.89,0
2024-01-24,23.98,23.98,23.98,23.98,100
2024-01-25,21.18,21.54,21.18,21.54,200
2024-01-26,21.4,21.4,21.4,21.4,0
2024-01-29,23.77,23.77,23.77,23.77,100
2024-01-30,23.77,23.77,23.77,23.77,0
2024-01-31,21.61,21.61,21.61,21.61,100
2024-02-01,21.61,21.61,21.61,21.61,0
2024-02-02,23.69,23.69,23.62,23.62,200
2024-02-05,21.61,21.61,21.61,21.61,100
2024-02-06,23.69,23.69,23.69,23.69,400
2024-02-07,21.75,23.69,21.75,23.69,200
2024-02-15,21.83,21.83,21.83,21.83,100
2024-02-16,23.69,23.69,23.69,23.69,100
2024-02-19,21.97,21.97,21.97,21.97,100
2024-02-20,24.99,25.13,24.99,25.13,200
2024-02-21,22.04,25.13,22.04,25.13,200
2024-02-22,22.26,22.26,22.26,22.26,100
2024-02-23,22.26,22.26,22.26,22.26,0
2024-02-26,25.13,25.13,25.13,25.13,100
2024-02-27,22.33,25.13,22.33,25.13,200
2024-02-28,23.77,25.13,23.77,25.13,400
2024-02-29,24.2,24.2,24.2,24.2,100
2024-03-01,25.13,25.13,25.13,25.13,200
2024-03-04,22.69,25.13,22.69,25.13,300
2024-03-05,22.62,22.62,22.62,22.62,100
2024-03-06,23.91,23.91,23.91,23.91,200
2024-03-07,22.76,22.76,22.76,22.76,100
2024-03-08,22.76,22.76,22.76,22.76,0
2024-03-11,22.76,22.76,22.76,22.76,0
2024-03-12,22.76,22.76,22.76,22.76,0
2024-03-13,22.76,22.76,22.76,22.76,0
2024-03-14,22.76,22.76,22.76,22.76,0
2024-03-15,24.41,24.41,24.41,24.41,200
2024-03-18,20.75,20.75,20.75,20.75,100
2024-03-19,23.84,23.84,22.98,22.98,1300
2024-03-20,23.19,23.19,23.19,23.19,0
2024-03-21,23.19,23.19,23.19,23.19,0
2024-03-22,23.19,23.19,23.19,23.19,0
2024-03-25,23.19,23.19,23.19,23.19,0
2024-03-26,23.19,23.19,23.19,23.19,0
2024-03-27,23.19,23.19,23.19,23.19,0
2024-03-28,23.19,23.19,23.19,23.19,0
2024-03-29,21.68,22.98,21.68,22.98,300
2024-04-01,21.61,25.13,21.61,25.13,1000
2024-04-02,22.19,22.19,22.19,22.19,0
2024-04-03,21.83,25.34,21.83,23.69,300
2024-04-04,20.1,22.26,20.1,22.26,400
2024-04-05,24.41,24.41,24.41,24.41,100
2024-04-08,21.97,28.0,21.97,28.0,200
2024-04-09,22.04,24.91,22.04,24.91,700
2024-04-10,24.91,24.91,24.91,24.91,200
2024-04-11,22.04,25.49,22.04,25.49,1500
2024-04-12,22.11,22.11,22.11,22.11,100
2024-04-15,24.99,25.42,24.99,25.42,400
2024-04-16,22.19,25.13,22.19,25.13,200
2024-04-17,22.33,22.47,22.33,22.47,1000
2024-04-19,22.33,22.33,22.33,22.33,0
2024-04-22,22.33,22.33,22.33,22.33,0
2024-04-23,25.13,25.13,25.13,25.13,100
2024-04-24,22.4,22.4,22.4,22.4,100
2024-04-25,25.7,25.7,25.7,25.7,100
2024-04-26,21.97,21.97,21.97,21.97,100
2024-05-02,22.98,25.13,22.98,25.13,3300
2024-05-03,25.2,25.2,25.2,25.2,1000
2024-05-06,25.2,25.2,25.2,25.2,1300
2024-05-07,25.27,25.27,25.27,25.27,200
2024-05-08,25.13,25.13,25.13,25.13,1000
2024-05-09,25.13,25.13,25.13,25.13,100
2024-05-10,25.13,25.13,25.13,25.13,100
2024-05-13,25.13,25.13,25.13,25.13,0
2024-05-14,25.13,25.13,25.13,25.13,0
2024-05-15,25.13,25.13,25.13,25.13,0
2024-05-16,25.13,25.13,25.13,25.13,100
2024-05-17,25.13,25.13,25.13,25.13,0
2024-05-20,25.13,25.13,25.13,25.13,0
2024-05-21,25.13,25.13,25.13,25.13,0
2024-05-22,25.13,25.13,25.13,25.13,0
2024-05-23,25.13,25.13,25.13,25.13,0
2024-05-24,25.13,25.13,25.13,25.13,0
2024-05-27,25.13,25.13,25.13,25.13,0
2024-05-28,25.13,25.13,25.13,25.13,0
2024-05-29,25.13,25.13,25.13,25.13,0
2024-05-30,25.13,25.13,25.13,25.13,0
2024-05-31,25.13,25.13,25.13,25.13,0
2024-06-03,28.72,28.72,28.72,28.72,100
2024-06-04,24.41,25.13,24.41,25.13,200
2024-06-05,24.77,24.77,24.77,24.77,0
2024-06-06,24.77,24.77,24.77,24.77,0
2024-06-07,25.13,25.13,25.13,25.13,100
2024-06-10,28.72,28.72,28.72,28.72,1100
2024-06-11,24.41,33.03,24.41,33.03,200
2024-06-12,24.41,32.96,24.41,32.96,200
2024-06-13,25.85,25.85,25.85,25.85,100
2024-06-14,25.85,25.85,25.85,25.85,0
2024-06-17,26.49,26.49,26.49,26.49,300
2024-06-18,26.49,26.49,26.49,26.49,0
2024-06-19,25.13,25.13,25.13,25.13,200
2024-06-20,28.86,28.86,28.86,28.86,100
2024-06-21,25.13,25.13,25.13,25.13,100
2024-06-24,22.33,28.86,22.33,28.86,200
2024-06-25,24.41,28.0,24.41,28.0,10200
2024-06-26,28.36,28.36,28.36,28.36,100
2024-06-27,24.41,24.55,24.41,24.41,13100
2024-06-28,28.07,28.07,28.07,28.07,600
2024-07-01,24.41,24.48,24.41,24.41,300
2024-07-02,25.13,25.13,25.13,25.13,100
2024-07-03,25.85,25.85,24.48,25.85,17500
2024-07-04,24.48,24.48,24.48,24.48,4300
2024-07-05,24.63,24.63,24.63,24.63,1600
2024-07-08,24.63,24.63,24.63,24.63,0
2024-07-09,24.63,24.63,24.63,24.63,0
2024-07-10,27.57,27.64,27.5,27.57,500
2024-07-11,24.55,26.21,24.55,25.63,700
2024-07-12,27.5,27.5,27.5,27.5,200
2024-07-15,24.7,27.43,24.7,27.36,300
2024-07-16,26.49,26.49,26.49,26.49,0
2024-07-17,26.57,26.57,26.57,26.57,200
2024-07-18,26.92,26.92,26.92,26.92,200
2024-07-19,26.92,26.92,26.92,26.92,0
2024-07-22,24.77,26.49,24.77,26.49,300
2024-07-23,24.77,26.49,24.77,26.49,1000
2024-07-24,24.77,28.65,24.77,28.65,600
2024-07-25,24.91,25.13,24.91,25.13,200
2024-07-26,25.06,25.06,25.06,25.06,0
2024-07-29,28.72,28.72,28.72,28.72,100
2024-07-30,26.49,29.08,26.49,29.08,200
2024-07-31,25.13,26.57,25.13,26.57,200
2024-08-01,28.65,28.72,28.65,28.72,300
2024-08-02,28.72,28.72,28.72,28.72,0
2024-08-05,26.49,26.57,26.49,26.57,200
2024-08-06,25.27,26.57,23.69,23.69,2000
2024-08-07,26.57,28.36,26.57,27.28,1200
2024-08-08,26.49,31.3,26.49,31.3,1200
2024-08-09,26.64,26.64,26.64,26.64,100
2024-08-12,25.92,30.51,25.92,30.51,1000
2024-08-13,27.36,27.36,27.36,27.36,100
2024-08-14,26.78,30.51,26.78,27.64,4200
2024-08-15,29.3,29.3,28.99,29.3,1300
2024-08-16,27.01,29.3,27.01,29.3,900
2024-08-19,29.07,29.07,29.07,29.07,100
2024-08-20,28.38,28.38,28.38,28.38,100
2024-08-21,28.84,28.84,28.84,28.84,300
2024-08-22,28.92,28.92,28.92,28.92,100
2024-08-23,29.3,29.3,29.3,29.3,1500
2024-08-26,27.62,27.62,27.62,27.62,100
2024-08-27,27.62,27.62,27.62,27.62,100
2024-08-28,27.85,27.85,27.85,27.85,3000
2024-08-29,30.36,30.36,30.36,30.36,100
2024-08-30,27.7,30.36,27.7,30.36,200
2024-09-04,28.23,30.36,28.23,30.36,200
2024-09-05,28.23,30.36,28.23,29.68,1200
2024-09-06,29.22,33.18,28.92,33.18,1200
2024-09-09,29.22,32.95,29.15,29.22,900
2024-09-10,29.83,29.91,29.83,29.83,2800
2024-09-11,29.83,30.36,29.83,30.36,300
2024-09-12,28.61,28.61,26.48,26.48,600
2024-09-13,27.32,27.32,27.32,27.32,0
2024-09-16,30.36,31.2,30.36,31.2,600
2024-09-17,28.61,28.61,28.61,28.61,100
2024-09-18,30.29,30.44,30.29,30.44,500
2024-09-19,32.34,34.81,32.34,34.81,400
2024-09-20,34.24,34.62,34.24,34.62,600
2024-09-23,33.38,33.38,33.38,33.38,100
2024-09-24,33.38,33.38,33.38,33.38,900
2024-09-25,29.58,29.58,29.58,29.58,100
