date,open,high,low,close,volume
2024-01-15,3.53,3.53,3.53,3.53,6300
2024-01-16,3.53,3.53,3.53,3.53,0
2024-01-17,3.53,3.53,3.53,3.53,11300
2024-01-18,3.44,3.53,3.44,3.53,700
2024-01-19,3.53,3.63,3.53,3.63,14000
2024-01-22,3.63,3.63,3.63,3.63,7628
2024-01-23,3.53,3.53,3.53,3.53,10400
2024-01-24,3.53,3.53,3.53,3.53,8401
2024-01-25,3.53,3.53,3.53,3.53,1505
2024-01-26,3.63,3.63,3.63,3.63,110
2024-01-29,3.53,3.53,3.53,3.53,700
2024-01-30,3.63,3.63,3.63,3.63,1900
2024-01-31,3.53,3.63,3.53,3.63,500
2024-02-01,3.53,3.53,3.44,3.53,2600
2024-02-02,3.53,3.53,3.53,3.53,600
2024-02-05,3.63,3.63,3.63,3.63,100
2024-02-06,3.53,3.53,3.53,3.53,1900
2024-02-07,3.53,3.53,3.53,3.53,14000
2024-02-15,3.53,3.63,3.53,3.63,1610
2024-02-16,3.63,3.63,3.63,3.63,15
2024-02-19,3.53,3.53,3.44,3.53,63700
2024-02-20,3.63,3.63,3.63,3.63,800
2024-02-21,3.53,3.53,3.53,3.53,2001
2024-02-22,3.53,3.53,3.53,3.53,11300
2024-02-23,3.63,3.63,3.53,3.53,9245
2024-02-26,3.63,3.63,3.53,3.53,12004
2024-02-27,3.63,3.63,3.53,3.53,18400
2024-02-28,3.53,3.53,3.53,3.53,5030
2024-02-29,3.53,3.53,3.53,3.53,1700
2024-03-01,3.53,3.53,3.53,3.53,1601
2024-03-04,3.63,3.63,3.53,3.63,4300
2024-03-05,3.63,3.63,3.53,3.53,11000
2024-03-06,3.53,3.53,3.53,3.53,3051
2024-03-07,3.53,3.82,3.53,3.72,82600
2024-03-08,3.72,4.1,3.72,3.91,105900
2024-03-11,4.01,4.01,3.72,4.01,57100
2024-03-12,3.82,3.82,3.63,3.63,104173
2024-03-13,3.72,4.2,3.63,4.2,133702
2024-03-14,4.29,4.58,4.1,4.58,147886
2024-03-15,4.77,4.77,4.01,4.2,21499
2024-03-18,3.82,4.39,3.72,3.82,54515
2024-03-19,4.01,4.01,3.72,3.91,10509
2024-03-20,3.91,4.1,3.72,4.1,8200
2024-03-21,4.01,4.01,3.72,3.82,17620
2024-03-22,3.72,4.01,3.72,3.91,19880
2024-03-25,4.01,4.01,3.82,3.91,4638
2024-03-26,3.82,3.91,3.82,3.82,8500
