date,open,high,low,close,volume
2024-01-30,9.85,10.05,9.75,9.95,71200
2024-01-31,9.95,10.15,9.85,9.85,82340
2024-02-01,9.85,9.95,9.85,9.85,25000
2024-02-02,9.95,10.05,9.95,10.05,53501
2024-02-05,10.05,10.05,9.95,10.05,15410
2024-02-06,10.05,10.05,9.85,9.95,95610
2024-02-07,9.95,10.15,9.95,10.15,53500
2024-02-15,10.15,10.25,10.05,10.15,52027
2024-02-16,10.25,10.25,10.15,10.25,46600
2024-02-19,10.25,10.25,9.95,10.15,45800
2024-02-20,10.15,10.45,10.15,10.45,161714
2024-02-21,10.45,10.45,10.25,10.35,55500
2024-02-22,10.35,10.45,10.25,10.35,86405
2024-02-23,10.45,11.35,10.45,11.35,772832
2024-02-26,11.64,12.44,11.44,12.44,443812
2024-02-27,12.74,12.94,11.84,11.84,559321
2024-02-28,11.94,12.34,11.84,12.04,259550
2024-02-29,12.04,12.34,11.64,11.84,211585
2024-03-01,11.94,12.44,11.94,12.24,182500
2024-03-04,12.34,12.44,12.04,12.24,181961
2024-03-05,12.14,12.24,11.94,12.24,125838
2024-03-06,12.04,12.44,11.84,12.04,125983
2024-03-07,11.94,13.14,11.94,12.74,361200
2024-03-08,12.74,13.04,12.14,12.54,216002
2024-03-11,12.54,12.64,12.24,12.24,137400
2024-03-12,12.24,12.44,11.94,12.34,171520
2024-03-13,12.34,13.53,12.34,13.53,873364
2024-03-14,13.93,14.43,13.63,14.23,560792
2024-03-15,14.23,14.33,13.44,13.83,258942
2024-03-18,13.83,13.83,12.54,13.04,468226
2024-03-19,13.04,13.24,12.84,13.14,116344
2024-03-20,13.04,13.14,12.84,13.14,257771
2024-03-21,13.24,13.63,12.94,13.24,417693
2024-03-22,13.44,13.44,12.84,12.94,514720
2024-03-25,12.94,12.94,12.64,12.64,336002
2024-03-26,12.64,12.94,12.54,12.84,108527
2024-03-27,12.84,12.94,12.64,12.74,189600
2024-03-28,12.74,12.94,12.64,12.74,251554
2024-03-29,12.74,12.94,12.64,12.74,214700
2024-04-01,12.94,13.53,12.74,13.24,840526
2024-04-02,13.24,13.24,12.94,13.24,148678
2024-04-03,13.24,13.24,12.84,12.84,163361
2024-04-04,12.84,13.04,12.54,13.04,320100
2024-04-05,13.04,14.33,13.04,13.63,1598625
2024-04-08,13.83,13.83,13.34,13.53,177040
2024-04-09,13.63,13.63,12.84,13.14,553718
2024-04-10,13.14,13.24,12.74,12.84,213725
2024-04-11,12.74,12.94,12.44,12.94,430370
2024-04-12,12.94,13.24,12.74,13.14,151919
2024-04-15,13.04,13.34,12.04,12.14,389030
2024-04-16,12.14,12.14,11.25,11.25,532006
2024-04-17,11.44,11.74,11.35,11.44,282638
2024-04-19,11.44,11.44,10.85,11.05,228624
2024-04-22,11.35,11.64,11.15,11.64,85118
2024-04-23,11.64,11.64,11.05,11.15,64100
2024-04-24,11.25,11.64,11.25,11.64,122200
2024-04-25,11.44,11.54,11.25,11.54,72200
2024-04-26,11.25,11.54,10.95,11.25,149400
2024-05-02,11.35,11.44,11.15,11.44,110130
2024-05-03,11.35,11.54,11.15,11.15,163100
2024-05-06,11.15,11.64,11.15,11.54,201519
2024-05-07,11.54,11.54,11.25,11.54,153008
2024-05-08,11.54,12.04,11.35,11.84,375401
2024-05-09,11.84,11.94,11.74,11.74,108407
2024-05-10,11.84,11.84,11.54,11.64,121110
2024-05-13,11.64,11.94,11.54,11.64,130609
2024-05-14,11.54,11.64,11.44,11.64,136000
2024-05-15,11.64,11.94,11.44,11.74,276000
2024-05-16,11.84,12.24,11.74,11.84,198300
2024-05-17,11.84,12.14,11.74,11.94,181600
2024-05-20,12.04,12.24,11.84,11.94,110000
2024-05-21,11.84,11.94,11.64,11.84,258500
2024-05-22,11.74,12.14,11.64,11.94,368800
2024-05-23,11.84,11.94,11.64,11.94,96400
2024-05-24,11.84,11.84,11.25,11.54,389303
2024-05-27,11.54,11.64,11.44,11.64,74339
2024-05-28,11.74,11.74,11.54,11.74,165300
2024-05-29,11.74,11.74,11.35,11.54,119710
2024-05-30,11.44,11.54,11.05,11.35,235700
2024-05-31,11.35,11.44,11.25,11.35,133900
2024-06-03,10.95,12.44,10.95,12.44,608850
2024-06-04,12.54,13.63,12.54,13.63,1758377
2024-06-05,13.73,13.93,13.04,13.34,632316
2024-06-06,13.14,13.14,12.94,13.04,302893
2024-06-07,13.04,13.14,12.84,12.94,171129
2024-06-10,12.94,13.24,12.84,12.94,313114
2024-06-11,12.94,12.94,12.54,12.74,257336
2024-06-12,12.84,13.14,12.64,12.94,405711
2024-06-13,12.94,13.04,12.64,12.74,182550
2024-06-14,12.64,13.04,12.54,12.54,172810
2024-06-17,12.54,12.54,12.14,12.34,202501
2024-06-18,12.34,12.54,12.14,12.24,161611
2024-06-19,12.24,12.24,11.94,12.04,97524
2024-06-20,11.94,12.24,11.74,12.04,181700
2024-06-21,12.14,12.14,11.74,11.94,441900
2024-06-24,12.04,12.34,11.44,11.74,270685
2024-06-25,11.54,11.74,11.44,11.74,107900
2024-06-26,11.74,11.74,11.44,11.54,157600
2024-06-27,11.54,11.64,11.35,11.64,62000
2024-06-28,11.64,11.64,11.25,11.25,136908
2024-07-01,11.35,11.44,11.15,11.35,46100
2024-07-02,11.35,12.24,11.35,11.94,282600
2024-07-03,11.94,11.94,11.64,11.74,38100
2024-07-04,11.94,11.94,11.54,11.74,82400
2024-07-05,11.54,11.74,11.54,11.64,20015
2024-07-08,11.64,11.74,11.44,11.54,101684
2024-07-09,11.44,11.74,11.35,11.54,81200
2024-07-10,11.54,11.74,11.44,11.54,51226
2024-07-11,11.44,11.64,11.44,11.64,102130
2024-07-12,11.64,11.64,11.44,11.54,40829
2024-07-15,11.54,11.64,11.44,11.44,46903
2024-07-16,11.44,11.64,11.35,11.64,92000
2024-07-17,11.64,11.64,11.05,11.15,324540
2024-07-18,11.15,11.25,10.95,11.15,444605
2024-07-19,11.15,11.25,11.05,11.25,194300
2024-07-22,11.15,11.15,10.65,10.75,220600
2024-07-23,11.05,11.15,10.55,10.55,191913
2024-07-24,10.65,10.75,10.55,10.75,65600
2024-07-25,10.65,10.65,10.55,10.65,57500
2024-07-26,10.65,10.75,10.65,10.75,30726
2024-07-29,10.75,10.85,10.65,10.65,35700
2024-07-30,10.55,10.65,10.45,10.55,75000
2024-07-31,10.45,10.65,10.45,10.55,73200
2024-08-01,10.65,11.25,10.25,10.35,115701
2024-08-02,10.65,11.05,10.15,10.75,97300
2024-08-05,10.45,10.45,9.85,9.85,222900
2024-08-06,9.85,10.15,9.06,10.15,68617
2024-08-07,9.95,10.35,9.95,10.35,37900
2024-08-08,10.05,10.15,9.95,10.05,23400
2024-08-09,10.15,10.45,10.15,10.15,68700
2024-08-12,10.15,10.35,10.15,10.35,22400
2024-08-13,10.25,10.35,10.15,10.35,600
2024-08-14,10.25,10.25,10.15,10.25,16100
2024-08-15,10.05,10.25,10.05,10.25,22400
2024-08-16,10.05,10.65,9.85,10.45,154700
2024-08-19,10.55,10.55,10.45,10.55,48922
2024-08-20,10.45,10.55,10.35,10.55,114710
2024-08-21,10.45,10.75,10.45,10.65,96388
2024-08-22,10.55,10.75,10.55,10.75,32600
2024-08-23,10.55,10.65,10.55,10.65,43000
2024-08-26,10.65,10.65,10.45,10.45,101790
2024-08-27,10.35,10.45,10.35,10.45,28503
2024-08-28,10.55,10.55,10.35,10.55,30404
2024-08-29,10.45,10.45,10.15,10.25,100444
2024-08-30,10.35,10.35,10.25,10.35,123400
2024-09-04,10.35,10.35,10.15,10.25,35757
2024-09-05,10.45,10.45,10.25,10.35,250300
2024-09-06,10.25,10.25,10.05,10.15,24600
2024-09-09,10.25,10.25,10.05,10.15,35400
2024-09-10,10.15,10.15,9.95,10.05,49600
2024-09-11,10.05,10.05,9.85,9.95,40700
2024-09-12,10.05,10.05,9.95,10.05,22900
2024-09-13,10.05,10.15,9.95,10.15,2400
2024-09-16,10.15,10.15,9.95,9.95,6500
2024-09-17,9.85,10.15,9.75,10.15,19800
2024-09-18,10.15,10.35,9.95,10.25,99500
2024-09-19,10.35,10.35,9.95,10.25,83404
2024-09-20,10.25,10.25,9.95,10.15,69600
2024-09-23,10.05,10.05,9.95,9.95,70700
2024-09-24,9.95,10.15,9.95,10.05,10900
2024-09-25,10.05,10.25,9.95,10.05,83000
2024-09-26,10.05,10.25,9.16,9.95,70022
2024-09-27,9.95,10.05,9.85,9.95,67908
2024-09-30,9.85,9.95,9.65,9.95,39624
2024-10-01,9.95,10.25,9.95,10.05,107016
2024-10-02,10.05,10.35,9.95,10.05,167200
2024-10-03,10.05,10.25,9.85,10.05,58000
2024-10-04,9.95,9.95,9.75,9.95,98200
2024-10-07,9.65,10.05,9.65,9.95,10700
2024-10-08,9.85,9.95,9.75,9.95,36010
2024-10-09,9.85,9.95,9.75,9.95,155000
2024-10-10,9.95,9.95,9.85,9.95,10300
2024-10-11,9.85,9.95,9.75,9.95,158500
2024-10-14,9.75,9.95,9.75,9.95,139500
2024-10-15,9.95,9.95,9.75,9.85,14400
2024-10-16,9.85,9.85,9.75,9.75,5500
2024-10-17,9.75,9.95,9.55,9.85,33500
2024-10-18,9.85,9.95,9.75,9.75,22800
2024-10-21,9.65,9.85,9.65,9.85,4818
2024-10-22,9.85,9.85,9.55,9.55,30708
2024-10-23,9.55,9.75,9.55,9.55,10200
2024-10-24,9.65,9.65,9.55,9.55,11300
2024-10-25,9.55,9.55,9.45,9.55,20700
2024-10-28,9.45,9.55,9.45,9.55,8410
2024-10-29,9.55,9.65,9.45,9.65,10000
2024-10-30,9.65,9.65,9.45,9.65,13900
2024-10-31,9.45,9.55,9.45,9.55,24100
2024-11-01,9.55,9.55,9.45,9.55,4100
2024-11-04,9.45,9.55,9.26,9.45,56500
2024-11-05,9.45,9.55,9.45,9.45,10500
2024-11-06,9.45,9.55,9.45,9.45,33300
2024-11-07,9.55,9.55,9.45,9.55,36500
2024-11-08,9.55,9.55,9.45,9.45,58000
2024-11-11,9.45,9.55,9.35,9.55,95300
2024-11-12,9.55,9.55,9.45,9.45,78102
2024-11-13,9.55,9.55,9.35,9.55,27800
2024-11-14,9.55,9.55,9.35,9.55,59300
2024-11-15,9.45,9.45,9.06,9.35,44500
2024-11-18,9.55,9.55,9.35,9.35,81600
2024-11-19,9.55,9.65,9.45,9.45,106800
2024-11-20,9.45,9.65,9.45,9.45,42400
2024-11-21,9.55,9.55,9.35,9.55,49300
2024-11-22,9.45,9.45,9.26,9.26,16300
2024-11-25,9.35,9.35,9.16,9.16,22500
2024-11-26,9.26,9.45,9.26,9.35,18200
2024-11-27,9.26,9.35,9.06,9.26,38600
2024-11-28,9.26,9.26,9.06,9.26,42800
2024-11-29,9.26,9.26,9.16,9.26,63400
2024-12-02,9.16,9.26,9.16,9.16,45100
2024-12-03,9.06,9.16,8.96,9.16,25900
2024-12-04,9.06,9.06,8.76,8.96,22900
2024-12-05,9.06,9.35,8.96,9.35,39400
2024-12-06,9.35,9.45,9.26,9.45,59401
2024-12-09,9.45,9.55,9.06,9.06,125500
2024-12-10,9.26,9.26,8.76,8.96,242300
2024-12-11,9.35,9.35,8.96,9.06,66500
2024-12-12,9.06,9.75,9.06,9.16,265700
2024-12-13,9.16,9.16,8.76,9.16,224200
2024-12-16,9.26,9.26,8.96,8.96,59000
2024-12-17,9.26,9.35,8.76,9.06,275400
2024-12-18,9.16,9.26,8.76,8.96,132000
2024-12-19,8.96,8.96,8.76,8.96,75315
2024-12-20,8.86,9.06,8.86,9.06,58400
2024-12-23,9.16,9.55,9.06,9.45,256507
2024-12-24,9.55,9.65,9.26,9.35,137200
2024-12-25,9.35,10.25,9.35,10.25,396377
2024-12-26,10.65,10.75,10.25,10.45,366389
2024-12-27,10.25,10.65,10.25,10.35,75401
2024-12-30,10.55,10.85,10.35,10.45,247822
2024-12-31,10.35,10.45,10.15,10.35,147957
2025-01-02,10.35,10.55,10.15,10.25,212400
2025-01-03,10.55,11.25,10.35,10.75,810800
2025-01-06,10.85,11.15,10.45,10.75,552634
2025-01-07,10.75,10.95,10.15,10.85,176300
2025-01-08,10.45,10.65,10.35,10.35,68007
2025-01-09,10.55,10.55,10.35,10.45,154066
2025-01-10,10.35,10.35,10.15,10.15,88900
2025-01-13,10.15,10.25,9.85,10.15,204100
2025-01-14,10.15,10.25,10.05,10.05,47100
2025-01-15,10.45,10.45,10.05,10.25,43421
2025-01-16,10.25,10.55,10.15,10.25,100740
2025-01-17,10.45,10.45,10.25,10.25,73700
2025-01-20,10.25,10.35,10.15,10.25,146900
2025-01-21,10.25,10.25,10.15,10.15,22200
2025-01-22,10.15,10.45,10.05,10.05,133201
2025-01-23,10.25,10.35,10.25,10.35,27100
2025-01-24,10.15,11.05,10.15,11.05,219600
2025-02-03,10.45,10.85,10.45,10.75,60100
2025-02-04,10.35,10.95,10.25,10.75,115000
2025-02-05,10.75,10.85,10.65,10.75,33200
2025-02-06,10.75,10.75,10.65,10.75,48800
2025-02-07,10.75,10.95,10.65,10.85,99019
2025-02-10,10.85,10.85,10.65,10.65,48211
2025-02-11,10.75,10.95,10.75,10.95,189800
2025-02-12,10.95,11.05,10.85,10.95,57800
2025-02-13,10.85,11.05,10.85,10.95,164658
2025-02-14,10.95,11.05,10.75,11.05,220800
2025-02-17,11.05,11.25,10.95,11.25,337000
2025-02-18,11.15,11.15,10.95,11.05,38100
2025-02-19,10.95,10.95,10.55,10.75,184100
2025-02-20,10.85,11.15,10.65,10.75,165900
2025-02-21,10.85,11.35,10.75,10.75,147200
2025-02-24,10.75,10.75,10.65,10.75,229800
2025-02-25,10.75,10.85,10.65,10.85,98300
2025-02-26,10.85,10.85,10.55,10.85,169931
2025-02-27,10.55,10.75,10.55,10.75,48100
2025-02-28,10.65,10.75,10.55,10.55,169604
2025-03-03,10.55,10.65,10.55,10.65,93370
2025-03-04,10.55,10.65,10.25,10.65,294001
2025-03-05,10.65,10.65,10.35,10.55,144214
2025-03-06,10.55,10.65,10.25,10.55,108200
2025-03-07,10.55,10.85,10.55,10.75,89300
2025-03-10,10.75,10.85,10.45,10.75,141301
2025-03-11,10.55,10.65,10.55,10.65,25000
2025-03-12,10.55,10.65,10.45,10.65,56804
2025-03-13,10.55,10.65,10.45,10.65,68801
2025-03-14,10.65,10.65,10.25,10.25,134310
2025-03-17,10.35,10.45,10.25,10.35,25200
2025-03-18,10.35,10.45,10.15,10.25,121600
2025-03-19,10.25,10.35,10.15,10.35,20204
2025-03-20,10.45,10.45,10.15,10.25,71000
2025-03-21,10.35,10.35,10.15,10.25,53702
2025-03-24,10.15,10.25,10.05,10.25,58400
2025-03-25,10.25,10.25,9.95,10.05,114240
2025-03-26,10.15,10.25,9.95,10.15,103600
2025-03-27,10.05,10.15,9.95,10.15,47206
2025-03-28,9.95,10.15,9.95,10.15,33236
2025-03-31,10.25,10.35,9.95,10.05,50900
2025-04-01,9.95,10.15,9.95,10.05,80500
2025-04-02,9.95,10.05,9.95,10.05,42510
2025-04-03,9.85,9.85,9.16,9.35,472200
2025-04-04,8.96,9.45,8.56,9.45,63400
2025-04-08,9.45,9.45,8.66,8.66,145100
2025-04-09,8.06,8.96,8.06,8.86,150601
2025-04-10,9.35,9.65,9.35,9.65,68401
2025-04-11,9.45,9.55,9.26,9.55,61700
2025-04-14,9.85,10.05,9.35,10.05,54598
2025-04-15,9.45,9.95,9.45,9.95,14000
2025-04-16,9.65,9.75,9.65,9.75,26400
2025-04-17,9.75,9.75,9.55,9.65,89300
2025-04-18,9.45,9.95,9.45,9.95,216400
2025-04-21,10.15,10.15,9.45,9.55,24600
2025-04-22,9.55,9.55,9.16,9.35,51300
2025-04-23,9.35,9.75,9.35,9.75,37100
2025-04-24,9.55,9.75,9.45,9.75,157200
2025-04-25,9.75,9.75,9.45,9.75,60805
2025-04-28,9.55,9.65,9.45,9.65,27100
2025-04-29,9.55,9.65,9.55,9.65,99100
2025-05-05,9.65,9.65,9.26,9.45,112410
2025-05-06,9.35,9.45,8.96,9.35,62704
2025-05-07,9.26,9.35,8.96,9.26,52136
2025-05-08,9.26,9.45,9.06,9.45,68300
2025-05-09,9.35,9.45,9.16,9.35,36400
2025-05-12,9.26,9.55,9.26,9.55,59800
2025-05-13,9.55,9.55,9.35,9.55,121401
2025-05-14,9.55,9.55,9.45,9.55,84717
2025-05-15,9.55,9.55,9.35,9.45,50406
2025-05-16,9.45,9.55,9.35,9.45,24010
2025-05-19,9.35,9.45,9.35,9.45,22600
2025-05-20,9.45,9.45,9.35,9.45,15116
2025-05-21,9.45,9.45,9.35,9.45,7702
2025-05-22,9.26,9.45,9.26,9.26,19323
2025-05-23,9.35,9.45,9.35,9.45,5020
2025-05-26,9.26,9.45,9.26,9.45,5013
2025-05-27,9.45,9.45,9.16,9.45,46103
2025-05-28,9.26,9.45,9.26,9.45,56201
2025-05-29,9.45,9.45,9.26,9.35,25700
2025-05-30,9.35,9.35,9.26,9.26,18701
2025-06-02,9.35,9.35,9.16,9.35,52601
2025-06-03,9.45,9.55,9.35,9.35,117200
2025-06-04,9.45,9.45,9.45,9.45,16600
2025-06-05,9.45,9.45,9.26,9.45,17000
2025-06-06,9.26,9.35,9.26,9.35,40300
2025-06-09,9.35,9.35,9.26,9.26,3805
2025-06-10,9.26,9.26,9.26,9.26,4500
2025-06-11,9.26,9.26,9.16,9.16,8800
2025-06-12,9.26,9.35,9.16,9.26,14111
2025-06-13,9.06,9.26,8.86,8.86,70005
2025-06-16,9.06,9.35,8.86,9.26,46400
2025-06-17,9.26,9.26,9.26,9.26,5600
2025-06-18,9.26,9.35,9.06,9.16,58106
2025-06-19,9.16,9.26,9.06,9.16,15200
2025-06-20,9.06,9.16,8.76,8.96,33102
2025-06-23,8.96,9.16,8.76,9.06,69000
2025-06-24,9.16,9.26,9.06,9.26,12100
2025-06-25,9.26,9.95,9.26,9.65,254406
2025-06-26,9.55,9.95,9.45,9.55,25200
2025-06-27,9.35,9.55,9.35,9.55,11200
2025-06-30,9.45,9.45,9.26,9.26,21600
2025-07-01,9.26,9.55,9.16,9.45,23600
2025-07-02,9.45,9.55,9.06,9.06,86800
2025-07-03,9.26,9.45,9.16,9.35,8300
2025-07-04,9.35,9.45,9.35,9.45,51600
2025-07-07,9.45,9.55,9.16,9.45,77200
2025-07-08,9.45,9.55,9.16,9.35,89400
2025-07-09,9.55,9.65,9.45,9.55,419800
2025-07-10,9.55,9.55,9.35,9.35,76200
2025-07-11,9.45,9.55,9.35,9.45,63500
2025-07-14,9.45,9.45,9.35,9.45,113100
2025-07-15,9.45,10.15,9.45,9.85,1621243
2025-07-16,9.85,9.85,9.45,9.65,445216
2025-07-17,9.95,10.25,9.75,9.85,807247
2025-07-18,9.95,10.55,9.85,10.15,956802
2025-07-21,10.2,10.3,9.9,10.0,508703
2025-07-22,10.0,10.2,9.8,10.2,547286
2025-07-23,10.2,10.5,10.1,10.3,1306530
2025-07-24,10.3,10.3,10.0,10.2,674159
2025-07-25,10.2,10.5,10.0,10.4,517210
2025-07-28,10.4,11.0,10.4,10.8,823661
2025-07-29,10.8,11.0,10.0,10.0,1131088
2025-07-30,9.9,10.1,9.7,10.1,514710
2025-07-31,10.2,10.2,9.9,10.0,389716
2025-08-01,10.2,10.8,9.9,9.9,483100
2025-08-04,9.9,10.0,9.8,10.0,432100
2025-08-05,10.1,10.3,9.8,9.9,635300
2025-08-06,9.9,10.0,9.8,9.9,308200
2025-08-07,10.0,10.2,10.0,10.1,416500
2025-08-08,10.1,10.1,9.8,9.9,950400
2025-08-11,10.0,10.4,9.8,10.4,837500
2025-08-12,10.4,10.4,10.0,10.2,503300
2025-08-13,10.5,10.5,9.9,10.2,636400
2025-08-14,10.3,10.6,10.2,10.3,983400
2025-08-15,10.4,11.3,10.4,11.3,2601000
2025-08-18,11.5,12.2,11.3,11.6,1668700
2025-08-19,11.7,11.9,11.2,11.4,1279000
2025-08-20,11.4,11.4,10.4,10.7,1747900
2025-08-21,10.8,11.2,10.7,10.9,1016500
2025-08-22,10.9,10.9,10.2,10.3,1095300
2025-08-25,10.4,10.6,10.2,10.3,602800
2025-08-26,10.3,10.6,10.3,10.6,604800
2025-08-27,10.7,10.8,10.4,10.5,842500
2025-08-28,10.5,11.5,10.5,11.1,1851500
2025-08-29,11.4,12.1,11.3,11.6,2940500
2025-09-03,11.6,11.9,11.3,11.4,992500
2025-09-04,11.4,11.5,11.2,11.4,733300
2025-09-05,11.5,11.7,11.1,11.3,1528400
2025-09-08,11.3,11.3,10.6,10.6,1383600
