date,open,high,low,close,volume
2024-01-30,59.74,59.74,59.36,59.45,763595
2024-01-31,59.07,59.36,58.88,59.07,780786
2024-02-01,59.45,59.45,58.97,59.36,758123
2024-02-02,59.55,59.55,58.78,59.26,751376
2024-02-05,59.26,59.65,58.97,59.55,752142
2024-02-06,59.55,59.74,59.36,59.74,729333
2024-02-07,59.45,59.84,59.36,59.84,735027
2024-02-15,60.03,60.03,59.45,60.03,858204
2024-02-16,60.03,60.23,59.74,60.13,729533
2024-02-19,60.13,60.71,59.94,60.71,806310
2024-02-20,60.9,61.0,60.42,60.71,775940
2024-02-21,60.9,60.9,60.52,60.71,841431
2024-02-22,60.9,61.77,60.52,60.81,817700
2024-02-23,61.29,61.67,60.81,61.1,833030
2024-02-26,60.9,61.58,60.71,61.0,720459
2024-02-27,61.19,61.19,60.42,61.19,737315
2024-02-28,61.19,61.29,61.0,61.19,638955
2024-02-29,61.1,61.1,60.61,61.0,736487
2024-03-01,61.19,61.19,60.61,61.19,684940
2024-03-04,61.1,61.29,61.0,61.29,760668
2024-03-05,61.19,61.29,60.71,61.29,789152
2024-03-06,61.19,61.29,61.0,61.29,752385
2024-03-07,61.19,61.29,60.61,61.29,797579
2024-03-08,61.29,65.54,61.19,61.29,919871
2024-03-11,61.0,61.58,60.9,61.29,802406
2024-03-12,61.29,61.29,60.81,61.29,738364
2024-03-13,61.29,61.58,60.13,61.1,712729
2024-03-14,61.29,61.29,60.03,61.0,805171
2024-03-15,60.81,61.29,60.03,61.29,1150519
2024-03-18,61.1,61.1,58.97,61.0,734228
2024-03-19,60.71,61.29,60.52,61.0,845710
2024-03-20,61.29,61.29,60.52,61.0,750915
2024-03-21,61.19,61.19,60.61,61.0,724022
2024-03-22,61.1,61.1,60.23,60.81,792524
2024-03-25,60.81,61.0,56.56,60.52,800449
2024-03-26,60.61,60.61,59.94,60.42,755561
2024-03-27,60.52,60.52,59.65,60.42,756498
2024-03-28,60.42,60.71,59.74,60.42,689253
2024-03-29,60.52,60.52,59.07,60.32,728857
2024-04-01,60.23,60.23,59.17,60.23,820799
2024-04-02,60.03,60.13,59.26,60.13,727716
2024-04-03,60.23,60.23,58.97,59.84,812212
2024-04-04,59.17,59.84,59.17,59.74,750130
2024-04-05,59.45,59.65,59.07,59.36,755931
2024-04-08,59.55,60.71,59.36,60.32,770121
2024-04-09,60.13,60.52,59.84,60.52,730901
2024-04-10,60.52,60.81,59.84,60.71,766291
2024-04-11,60.61,60.71,59.94,60.71,756600
2024-04-12,60.71,60.81,60.03,60.71,708428
2024-04-15,60.71,60.81,60.03,60.42,787227
2024-04-16,60.32,60.42,59.36,60.42,729205
2024-04-17,60.13,60.42,59.36,60.23,766164
2024-04-19,60.23,60.23,59.45,60.03,750001
2024-04-22,60.03,60.23,59.84,60.03,722957
2024-04-23,60.03,60.03,59.17,59.74,728551
2024-04-24,59.84,59.84,59.45,59.84,751284
2024-04-25,59.84,60.03,59.45,60.03,735907
2024-04-26,60.03,60.23,59.74,60.23,750720
2024-05-02,60.61,60.61,59.84,60.42,728015
2024-05-03,60.71,60.81,60.32,60.81,753898
2024-05-06,61.0,61.0,60.61,61.0,750856
2024-05-07,61.19,61.29,60.61,61.29,825502
2024-05-08,61.29,61.77,60.9,61.58,823110
2024-05-09,61.77,63.41,61.77,61.96,855113
2024-05-10,62.16,62.74,61.77,62.25,834957
2024-05-13,62.54,62.54,62.06,62.25,836801
2024-05-14,62.25,62.45,61.96,62.25,852310
2024-05-15,62.25,62.35,61.77,62.35,881721
2024-05-16,62.25,62.93,62.06,62.54,844493
2024-05-17,62.54,62.74,62.16,62.74,853097
2024-05-20,63.12,63.12,62.16,62.93,826411
2024-05-21,63.22,63.22,62.06,62.83,907706
2024-05-22,63.51,63.51,62.25,62.64,890786
2024-05-23,62.54,63.22,62.45,63.12,803022
2024-05-24,63.22,63.22,62.16,62.93,773286
2024-05-27,62.83,63.03,62.45,62.93,835425
2024-05-28,62.93,63.8,62.45,63.03,829650
2024-05-29,63.22,63.41,62.35,63.03,878204
2024-05-30,63.22,63.22,62.64,63.03,819729
2024-05-31,63.22,63.22,62.74,62.74,830893
2024-06-03,63.41,63.41,62.64,63.03,871325
2024-06-04,63.41,63.41,62.35,63.12,837153
2024-06-05,63.22,63.7,63.12,63.7,889046
2024-06-06,63.7,63.7,62.93,63.32,915250
2024-06-07,63.32,63.51,62.74,63.41,906592
2024-06-10,63.6,63.89,62.74,63.03,1076604
2024-06-11,63.03,63.32,62.54,62.74,938361
2024-06-12,62.74,63.41,62.74,63.12,833480
2024-06-13,62.06,62.06,59.65,60.03,977977
2024-06-14,59.94,59.94,58.01,58.78,1007128
2024-06-17,58.78,58.78,57.43,57.91,884252
2024-06-18,57.72,58.2,57.23,57.52,788663
2024-06-19,57.72,57.72,56.17,56.37,841115
2024-06-20,56.27,56.56,55.59,56.37,778430
2024-06-21,56.56,57.62,55.79,56.37,1057083
2024-06-24,56.37,57.33,52.89,55.98,1224991
2024-06-25,55.59,55.98,55.3,55.88,756873
2024-06-26,55.88,55.88,54.82,55.3,714279
2024-06-27,55.21,55.4,53.08,53.08,632543
2024-06-28,53.95,53.95,52.41,53.08,500786
2024-07-01,53.08,53.57,52.22,53.57,691189
2024-07-02,53.95,55.01,53.18,55.01,801852
2024-07-03,55.5,55.59,54.73,55.11,792047
2024-07-04,55.5,55.5,54.73,54.73,822992
2024-07-05,55.11,55.11,54.53,55.01,736958
2024-07-08,55.3,55.3,54.44,54.44,778708
2024-07-09,54.73,55.11,54.44,55.11,725495
2024-07-10,55.21,55.3,54.44,54.92,797100
2024-07-11,55.11,55.11,54.15,54.82,712100
2024-07-12,54.73,54.92,53.95,54.82,720538
2024-07-15,54.92,54.92,54.24,54.73,721656
2024-07-16,54.63,54.73,54.24,54.73,783580
2024-07-17,54.63,54.73,54.15,54.34,759475
2024-07-18,54.53,54.63,54.05,54.63,725612
2024-07-19,54.44,54.63,54.34,54.53,720592
2024-07-22,54.53,54.53,54.15,54.53,735723
2024-07-23,54.44,54.53,53.76,54.44,772199
2024-07-24,54.34,54.44,53.95,54.34,641142
2024-07-25,54.34,54.34,53.95,54.24,628555
2024-07-26,54.24,55.98,53.76,55.98,719939
2024-07-29,56.56,56.95,55.98,56.27,765421
2024-07-30,56.66,56.66,56.27,56.27,707665
2024-07-31,56.27,56.46,55.5,56.27,719244
2024-08-01,56.27,56.27,55.4,56.08,742454
2024-08-02,55.98,55.98,54.92,55.69,826511
2024-08-05,55.5,55.59,54.44,54.63,754499
2024-08-06,54.44,54.44,53.57,54.44,827579
2024-08-07,54.24,54.24,53.18,53.37,815003
2024-08-08,53.37,53.37,52.22,53.08,789535
2024-08-09,52.99,53.57,52.22,53.57,795136
2024-08-12,53.57,53.57,52.7,53.37,787478
2024-08-13,53.28,53.28,52.41,53.18,822691
2024-08-14,52.99,53.47,52.31,53.28,869093
2024-08-15,53.28,53.28,52.31,52.6,842699
2024-08-16,52.89,53.47,52.12,53.47,762776
2024-08-19,52.7,53.47,52.7,52.99,754464
2024-08-20,53.08,53.57,52.6,53.57,874067
2024-08-21,53.28,54.44,53.08,53.66,874401
2024-08-22,53.95,53.95,53.37,53.66,1007182
2024-08-23,53.76,54.05,53.28,53.57,1034445
2024-08-26,53.57,53.76,53.28,53.37,815542
2024-08-27,53.08,53.57,53.08,53.37,738617
2024-08-28,53.57,53.57,53.08,53.37,737813
2024-08-29,53.18,53.47,53.18,53.37,723345
2024-08-30,53.37,53.66,53.08,53.47,776411
2024-09-04,53.28,53.47,53.08,53.37,690855
2024-09-05,53.37,53.76,52.99,53.28,740132
2024-09-06,53.37,53.37,52.8,53.18,699833
2024-09-09,53.08,53.28,52.7,53.18,711528
2024-09-10,53.37,53.37,52.7,52.89,721487
2024-09-11,53.08,53.08,52.51,52.89,665720
2024-09-12,53.18,53.18,52.7,52.89,711091
2024-09-13,53.08,53.08,52.51,52.89,568898
2024-09-16,52.89,53.08,52.51,52.89,847492
2024-09-17,53.08,53.08,52.51,52.89,774724
2024-09-18,52.99,53.08,52.31,52.6,766214
2024-09-19,52.8,52.8,52.22,52.7,656121
2024-09-20,52.89,52.89,51.35,51.35,1111404
2024-09-23,51.93,51.93,50.09,50.09,877419
2024-09-24,50.09,50.09,48.02,49.71,868863
2024-09-25,49.32,49.42,48.36,48.93,892598
2024-09-26,48.74,48.74,47.87,48.55,699451
2024-09-27,48.55,51.06,48.55,50.19,530895
2024-09-30,50.67,50.67,49.22,49.8,482826
2024-10-01,49.8,50.19,49.13,49.8,673924
2024-10-02,49.51,49.8,49.13,49.42,559845
2024-10-03,49.22,49.61,48.84,49.22,628715
2024-10-04,49.03,49.42,48.64,49.03,625471
2024-10-07,49.13,49.51,48.84,49.13,533695
2024-10-08,49.61,49.61,48.84,49.13,566074
2024-10-09,49.13,49.13,48.74,49.03,586401
2024-10-10,49.13,49.22,48.84,49.13,596141
2024-10-11,49.51,49.8,49.22,49.42,542940
2024-10-14,50.0,50.0,49.32,49.42,542012
2024-10-15,49.42,49.71,49.12,49.32,563967
2024-10-16,49.51,49.51,49.12,49.32,553554
2024-10-17,49.32,49.32,48.93,49.12,566197
2024-10-18,49.32,49.32,48.93,49.12,580236
2024-10-21,49.32,49.32,48.93,49.22,567612
2024-10-22,49.22,49.71,49.12,49.71,640209
2024-10-23,51.76,51.76,49.81,50.29,634433
2024-10-24,50.29,50.69,49.81,50.29,555315
2024-10-25,50.39,50.39,49.81,50.0,558449
2024-10-28,50.0,50.0,49.42,49.81,585084
2024-10-29,50.0,50.0,49.42,49.61,557734
2024-10-30,49.61,49.9,49.22,49.42,611423
2024-10-31,49.61,49.61,49.32,49.51,624911
2024-11-01,49.61,49.61,49.12,49.51,599717
2024-11-04,49.51,49.81,48.78,48.78,600323
2024-11-05,49.03,49.61,48.39,49.61,696281
2024-11-06,49.61,49.81,48.73,48.83,684124
2024-11-07,49.32,49.32,48.83,49.12,542902
2024-11-08,49.22,49.22,48.78,49.12,549949
2024-11-11,49.22,49.22,48.78,49.12,559499
2024-11-12,49.22,49.32,48.83,49.12,563320
2024-11-13,49.03,49.22,48.73,49.12,586138
