date,open,high,low,close,volume
2023-12-04,6.33,6.33,6.33,6.33,0
2023-12-05,6.33,6.33,6.33,6.33,0
2023-12-06,6.52,6.52,6.52,6.52,100
2023-12-07,6.43,6.43,6.43,6.43,100
2023-12-08,6.43,6.43,6.43,6.43,0
2023-12-11,6.43,6.43,6.43,6.43,0
2023-12-12,5.87,5.87,5.87,5.87,200
2023-12-13,5.87,5.87,5.87,5.87,0
2023-12-14,5.87,5.87,5.87,5.87,1900
2023-12-15,5.87,5.87,5.87,5.87,0
2023-12-18,5.87,5.87,5.87,5.87,0
2023-12-19,5.87,5.87,5.87,5.87,0
2023-12-20,5.87,5.87,5.87,5.87,0
2023-12-21,5.87,5.87,5.87,5.87,0
2023-12-22,5.87,5.87,5.87,5.87,0
2023-12-25,5.87,5.87,5.87,5.87,0
2023-12-26,5.87,5.87,5.87,5.87,0
2023-12-27,5.87,5.87,5.87,5.87,0
2023-12-28,5.87,5.87,5.87,5.87,0
2023-12-29,5.87,5.87,5.87,5.87,0
2024-01-02,5.87,5.87,5.87,5.87,0
2024-01-03,5.87,5.87,5.87,5.87,0
2024-01-04,5.87,5.87,5.87,5.87,0
2024-01-05,5.87,5.87,5.87,5.87,0
2024-01-08,5.87,5.87,5.87,5.87,0
2024-01-09,5.87,5.87,5.87,5.87,0
2024-01-10,5.87,5.87,5.87,5.87,0
2024-01-11,5.87,5.87,5.87,5.87,0
2024-01-12,5.87,5.87,5.87,5.87,0
2024-01-15,5.87,5.87,5.87,5.87,0
2024-01-16,5.87,5.87,5.87,5.87,0
2024-01-17,5.78,5.78,5.78,5.78,6300
2024-01-18,5.78,5.78,5.78,5.78,0
2024-01-19,5.78,5.78,5.78,5.78,0
2024-01-22,5.78,5.78,5.78,5.78,0
2024-01-23,5.78,5.78,5.78,5.78,0
2024-01-24,5.78,5.78,5.78,5.78,0
2024-01-25,6.52,6.52,6.52,6.52,100
2024-01-26,6.52,7.08,6.52,7.08,400
2024-01-29,6.99,6.99,6.99,6.99,100
2024-01-30,6.99,6.99,6.99,6.99,0
2024-01-31,6.99,6.99,6.99,6.99,0
2024-02-01,6.99,6.99,6.99,6.99,0
2024-02-02,6.99,6.99,6.99,6.99,0
2024-02-05,6.99,6.99,6.99,6.99,0
2024-02-06,6.99,6.99,6.99,6.99,0
2024-02-07,6.99,6.99,6.99,6.99,100
2024-02-15,6.99,6.99,6.99,6.99,0
