date,open,high,low,close,volume
2024-01-29,3.52,3.52,3.49,3.52,8536
2024-01-30,3.52,3.53,3.5,3.52,14102
2024-01-31,3.48,3.52,3.47,3.51,32406
2024-02-01,3.51,3.51,3.46,3.51,17203
2024-02-02,3.51,3.51,3.47,3.5,14325
2024-02-05,3.5,3.51,3.46,3.46,8903
2024-02-06,3.46,3.51,3.46,3.5,65600
2024-02-07,3.5,3.51,3.49,3.51,14911
2024-02-15,3.51,3.52,3.48,3.51,9900
2024-02-16,3.5,3.51,3.47,3.51,66451
2024-02-19,3.51,3.53,3.51,3.52,75809
2024-02-20,3.53,3.55,3.52,3.54,80607
2024-02-21,3.54,3.56,3.52,3.56,119085
2024-02-22,3.56,3.59,3.56,3.58,115515
2024-02-23,3.59,3.7,3.57,3.59,302123
2024-02-26,3.6,3.62,3.57,3.62,65706
2024-02-27,3.62,3.63,3.57,3.6,121703
2024-02-28,3.6,3.62,3.56,3.59,97812
2024-02-29,3.58,3.6,3.55,3.56,114003
2024-03-01,3.57,3.57,3.52,3.56,50115
2024-03-04,3.57,3.58,3.54,3.56,114537
2024-03-05,3.56,3.57,3.54,3.57,59903
2024-03-06,3.56,3.58,3.54,3.57,71310
2024-03-07,3.55,3.57,3.53,3.57,128817
2024-03-08,3.56,3.57,3.53,3.56,41426
2024-03-11,3.55,3.56,3.52,3.52,21542
2024-03-12,3.51,3.55,3.51,3.53,55700
2024-03-13,3.53,3.54,3.52,3.52,62928
2024-03-14,3.52,3.54,3.51,3.54,62818
2024-03-15,3.52,3.6,3.51,3.58,94400
2024-03-18,3.58,3.58,3.52,3.55,95726
2024-03-19,3.53,3.56,3.53,3.56,25100
2024-03-20,3.54,3.57,3.53,3.57,139000
2024-03-21,3.57,3.58,3.56,3.58,80751
2024-03-22,3.58,3.65,3.58,3.63,199344
2024-03-25,3.6,3.63,3.6,3.61,58711
2024-03-26,3.61,3.62,3.57,3.62,73913
2024-03-27,3.6,3.62,3.58,3.62,16708
2024-03-28,3.62,3.62,3.57,3.61,40500
2024-03-29,3.56,3.61,3.55,3.61,11480
2024-04-01,3.6,3.6,3.56,3.58,30187
2024-04-02,3.58,3.59,3.55,3.58,21027
2024-04-03,3.56,3.58,3.55,3.55,38919
2024-04-04,3.53,3.54,3.51,3.54,84800
2024-04-05,3.52,3.53,3.5,3.53,54800
2024-04-08,3.52,3.53,3.49,3.53,52303
2024-04-09,3.35,3.53,3.35,3.51,18200
2024-04-10,3.5,3.5,3.48,3.5,100602
2024-04-11,3.5,3.5,3.47,3.49,8000
2024-04-12,3.47,3.5,3.44,3.48,72873
2024-04-15,3.48,3.56,3.45,3.46,31720
2024-04-16,3.43,3.53,3.41,3.45,18400
2024-04-17,3.44,3.48,3.4,3.4,21602
2024-04-19,3.4,3.47,3.4,3.42,9450
2024-04-22,3.42,3.45,3.4,3.44,61002
2024-04-23,3.45,3.45,3.36,3.41,15053
2024-04-24,3.43,3.43,3.38,3.42,37102
2024-04-25,3.42,3.43,3.25,3.42,118003
2024-04-26,3.43,3.44,3.42,3.42,1094
2024-05-02,3.35,3.48,3.35,3.48,41010
2024-05-03,3.45,3.49,3.44,3.49,30014
2024-05-06,3.45,3.49,3.43,3.49,44900
2024-05-07,3.49,3.5,3.46,3.5,13501
2024-05-08,3.4,3.49,3.4,3.48,19552
2024-05-09,3.49,3.49,3.44,3.48,8203
2024-05-10,3.47,3.49,3.4,3.48,15234
2024-05-13,3.48,3.48,3.44,3.46,25704
2024-05-14,3.47,3.49,3.46,3.49,100275
2024-05-15,3.49,3.63,3.48,3.61,143701
2024-05-16,3.59,3.63,3.56,3.57,43301
2024-05-17,3.55,3.56,3.33,3.55,145550
2024-05-20,3.54,3.55,3.45,3.49,34806
2024-05-21,3.49,3.5,3.44,3.49,30214
2024-05-22,3.51,3.62,3.46,3.47,89783
2024-05-23,3.48,3.49,3.45,3.48,50000
2024-05-24,3.46,3.49,3.45,3.48,65000
2024-05-27,3.5,3.51,3.45,3.49,73619
2024-05-28,3.49,3.5,3.44,3.45,150200
2024-05-29,3.47,3.5,3.44,3.5,133708
2024-05-30,3.46,3.49,3.45,3.48,14900
2024-05-31,3.48,3.58,3.44,3.56,244251
2024-06-03,3.62,3.62,3.52,3.56,130804
2024-06-04,3.51,3.55,3.5,3.55,49200
2024-06-05,3.52,3.56,3.5,3.54,136283
2024-06-06,3.52,3.54,3.5,3.51,34205
2024-06-07,3.51,3.54,3.5,3.52,31508
2024-06-10,3.52,3.54,3.5,3.52,79938
2024-06-11,3.54,3.54,3.51,3.51,18759
2024-06-12,3.52,3.53,3.51,3.52,36337
2024-06-13,3.53,3.53,3.5,3.52,13900
2024-06-14,3.53,3.53,3.49,3.5,66400
2024-06-17,3.49,3.52,3.49,3.52,22553
2024-06-18,3.52,3.54,3.51,3.53,58393
2024-06-19,3.53,3.54,3.5,3.53,25109
2024-06-20,3.49,3.53,3.45,3.53,57800
2024-06-21,3.51,3.53,3.49,3.53,46500
2024-06-24,3.47,3.53,3.45,3.51,47319
2024-06-25,3.51,3.51,3.48,3.5,17008
2024-06-26,3.45,3.51,3.45,3.5,22119
2024-06-27,3.52,3.52,3.45,3.49,15207
2024-06-28,3.49,3.51,3.45,3.48,104403
2024-07-01,3.52,3.52,3.45,3.49,15900
2024-07-02,3.48,3.5,3.48,3.49,9730
2024-07-03,3.49,3.5,3.48,3.5,7500
2024-07-04,3.51,3.51,3.49,3.5,18030
2024-07-05,3.51,3.51,3.49,3.5,29000
2024-07-08,3.5,3.51,3.48,3.51,44032
2024-07-09,3.5,3.52,3.5,3.52,19500
2024-07-10,3.5,3.52,3.49,3.51,13200
2024-07-11,3.51,3.52,3.48,3.52,14206
2024-07-12,3.51,3.52,3.5,3.52,6950
2024-07-15,3.5,3.53,3.5,3.53,11902
2024-07-16,3.5,3.55,3.5,3.53,37600
2024-07-17,3.54,3.54,3.48,3.48,32616
2024-07-18,3.52,3.52,3.48,3.51,11100
2024-07-19,3.49,3.5,3.48,3.5,16012
2024-07-22,3.5,3.5,3.26,3.47,33904
2024-07-23,3.47,3.49,3.42,3.45,12426
2024-07-24,3.31,3.48,3.21,3.45,89702
2024-07-25,3.44,3.45,3.44,3.45,1700
2024-07-26,3.56,3.61,3.45,3.57,114100
2024-07-29,3.58,3.58,3.52,3.55,17400
2024-07-30,3.56,3.57,3.5,3.55,18400
2024-07-31,3.52,3.54,3.5,3.5,24900
2024-08-01,3.46,3.5,3.4,3.45,47500
2024-08-02,3.45,3.45,3.4,3.45,11000
2024-08-05,3.39,3.41,3.21,3.31,67100
2024-08-06,3.3,3.38,3.3,3.35,35600
2024-08-07,3.35,3.36,3.3,3.36,14000
2024-08-08,3.35,3.42,3.31,3.37,32600
2024-08-09,3.39,3.39,3.36,3.39,1800
2024-08-12,3.42,3.42,3.36,3.4,21500
2024-08-13,3.4,3.41,3.17,3.4,6700
2024-08-14,3.4,3.4,3.34,3.39,2500
2024-08-15,3.31,3.38,3.31,3.36,8200
2024-08-16,3.28,3.41,3.28,3.39,28500
2024-08-19,3.41,3.41,3.34,3.38,5300
2024-08-20,3.4,3.4,3.35,3.39,4500
2024-08-21,3.3,3.39,3.3,3.39,51100
2024-08-22,3.32,3.39,3.32,3.38,2500
2024-08-23,3.37,3.37,3.32,3.37,1400
2024-08-26,3.36,3.44,3.33,3.37,16500
2024-08-27,3.32,3.37,3.32,3.37,5200
2024-08-28,3.36,3.38,3.34,3.37,12900
2024-08-29,3.36,3.38,3.32,3.37,17400
2024-08-30,3.35,3.43,3.35,3.4,33300
2024-09-04,3.3,3.42,3.3,3.39,11700
2024-09-05,3.34,3.38,3.31,3.31,8300
2024-09-06,3.33,3.38,3.31,3.35,35100
2024-09-09,3.31,3.35,3.3,3.35,17800
2024-09-10,3.35,3.44,3.3,3.36,5200
2024-09-11,3.3,3.38,3.3,3.34,7400
2024-09-12,3.34,3.37,3.31,3.34,4900
2024-09-13,3.34,3.34,3.3,3.33,13100
2024-09-16,3.33,3.4,3.3,3.31,51400
2024-09-17,3.35,3.35,3.28,3.28,87200
2024-09-18,3.28,3.34,3.25,3.25,77500
2024-09-19,3.3,3.3,3.22,3.22,209900
2024-09-20,3.22,3.24,3.2,3.23,54600
2024-09-23,3.29,3.29,3.23,3.26,13100
2024-09-24,3.23,3.28,3.21,3.27,9400
2024-09-25,3.26,3.26,3.23,3.25,9400
2024-09-26,3.25,3.32,3.22,3.28,27400
2024-09-27,3.24,3.27,3.24,3.26,3900
2024-09-30,3.25,3.28,3.24,3.25,20300
2024-10-01,3.29,3.3,3.25,3.26,11700
2024-10-02,3.26,3.26,3.26,3.26,5200
2024-10-03,3.23,3.26,3.19,3.21,52000
2024-10-04,3.25,3.25,3.19,3.21,5100
2024-10-07,3.21,3.24,3.21,3.21,15000
2024-10-08,3.01,3.22,3.01,3.22,4900
2024-10-09,3.22,3.23,3.19,3.21,29100
2024-10-10,3.2,3.26,3.18,3.21,17300
2024-10-11,3.21,3.23,3.19,3.21,22300
2024-10-14,3.25,3.25,3.17,3.22,3500
2024-10-15,3.21,3.23,3.19,3.22,15500
2024-10-16,3.23,3.23,3.19,3.22,3100
2024-10-17,3.21,3.22,3.18,3.22,26500
2024-10-18,3.22,3.26,3.2,3.24,21900
2024-10-21,3.22,3.26,3.2,3.23,22600
2024-10-22,3.23,3.23,3.2,3.23,10300
2024-10-23,3.2,3.24,3.2,3.24,19500
2024-10-24,3.21,3.24,3.21,3.23,9000
2024-10-25,3.22,3.24,3.2,3.23,39400
2024-10-28,3.2,3.26,3.2,3.26,7000
2024-10-29,3.22,3.26,3.15,3.24,14300
2024-10-30,3.2,3.24,3.19,3.22,1800
2024-10-31,3.2,3.23,3.19,3.2,7800
2024-11-01,3.2,3.24,3.19,3.22,16600
2024-11-04,3.22,3.23,3.18,3.22,28800
2024-11-05,3.24,3.24,3.19,3.22,4000
2024-11-06,3.23,3.24,3.2,3.23,9900
2024-11-07,3.23,3.24,3.22,3.23,16200
2024-11-08,3.23,3.24,3.2,3.23,9100
2024-11-11,3.23,3.23,3.21,3.23,1300
2024-11-12,3.2,3.23,3.2,3.22,11500
2024-11-13,3.19,3.23,3.17,3.21,11300
2024-11-14,3.26,3.26,3.2,3.22,8700
2024-11-15,3.22,3.23,3.19,3.23,13500
2024-11-18,3.24,3.24,3.22,3.23,22000
2024-11-19,3.24,3.24,3.2,3.2,19000
2024-11-20,3.23,3.23,3.16,3.22,28100
2024-11-21,3.23,3.23,3.2,3.22,3800
2024-11-22,3.22,3.23,3.19,3.22,3500
2024-11-25,3.22,3.23,3.19,3.22,2800
2024-11-26,3.23,3.23,3.18,3.21,44100
2024-11-27,3.2,3.2,3.2,3.2,800
2024-11-28,3.2,3.22,3.18,3.2,16400
2024-11-29,3.21,3.21,3.15,3.2,12000
2024-12-02,3.16,3.22,3.15,3.22,19300
2024-12-03,3.21,3.23,3.16,3.22,14600
2024-12-04,3.22,3.23,3.18,3.23,6700
2024-12-05,3.24,3.24,3.2,3.23,8000
2024-12-06,3.23,3.24,3.21,3.23,17100
2024-12-09,3.22,3.24,3.22,3.24,4700
2024-12-10,3.24,3.25,3.21,3.24,12400
2024-12-11,3.24,3.24,3.21,3.24,13100
2024-12-12,3.23,3.24,3.21,3.24,2500
2024-12-13,3.24,3.24,3.22,3.24,2700
2024-12-16,3.22,3.24,3.22,3.24,4900
2024-12-17,3.23,3.24,3.2,3.24,900
2024-12-18,3.2,3.24,3.2,3.24,600
2024-12-19,3.22,3.24,3.19,3.22,8800
2024-12-20,3.18,3.23,3.18,3.23,9400
2024-12-23,3.22,3.24,3.22,3.24,2700
2024-12-24,3.24,3.24,3.2,3.24,1900
2024-12-25,3.21,3.25,3.21,3.25,55200
2024-12-26,3.23,3.25,3.22,3.24,5600
2024-12-27,3.24,3.25,3.2,3.25,7100
2024-12-30,3.25,3.34,3.25,3.28,18900
2024-12-31,3.27,3.29,3.24,3.25,1400
2025-01-02,3.25,3.25,3.21,3.24,6100
2025-01-03,3.24,3.25,3.2,3.23,3300
2025-01-06,3.24,3.24,3.2,3.23,18300
2025-01-07,3.23,3.24,3.2,3.24,26000
2025-01-09,3.24,3.25,3.22,3.24,8000
2025-01-10,3.2,3.25,3.2,3.23,6200
2025-01-13,3.23,3.24,3.21,3.23,8300
2025-01-14,3.24,3.24,3.23,3.24,1400
2025-01-15,3.23,3.24,3.23,3.24,1300
2025-01-16,3.24,3.24,3.23,3.24,900
2025-01-17,3.24,3.24,3.21,3.24,9200
2025-01-20,3.23,3.27,3.22,3.27,9600
2025-01-21,3.27,3.28,3.26,3.26,19200
2025-01-22,3.26,3.28,3.22,3.23,4200
2025-01-23,3.24,3.25,3.23,3.23,15000
2025-01-24,3.21,3.24,3.19,3.22,16100
2025-02-03,3.21,3.31,3.21,3.31,66600
2025-02-04,3.31,3.32,3.3,3.32,17800
2025-02-05,3.32,3.32,3.3,3.32,6800
2025-02-06,3.3,3.32,3.28,3.3,8400
2025-02-07,3.29,3.3,3.27,3.29,46700
2025-02-10,3.28,3.3,3.28,3.29,6900
2025-02-11,3.29,3.3,3.25,3.28,34100
2025-02-12,3.28,3.33,3.27,3.31,38200
2025-02-13,3.3,3.34,3.3,3.34,42300
2025-02-14,3.34,3.44,3.3,3.42,109800
2025-02-17,3.42,3.47,3.42,3.42,65300
2025-02-18,3.43,3.45,3.39,3.4,39000
2025-02-19,3.4,3.46,3.39,3.45,85400
2025-02-20,3.45,3.51,3.43,3.47,31900
2025-02-21,3.47,3.48,3.4,3.4,89200
2025-02-24,3.4,3.42,3.37,3.42,12200
2025-02-25,3.4,3.42,3.4,3.42,32500
2025-02-26,3.35,3.42,3.35,3.42,7500
2025-02-27,3.44,3.44,3.38,3.41,3500
2025-02-28,3.41,3.42,3.37,3.4,15100
2025-03-03,3.4,3.4,3.35,3.39,6100
2025-03-04,3.27,3.4,3.27,3.35,46700
2025-03-05,3.35,3.35,3.34,3.35,1500
2025-03-06,3.26,3.38,3.26,3.32,13100
2025-03-07,3.32,3.34,3.27,3.32,15100
2025-03-10,3.25,3.32,3.25,3.32,14400
2025-03-11,3.31,3.33,3.27,3.32,79800
2025-03-12,3.28,3.32,3.28,3.32,24900
2025-03-13,3.33,3.33,3.3,3.32,14300
2025-03-14,3.26,3.33,3.25,3.32,54200
2025-03-17,3.26,3.32,3.26,3.32,16800
2025-03-18,3.32,3.33,3.3,3.3,34100
2025-03-19,3.31,3.33,3.3,3.33,35000
2025-03-20,3.33,3.33,3.3,3.3,7200
2025-03-21,3.31,3.32,3.3,3.32,31400
2025-03-24,3.33,3.33,3.3,3.32,2700
2025-03-25,3.33,3.33,3.29,3.32,29800
2025-03-26,3.28,3.33,3.28,3.33,43200
2025-03-27,3.3,3.33,3.3,3.33,1900
2025-03-28,3.27,3.32,3.27,3.3,4300
2025-03-31,3.32,3.32,3.27,3.32,11900
2025-04-01,3.3,3.32,3.29,3.32,18100
2025-04-02,3.3,3.34,3.3,3.34,7800
2025-04-03,3.31,3.31,3.17,3.24,40200
2025-04-04,3.2,3.23,3.02,3.15,50700
2025-04-08,3.01,3.09,2.93,2.99,30300
2025-04-09,3.09,3.09,2.81,2.83,20100
2025-04-10,3.02,3.02,3.02,3.02,9200
2025-04-11,3.21,3.22,3.02,3.16,4200
2025-04-14,3.12,3.15,3.01,3.08,10200
2025-04-15,3.09,3.09,3.07,3.08,2700
2025-04-16,2.91,3.2,2.91,3.13,1800
2025-04-17,3.2,3.2,2.94,3.15,700
2025-04-18,2.98,3.14,2.94,2.95,60600
2025-04-21,3.07,3.07,2.91,3.04,14900
2025-04-22,2.95,3.04,2.92,3.01,15500
2025-04-23,2.93,3.0,2.93,2.97,8400
2025-04-24,2.97,3.04,2.96,2.99,12400
2025-04-25,2.99,3.0,2.82,3.0,24400
2025-04-28,2.95,3.03,2.95,3.0,13700
2025-04-29,2.93,3.01,2.92,3.01,14000
2025-05-05,3.1,3.1,2.92,2.99,14700
2025-05-06,2.99,3.04,2.97,3.0,16000
2025-05-07,2.99,3.03,2.99,3.03,12300
2025-05-08,3.03,3.08,2.95,3.07,29300
2025-05-09,3.07,3.07,2.96,3.04,12800
2025-05-12,3.04,3.06,3.0,3.06,900
2025-05-13,3.06,3.09,3.04,3.08,29700
2025-05-14,3.07,3.1,3.0,3.09,47500
2025-05-15,3.08,3.11,3.02,3.1,48700
2025-05-16,3.06,3.11,3.06,3.1,14700
2025-05-19,3.1,3.1,3.03,3.09,8500
2025-05-20,3.07,3.15,3.06,3.1,10800
2025-05-21,3.15,3.15,3.06,3.09,17300
2025-05-22,3.05,3.14,3.05,3.1,11400
2025-05-23,3.03,3.1,3.02,3.08,5200
2025-05-26,3.09,3.09,3.02,3.09,23300
2025-05-27,3.27,3.27,3.09,3.16,23000
2025-05-28,3.19,3.19,3.08,3.14,131700
2025-05-29,3.18,3.2,3.1,3.13,15000
2025-05-30,3.1,3.14,3.08,3.11,13900
2025-06-02,3.1,3.12,3.1,3.11,9700
2025-06-03,3.11,3.12,3.08,3.12,62500
2025-06-04,3.12,3.13,3.07,3.1,32900
2025-06-05,3.1,3.1,3.07,3.1,6800
2025-06-06,3.11,3.11,3.0,3.07,41800
2025-06-09,2.97,3.08,2.97,3.07,38200
2025-06-10,3.09,3.09,3.01,3.07,18300
2025-06-11,3.05,3.06,3.02,3.05,23800
2025-06-12,3.13,3.13,3.04,3.04,11400
2025-06-13,3.02,3.08,2.99,3.03,126000
2025-06-16,3.07,3.07,3.02,3.03,54500
2025-06-17,3.03,3.03,3.02,3.03,26200
2025-06-18,3.04,3.05,3.02,3.04,79500
2025-06-19,3.02,3.04,2.9,3.04,44300
2025-06-20,3.04,3.16,3.0,3.03,23800
2025-06-23,3.03,3.16,3.03,3.03,30600
2025-06-24,3.1,3.1,3.03,3.05,8200
2025-06-25,3.05,3.05,3.03,3.05,3300
2025-06-26,3.08,3.08,3.03,3.05,2600
2025-06-27,3.04,3.07,3.02,3.04,45000
2025-06-30,3.03,3.05,3.0,3.04,8900
2025-07-01,3.05,3.05,3.0,3.02,22500
2025-07-02,3.03,3.06,3.02,3.04,31100
2025-07-03,3.0,3.07,3.0,3.05,71900
2025-07-04,3.07,3.09,3.05,3.05,8700
2025-07-07,3.05,3.1,3.05,3.05,15400
2025-07-08,3.08,3.09,3.05,3.05,66100
2025-07-09,3.05,3.16,3.05,3.12,71400
2025-07-10,3.12,3.16,3.12,3.13,89500
2025-07-11,3.14,3.17,3.1,3.13,29500
2025-07-14,3.13,3.14,3.1,3.14,20400
2025-07-15,3.14,3.15,3.12,3.14,61100
2025-07-16,3.13,3.16,3.1,3.15,41100
2025-07-17,3.15,3.17,3.12,3.15,31500
2025-07-18,3.15,3.15,3.14,3.14,43200
2025-07-21,3.14,3.25,3.14,3.19,73400
2025-07-22,3.19,3.2,3.14,3.16,79400
2025-07-23,3.15,3.21,3.11,3.16,64800
2025-07-24,3.16,3.17,3.14,3.16,44700
2025-07-25,3.16,3.17,3.15,3.15,39800
2025-07-28,3.16,3.19,3.14,3.18,62800
2025-07-29,3.18,3.19,3.13,3.15,223500
2025-07-30,3.15,3.15,3.11,3.15,130100
2025-07-31,3.15,3.18,3.1,3.17,16200
2025-08-01,3.17,3.19,3.16,3.16,20900
2025-08-04,3.16,3.19,3.15,3.17,95300
2025-08-05,3.17,3.18,3.15,3.17,97000
2025-08-06,3.17,3.18,3.15,3.16,67600
2025-08-07,3.17,3.18,3.14,3.18,40500
2025-08-08,3.16,3.18,3.15,3.17,39900
2025-08-11,3.17,3.27,3.17,3.21,58800
2025-08-12,3.21,3.21,3.18,3.21,46400
2025-08-13,3.2,3.2,3.17,3.18,35400
2025-08-14,3.19,3.19,3.17,3.18,37000
2025-08-15,3.19,3.19,3.17,3.18,5100
2025-08-18,3.18,3.2,3.18,3.18,19800
2025-08-19,3.18,3.25,3.16,3.19,89400
2025-08-20,3.2,3.2,3.15,3.18,51900
2025-08-21,3.19,3.2,3.17,3.19,36000
2025-08-22,3.12,3.19,3.1,3.14,63300
2025-08-25,3.15,3.15,3.1,3.13,20500
2025-08-26,3.13,3.14,3.11,3.11,13900
2025-08-27,3.11,3.13,3.09,3.12,48100
2025-08-28,3.12,3.12,2.91,3.09,103400
2025-08-29,3.12,3.13,3.06,3.1,36600
2025-09-03,3.09,3.1,3.07,3.1,19700
2025-09-04,3.09,3.12,3.08,3.1,161400
2025-09-05,3.1,3.12,3.09,3.1,38500
2025-09-08,3.09,3.11,3.06,3.1,34000
2025-09-09,3.09,3.09,3.04,3.08,22800
2025-09-10,3.01,3.08,3.01,3.07,31700
2025-09-11,3.04,3.08,2.93,3.08,8200
2025-09-12,3.08,3.08,3.06,3.07,3500
2025-09-15,3.06,3.08,3.03,3.06,54300
2025-09-16,3.06,3.06,3.02,3.05,24700
2025-09-17,3.05,3.11,3.03,3.07,29600
2025-09-18,3.04,3.08,3.04,3.07,2500
2025-09-19,3.06,3.06,3.03,3.05,2800
2025-09-22,3.08,3.08,3.03,3.05,7900
2025-09-23,3.05,3.18,3.05,3.06,19700
2025-09-24,3.07,3.07,3.06,3.07,1500
2025-09-25,3.05,3.07,3.05,3.06,19600
2025-09-26,3.06,3.06,3.03,3.04,25600
2025-09-29,3.04,3.06,3.04,3.06,21300
2025-09-30,3.06,3.06,3.04,3.06,3000
2025-10-01,3.06,3.07,3.02,3.05,57700
2025-10-02,3.06,3.06,3.04,3.06,14600
2025-10-03,3.05,3.07,3.04,3.06,3800
2025-10-06,3.05,3.06,3.04,3.06,51600
2025-10-07,3.05,3.06,3.04,3.06,19300
2025-10-08,3.05,3.06,3.02,3.06,4400
2025-10-09,3.05,3.05,3.01,3.05,15100
2025-10-10,3.04,3.06,3.02,3.05,9600
2025-10-13,3.05,3.05,3.01,3.05,29400
2025-10-14,3.05,3.05,3.0,3.05,73800
2025-10-15,3.03,3.05,3.0,3.04,4900
2025-10-16,3.02,3.06,2.95,3.05,8000
2025-10-17,3.05,3.05,3.03,3.05,5900
2025-10-20,3.03,3.03,3.0,3.0,6500
2025-10-21,3.02,3.02,2.94,2.96,25400
2025-10-22,3.03,3.03,2.94,3.0,2600
2025-10-23,3.02,3.02,2.97,3.0,6100
2025-10-24,3.0,3.0,3.0,3.0,200
2025-10-27,3.0,3.04,3.0,3.01,1400
2025-10-28,2.99,3.01,2.99,3.01,3400
2025-10-29,3.0,3.01,2.99,3.0,6700
2025-10-30,3.01,3.01,2.79,2.99,21500
2025-10-31,3.0,3.0,2.97,3.0,3900
2025-11-03,3.0,3.0,2.91,2.99,10100
2025-11-04,2.99,3.0,2.92,2.98,6500
2025-11-05,2.98,3.0,2.97,2.99,5700
2025-11-06,2.97,3.0,2.96,3.0,5000
2025-11-07,2.99,2.99,2.99,2.99,100
2025-11-10,2.99,2.99,2.94,2.97,4200
2025-11-11,2.98,3.01,2.96,3.0,25200
2025-11-12,3.0,3.05,2.97,3.05,22200
2025-11-13,2.99,3.05,2.99,3.05,700
2025-11-14,2.99,3.03,2.99,3.03,300
2025-11-17,3.0,3.04,2.96,3.0,2300
2025-11-18,2.99,3.01,2.97,3.0,16300
2025-11-19,2.99,3.0,2.96,3.0,26300
2025-11-20,2.95,3.0,2.93,2.99,17600
2025-11-21,2.99,2.99,2.89,2.98,48700
2025-11-24,2.97,2.99,2.95,2.95,19600
2025-11-25,2.96,2.98,2.95,2.95,11600
2025-11-26,2.95,2.97,2.93,2.96,4100
2025-11-27,2.94,2.98,2.94,2.97,9900
2025-11-28,2.97,2.97,2.96,2.96,5200
2025-12-01,2.96,2.97,2.95,2.97,9100
2025-12-02,2.94,2.97,2.94,2.97,46600
2025-12-03,2.95,2.97,2.94,2.97,10200
2025-12-04,2.97,2.98,2.96,2.97,25900
2025-12-05,2.93,2.97,2.93,2.97,3800
2025-12-08,2.97,3.0,2.95,3.0,10100
2025-12-09,2.97,3.01,2.97,2.99,7600
2025-12-10,3.0,3.02,2.98,2.98,23000
2025-12-11,2.99,3.0,2.99,2.99,2100
2025-12-12,3.0,3.0,2.96,2.99,4300
2025-12-15,2.98,3.0,2.94,2.95,22600
2025-12-16,2.97,2.98,2.91,2.98,13100
2025-12-17,2.95,2.98,2.93,2.95,3600
2025-12-18,2.95,2.97,2.92,2.96,3200
2025-12-19,2.95,2.97,2.95,2.97,500
2025-12-22,2.95,2.97,2.92,2.97,6300
2025-12-23,2.92,2.97,2.91,2.97,7700
2025-12-24,2.95,2.97,2.91,2.97,2300
2025-12-25,2.96,2.97,2.96,2.97,200
2025-12-26,2.85,2.97,2.85,2.97,4000
2025-12-29,2.97,2.97,2.92,2.97,1200
2025-12-30,2.96,2.97,2.91,2.97,2800
2025-12-31,2.96,2.96,2.96,2.96,600
2026-01-05,2.96,2.97,2.91,2.94,4300
2026-01-06,2.94,2.95,2.91,2.95,17400
2026-01-07,2.95,2.97,2.92,2.97,27200
2026-01-08,2.93,2.97,2.91,2.97,2400
2026-01-09,2.95,2.97,2.93,2.97,1600
2026-01-12,2.97,2.97,2.94,2.97,10600
2026-01-13,2.96,2.97,2.96,2.97,3500
2026-01-14,2.97,2.97,2.92,2.97,3600
2026-01-15,2.95,2.97,2.95,2.97,2100
2026-01-16,2.91,2.96,2.91,2.95,2500
