date,open,high,low,close,volume
2024-01-30,39.3,39.3,39.25,39.3,491703
2024-01-31,39.3,39.5,39.1,39.3,266400
2024-02-01,39.3,39.5,39.3,39.4,511504
2024-02-02,39.4,39.5,39.4,39.4,313300
2024-02-05,39.4,39.6,39.4,39.5,405100
2024-02-06,39.5,39.6,39.5,39.55,262500
2024-02-07,39.55,39.7,39.55,39.6,332100
2024-02-15,39.6,39.7,39.6,39.7,241500
2024-02-16,39.9,40.0,39.7,39.9,346832
2024-02-19,40.05,40.3,39.9,40.0,432505
2024-02-20,40.2,40.4,39.8,39.8,356900
2024-02-21,40.0,40.0,39.5,39.6,430901
2024-02-22,39.9,39.9,39.7,39.8,335400
2024-02-23,39.8,40.0,39.8,39.9,325811
2024-02-26,39.9,40.2,39.9,39.95,378700
2024-02-27,40.2,40.2,39.95,40.0,372500
2024-02-28,40.0,40.2,40.0,40.05,321300
2024-02-29,40.2,40.2,40.05,40.05,389700
2024-03-01,40.05,40.15,40.05,40.15,316800
2024-03-04,40.15,40.6,40.15,40.2,399900
2024-03-05,40.2,40.5,40.2,40.25,310244
2024-03-06,40.25,40.4,40.25,40.25,247400
2024-03-07,40.25,40.25,39.8,40.0,356200
2024-03-08,40.0,40.15,40.0,40.0,376800
2024-03-11,40.0,40.2,39.9,40.05,412510
2024-03-12,40.05,40.2,39.9,39.9,378400
2024-03-13,39.9,39.95,39.85,39.85,336900
2024-03-14,39.85,39.9,39.75,39.8,275400
2024-03-15,39.8,39.8,39.1,39.7,364300
2024-03-18,39.7,40.0,39.4,39.7,481900
2024-03-19,39.7,39.7,39.2,39.3,350900
2024-03-20,39.3,39.6,39.3,39.35,370800
2024-03-21,39.35,39.45,38.65,38.7,382210
2024-03-22,38.7,38.9,38.1,38.2,291512
2024-03-25,38.2,38.4,37.45,38.2,349500
2024-03-26,38.2,38.25,37.7,37.9,341700
2024-03-27,37.9,37.9,37.35,37.5,304200
2024-03-28,37.5,37.7,37.5,37.65,370600
2024-03-29,37.65,37.7,37.5,37.7,293510
2024-04-01,37.7,37.9,37.3,37.4,288500
2024-04-02,37.6,37.6,37.4,37.6,322100
2024-04-03,37.6,37.7,37.1,37.65,341612
2024-04-04,37.8,37.8,37.4,37.65,337400
2024-04-05,37.65,37.7,36.8,37.7,715800
2024-04-08,37.7,37.9,37.7,37.8,350700
2024-04-09,38.0,38.0,37.8,37.8,340900
2024-04-10,37.8,38.1,37.5,37.7,305000
2024-04-11,37.8,37.8,37.0,37.0,332100
2024-04-12,37.0,37.15,36.8,37.15,302700
2024-04-15,37.15,37.3,36.5,37.3,318400
2024-04-16,37.2,37.5,36.6,37.4,315000
2024-04-17,37.4,37.4,36.0,37.4,345101
2024-04-19,37.4,37.5,37.0,37.1,303809
2024-04-22,37.1,37.4,37.1,37.4,314700
2024-04-23,37.4,37.45,36.95,37.45,437700
2024-04-24,37.45,37.7,37.1,37.5,337814
2024-04-25,37.5,37.9,37.5,37.7,342300
2024-04-26,37.7,38.1,37.7,37.75,301114
2024-05-02,37.75,38.1,37.2,37.8,339000
2024-05-03,38.1,38.2,37.7,37.8,319401
2024-05-06,37.8,38.1,37.8,37.9,298800
2024-05-07,37.9,37.95,37.4,37.4,323700
2024-05-08,37.4,37.8,36.5,37.8,310500
2024-05-09,37.8,37.9,37.8,37.85,300500
2024-05-10,37.85,38.0,37.85,38.0,313400
2024-05-13,38.0,38.2,38.0,38.2,311714
2024-05-14,38.2,38.35,38.2,38.3,329100
2024-05-15,38.4,38.4,38.2,38.35,375400
2024-05-16,38.35,38.8,38.35,38.35,345000
2024-05-17,38.5,38.5,38.25,38.4,303400
2024-05-20,38.4,38.7,38.3,38.7,327800
2024-05-21,38.7,38.8,38.7,38.8,308300
2024-05-22,38.8,38.8,38.6,38.7,299100
2024-05-23,38.7,38.75,38.55,38.75,295600
2024-05-24,38.75,38.85,38.6,38.8,316200
2024-05-27,39.0,39.1,38.8,38.9,404602
2024-05-28,39.05,39.05,38.9,38.95,356900
2024-05-29,38.95,39.0,38.95,38.95,310800
2024-05-30,38.95,39.0,38.85,39.0,316400
2024-05-31,39.15,39.3,39.0,39.1,304800
2024-06-03,39.1,39.4,39.1,39.15,305500
