date,open,high,low,close,volume
2023-05-09,2.8,2.8,2.8,2.8,6800
2023-05-10,2.4,3.0,2.4,2.8,8800
2023-05-11,2.6,2.9,2.6,2.9,16920
2023-05-12,2.7,3.0,2.7,2.7,6300
2023-05-15,2.8,3.3,2.8,3.3,40786
2023-05-16,3.6,3.6,3.6,3.6,44800
2023-05-17,4.1,4.1,4.0,4.0,35186
2023-05-18,4.7,4.7,3.5,3.6,22100
2023-05-19,3.9,3.9,3.9,3.9,110
2023-05-22,3.4,3.4,3.4,3.4,3401
2023-05-23,3.0,3.4,2.9,3.0,8101
2023-05-24,3.4,3.4,2.6,3.4,6310
2023-05-25,3.3,3.3,3.3,3.3,0
2023-05-26,3.0,3.3,2.9,3.3,22500
2023-05-29,3.2,3.2,3.2,3.2,600
2023-05-30,3.2,3.2,3.2,3.2,0
2023-05-31,3.0,3.1,3.0,3.0,12600
2023-06-01,3.3,3.4,3.3,3.4,8100
2023-06-02,3.6,3.6,3.6,3.6,600
2023-06-05,3.6,3.6,3.6,3.6,0
2023-06-06,3.1,3.5,3.1,3.4,4700
2023-06-07,3.5,3.5,3.3,3.3,3200
2023-06-08,3.5,3.5,3.5,3.5,700
2023-06-09,3.5,3.5,3.5,3.5,0
2023-06-12,3.4,3.4,3.2,3.4,2909
2023-06-13,3.1,3.3,2.9,3.2,4800
2023-06-14,3.0,3.1,3.0,3.1,5737
2023-06-15,3.4,3.4,3.4,3.4,14200
2023-06-16,3.4,3.4,3.4,3.4,0
2023-06-19,3.0,3.0,2.9,2.9,14500
2023-06-20,2.8,2.8,2.6,2.6,2800
2023-06-21,2.9,2.9,2.9,2.9,2300
2023-06-22,2.9,3.3,2.9,3.3,14900
2023-06-23,3.6,3.6,3.3,3.5,4700
2023-06-26,3.6,3.6,3.2,3.2,1240
2023-06-27,3.3,3.3,3.3,3.3,0
2023-06-28,3.3,3.3,3.3,3.3,100
2023-06-29,3.3,3.3,3.0,3.0,3400
2023-06-30,3.0,3.0,3.0,3.0,12010
2023-07-03,3.0,3.0,3.0,3.0,0
2023-07-04,3.0,3.0,3.0,3.0,100
2023-07-05,3.0,3.0,3.0,3.0,200
2023-07-06,2.9,2.9,2.9,2.9,2100
2023-07-07,2.6,2.6,2.6,2.6,6000
2023-07-10,2.8,2.8,2.8,2.8,100
2023-07-11,3.0,3.2,3.0,3.2,1500
2023-07-12,3.2,3.3,3.2,3.2,800
2023-07-13,3.2,3.2,3.1,3.2,1400
2023-07-14,3.2,3.2,3.2,3.2,0
2023-07-17,3.1,3.1,3.1,3.1,12000
2023-07-18,3.1,3.1,3.1,3.1,0
2023-07-19,3.0,3.0,2.9,2.9,8003
2023-07-20,2.6,3.2,2.6,3.2,10300
2023-07-21,3.3,3.3,3.0,3.2,5700
2023-07-24,3.2,3.2,3.2,3.2,2500
2023-07-25,3.5,3.5,3.0,3.2,7800
2023-07-26,3.2,3.2,3.0,3.2,4200
2023-07-27,3.2,3.2,3.2,3.2,100
2023-07-28,3.6,3.6,3.6,3.6,100
2023-07-31,4.0,4.0,3.5,3.8,300
2023-08-01,3.8,3.8,3.3,3.3,17910
2023-08-02,3.7,3.7,3.3,3.3,400
2023-08-03,3.3,3.3,3.1,3.3,11540
2023-08-04,3.1,3.3,3.1,3.2,1400
2023-08-07,3.2,3.2,3.2,3.2,500
2023-08-08,3.2,3.2,3.1,3.1,10100
2023-08-09,3.0,3.0,3.0,3.0,303
2023-08-10,3.1,3.4,3.1,3.4,40701
2023-08-11,3.9,3.9,3.9,3.9,10437
2023-08-14,4.4,4.4,4.4,4.4,5600
2023-08-15,5.0,5.0,4.8,5.0,138072
2023-08-16,5.5,5.5,4.3,4.6,53600
2023-08-17,4.9,4.9,4.3,4.3,4300
2023-08-18,4.0,4.4,4.0,4.0,37000
2023-08-21,3.5,3.9,3.5,3.6,12900
2023-08-22,3.6,3.6,3.2,3.2,35400
2023-08-23,3.3,3.6,3.3,3.6,3000
2023-08-24,3.6,3.6,3.3,3.5,36500
2023-08-25,3.6,3.6,3.3,3.5,1000
2023-08-28,3.9,3.9,3.3,3.6,31400
2023-08-29,3.5,3.5,3.4,3.5,11400
2023-08-30,3.4,3.5,3.3,3.3,24700
2023-08-31,3.3,3.5,3.3,3.5,4900
2023-09-05,3.5,3.7,3.3,3.7,51300
2023-09-06,3.7,3.7,3.6,3.6,6400
2023-09-07,3.7,3.7,3.6,3.6,26100
2023-09-08,3.1,3.6,3.1,3.2,13200
2023-09-11,3.5,3.5,3.2,3.3,24900
2023-09-12,3.2,3.3,3.2,3.3,10100
2023-09-13,3.3,3.4,3.3,3.4,5900
2023-09-14,3.4,3.5,3.4,3.4,27200
2023-09-15,3.5,3.5,3.4,3.4,3210
2023-09-18,3.4,3.4,3.4,3.4,8200
2023-09-19,3.3,3.4,3.3,3.4,21800
2023-09-20,3.3,3.5,3.3,3.5,4100
2023-09-21,3.4,3.4,3.4,3.4,3800
2023-09-22,3.4,3.4,3.4,3.4,19600
2023-09-25,3.4,3.4,3.4,3.4,4000
2023-09-26,2.9,3.7,2.9,3.5,31900
2023-09-27,3.1,3.7,3.1,3.3,27500
2023-09-28,3.5,3.5,3.4,3.4,4400
2023-09-29,3.3,3.9,3.3,3.9,32800
2023-10-02,4.2,4.2,4.2,4.2,11800
2023-10-03,4.8,4.8,4.2,4.8,53118
2023-10-04,5.0,5.0,4.0,4.9,34400
2023-10-05,3.8,4.8,3.8,3.8,34400
2023-10-06,3.8,3.8,3.5,3.5,3500
2023-10-09,3.6,3.8,3.5,3.5,30200
2023-10-10,3.7,3.7,3.5,3.6,17100
2023-10-11,3.6,3.6,3.5,3.6,13300
2023-10-12,3.6,3.6,3.4,3.6,17000
2023-10-13,3.4,3.4,3.4,3.4,4900
2023-10-16,3.6,3.6,3.5,3.5,1100
2023-10-17,3.5,3.5,3.3,3.3,9600
2023-10-18,3.3,3.3,3.0,3.2,24000
2023-10-19,3.6,3.6,3.5,3.6,44100
2023-10-20,4.1,4.1,3.7,3.9,7010
2023-10-23,3.6,3.6,3.4,3.4,11500
2023-10-24,3.6,3.6,3.4,3.4,800
2023-10-25,3.4,3.4,3.2,3.2,12300
2023-10-26,3.0,3.3,3.0,3.0,7500
2023-10-27,2.9,3.0,2.9,3.0,1300
2023-10-30,3.3,3.3,3.1,3.1,14500
2023-10-31,3.1,3.1,3.0,3.1,6600
2023-11-01,3.1,3.1,3.1,3.1,5200
2023-11-02,3.1,3.3,3.0,3.3,9300
2023-11-03,2.8,3.2,2.8,3.2,7100
2023-11-06,3.3,3.3,3.3,3.3,34100
2023-11-07,3.6,3.6,3.3,3.3,2300
2023-11-08,3.7,3.7,3.1,3.2,22800
