date,open,high,low,close,volume
2024-01-30,15.31,15.47,15.31,15.47,3500
2024-01-31,15.34,15.34,15.31,15.31,6200
2024-02-01,15.31,15.31,15.03,15.31,9200
2024-02-02,15.0,15.31,15.0,15.31,5400
2024-02-05,15.28,15.31,15.28,15.28,5000
2024-02-06,15.25,15.25,15.0,15.0,3500
2024-02-07,15.03,15.03,15.03,15.03,2201
2024-02-15,15.03,15.03,15.03,15.03,6000
2024-02-16,15.03,15.03,15.0,15.0,2000
2024-02-19,15.0,15.0,15.0,15.0,3200
2024-02-20,14.84,15.03,14.84,14.84,6100
2024-02-21,15.0,15.47,14.97,15.31,17400
2024-02-22,15.19,15.47,15.19,15.47,3000
2024-02-23,15.47,16.25,15.47,15.72,21100
2024-02-26,15.75,15.94,15.34,15.41,5000
2024-02-27,15.62,15.78,15.62,15.78,2200
2024-02-28,15.62,15.94,15.03,15.94,4800
2024-02-29,15.78,16.09,15.62,15.62,9700
2024-03-01,15.94,16.09,15.78,15.81,8200
2024-03-04,15.81,16.38,15.81,16.38,8821
2024-03-05,16.19,16.25,16.16,16.16,7100
2024-03-06,16.22,16.25,16.19,16.22,6021
2024-03-07,16.22,16.59,16.22,16.59,6400
2024-03-08,16.5,16.5,16.5,16.5,1000
2024-03-11,16.88,16.88,16.72,16.88,1600
2024-03-12,16.56,17.19,16.56,17.19,3200
2024-03-13,17.34,17.5,17.19,17.5,2700
2024-03-14,17.5,18.44,17.34,18.44,7900
2024-03-15,17.81,18.12,17.66,17.66,5900
2024-03-18,17.97,18.06,17.19,17.19,18876
2024-03-19,17.84,18.22,17.5,18.22,8900
2024-03-20,18.12,18.44,17.84,18.28,23000
2024-03-21,17.88,18.75,17.88,18.75,22900
2024-03-22,18.47,20.31,18.47,20.31,15900
2024-03-25,20.31,21.25,20.31,20.94,19080
2024-03-26,19.72,19.84,19.69,19.78,2400
2024-03-27,19.88,19.88,19.84,19.84,5010
2024-03-28,19.88,20.62,19.88,20.0,1228
2024-03-29,20.59,20.62,20.0,20.62,4003
2024-04-01,20.31,21.88,20.31,20.97,9001
2024-04-02,21.88,22.81,21.88,22.81,6229
2024-04-03,21.88,22.34,21.28,21.5,2100
2024-04-04,21.56,22.5,21.56,22.5,5342
2024-04-05,21.88,25.0,21.88,21.88,10636
2024-04-08,22.81,23.44,22.81,23.44,7137
2024-04-09,23.44,23.75,23.44,23.75,3701
2024-04-10,23.44,23.91,22.81,23.53,4155
2024-04-11,23.72,23.72,22.03,23.44,7126
2024-04-12,23.34,23.44,22.84,22.84,3000
2024-04-15,23.12,23.12,21.25,22.09,14406
2024-04-16,23.41,23.41,22.34,22.38,4300
2024-04-17,22.66,22.66,22.19,22.19,6700
2024-04-19,22.19,22.78,21.88,21.88,5912
2024-04-22,22.44,22.44,21.94,22.19,1200
2024-04-23,22.34,22.5,22.34,22.5,3802
2024-04-24,25.75,25.75,23.44,23.44,200
2024-04-25,24.97,24.97,23.75,23.75,400
2024-04-26,26.84,26.84,23.44,23.44,1403
2024-05-02,26.84,26.84,23.12,23.12,4132
2024-05-03,23.84,23.84,23.84,23.84,0
2024-05-06,23.88,23.88,21.91,22.66,12112
2024-05-07,23.41,23.41,21.94,21.94,12428
2024-05-08,22.19,22.19,20.66,21.91,4900
2024-05-09,21.94,21.94,21.88,21.88,412
2024-05-10,21.25,22.0,20.94,21.72,3600
2024-05-13,22.12,22.12,22.12,22.12,600
2024-05-14,25.38,25.38,22.47,22.59,2200
2024-05-15,22.34,22.34,22.34,22.34,200
2024-05-16,21.75,21.75,21.56,21.56,1500
2024-05-17,21.09,21.09,21.09,21.09,100
2024-05-20,20.97,21.5,20.81,20.81,6700
2024-05-21,22.16,22.16,21.0,21.0,1701
2024-05-22,21.88,21.88,21.09,21.09,1079
2024-05-23,21.53,21.53,21.53,21.53,2300
2024-05-24,23.41,23.41,21.28,21.28,3800
2024-05-27,24.72,24.72,22.0,22.0,479
2024-05-28,21.12,21.81,21.12,21.81,700
2024-05-29,21.03,21.56,21.03,21.12,3900
2024-05-30,21.0,21.0,20.94,20.94,1700
2024-05-31,20.62,20.78,20.62,20.69,3105
2024-06-03,23.72,23.72,20.94,21.09,1302
2024-06-04,21.88,22.62,21.88,22.34,1105
2024-06-05,22.66,22.66,21.84,21.84,5513
2024-06-06,21.88,21.91,21.72,21.84,7510
2024-06-07,21.56,21.72,21.56,21.72,8203
2024-06-10,21.69,21.69,21.69,21.69,1018
2024-06-11,21.88,22.5,21.88,22.03,28353
2024-06-12,22.19,22.19,21.88,21.97,18915
2024-06-13,21.88,22.12,21.88,22.12,25522
2024-06-14,21.88,21.88,21.25,21.88,5801
2024-06-17,21.88,21.88,21.38,21.41,5102
2024-06-18,21.88,21.88,20.97,21.31,16409
2024-06-19,21.41,21.69,20.94,21.69,7200
2024-06-20,21.22,21.84,21.22,21.84,5700
2024-06-21,21.84,22.19,21.84,22.19,6700
2024-06-24,22.06,22.06,21.72,21.72,7000
2024-06-25,22.0,22.44,21.5,22.09,5600
2024-06-26,22.47,22.47,21.91,21.91,1600
2024-06-27,22.34,23.69,22.34,23.69,3200
2024-06-28,23.69,23.69,22.66,22.81,2200
2024-07-01,22.81,22.81,22.81,22.81,2000
2024-07-02,22.81,22.84,22.81,22.84,2600
2024-07-03,23.28,24.69,23.28,24.69,9820
2024-07-04,24.34,25.0,24.28,25.0,10336
2024-07-05,24.38,25.0,24.38,25.0,10000
2024-07-08,24.22,24.22,22.31,23.44,51000
2024-07-09,24.47,24.47,24.47,24.47,100
2024-07-10,23.28,23.28,23.12,23.12,48056
2024-07-11,23.34,24.38,23.16,24.28,51302
2024-07-12,24.34,24.66,24.34,24.66,10500
2024-07-15,25.62,25.62,23.78,24.19,2500
2024-07-16,24.94,24.94,23.12,23.25,38500
2024-07-17,24.03,24.03,22.81,22.81,13000
2024-07-18,22.44,23.75,21.97,23.75,26916
2024-07-19,22.44,22.44,22.0,22.16,42400
2024-07-22,22.75,22.81,21.56,21.56,35500
2024-07-23,22.0,22.47,21.09,21.09,11700
2024-07-24,20.66,21.56,20.5,21.0,25100
2024-07-25,20.88,21.47,20.88,21.47,300
2024-07-26,21.78,21.78,21.28,21.53,11000
2024-07-29,22.12,22.12,21.34,21.41,13700
2024-07-30,21.56,21.84,20.88,20.94,9000
2024-07-31,21.12,21.69,21.12,21.19,6000
2024-08-01,21.69,21.69,20.62,20.62,12600
2024-08-02,21.5,21.5,20.78,20.94,8401
2024-08-05,21.41,21.56,20.31,20.47,12502
2024-08-06,21.0,21.0,20.59,20.59,10600
2024-08-07,20.88,20.88,20.47,20.47,11000
2024-08-08,20.31,20.31,20.25,20.31,15900
