date,open,high,low,close,volume
2024-01-30,15.73,16.55,15.46,15.64,1573545
2024-01-31,15.73,15.83,15.1,15.28,1336155
2024-02-01,15.28,15.64,15.28,15.64,779004
2024-02-02,15.55,15.73,15.28,15.28,1171361
2024-02-05,15.19,15.83,15.1,15.83,857342
2024-02-06,15.83,16.19,15.55,15.92,339168
2024-02-07,15.92,16.46,15.64,15.73,1676277
2024-02-15,15.73,16.19,15.46,16.19,1153633
2024-02-16,16.19,16.28,15.92,16.19,817929
2024-02-19,16.19,17.28,16.19,16.92,2687096
2024-02-20,16.92,17.19,16.83,17.1,744117
2024-02-21,17.1,17.46,16.83,17.28,1111656
2024-02-22,17.28,17.28,16.73,16.92,1251541
2024-02-23,16.73,17.01,16.37,16.73,1527236
2024-02-26,16.73,17.28,16.64,17.01,997370
2024-02-27,17.01,18.19,17.01,17.92,1683022
2024-02-28,17.92,18.37,17.92,18.01,792204
2024-02-29,18.01,18.19,17.74,17.92,581069
2024-03-01,17.92,18.1,17.74,17.92,750732
2024-03-04,18.01,18.28,17.83,18.1,662025
2024-03-05,18.1,18.64,18.1,18.64,1179766
2024-03-06,18.64,18.92,18.19,18.55,1075897
2024-03-07,18.55,19.01,18.19,18.46,559769
2024-03-08,18.46,18.74,18.19,18.74,754837
2024-03-11,18.74,19.01,18.37,18.46,822400
2024-03-12,18.55,19.01,18.46,18.92,693482
2024-03-13,18.92,19.92,18.92,19.83,1132654
2024-03-14,19.83,20.01,19.37,19.55,675622
2024-03-15,19.55,19.74,19.28,19.46,734305
2024-03-18,19.46,19.46,17.55,17.64,3405880
2024-03-19,17.64,17.92,17.46,17.46,955932
2024-03-20,17.46,18.1,17.1,18.01,904620
2024-03-21,18.01,18.46,17.83,18.19,864853
2024-03-22,18.19,18.37,17.92,18.01,711829
2024-03-25,18.01,18.92,18.01,18.46,1457593
2024-03-26,18.46,18.83,18.46,18.74,705562
2024-03-27,18.64,19.01,18.46,18.64,570518
2024-03-28,18.64,18.83,18.46,18.74,587979
2024-03-29,18.74,19.37,18.64,18.92,957426
2024-04-01,18.92,19.01,18.46,18.74,409622
