date,open,high,low,close,volume
2024-01-30,20.71,20.71,20.41,20.61,7000
2024-01-31,20.74,20.8,20.28,20.41,18100
2024-02-01,20.2,20.2,19.98,19.98,3400
2024-02-02,20.07,20.07,19.81,19.89,29216
2024-02-05,19.89,19.89,18.99,18.99,36400
2024-02-06,19.07,19.07,18.75,18.77,16200
2024-02-07,18.77,20.07,18.77,18.9,43400
2024-02-15,19.2,19.2,18.94,18.99,20600
2024-02-16,18.99,18.99,18.86,18.94,10847
2024-02-19,18.9,18.94,18.84,18.86,20800
2024-02-20,18.86,18.86,18.82,18.86,85400
2024-02-21,18.86,19.2,18.84,18.86,53740
2024-02-22,18.86,19.2,18.77,18.86,47253
2024-02-23,18.99,18.99,18.77,18.86,40400
2024-02-26,18.86,19.2,18.82,19.01,26400
2024-02-27,18.94,18.94,18.82,18.94,38160
2024-02-28,18.9,18.97,18.75,18.86,41103
2024-02-29,18.92,18.92,18.84,18.86,21359
2024-03-01,18.82,18.84,18.75,18.82,24608
2024-03-04,18.86,18.86,18.71,18.71,46200
2024-03-05,18.86,18.86,18.77,18.79,30659
2024-03-06,18.82,18.82,18.77,18.79,21200
2024-03-07,18.71,18.82,18.71,18.77,43806
2024-03-08,18.77,18.77,18.71,18.77,12506
2024-03-11,18.86,18.88,18.71,18.82,47300
2024-03-12,18.82,18.82,18.77,18.82,45801
2024-03-13,18.82,18.82,18.71,18.82,23380
2024-03-14,18.79,18.82,18.71,18.71,24720
2024-03-15,18.77,18.88,18.71,18.82,62701
2024-03-18,18.99,18.99,18.55,18.88,18544
2024-03-19,18.68,18.88,17.88,18.84,23909
2024-03-20,18.88,18.88,18.32,18.82,34968
2024-03-21,18.37,18.77,18.37,18.68,5170
2024-03-22,18.68,18.68,18.32,18.64,29617
2024-03-25,18.64,18.7,18.37,18.64,10302
2024-03-26,18.14,18.68,18.14,18.59,6100
2024-03-27,18.32,18.77,18.32,18.68,6348
2024-03-28,18.82,18.9,18.73,18.82,89813
