date,open,high,low,close,volume
2023-11-10,42.67,45.01,39.69,45.01,6500
2023-11-13,45.01,47.69,45.01,47.69,1101
2023-11-14,50.55,50.55,45.44,45.44,1402
2023-11-15,45.44,45.44,45.44,45.44,0
2023-11-16,48.21,48.21,48.21,48.21,1500
2023-11-17,47.95,48.04,47.95,48.04,34500
2023-11-20,48.04,48.04,48.04,48.04,900
2023-11-21,48.04,48.04,48.04,48.04,0
2023-11-22,44.84,44.84,44.84,44.84,100
2023-11-23,44.84,47.95,44.84,47.95,201
2023-11-24,47.95,47.95,47.95,47.95,1
2023-11-27,44.75,50.55,44.66,50.55,600
2023-11-28,50.46,50.46,50.46,50.46,103
2023-11-29,47.09,47.09,47.09,47.09,105
2023-11-30,43.88,43.88,43.88,43.88,210
2023-12-01,46.57,46.57,46.57,46.57,100
2023-12-04,46.57,49.68,46.57,49.68,500
2023-12-05,49.68,49.68,49.68,49.68,0
2023-12-06,49.34,52.8,49.08,52.8,1300
2023-12-07,52.8,52.8,52.8,52.8,0
2023-12-08,49.25,49.25,49.25,49.25,400
2023-12-11,49.25,49.25,49.25,49.25,2
2023-12-12,49.25,49.25,49.25,49.25,0
2023-12-13,51.07,51.07,51.07,51.07,100
2023-12-14,47.52,51.07,47.52,51.07,500
2023-12-15,51.07,51.07,51.07,51.07,55
2023-12-18,51.07,51.07,51.07,51.07,0
2023-12-19,51.07,51.07,51.07,51.07,0
2023-12-20,47.61,47.61,47.61,47.61,105
2023-12-21,50.81,50.81,44.32,49.34,2000
2023-12-22,49.34,49.34,49.34,49.34,0
2023-12-25,49.34,49.34,49.34,49.34,2
2023-12-26,49.34,49.34,49.34,49.34,1
2023-12-27,46.02,46.02,45.93,45.93,8649
2023-12-28,45.93,45.93,45.93,45.93,2
2023-12-29,45.93,45.93,45.93,45.93,20
2024-01-02,45.93,45.93,45.93,45.93,0
2024-01-03,45.93,45.93,45.93,45.93,0
2024-01-04,45.93,47.81,45.93,47.81,920
2024-01-05,47.72,49.34,47.72,49.34,1900
2024-01-08,48.8,52.03,48.8,52.03,301
2024-01-09,48.44,55.62,48.44,55.44,1392
2024-01-10,55.44,55.44,55.44,55.44,5
2024-01-11,55.44,55.44,55.44,55.44,0
2024-01-12,55.44,55.44,55.44,55.44,0
2024-01-15,51.58,58.94,51.58,58.94,510
2024-01-16,58.94,58.94,58.94,58.94,0
2024-01-17,58.94,58.94,58.94,58.94,10
2024-01-18,54.9,54.9,54.9,54.9,203
2024-01-19,51.22,58.4,51.13,58.4,2001
2024-01-22,58.4,58.4,58.4,58.4,6
2024-01-23,54.36,54.36,54.36,54.36,100
2024-01-24,54.36,54.36,54.36,54.36,0
2024-01-25,54.36,54.36,54.36,54.36,0
2024-01-26,54.36,54.36,54.36,54.36,0
2024-01-29,54.36,54.36,54.36,54.36,0
2024-01-30,54.36,54.36,54.36,54.36,0
2024-01-31,54.36,54.36,54.36,54.36,0
2024-02-01,54.36,54.36,54.36,54.36,0
2024-02-02,54.36,54.36,54.36,54.36,0
2024-02-05,54.36,54.36,54.36,54.36,0
2024-02-06,54.36,54.36,54.36,54.36,0
2024-02-07,50.59,53.82,50.59,53.82,5100
2024-02-15,50.06,50.68,50.06,50.59,1102
2024-02-16,50.59,50.59,50.59,50.59,0
2024-02-19,50.59,53.82,47.27,47.27,313
2024-02-20,47.36,50.5,47.1,50.23,2300
2024-02-21,52.93,52.93,52.93,52.93,200
2024-02-22,52.93,52.93,52.93,52.93,0
