date,open,high,low,close,volume
2024-01-30,49.08,49.08,48.51,49.08,12700
2024-01-31,48.7,49.08,48.41,49.08,8300
2024-02-01,48.79,49.17,48.7,49.17,4200
2024-02-02,48.41,49.17,48.23,49.17,6400
2024-02-05,48.23,48.7,47.47,48.7,22300
2024-02-06,47.75,48.98,46.33,48.98,1100
2024-02-07,48.7,49.08,48.23,49.08,14100
2024-02-15,49.08,49.08,48.23,48.7,12400
2024-02-16,48.7,48.7,48.7,48.7,0
2024-02-19,48.7,48.7,48.7,48.7,1600
2024-02-20,48.7,48.7,48.7,48.7,1500
2024-02-21,48.6,48.6,48.23,48.23,5800
2024-02-22,47.85,48.23,47.85,48.23,3312
2024-02-23,48.13,48.13,47.47,47.47,19903
2024-02-26,47.75,49.17,47.28,47.47,9002
2024-02-27,47.47,47.47,47.28,47.47,6700
2024-02-28,47.28,48.23,47.28,47.75,1826
2024-02-29,47.28,48.23,47.28,48.23,9900
2024-03-01,48.23,48.23,48.23,48.23,0
2024-03-04,47.94,47.94,47.94,47.94,1600
2024-03-05,47.94,47.94,47.94,47.94,1312
2024-03-06,47.94,47.94,47.28,47.28,14100
2024-03-07,47.28,47.66,47.28,47.56,3800
2024-03-08,47.28,47.28,47.19,47.28,5900
2024-03-11,47.28,47.28,47.19,47.28,7406
2024-03-12,47.28,47.28,47.28,47.28,2500
2024-03-13,47.28,49.17,47.19,47.28,18100
2024-03-14,47.28,47.28,47.19,47.19,7400
2024-03-15,47.28,47.28,46.81,47.09,39400
2024-03-18,44.92,47.28,44.92,47.19,15601
2024-03-19,46.32,48.05,46.32,47.76,15110
2024-03-20,46.32,47.76,45.35,47.76,4210
2024-03-21,46.51,47.18,46.32,47.18,17642
2024-03-22,46.32,46.99,46.32,46.32,11319
2024-03-25,46.32,46.32,46.12,46.22,5920
2024-03-26,46.8,46.8,45.83,46.12,35100
2024-03-27,46.32,47.18,46.32,46.8,47911
2024-03-28,46.12,46.32,45.54,46.32,31702
2024-03-29,45.83,46.32,45.35,46.12,104300
2024-04-01,45.93,46.12,45.35,46.12,26600
2024-04-02,46.03,46.03,45.83,46.03,20500
