date,open,high,low,close,volume
2024-01-30,27.15,27.39,26.32,27.39,191015
2024-01-31,27.66,28.12,26.97,27.57,114024
2024-02-01,27.39,28.03,26.83,28.03,72220
2024-02-02,27.66,27.66,27.2,27.39,26163
2024-02-05,27.25,27.29,27.11,27.15,50518
2024-02-06,27.15,28.22,26.97,28.12,51701
2024-02-07,28.31,28.31,28.12,28.31,19419
2024-02-15,28.22,28.26,27.57,27.66,18149
2024-02-16,27.43,27.85,27.2,27.75,14338
2024-02-19,28.08,28.58,27.75,28.49,40045
2024-02-20,28.49,28.49,27.66,28.03,23105
2024-02-21,28.12,28.12,27.62,27.66,77465
2024-02-22,27.66,28.26,27.66,28.22,22218
2024-02-23,28.26,28.35,27.94,28.22,24000
2024-02-26,28.12,29.51,28.12,29.37,30200
2024-02-27,29.41,29.46,29.18,29.28,10006
2024-02-28,29.28,29.74,29.28,29.6,14874
2024-02-29,30.43,30.43,29.51,29.97,16735
2024-03-01,30.34,30.34,29.74,29.97,5660
2024-03-04,29.51,29.55,29.32,29.41,59104
2024-03-05,29.51,29.55,29.04,29.51,17717
2024-03-06,29.51,29.74,29.37,29.51,18276
2024-03-07,29.51,29.69,29.51,29.51,16356
2024-03-08,29.41,29.74,27.75,29.46,27747
2024-03-11,29.28,31.12,29.28,30.94,72841
2024-03-12,31.12,31.35,30.66,30.94,50589
2024-03-13,30.98,30.98,30.2,30.94,60553
2024-03-14,30.94,31.35,30.66,31.17,49535
2024-03-15,31.3,32.92,31.17,31.21,43009
2024-03-18,30.52,30.89,29.74,30.06,28707
2024-03-19,30.47,30.89,30.11,30.8,23930
2024-03-20,30.89,30.89,29.97,30.8,27703
2024-03-21,30.8,30.8,30.57,30.57,8506
2024-03-22,30.66,30.8,30.52,30.8,38310
2024-03-25,30.89,31.9,30.89,31.12,20806
2024-03-26,31.4,31.4,31.12,31.12,3000
2024-03-27,31.12,31.86,30.98,31.12,9123
2024-03-28,31.12,31.49,31.12,31.49,3600
2024-03-29,31.3,31.58,31.12,31.58,5600
2024-04-01,31.72,31.76,31.35,31.58,10502
2024-04-02,31.44,31.58,31.35,31.35,14435
2024-04-03,31.58,31.81,31.12,31.53,18714
2024-04-04,31.58,32.73,31.35,32.36,26727
2024-04-05,34.07,34.07,32.41,33.38,35636
2024-04-08,33.06,33.66,33.06,33.19,29532
2024-04-09,33.19,33.24,32.5,33.01,15109
2024-04-10,32.27,33.15,32.27,32.87,9717
2024-04-11,32.73,32.73,32.5,32.55,5216
2024-04-12,33.15,33.15,32.41,32.41,6554
2024-04-15,32.69,32.69,31.35,32.27,24621
2024-04-16,32.04,32.04,31.35,31.35,13117
2024-04-17,31.81,31.81,30.94,30.94,6405
2024-04-19,29.09,30.57,29.09,30.57,24801
2024-04-22,31.26,31.35,31.26,31.35,6961
2024-04-23,30.66,31.35,30.61,30.61,8000
2024-04-24,32.18,32.18,29.51,29.55,24003
2024-04-25,30.11,31.07,29.55,31.07,6234
2024-04-26,30.2,32.09,30.2,31.76,7203
2024-05-02,31.3,31.76,30.43,31.76,2800
2024-05-03,31.3,31.67,30.7,31.53,20102
2024-05-06,31.49,31.49,31.3,31.35,16800
2024-05-07,31.07,31.72,31.07,31.53,10762
2024-05-08,31.35,31.58,31.35,31.58,5000
2024-05-09,31.63,31.81,31.58,31.72,8000
2024-05-10,31.81,33.19,31.81,32.27,28739
2024-05-13,32.27,33.1,32.27,32.73,19808
2024-05-14,34.39,34.39,33.52,33.56,43478
2024-05-15,33.56,33.66,33.42,33.56,17667
2024-05-16,33.56,33.56,32.78,33.29,21212
2024-05-17,32.96,33.29,32.96,33.29,21510
2024-05-20,34.49,34.49,33.19,33.29,16694
2024-05-21,33.24,33.38,32.92,33.24,33829
2024-05-22,33.1,33.19,32.83,32.92,29830
2024-05-23,32.87,33.15,32.83,33.15,8000
2024-05-24,32.96,33.29,32.83,33.19,14415
2024-05-27,33.98,33.98,32.83,33.06,19954
2024-05-28,32.96,33.06,32.78,33.01,30184
2024-05-29,33.01,33.33,32.92,33.33,48502
2024-05-30,33.33,34.53,33.19,33.56,60309
2024-05-31,33.15,34.49,33.15,33.61,10206
2024-06-03,33.66,33.66,33.42,33.56,3218
2024-06-04,33.56,33.66,33.06,33.56,44307
2024-06-05,33.66,33.7,33.19,33.47,30300
2024-06-06,33.61,33.61,32.73,33.29,49001
2024-06-07,33.52,33.56,33.19,33.52,14310
2024-06-10,33.75,34.72,33.75,34.16,44467
2024-06-11,34.53,34.53,34.12,34.35,30814
2024-06-12,35.04,36.42,35.04,35.73,105717
2024-06-13,35.78,35.96,35.5,35.5,36612
