date,open,high,low,close,volume
2022-12-26,19.52,19.52,18.24,18.56,62381
2022-12-27,18.64,19.04,18.4,18.72,40600
2022-12-28,18.72,19.12,18.64,18.8,36754
2022-12-29,19.04,19.04,18.56,18.8,33414
2022-12-30,18.96,20.0,18.56,18.8,60900
2023-01-03,19.2,19.92,18.96,19.92,88448
2023-01-04,20.0,20.0,19.76,19.92,69735
2023-01-05,20.0,20.16,19.36,19.84,51100
2023-01-06,19.84,20.0,19.36,19.36,56941
2023-01-09,19.6,20.24,19.6,20.0,103074
2023-01-10,20.0,20.0,19.6,19.76,15319
2023-01-11,19.84,20.08,19.68,19.84,62100
2023-01-12,19.84,19.84,19.52,19.76,33851
2023-01-13,19.84,20.08,19.68,19.84,159500
2023-01-16,20.0,20.08,19.84,20.0,52600
2023-01-17,19.92,20.32,19.92,20.24,157474
2023-01-18,20.16,20.88,20.0,20.64,123220
2023-01-19,20.64,20.8,20.4,20.72,122301
2023-01-27,20.48,21.28,20.48,20.64,122495
2023-01-30,20.8,22.72,20.64,22.08,319509
2023-01-31,22.16,22.56,22.0,22.56,318386
2023-02-01,22.48,23.44,21.92,22.0,286791
2023-02-02,22.72,22.72,21.84,22.16,138112
2023-02-03,22.08,22.48,22.0,22.16,99837
2023-02-06,22.24,22.56,22.08,22.4,197530
2023-02-07,22.32,22.48,21.44,21.6,348165
2023-02-08,22.0,22.0,20.96,21.36,187800
2023-02-09,21.2,22.24,21.2,21.6,214900
2023-02-10,21.6,21.84,21.2,21.36,101315
2023-02-13,21.52,21.52,20.64,20.96,137867
2023-02-14,20.96,21.12,20.56,20.64,142331
2023-02-15,20.88,21.36,20.64,20.8,117701
2023-02-16,20.88,21.28,20.88,21.04,196541
2023-02-17,21.2,22.24,21.2,22.0,535131
2023-02-20,22.16,22.8,22.08,22.64,414965
2023-02-21,22.64,22.8,22.08,22.24,304305
2023-02-22,22.16,22.4,21.28,21.52,490316
2023-02-23,21.52,21.76,20.88,21.44,316652
2023-02-24,21.44,21.6,20.96,21.6,132501
2023-02-27,21.36,21.36,20.64,20.72,169987
2023-02-28,20.16,22.0,20.16,21.04,113412
2023-03-01,21.2,21.52,20.8,21.52,84801
2023-03-02,21.44,21.52,21.12,21.44,138678
2023-03-03,21.44,21.76,21.12,21.2,79927
2023-03-06,21.36,21.84,20.88,21.28,50568
2023-03-07,21.44,21.6,21.2,21.36,40812
2023-03-08,20.96,22.32,20.8,21.92,201700
2023-03-09,21.92,22.0,21.6,21.76,152732
2023-03-10,21.84,21.84,21.2,21.6,104629
2023-03-13,21.6,21.6,20.8,21.12,124804
2023-03-14,21.12,21.12,20.4,20.8,164301
2023-03-15,20.88,21.36,20.88,21.28,116004
2023-03-16,21.28,21.28,20.8,20.8,77660
2023-03-17,20.88,21.2,20.8,21.2,70700
2023-03-20,21.04,21.04,20.72,20.72,74102
2023-03-21,21.04,21.04,20.48,20.96,46105
2023-03-22,20.96,21.12,20.72,20.8,158036
2023-03-23,20.64,20.96,20.4,20.8,88410
2023-03-24,20.88,20.96,20.72,20.8,114157
2023-03-27,21.2,22.0,21.2,21.6,397504
2023-03-28,21.68,21.92,21.44,21.44,208370
2023-03-29,21.6,21.76,21.2,21.52,155640
2023-03-30,21.52,22.24,21.52,21.6,616099
2023-03-31,21.92,22.08,21.6,21.84,254912
2023-04-03,21.76,22.32,21.76,22.24,444800
2023-04-04,22.24,22.24,22.0,22.0,182175
2023-04-05,22.16,22.4,21.92,22.4,463638
2023-04-06,22.4,23.2,22.16,22.4,757463
2023-04-07,22.64,22.72,21.92,22.16,335522
2023-04-10,22.24,22.72,22.0,22.48,483499
2023-04-11,22.48,23.44,22.32,23.44,871498
2023-04-12,23.36,23.76,23.2,23.6,605328
2023-04-13,23.6,23.76,23.04,23.2,369031
2023-04-14,23.12,23.68,22.4,22.64,495406
2023-04-17,22.8,23.6,22.8,23.44,526533
2023-04-18,23.36,23.84,23.04,23.68,524500
2023-04-19,23.68,24.0,23.6,24.0,532709
2023-04-20,24.0,25.52,24.0,24.64,765581
2023-04-21,24.64,25.52,24.08,24.48,290698
2023-04-24,24.48,25.12,24.4,24.48,389935
2023-04-25,24.72,24.88,23.84,23.92,519706
2023-04-26,24.16,24.8,23.6,24.48,366834
2023-04-27,24.24,25.44,24.24,25.36,646191
2023-04-28,25.2,25.68,22.96,24.0,1469750
2023-05-04,23.2,23.2,21.6,21.92,1854540
2023-05-05,22.0,22.4,21.6,22.16,451427
2023-05-08,22.08,22.48,22.0,22.16,373287
2023-05-09,22.24,22.56,21.84,22.48,555555
2023-05-10,22.56,22.64,22.24,22.48,341023
2023-05-11,22.48,22.64,22.32,22.48,394420
2023-05-12,22.56,23.04,22.4,22.72,464808
2023-05-15,22.72,23.04,22.32,22.48,369251
2023-05-16,22.64,22.64,22.16,22.48,312231
2023-05-17,22.4,22.88,22.32,22.88,434352
2023-05-18,22.56,23.2,22.56,23.12,396226
2023-05-19,23.12,23.6,23.04,23.36,574139
2023-05-22,23.36,23.6,23.04,23.44,311341
2023-05-23,23.44,23.44,23.12,23.28,314511
2023-05-24,23.28,23.44,22.96,23.04,225827
2023-05-25,23.04,23.04,22.72,22.96,144110
2023-05-26,23.04,23.12,22.8,23.04,78960
2023-05-29,22.96,23.6,22.96,23.44,256664
2023-05-30,23.44,23.52,22.96,23.36,288762
2023-05-31,23.36,23.68,23.2,23.44,273214
2023-06-01,23.44,23.84,23.2,23.6,322280
2023-06-02,23.6,23.68,23.36,23.52,199968
2023-06-05,23.52,23.68,23.2,23.44,196298
2023-06-06,23.44,23.92,23.28,23.76,371306
2023-06-07,23.6,23.84,23.28,23.6,236226
2023-06-08,23.44,23.84,23.28,23.28,264078
2023-06-09,23.44,23.6,23.12,23.6,221000
2023-06-12,23.6,23.6,23.28,23.44,127937
2023-06-13,23.44,23.92,23.44,23.44,282634
2023-06-14,23.44,23.76,23.2,23.52,242473
2023-06-15,23.52,23.52,23.2,23.28,129628
2023-06-16,23.36,23.84,23.36,23.6,219389
2023-06-19,23.52,23.68,23.44,23.6,128957
2023-06-20,23.6,23.6,23.36,23.6,115051
2023-06-21,23.6,24.24,23.44,24.08,562982
2023-06-22,24.08,24.32,23.84,24.08,173637
2023-06-23,24.16,24.4,23.84,24.16,349050
2023-06-26,24.16,25.04,24.08,24.88,762032
2023-06-27,24.88,25.12,24.56,24.72,370056
2023-06-28,24.72,24.8,24.4,24.72,282750
2023-06-29,24.64,24.88,24.0,24.64,459800
2023-06-30,24.4,24.64,23.92,24.24,222174
2023-07-03,24.24,24.56,24.08,24.24,106750
2023-07-04,24.32,24.8,24.32,24.8,475850
2023-07-05,24.8,24.96,24.56,24.8,213460
2023-07-06,24.72,24.88,24.16,24.48,243871
2023-07-07,24.48,25.2,24.32,25.12,520900
2023-07-10,24.96,25.44,24.96,25.44,357014
2023-07-11,25.36,25.68,25.28,25.44,231128
2023-07-12,25.44,25.6,25.28,25.52,187626
2023-07-13,25.44,25.6,25.28,25.52,173061
2023-07-14,25.52,26.96,25.52,26.48,866218
2023-07-17,26.48,27.36,26.48,27.2,767875
2023-07-18,27.2,27.36,26.8,26.8,379619
2023-07-19,27.04,27.04,26.08,26.64,322818
2023-07-20,26.72,27.44,26.4,27.44,209076
2023-07-21,27.36,28.8,27.36,28.56,369950
2023-07-24,28.8,30.72,28.24,30.4,784194
2023-07-25,30.4,32.0,29.76,29.84,1185931
2023-07-26,30.56,30.56,29.28,30.32,328726
2023-07-27,30.32,30.8,25.68,29.52,476452
2023-07-28,29.52,29.84,28.8,29.84,242079
2023-07-31,30.32,32.16,30.32,31.6,1252734
2023-08-01,31.84,32.4,31.04,31.04,626457
2023-08-02,31.2,31.6,30.64,31.2,607217
2023-08-03,31.6,31.68,30.88,31.04,366607
2023-08-04,31.12,31.6,30.88,31.12,337801
2023-08-07,31.12,32.0,31.12,31.76,903350
2023-08-08,31.76,32.32,31.52,31.84,498572
2023-08-09,31.84,32.0,31.28,31.6,337324
2023-08-10,31.6,31.76,30.48,30.56,684316
2023-08-11,30.88,31.04,29.76,30.32,481642
2023-08-14,30.32,30.8,30.32,30.64,352732
2023-08-15,30.64,31.2,30.48,30.88,549848
2023-08-16,30.88,31.2,30.8,31.04,467916
2023-08-17,31.12,31.12,30.72,30.8,358676
2023-08-18,30.8,30.8,28.48,28.96,935083
2023-08-21,28.88,29.68,28.88,29.6,229669
2023-08-22,29.6,30.0,28.64,29.6,260163
2023-08-23,29.6,29.84,29.28,29.44,157153
2023-08-24,29.52,29.92,29.44,29.92,207595
2023-08-25,29.92,30.56,29.68,30.0,353945
2023-08-28,30.0,30.64,30.0,30.4,244378
2023-08-29,30.4,31.04,30.32,30.56,436038
2023-08-30,30.56,30.72,30.08,30.24,200612
2023-08-31,30.32,30.72,30.16,30.56,419069
2023-09-05,30.56,30.8,30.4,30.56,332352
2023-09-06,30.56,30.8,30.24,30.4,408883
2023-09-07,30.56,31.6,30.32,31.2,1124451
2023-09-08,31.2,31.68,31.12,31.2,424537
2023-09-11,31.36,31.52,29.6,30.0,996383
2023-09-12,30.08,30.56,30.0,30.48,427506
2023-09-13,30.48,30.64,29.76,30.32,430087
2023-09-14,30.32,30.4,29.84,30.24,488320
2023-09-15,29.92,30.8,29.92,30.8,340633
2023-09-18,30.72,31.04,30.4,30.72,328795
2023-09-19,30.72,30.8,30.16,30.64,134413
2023-09-20,30.64,31.44,30.56,31.44,705280
2023-09-21,31.44,33.2,31.44,32.96,1648949
2023-09-22,32.56,33.04,31.76,32.48,980756
2023-09-25,32.48,33.68,30.4,31.2,1079985
2023-09-26,31.2,32.0,30.24,30.24,499106
2023-09-27,30.24,30.56,27.6,29.76,823867
2023-09-28,29.2,29.92,29.2,29.76,234594
2023-09-29,29.52,33.84,29.52,30.16,317156
2023-10-02,30.4,30.88,30.24,30.56,182031
2023-10-03,30.48,30.48,29.12,29.36,382903
2023-10-04,28.24,29.76,28.0,29.6,173933
2023-10-05,29.76,30.0,29.04,29.36,197641
2023-10-06,29.36,29.6,28.96,29.6,143239
2023-10-09,29.6,30.08,29.28,30.0,263446
2023-10-10,29.92,31.2,29.92,30.4,437660
2023-10-11,30.48,30.8,30.24,30.64,295193
2023-10-12,30.56,30.8,30.24,30.24,172597
2023-10-13,30.48,30.48,29.92,30.48,218301
2023-10-16,30.48,31.04,30.4,30.88,361140
2023-10-17,30.88,31.04,30.08,30.24,163718
2023-10-18,30.56,30.56,29.2,30.16,470614
2023-10-19,30.0,30.0,29.2,29.6,157961
2023-10-20,29.6,30.16,29.12,30.08,229905
2023-10-23,33.0,33.3,29.5,29.5,259517
2023-10-24,30.0,30.0,29.3,29.9,83346
2023-10-25,30.0,30.2,29.4,29.4,150999
2023-10-26,29.6,29.8,27.0,28.2,328572
2023-10-27,27.3,28.2,27.1,27.4,78081
2023-10-30,27.6,27.8,27.0,27.0,60443
2023-10-31,25.8,25.8,23.4,23.4,1360843
2023-11-01,23.0,23.0,20.2,20.7,959920
2023-11-02,20.7,23.3,20.7,22.9,463948
2023-11-03,23.5,23.9,22.5,22.9,437567
2023-11-06,23.2,23.8,23.2,23.6,320705
2023-11-07,23.6,23.8,22.9,23.2,241639
2023-11-08,23.2,24.3,23.1,24.1,307771
2023-11-09,24.1,24.7,24.1,24.4,311073
2023-11-10,24.4,24.5,23.9,24.2,226102
2023-11-13,24.3,24.8,24.3,24.5,235708
2023-11-14,24.7,24.7,23.8,24.2,261096
2023-11-15,24.5,24.8,24.0,24.2,267922
2023-11-16,24.2,24.2,23.4,23.4,525335
2023-11-17,23.9,23.9,22.8,23.3,382803
2023-11-20,23.3,23.4,22.5,23.3,152284
2023-11-21,23.3,23.9,23.1,23.9,218885
2023-11-22,24.0,24.5,23.7,24.5,557829
2023-11-23,24.5,25.1,24.4,24.6,436389
2023-11-24,24.6,24.6,23.9,24.5,295159
2023-11-27,24.5,24.6,23.6,23.6,115536
2023-11-28,23.8,23.9,23.4,23.9,225327
2023-11-29,24.0,24.2,23.9,24.1,137179
2023-11-30,24.3,24.3,23.6,23.8,145047
2023-12-01,23.6,24.1,23.5,23.9,174482
2023-12-04,24.0,24.5,23.8,24.3,267422
2023-12-05,24.5,24.9,24.4,24.8,353398
2023-12-06,25.0,25.2,24.8,25.0,329666
2023-12-07,25.2,25.3,24.3,24.9,240624
2023-12-08,24.9,24.9,24.4,24.7,162861
2023-12-11,24.7,24.7,24.2,24.5,109888
2023-12-12,24.6,25.0,24.4,25.0,222002
2023-12-13,24.8,25.2,24.4,24.8,186880
2023-12-14,24.8,25.0,24.6,24.8,229648
2023-12-15,25.2,25.2,24.7,24.9,221736
2023-12-18,25.0,25.0,24.8,25.0,241566
2023-12-19,25.0,25.2,24.8,25.1,147093
2023-12-20,25.2,25.3,25.0,25.3,302258
2023-12-21,25.1,26.1,24.9,25.8,262085
2023-12-22,25.9,26.2,25.6,26.2,207563
2023-12-25,26.2,26.6,26.2,26.5,141514
2023-12-26,26.5,26.6,26.0,26.0,201911
2023-12-27,26.1,26.3,26.0,26.3,193652
2023-12-28,26.0,26.3,26.0,26.2,174682
2023-12-29,26.2,26.4,26.1,26.2,147961
2024-01-02,26.1,26.4,26.0,26.2,119414
2024-01-03,26.2,26.2,25.6,25.9,484032
2024-01-04,25.5,26.0,25.5,25.8,271077
2024-01-05,25.8,25.9,25.4,25.7,186388
2024-01-08,25.7,25.8,25.4,25.6,250770
2024-01-09,25.5,25.6,25.2,25.4,231841
2024-01-10,25.3,25.6,25.1,25.3,112382
2024-01-11,25.1,25.5,25.1,25.5,198821
2024-01-12,25.4,26.0,25.1,25.8,234674
2024-01-15,25.6,26.2,25.6,26.0,175449
2024-01-16,26.0,26.2,25.7,26.2,238752
2024-01-17,26.2,26.5,25.9,26.0,306204
2024-01-18,26.0,26.1,25.7,25.8,133742
2024-01-19,25.8,26.1,25.8,25.9,147460
2024-01-22,25.9,26.0,25.6,26.0,153811
2024-01-23,25.8,26.0,25.7,26.0,198153
2024-01-24,25.8,26.2,25.8,26.0,134384
2024-01-25,25.9,26.3,25.9,26.3,221719
2024-01-26,26.3,26.6,26.3,26.5,404956
2024-01-29,26.5,27.5,26.5,27.4,615977
2024-01-30,27.5,27.9,26.9,26.9,380706
2024-01-31,27.2,27.4,26.4,26.8,423106
2024-02-01,26.8,27.5,26.5,27.5,480327
2024-02-02,27.1,27.8,26.9,27.0,387374
2024-02-05,27.0,27.3,26.6,26.8,302727
2024-02-06,26.9,27.0,26.7,26.8,135351
2024-02-07,27.0,27.3,26.9,26.9,255537
2024-02-15,26.9,27.5,26.9,27.1,201449
2024-02-16,27.1,27.2,26.9,27.1,257880
2024-02-19,27.1,27.3,26.9,27.1,363914
2024-02-20,27.1,27.3,26.8,27.0,277396
2024-02-21,27.0,27.1,26.9,27.0,242767
2024-02-22,27.0,27.1,27.0,27.0,207907
2024-02-23,27.2,27.2,26.6,26.8,411167
2024-02-26,27.0,27.0,26.6,27.0,193000
2024-02-27,27.0,27.7,27.0,27.7,548581
2024-02-28,27.8,28.0,27.4,27.8,363737
2024-02-29,27.8,28.3,27.6,27.9,572977
2024-03-01,28.0,28.3,27.7,28.0,292675
2024-03-04,28.0,28.0,27.3,27.5,389240
2024-03-05,27.7,27.7,27.3,27.6,218973
2024-03-06,27.7,27.8,27.1,27.4,204851
2024-03-07,27.4,27.4,27.1,27.3,250251
