date,open,high,low,close,volume
2024-01-30,18.7,18.7,18.7,18.7,0
2024-01-31,18.79,18.79,18.79,18.79,100
2024-02-01,18.79,18.79,18.79,18.79,3400
2024-02-02,18.97,19.07,18.88,18.88,3100
2024-02-05,19.16,19.25,19.16,19.25,2800
2024-02-06,19.25,19.52,19.25,19.52,4600
2024-02-07,19.52,19.8,19.25,19.25,1620
2024-02-15,20.17,20.17,20.17,20.17,501
2024-02-16,19.89,20.17,19.71,19.89,2700
2024-02-19,19.8,19.8,19.8,19.8,1
2024-02-20,20.07,20.07,19.25,19.25,400
2024-02-21,19.89,19.89,19.89,19.89,0
2024-02-22,19.8,19.89,19.8,19.89,333
2024-02-23,19.8,19.8,19.8,19.8,0
2024-02-26,19.8,19.8,19.8,19.8,100
2024-02-27,19.8,19.8,19.8,19.8,0
2024-02-28,19.25,19.25,19.25,19.25,100
2024-02-29,19.25,19.25,19.25,19.25,3800
2024-03-01,19.25,19.25,19.25,19.25,500
2024-03-04,19.25,19.25,19.25,19.25,800
2024-03-05,18.79,18.79,18.79,18.79,1210
2024-03-06,18.79,18.79,18.79,18.79,0
2024-03-07,18.79,18.79,18.79,18.79,0
2024-03-08,18.79,18.79,18.79,18.79,1000
2024-03-11,19.25,19.25,19.25,19.25,400
2024-03-12,19.25,19.25,19.25,19.25,600
2024-03-13,19.25,19.25,19.25,19.25,400
2024-03-14,19.25,19.25,19.25,19.25,1300
2024-03-15,19.25,19.25,19.25,19.25,3100
2024-03-18,19.25,19.25,19.25,19.25,2700
2024-03-19,19.25,19.25,19.25,19.25,500
2024-03-20,19.25,19.34,19.25,19.25,5500
2024-03-21,19.25,19.25,18.97,18.97,200
2024-03-22,17.05,19.25,17.05,19.25,5600
2024-03-25,19.25,19.25,19.25,19.25,0
2024-03-26,19.25,19.71,19.25,19.71,2600
2024-03-27,19.25,19.25,19.25,19.25,0
2024-03-28,19.16,19.25,19.16,19.25,944
2024-03-29,19.8,19.8,19.25,19.25,4415
2024-04-01,19.25,19.25,19.25,19.25,0
2024-04-02,18.79,19.25,18.79,19.25,1600
2024-04-03,18.97,18.97,18.97,18.97,0
2024-04-04,18.79,18.79,18.79,18.79,200
2024-04-05,18.79,18.79,18.79,18.79,300
2024-04-08,18.79,18.79,18.61,18.61,1615
2024-04-09,18.88,18.88,18.88,18.88,200
2024-04-10,18.88,18.88,18.88,18.88,1000
2024-04-11,18.88,18.88,18.88,18.88,0
2024-04-12,18.33,18.33,18.33,18.33,101
2024-04-15,18.42,18.42,18.42,18.42,1300
2024-04-16,18.42,18.42,18.42,18.42,1002
2024-04-17,18.42,18.88,18.42,18.88,6800
2024-04-19,18.61,18.61,18.61,18.61,201
2024-04-22,18.42,18.61,18.33,18.33,2801
2024-04-23,18.88,18.88,18.79,18.88,1502
2024-04-24,18.79,18.88,18.79,18.88,4100
2024-04-25,18.33,18.88,18.33,18.88,2007
2024-04-26,19.16,19.16,19.16,19.16,102
2024-05-02,18.7,18.88,18.7,18.88,3300
2024-05-03,18.88,18.97,18.88,18.97,4800
2024-05-06,18.79,18.88,18.79,18.88,1500
2024-05-07,18.88,18.88,18.88,18.88,100
2024-05-08,18.88,18.88,18.88,18.88,2000
2024-05-09,18.88,20.17,18.88,20.17,6304
2024-05-10,19.25,19.25,19.25,19.25,101
2024-05-13,18.33,19.07,18.33,19.07,3700
2024-05-14,19.07,19.07,19.07,19.07,601
2024-05-15,19.25,20.17,18.15,18.24,13640
2024-05-16,19.07,19.25,19.07,19.25,6600
2024-05-17,19.25,19.25,19.25,19.25,0
2024-05-20,19.25,19.25,18.88,19.25,2504
2024-05-21,17.78,19.43,17.78,19.25,6640
2024-05-22,18.42,19.25,18.42,19.25,1103
2024-05-23,19.34,19.43,19.07,19.16,3510
2024-05-24,17.6,19.07,17.6,18.97,262133
2024-05-27,19.25,19.25,19.25,19.25,3500
2024-05-28,18.97,19.34,18.97,19.34,4000
2024-05-29,18.97,18.97,18.97,18.97,601
