date,open,high,low,close,volume
2024-01-19,7.17,7.23,7.17,7.23,7000
2024-01-22,7.23,7.23,7.07,7.17,10400
2024-01-23,7.17,7.28,7.07,7.28,7041
2024-01-24,7.23,7.28,7.17,7.28,2406
2024-01-25,7.12,7.39,7.07,7.39,31996
2024-01-26,7.39,7.39,7.28,7.39,11635
2024-01-29,7.39,7.55,7.33,7.44,37755
2024-01-30,7.44,7.44,7.07,7.39,17900
2024-01-31,7.07,7.28,6.69,7.12,46800
2024-02-01,7.12,7.23,6.96,7.12,8008
2024-02-02,6.96,7.28,6.96,7.28,9274
2024-02-05,6.96,7.23,6.69,7.17,9200
2024-02-06,7.17,7.28,7.17,7.28,1200
2024-02-07,7.28,7.28,7.17,7.23,4700
2024-02-15,7.23,7.39,7.17,7.17,6100
2024-02-16,7.07,7.17,6.91,7.17,12301
2024-02-19,6.96,7.17,6.96,7.17,6412
2024-02-20,7.01,7.12,6.96,6.96,7427
2024-02-21,6.96,7.17,6.91,7.07,17310
2024-02-22,7.07,7.07,6.96,7.01,14167
2024-02-23,6.96,7.17,6.91,7.17,11616
2024-02-26,7.17,7.17,7.17,7.17,212
2024-02-27,7.82,7.82,6.96,7.23,10316
2024-02-28,7.28,7.28,7.01,7.17,17239
2024-02-29,7.07,7.12,7.07,7.12,5033
2024-03-01,7.01,7.28,6.96,7.17,23432
2024-03-04,7.17,7.82,7.17,7.82,54551
2024-03-05,7.87,7.87,7.39,7.66,81011
2024-03-06,7.6,7.66,7.28,7.55,45106
2024-03-07,7.55,7.55,7.44,7.55,22105
2024-03-08,7.55,7.6,7.39,7.55,17184
2024-03-11,7.5,7.5,7.39,7.5,19512
2024-03-12,7.5,7.6,7.44,7.6,26600
2024-03-13,7.55,7.66,7.5,7.66,20820
2024-03-14,7.66,7.66,7.44,7.6,12700
2024-03-15,7.5,7.55,7.33,7.55,5405
2024-03-18,7.5,7.55,7.39,7.5,14755
2024-03-19,7.44,7.55,7.39,7.55,9742
2024-03-20,7.55,7.6,7.5,7.6,10300
2024-03-21,7.55,7.6,7.5,7.5,6003
2024-03-22,7.5,7.66,7.44,7.66,26301
2024-03-25,7.66,7.71,7.6,7.6,20015
2024-03-26,7.5,7.66,7.44,7.6,9371
2024-03-27,7.6,7.66,7.6,7.6,11511
2024-03-28,7.76,7.76,7.55,7.71,2772
2024-03-29,7.66,7.66,7.55,7.6,15400
2024-04-01,7.6,8.03,7.6,7.98,7911
2024-04-02,8.08,8.08,7.28,7.28,60600
2024-04-03,7.76,7.98,7.39,7.98,22942
2024-04-04,8.14,8.14,7.28,7.6,164673
2024-04-05,7.66,7.66,7.28,7.5,15019
2024-04-08,7.6,7.6,7.07,7.07,18600
2024-04-09,7.17,7.5,7.17,7.23,24213
2024-04-10,7.23,7.5,7.01,7.5,11663
2024-04-11,7.5,7.5,7.23,7.5,5910
2024-04-12,7.5,7.66,7.44,7.6,4433
2024-04-15,7.6,7.66,7.33,7.33,15510
2024-04-16,7.44,7.6,7.28,7.6,19907
2024-04-17,7.55,7.55,7.28,7.39,4800
2024-04-19,7.5,7.5,7.28,7.5,10400
2024-04-22,7.5,7.5,7.5,7.5,11500
2024-04-23,7.5,7.66,7.39,7.55,4510
2024-04-24,7.66,7.76,7.55,7.76,7325
2024-04-25,7.55,7.71,7.55,7.71,413
2024-04-26,7.5,8.46,7.5,8.46,40795
2024-05-02,7.87,8.41,7.87,8.03,6529
2024-05-03,8.35,8.35,7.76,8.03,2510
2024-05-06,7.5,7.76,7.5,7.76,27431
2024-05-07,7.5,7.76,7.33,7.76,6717
2024-05-08,7.66,7.76,7.66,7.76,11323
2024-05-09,7.71,7.71,7.66,7.66,400
2024-05-10,7.6,7.66,7.39,7.6,2721
2024-05-13,7.33,7.5,7.33,7.44,4400
2024-05-14,7.44,7.66,7.33,7.5,5900
2024-05-15,7.5,7.5,7.33,7.5,21200
2024-05-16,7.5,7.82,7.5,7.82,38516
2024-05-17,7.55,7.76,7.5,7.76,600
2024-05-20,7.71,7.71,7.5,7.5,2000
2024-05-21,7.5,7.55,7.5,7.55,2033
2024-05-22,7.5,7.6,7.44,7.5,7203
2024-05-23,7.5,7.6,7.5,7.6,7000
2024-05-24,7.71,7.71,7.6,7.6,1000
2024-05-27,7.6,7.6,7.44,7.5,2900
2024-05-28,7.76,7.76,7.33,7.5,16257
2024-05-29,7.5,7.66,7.39,7.39,5500
2024-05-30,7.5,7.76,7.28,7.66,7011
2024-05-31,7.66,7.66,7.66,7.66,0
2024-06-03,7.6,7.66,7.44,7.44,3463
2024-06-04,7.5,7.6,7.44,7.6,1517
2024-06-05,7.33,7.55,7.23,7.55,18613
2024-06-06,7.6,7.6,7.23,7.44,22200
2024-06-07,7.44,7.44,7.33,7.39,500
2024-06-10,7.28,8.08,7.28,8.08,58200
2024-06-11,8.03,8.03,7.71,7.87,10424
2024-06-12,7.82,8.51,7.71,8.51,34941
2024-06-13,8.19,8.46,7.82,7.87,6346
