date,open,high,low,close,volume
2023-02-16,12.11,12.11,12.11,12.11,0
2023-02-17,12.11,12.11,12.11,12.11,0
2023-02-20,12.11,12.11,12.11,12.11,0
2023-02-21,12.11,12.11,12.11,12.11,58
2023-02-22,12.11,12.11,12.11,12.11,0
2023-02-23,12.11,12.11,12.11,12.11,0
2023-02-24,12.11,12.11,12.11,12.11,0
2023-02-27,12.11,12.11,12.11,12.11,0
2023-02-28,12.11,12.92,12.11,12.92,323
2023-03-01,12.92,12.92,12.92,12.92,3
2023-03-02,12.92,12.92,12.92,12.92,0
2023-03-03,12.88,12.88,12.88,12.88,100
2023-03-06,12.88,12.88,12.88,12.88,0
2023-03-07,12.88,12.88,12.88,12.88,0
2023-03-08,12.88,12.88,12.88,12.88,0
2023-03-09,12.88,12.88,12.88,12.88,0
2023-03-10,12.88,12.88,12.88,12.88,0
2023-03-13,12.88,12.88,12.88,12.88,0
2023-03-14,12.02,12.02,12.02,12.02,5504
2023-03-15,12.83,12.83,11.4,11.4,1401
2023-03-16,12.11,12.16,12.11,12.16,2900
2023-03-17,12.16,12.16,12.16,12.16,0
2023-03-20,12.4,12.4,12.4,12.4,200
2023-03-21,12.69,12.69,12.69,12.69,300
2023-03-22,12.64,13.54,11.87,11.87,700
2023-03-23,11.87,11.87,11.87,11.87,0
2023-03-24,12.4,12.4,12.4,12.4,105
2023-03-27,12.4,12.4,12.4,12.4,0
2023-03-28,12.4,12.4,12.4,12.4,0
2023-03-29,12.4,12.4,12.4,12.4,0
2023-03-30,11.64,11.64,11.64,11.64,101
2023-03-31,12.45,12.45,12.45,12.45,200
2023-04-03,13.31,13.31,13.31,13.31,100
2023-04-04,13.31,13.31,13.31,13.31,0
2023-04-05,14.21,14.21,14.21,14.21,103
2023-04-06,15.17,15.17,15.17,15.17,100
2023-04-07,15.17,15.17,15.17,15.17,0
2023-04-10,15.26,16.17,15.26,16.17,900
2023-04-11,16.17,16.17,16.17,16.17,0
2023-04-12,16.17,16.17,16.17,16.17,0
2023-04-13,16.17,16.17,16.17,16.17,0
2023-04-14,15.07,15.07,15.07,15.07,100
2023-04-17,14.02,14.02,14.02,14.02,100
2023-04-18,14.02,14.07,13.07,13.07,2100
2023-04-19,13.07,13.07,13.07,13.07,0
2023-04-20,13.07,13.07,13.07,13.07,0
2023-04-21,12.49,12.49,12.49,12.49,100
2023-04-24,12.02,12.02,12.02,12.02,100
2023-04-25,12.02,12.02,12.02,12.02,200
2023-04-26,12.02,12.02,12.02,12.02,0
2023-04-27,12.02,12.02,12.02,12.02,0
2023-04-28,12.02,12.02,12.02,12.02,0
2023-05-04,12.02,12.02,12.02,12.02,0
2023-05-05,12.02,12.02,12.02,12.02,0
2023-05-08,12.02,12.02,12.02,12.02,0
2023-05-09,12.02,12.02,12.02,12.02,0
2023-05-10,12.02,12.02,12.02,12.02,0
2023-05-11,12.02,12.02,12.02,12.02,0
2023-05-12,11.97,11.97,11.97,11.97,100
2023-05-15,11.97,11.97,11.97,11.97,0
2023-05-16,12.4,12.4,12.4,12.4,100
2023-05-17,12.95,12.95,12.95,12.95,100
2023-05-18,12.95,12.95,12.95,12.95,0
2023-05-19,12.95,12.95,12.95,12.95,0
2023-05-22,12.95,12.95,12.95,12.95,100
2023-05-23,12.95,12.95,12.95,12.95,200
2023-05-24,12.95,12.95,12.95,12.95,0
2023-05-25,12.95,12.95,12.95,12.95,0
2023-05-26,12.95,12.95,12.95,12.95,0
2023-05-29,12.95,12.95,12.95,12.95,0
2023-05-30,12.2,12.2,12.2,12.2,100
2023-05-31,12.2,12.2,12.2,12.2,0
2023-06-01,12.2,12.2,12.2,12.2,0
2023-06-02,12.2,12.2,12.2,12.2,0
2023-06-05,12.2,12.2,12.2,12.2,0
2023-06-06,12.2,12.2,12.2,12.2,0
2023-06-07,12.2,12.2,12.2,12.2,0
2023-06-08,12.2,12.2,12.2,12.2,0
2023-06-09,13.05,13.05,13.05,13.05,300
2023-06-12,13.05,13.05,13.05,13.05,0
2023-06-13,13.05,13.05,13.05,13.05,0
2023-06-14,13.05,13.05,13.05,13.05,2
2023-06-15,13.05,13.05,13.05,13.05,0
2023-06-16,13.05,13.05,13.05,13.05,0
2023-06-19,13.05,13.05,13.05,13.05,0
2023-06-20,13.05,13.05,13.05,13.05,0
2023-06-21,12.2,13.95,12.15,13.95,300
2023-06-22,13.95,13.95,13.95,13.95,503
2023-06-23,13.95,13.95,13.95,13.95,0
2023-06-26,13.95,13.95,13.95,13.95,100
2023-06-27,14.0,14.0,14.0,14.0,300
2023-06-28,14.0,14.0,14.0,14.0,0
2023-06-29,13.05,14.95,13.05,14.9,300
2023-06-30,15.8,15.85,15.8,15.85,200
2023-07-03,16.9,16.95,16.9,16.95,1300
2023-07-04,16.95,16.95,16.95,16.95,200
2023-07-05,16.95,17.5,16.95,16.95,4000
2023-07-06,16.95,16.95,16.95,16.95,0
2023-07-07,16.95,16.95,16.95,16.95,0
2023-07-10,16.95,16.95,16.95,16.95,0
2023-07-11,16.95,16.95,16.95,16.95,0
2023-07-12,15.8,15.8,15.8,15.8,100
2023-07-13,14.7,14.8,14.7,14.7,4700
2023-07-14,14.7,14.7,14.7,14.7,0
2023-07-17,14.7,14.7,13.7,13.7,1600
2023-07-18,13.7,13.7,13.7,13.7,0
2023-07-19,12.85,12.85,12.85,12.85,100
2023-07-20,12.85,12.85,12.85,12.85,0
2023-07-21,12.85,12.85,12.85,12.85,0
2023-07-24,12.3,12.3,12.0,12.3,6100
2023-07-25,12.3,12.3,12.3,12.3,0
2023-07-26,13.15,13.15,13.15,13.15,4503
2023-07-27,13.15,13.15,13.15,13.15,0
2023-07-28,12.35,13.15,12.35,13.15,1400
2023-07-31,13.15,13.15,13.15,13.15,0
2023-08-01,12.65,12.95,12.65,12.95,1700
2023-08-02,12.95,12.95,12.95,12.95,0
2023-08-03,13.4,13.4,13.4,13.4,2100
2023-08-04,13.4,13.4,13.4,13.4,0
2023-08-07,13.5,13.6,13.5,13.6,400
2023-08-08,13.6,13.6,13.6,13.6,3105
2023-08-09,13.6,13.6,13.6,13.6,0
2023-08-10,13.6,13.6,13.6,13.6,0
2023-08-11,13.05,13.1,13.05,13.05,1000
2023-08-14,13.05,13.05,13.05,13.05,0
2023-08-15,13.05,13.05,13.05,13.05,0
2023-08-16,13.05,13.05,13.05,13.05,0
2023-08-17,13.05,13.05,13.05,13.05,0
2023-08-18,13.05,13.05,13.05,13.05,0
2023-08-21,13.05,13.05,13.05,13.05,0
2023-08-22,13.05,13.05,13.05,13.05,0
2023-08-23,13.45,13.45,13.45,13.45,100
2023-08-24,13.45,13.45,13.45,13.45,0
2023-08-25,13.45,13.45,13.45,13.45,0
2023-08-28,13.45,13.45,13.45,13.45,0
2023-08-29,13.45,13.45,13.45,13.45,0
2023-08-30,13.45,13.45,13.45,13.45,0
2023-08-31,14.35,14.35,14.0,14.3,600
2023-09-05,14.35,14.35,14.35,14.35,100
