date,open,high,low,close,volume
2024-01-30,21.73,21.73,21.64,21.73,700
2024-01-31,21.73,21.73,21.64,21.64,5800
2024-02-01,21.55,21.55,21.55,21.55,801
2024-02-02,22.16,22.16,21.9,21.9,304
2024-02-05,21.99,21.99,21.73,21.73,2400
2024-02-06,21.81,21.81,21.81,21.81,200
2024-02-07,22.08,22.08,22.08,22.08,1231
2024-02-15,22.78,22.78,21.99,21.99,1321
2024-02-16,22.08,22.16,22.08,22.08,6209
2024-02-19,22.08,22.08,21.99,21.99,7706
2024-02-20,21.9,21.99,21.9,21.9,6700
2024-02-21,21.9,21.9,21.81,21.81,2307
2024-02-22,21.81,21.81,21.73,21.73,5605
2024-02-23,21.81,21.9,21.73,21.73,9900
2024-02-26,21.81,21.81,21.55,21.73,5001
2024-02-27,21.73,21.73,21.55,21.64,18600
2024-02-28,21.64,22.16,19.27,21.99,7808
2024-02-29,21.73,21.73,21.73,21.73,300
2024-03-01,21.64,21.73,21.64,21.64,8300
2024-03-04,21.64,21.73,21.55,21.73,3414
2024-03-05,21.73,21.73,21.64,21.64,2700
2024-03-06,21.9,21.99,21.73,21.73,2900
2024-03-07,21.9,21.9,21.73,21.73,23518
2024-03-08,21.9,21.9,21.73,21.73,12205
2024-03-11,21.73,21.73,21.73,21.73,11025
2024-03-12,21.73,21.73,21.55,21.64,8711
2024-03-13,21.73,21.9,21.64,21.73,9201
2024-03-14,21.73,21.73,21.64,21.64,9049
2024-03-15,21.81,21.9,21.73,21.73,3010
2024-03-18,21.73,21.73,21.29,21.73,11929
2024-03-19,21.73,21.73,21.64,21.64,17100
2024-03-20,21.9,21.9,21.64,21.9,6001
2024-03-21,21.81,21.81,21.73,21.73,1904
2024-03-22,21.9,21.9,21.46,21.46,7343
2024-03-25,21.73,21.73,21.46,21.46,8129
2024-03-26,21.55,21.64,21.46,21.55,1800
2024-03-27,21.73,21.73,21.55,21.55,3948
2024-03-28,21.55,21.64,21.2,21.64,2300
2024-03-29,21.64,21.64,21.46,21.64,4200
2024-04-01,21.46,21.73,21.46,21.73,3929
2024-04-02,21.64,21.64,21.11,21.11,3403
2024-04-03,21.46,21.9,21.46,21.9,11906
2024-04-04,21.9,21.9,21.73,21.73,4901
2024-04-05,21.73,21.73,21.64,21.64,1307
2024-04-08,21.64,21.73,21.55,21.55,5902
2024-04-09,21.55,21.55,21.46,21.55,5010
2024-04-10,21.73,21.73,21.55,21.64,1310
2024-04-11,21.46,21.55,21.46,21.46,10500
2024-04-12,21.55,21.55,21.55,21.55,901
2024-04-15,21.55,21.73,21.55,21.55,6015
2024-04-16,21.64,21.73,21.29,21.46,8200
2024-04-17,21.38,21.46,21.29,21.38,4200
2024-04-19,21.38,21.38,21.03,21.29,4900
2024-04-22,21.46,21.46,21.38,21.38,6200
2024-04-23,21.38,21.55,21.38,21.46,7000
2024-04-24,21.29,21.73,21.29,21.73,600
2024-04-25,21.73,21.81,21.55,21.81,2201
2024-04-26,21.73,21.73,21.73,21.73,0
2024-05-02,21.9,22.08,21.9,22.08,2006
2024-05-03,21.9,21.9,21.46,21.55,5600
2024-05-06,22.16,22.69,21.9,21.9,2003
2024-05-07,21.73,21.9,21.46,21.9,2710
2024-05-08,21.9,21.9,21.9,21.9,1801
2024-05-09,22.25,22.69,22.16,22.25,3961
2024-05-10,22.25,22.6,21.9,21.99,6200
2024-05-13,22.6,22.69,22.25,22.52,7110
2024-05-14,22.34,22.52,22.08,22.08,5300
2024-05-15,22.25,22.6,22.25,22.34,4506
2024-05-16,22.34,22.43,21.9,22.43,12703
2024-05-17,22.16,22.34,22.16,22.34,906
2024-05-20,22.52,22.52,22.25,22.25,7701
2024-05-21,22.43,22.43,22.34,22.43,2000
