date,open,high,low,close,volume
2022-08-17,14.0,14.0,14.0,14.0,0
2022-08-18,14.0,14.0,14.0,14.0,0
2022-08-19,14.0,14.0,14.0,14.0,0
2022-08-22,14.0,14.0,14.0,14.0,0
2022-08-23,14.0,14.0,14.0,14.0,0
2022-08-24,14.0,14.0,14.0,14.0,0
2022-08-25,14.0,14.0,14.0,14.0,0
2022-08-26,14.0,14.0,14.0,14.0,0
2022-08-29,14.0,14.0,14.0,14.0,0
2022-08-30,14.0,14.0,14.0,14.0,0
2022-08-31,14.0,14.0,14.0,14.0,0
2022-09-05,14.0,14.0,14.0,14.0,0
2022-09-06,14.0,14.0,14.0,14.0,0
2022-09-07,14.0,14.0,14.0,14.0,0
2022-09-08,14.0,14.0,14.0,14.0,0
2022-09-09,14.0,14.0,14.0,14.0,0
2022-09-12,14.0,14.0,14.0,14.0,0
2022-09-13,14.0,14.0,14.0,14.0,0
2022-09-14,8.4,8.4,8.4,8.4,200
2022-09-15,8.4,8.4,8.4,8.4,0
2022-09-16,8.4,8.4,8.4,8.4,0
2022-09-19,8.4,8.4,8.4,8.4,0
2022-09-20,8.4,8.4,8.4,8.4,0
2022-09-21,8.4,8.4,8.4,8.4,0
2022-09-22,8.4,8.4,8.4,8.4,0
2022-09-23,8.4,8.4,8.4,8.4,0
2022-09-26,8.4,8.4,8.4,8.4,0
2022-09-27,8.4,8.4,8.4,8.4,0
2022-09-28,8.4,8.4,8.4,8.4,0
2022-09-29,8.4,8.4,8.4,8.4,0
2022-09-30,8.4,8.4,8.4,8.4,0
2022-10-03,8.4,8.4,8.4,8.4,0
2022-10-04,8.4,8.4,8.4,8.4,0
2022-10-05,8.4,8.4,8.4,8.4,0
2022-10-06,8.4,8.4,8.4,8.4,0
2022-10-07,9.6,9.6,9.6,9.6,200
2022-10-10,11.0,11.0,10.8,11.0,1000
2022-10-11,10.9,10.9,10.9,10.9,0
2022-10-12,9.3,9.3,9.3,9.3,100
2022-10-13,9.3,9.3,9.3,9.3,0
2022-10-14,9.3,9.3,9.3,9.3,0
2022-10-17,9.3,9.3,9.3,9.3,0
2022-10-18,9.3,9.3,9.3,9.3,0
2022-10-19,9.3,9.3,9.3,9.3,0
2022-10-20,9.3,9.3,9.3,9.3,0
2022-10-21,10.6,10.6,10.6,10.6,100
2022-10-24,10.6,10.6,10.6,10.6,0
2022-10-25,10.6,10.6,10.6,10.6,0
2022-10-26,10.6,10.6,10.6,10.6,0
2022-10-27,10.6,10.6,10.6,10.6,0
2022-10-28,10.6,10.6,10.6,10.6,0
2022-10-31,10.6,10.6,10.6,10.6,0
2022-11-01,10.6,10.6,10.6,10.6,0
2022-11-02,10.6,10.6,10.6,10.6,0
2022-11-03,10.6,10.6,10.6,10.6,0
2022-11-04,10.6,10.6,10.6,10.6,0
2022-11-07,10.6,10.6,10.6,10.6,0
2022-11-08,10.6,10.6,10.6,10.6,0
2022-11-09,10.6,10.6,10.6,10.6,0
2022-11-10,10.6,10.6,10.6,10.6,0
2022-11-11,10.6,10.6,10.6,10.6,0
2022-11-14,10.6,10.6,10.6,10.6,0
2022-11-15,10.6,10.6,10.6,10.6,0
2022-11-16,10.6,10.6,10.6,10.6,0
2022-11-17,10.6,10.6,10.6,10.6,0
2022-11-18,10.6,10.6,10.6,10.6,0
2022-11-21,10.6,10.6,10.6,10.6,0
2022-11-22,10.6,10.6,10.6,10.6,0
2022-11-23,10.6,10.6,10.6,10.6,0
2022-11-24,10.6,10.6,10.6,10.6,0
2022-11-25,11.5,11.5,11.5,11.5,100
2022-11-28,11.5,11.5,11.5,11.5,0
2022-11-29,11.5,11.5,11.5,11.5,0
2022-11-30,11.5,11.5,11.5,11.5,0
2022-12-01,11.5,11.5,11.5,11.5,0
2022-12-02,13.2,13.2,13.2,13.2,100
2022-12-05,13.2,13.2,13.2,13.2,0
2022-12-06,13.2,13.2,13.2,13.2,0
2022-12-07,13.2,13.2,13.2,13.2,0
2022-12-08,13.2,13.2,13.2,13.2,0
2022-12-09,13.2,13.2,13.2,13.2,0
2022-12-12,13.2,13.2,13.2,13.2,0
2022-12-13,13.2,13.2,13.2,13.2,0
2022-12-14,13.2,13.2,13.2,13.2,0
2022-12-15,13.2,13.2,13.2,13.2,0
2022-12-16,13.2,13.2,13.2,13.2,0
2022-12-19,13.2,13.2,13.2,13.2,0
2022-12-20,13.2,13.2,13.2,13.2,0
2022-12-21,13.2,13.2,13.2,13.2,0
2022-12-22,13.2,13.2,13.2,13.2,0
2022-12-23,13.2,13.2,13.2,13.2,0
2022-12-26,13.2,13.2,13.2,13.2,0
2022-12-27,13.2,13.2,13.2,13.2,0
2022-12-28,13.2,13.2,13.2,13.2,0
2022-12-29,13.2,13.2,13.2,13.2,0
2022-12-30,13.2,13.2,13.2,13.2,0
2023-01-03,13.2,13.2,13.2,13.2,0
2023-01-04,13.2,13.2,13.2,13.2,0
2023-01-05,13.2,13.2,13.2,13.2,0
2023-01-06,13.2,13.2,13.2,13.2,0
2023-01-09,13.2,13.2,13.2,13.2,0
2023-01-10,13.2,13.2,13.2,13.2,0
2023-01-11,13.2,13.2,13.2,13.2,0
2023-01-12,13.2,13.2,13.2,13.2,0
2023-01-13,13.2,13.2,13.2,13.2,0
2023-01-16,13.2,13.2,13.2,13.2,0
2023-01-17,13.2,13.2,13.2,13.2,0
2023-01-18,13.2,13.2,13.2,13.2,0
2023-01-19,15.0,15.0,15.0,15.0,100
2023-01-27,15.0,15.0,15.0,15.0,0
2023-01-30,15.0,15.0,15.0,15.0,0
2023-01-31,15.0,15.0,15.0,15.0,0
2023-02-01,15.0,15.0,15.0,15.0,0
2023-02-02,15.0,15.0,15.0,15.0,0
2023-02-03,15.0,15.0,15.0,15.0,0
2023-02-06,15.0,15.0,15.0,15.0,0
2023-02-07,15.0,15.0,15.0,15.0,0
2023-02-08,15.0,15.0,15.0,15.0,0
2023-02-09,15.0,15.0,15.0,15.0,0
2023-02-10,15.0,15.0,15.0,15.0,0
2023-02-13,15.0,15.0,15.0,15.0,0
2023-02-14,15.0,15.0,15.0,15.0,0
2023-02-15,15.0,15.0,15.0,15.0,0
2023-02-16,15.0,15.0,15.0,15.0,0
2023-02-17,15.0,15.0,15.0,15.0,0
2023-02-20,15.0,15.0,15.0,15.0,0
2023-02-21,15.0,15.0,15.0,15.0,0
2023-02-22,15.0,15.0,15.0,15.0,0
2023-02-23,15.0,15.0,15.0,15.0,0
2023-02-24,15.0,15.0,15.0,15.0,0
2023-02-27,15.0,15.0,15.0,15.0,0
2023-02-28,15.0,15.0,15.0,15.0,0
2023-03-01,15.0,15.0,15.0,15.0,0
2023-03-02,15.0,15.0,15.0,15.0,0
2023-03-03,15.0,15.0,15.0,15.0,0
2023-03-06,15.0,15.0,15.0,15.0,0
2023-03-07,15.0,15.0,15.0,15.0,0
2023-03-08,15.0,15.0,15.0,15.0,0
2023-03-09,15.0,15.0,15.0,15.0,0
2023-03-10,15.0,15.0,15.0,15.0,0
2023-03-13,15.0,15.0,15.0,15.0,0
2023-03-14,15.0,15.0,15.0,15.0,0
2023-03-15,15.0,15.0,15.0,15.0,0
2023-03-16,15.0,15.0,15.0,15.0,0
2023-03-17,15.0,15.0,15.0,15.0,0
2023-03-20,15.0,15.0,15.0,15.0,0
2023-03-21,15.0,15.0,15.0,15.0,0
2023-03-22,15.0,15.0,15.0,15.0,0
2023-03-23,15.0,15.0,15.0,15.0,0
2023-03-24,15.0,15.0,15.0,15.0,0
2023-03-27,15.0,15.0,15.0,15.0,0
2023-03-28,15.0,15.0,15.0,15.0,0
2023-03-29,15.0,15.0,15.0,15.0,0
2023-03-30,15.0,15.0,15.0,15.0,0
2023-03-31,15.0,15.0,15.0,15.0,0
2023-04-03,15.0,15.0,15.0,15.0,0
2023-04-04,15.0,15.0,15.0,15.0,0
2023-04-05,15.0,15.0,15.0,15.0,0
2023-04-06,15.0,15.0,15.0,15.0,0
2023-04-07,15.0,15.0,15.0,15.0,0
2023-04-10,15.0,15.0,15.0,15.0,0
2023-04-11,15.0,15.0,15.0,15.0,0
2023-04-12,15.0,15.0,15.0,15.0,0
2023-04-13,15.0,15.0,15.0,15.0,0
2023-04-14,15.0,15.0,15.0,15.0,0
2023-04-17,15.0,15.0,15.0,15.0,0
2023-04-18,15.0,15.0,15.0,15.0,0
2023-04-19,15.0,15.0,15.0,15.0,0
2023-04-20,15.0,15.0,15.0,15.0,0
2023-04-21,15.0,15.0,15.0,15.0,0
2023-04-24,15.0,15.0,15.0,15.0,0
2023-04-25,15.0,15.0,15.0,15.0,0
2023-04-26,15.0,15.0,15.0,15.0,0
2023-04-27,15.0,15.0,15.0,15.0,0
2023-04-28,15.0,15.0,15.0,15.0,0
2023-05-04,15.0,15.0,15.0,15.0,0
2023-05-05,15.0,15.0,15.0,15.0,0
2023-05-08,15.0,15.0,15.0,15.0,0
2023-05-09,15.0,15.0,15.0,15.0,0
2023-05-10,15.0,15.0,15.0,15.0,0
2023-05-11,15.0,15.0,15.0,15.0,0
2023-05-12,15.0,15.0,15.0,15.0,0
2023-05-15,15.0,15.0,15.0,15.0,0
2023-05-16,15.0,15.0,15.0,15.0,0
2023-05-17,15.0,15.0,15.0,15.0,0
2023-05-18,15.0,15.0,15.0,15.0,0
2023-05-19,15.0,15.0,15.0,15.0,0
2023-05-22,15.0,15.0,15.0,15.0,0
2023-05-23,15.0,15.0,15.0,15.0,0
2023-05-24,15.0,15.0,15.0,15.0,0
2023-05-25,15.0,15.0,15.0,15.0,0
2023-05-26,15.0,15.0,15.0,15.0,0
2023-05-29,15.0,15.0,15.0,15.0,0
2023-05-30,15.0,15.0,15.0,15.0,0
2023-05-31,9.0,13.2,9.0,13.0,3000
2023-06-01,12.5,12.5,12.5,12.5,0
2023-06-02,12.5,12.5,12.5,12.5,0
2023-06-05,12.5,12.5,12.5,12.5,0
2023-06-06,12.5,12.5,12.5,12.5,0
2023-06-07,12.5,12.5,12.5,12.5,0
2023-06-08,12.5,12.5,12.5,12.5,0
2023-06-09,12.5,12.5,12.5,12.5,0
2023-06-12,12.5,12.5,12.5,12.5,0
2023-06-13,12.5,12.5,12.5,12.5,0
2023-06-14,12.5,12.5,12.5,12.5,0
2023-06-15,12.5,12.5,12.5,12.5,0
2023-06-16,12.5,12.5,12.5,12.5,0
2023-06-19,12.5,12.5,12.5,12.5,0
2023-06-20,12.5,12.5,12.5,12.5,0
2023-06-21,12.5,12.5,12.5,12.5,0
2023-06-22,12.5,12.5,12.5,12.5,0
2023-06-23,12.5,12.5,12.5,12.5,0
2023-06-26,12.5,12.5,12.5,12.5,0
2023-06-27,12.5,12.5,12.5,12.5,0
2023-06-28,12.5,12.5,12.5,12.5,0
2023-06-29,12.5,12.5,12.5,12.5,0
2023-06-30,12.5,12.5,12.5,12.5,0
2023-07-03,12.5,12.5,12.5,12.5,0
2023-07-04,12.5,12.5,12.5,12.5,0
2023-07-05,12.5,12.5,12.5,12.5,0
2023-07-06,12.5,12.5,12.5,12.5,0
2023-07-07,12.5,12.5,12.5,12.5,0
2023-07-10,12.5,12.5,12.5,12.5,0
2023-07-11,12.5,12.5,12.5,12.5,0
2023-07-12,12.5,12.5,12.5,12.5,0
2023-07-13,12.5,12.5,12.5,12.5,0
2023-07-14,12.5,12.5,12.5,12.5,0
2023-07-17,12.5,12.5,12.5,12.5,0
2023-07-18,12.5,12.5,12.5,12.5,0
2023-07-19,12.5,12.5,12.5,12.5,0
2023-07-20,12.5,12.5,12.5,12.5,0
2023-07-21,12.5,12.5,12.5,12.5,0
2023-07-24,12.5,12.5,12.5,12.5,0
2023-07-25,12.5,12.5,12.5,12.5,0
2023-07-26,12.5,12.5,12.5,12.5,0
2023-07-27,12.5,12.5,12.5,12.5,0
2023-07-28,11.5,11.5,11.5,11.5,300
2023-07-31,11.5,11.5,11.5,11.5,0
2023-08-01,11.2,11.2,11.2,11.2,200
2023-08-02,11.2,11.2,11.2,11.2,0
2023-08-03,11.2,11.2,11.2,11.2,0
2023-08-04,11.2,11.2,11.2,11.2,0
2023-08-07,11.2,11.2,11.2,11.2,400
2023-08-08,11.2,11.2,11.2,11.2,0
2023-08-09,11.2,11.2,11.2,11.2,0
2023-08-10,11.2,11.2,11.2,11.2,0
2023-08-11,11.2,11.2,11.2,11.2,0
2023-08-14,11.2,11.2,11.2,11.2,0
2023-08-15,11.2,11.2,11.2,11.2,0
2023-08-16,11.2,11.2,11.2,11.2,0
2023-08-17,11.2,11.2,11.2,11.2,0
2023-08-18,11.2,11.2,11.2,11.2,0
2023-08-21,11.2,11.2,11.2,11.2,0
2023-08-22,11.2,11.2,11.2,11.2,0
2023-08-23,11.2,11.2,11.2,11.2,0
2023-08-24,11.2,11.2,11.2,11.2,0
2023-08-25,11.2,11.2,11.2,11.2,0
2023-08-28,11.2,11.2,11.2,11.2,0
2023-08-29,11.2,11.2,11.2,11.2,0
2023-08-30,11.2,11.2,11.2,11.2,0
2023-08-31,11.2,11.2,11.2,11.2,0
2023-09-05,11.2,11.2,11.2,11.2,0
2023-09-06,11.2,11.2,11.2,11.2,0
2023-09-07,11.2,11.2,11.2,11.2,0
2023-09-08,11.2,11.2,11.2,11.2,0
2023-09-11,11.2,11.2,11.2,11.2,0
2023-09-12,11.2,11.2,11.2,11.2,0
2023-09-13,11.2,11.2,11.2,11.2,0
2023-09-14,11.2,11.2,11.2,11.2,0
2023-09-15,11.2,11.2,11.2,11.2,0
2023-09-18,11.2,11.2,11.2,11.2,0
2023-09-19,12.0,12.0,12.0,12.0,100
2023-09-20,12.0,12.0,12.0,12.0,0
2023-09-21,12.0,12.0,12.0,12.0,0
2023-09-22,12.0,12.0,12.0,12.0,0
2023-09-25,12.0,12.0,12.0,12.0,0
2023-09-26,12.0,12.0,12.0,12.0,0
2023-09-27,12.0,12.0,12.0,12.0,0
2023-09-28,12.0,12.0,12.0,12.0,0
2023-09-29,12.0,12.0,12.0,12.0,0
2023-10-02,12.0,12.0,12.0,12.0,0
2023-10-03,12.0,12.0,12.0,12.0,0
2023-10-04,12.0,12.0,12.0,12.0,0
2023-10-05,12.0,12.0,12.0,12.0,0
2023-10-06,12.0,12.0,12.0,12.0,0
2023-10-09,12.0,12.0,12.0,12.0,0
2023-10-10,12.0,12.0,12.0,12.0,0
2023-10-11,12.0,12.0,12.0,12.0,0
2023-10-12,10.2,12.2,10.2,12.2,800
2023-10-13,9.0,9.0,9.0,9.0,500
2023-10-16,7.8,8.0,7.8,8.0,200
2023-10-17,7.9,7.9,7.9,7.9,0
2023-10-18,9.0,9.0,9.0,9.0,200
2023-10-19,9.0,9.0,9.0,9.0,0
2023-10-20,9.0,9.0,9.0,9.0,0
2023-10-23,9.2,9.2,9.2,9.2,100
2023-10-24,9.2,9.2,9.2,9.2,0
2023-10-25,9.2,9.2,9.2,9.2,0
2023-10-26,9.2,9.2,9.2,9.2,0
2023-10-27,9.2,9.2,9.2,9.2,0
2023-10-30,8.0,8.0,8.0,8.0,200
2023-10-31,8.0,8.0,8.0,8.0,0
2023-11-01,8.0,8.0,8.0,8.0,200
2023-11-02,6.8,6.8,6.8,6.8,2200
2023-11-03,7.5,7.5,7.5,7.5,100
2023-11-06,6.4,6.4,6.4,6.4,200
2023-11-07,5.5,5.5,5.5,5.5,100
2023-11-08,5.5,5.5,5.5,5.5,0
2023-11-09,5.5,5.5,5.5,5.5,0
2023-11-10,5.5,5.5,5.5,5.5,0
2023-11-13,6.3,6.3,6.3,6.3,100
2023-11-14,6.3,6.3,6.3,6.3,0
2023-11-15,7.2,7.2,7.2,7.2,400
