date,open,high,low,close,volume
2024-01-30,21.39,21.51,21.0,21.51,211319
2024-01-31,22.12,22.12,21.73,21.84,327005
2024-02-01,21.62,22.12,21.62,21.84,164641
2024-02-02,21.98,22.07,21.73,21.93,122232
2024-02-05,21.9,22.29,21.73,22.12,121284
2024-02-06,21.95,22.18,21.95,22.09,63021
2024-02-07,22.18,22.21,22.07,22.15,110410
2024-02-15,22.12,23.19,21.95,22.82,186412
2024-02-16,22.91,22.96,22.68,22.74,67653
2024-02-19,22.74,22.91,22.4,22.4,106914
2024-02-20,22.74,22.74,22.21,22.32,83899
2024-02-21,22.29,22.4,22.23,22.26,83449
2024-02-22,22.23,22.49,22.23,22.32,73380
2024-02-23,22.43,22.71,22.12,22.12,265829
2024-02-26,22.15,23.02,22.15,22.96,230613
2024-02-27,22.79,23.24,22.79,22.96,92479
2024-02-28,22.91,23.19,22.4,22.46,170018
2024-02-29,22.54,22.74,22.26,22.4,135145
2024-03-01,22.51,22.68,22.4,22.6,123853
2024-03-04,22.74,23.22,22.74,23.1,203282
2024-03-05,23.22,23.22,22.91,22.96,82709
2024-03-06,22.96,22.96,22.35,22.4,99503
2024-03-07,22.57,22.79,22.4,22.77,127650
2024-03-08,22.82,22.82,22.4,22.68,196861
2024-03-11,22.93,23.27,22.57,22.74,211996
2024-03-12,22.74,23.41,22.57,23.24,232380
2024-03-13,23.24,24.62,23.24,23.97,382598
2024-03-14,24.06,24.73,24.06,24.53,313436
2024-03-15,24.11,24.53,24.08,24.36,259718
2024-03-18,24.42,24.42,22.68,23.97,341810
2024-03-19,23.94,24.25,23.72,24.08,53325
2024-03-20,24.25,24.25,23.8,24.2,59503
2024-03-21,24.42,24.62,24.25,24.56,174541
2024-03-22,24.56,24.56,24.25,24.53,72454
2024-03-25,24.56,24.56,22.82,24.06,59716
2024-03-26,23.41,24.08,23.41,24.03,67582
2024-03-27,23.86,24.48,23.86,24.25,98180
2024-03-28,24.2,24.53,24.2,24.31,50459
2024-03-29,24.22,24.39,24.22,24.31,60040
2024-04-01,24.31,24.53,24.03,24.08,86798
2024-04-02,24.08,24.34,24.0,24.34,55666
2024-04-03,24.48,25.76,24.42,25.68,552297
2024-04-04,25.76,26.44,25.76,26.3,263149
2024-04-05,26.27,26.3,25.54,25.62,220084
2024-04-08,25.62,25.71,24.87,25.01,181961
2024-04-09,24.73,25.46,24.73,25.43,89824
2024-04-10,25.43,25.43,24.87,24.92,46792
2024-04-11,24.36,24.59,24.0,24.36,205463
2024-04-12,24.34,24.92,24.34,24.92,115049
2024-04-15,24.92,24.92,23.24,23.64,356914
2024-04-16,23.64,23.92,23.13,23.92,136706
2024-04-17,23.92,23.92,23.41,23.58,75817
2024-04-19,22.79,23.69,22.79,23.64,97201
2024-04-22,23.52,24.03,23.27,24.03,61492
2024-04-23,24.03,24.03,23.47,23.92,43089
2024-04-24,23.69,24.36,23.69,24.08,53202
2024-04-25,24.14,24.36,23.97,24.36,31951
2024-04-26,24.36,24.36,23.55,24.2,18122
2024-05-02,24.2,25.06,23.8,24.98,199187
2024-05-03,25.48,25.48,24.92,24.92,117767
2024-05-06,24.95,25.34,24.95,25.2,164885
2024-05-07,25.71,26.04,25.06,25.76,232149
2024-05-08,25.65,27.56,25.2,27.56,725122
2024-05-09,28.12,28.51,27.44,27.56,251177
2024-05-10,27.56,28.0,27.16,27.56,204322
2024-05-13,27.95,27.95,26.88,27.16,139238
2024-05-14,27.16,27.84,26.94,27.58,160679
2024-05-15,27.61,29.07,27.44,28.17,338988
2024-05-16,28.73,28.73,27.64,27.84,189050
2024-05-17,28.0,28.0,27.28,27.44,266646
2024-05-20,27.56,28.56,27.39,28.51,321724
2024-05-21,28.17,30.24,28.17,29.52,596189
2024-05-22,29.91,29.91,28.56,28.62,215446
2024-05-23,28.62,29.12,27.75,28.73,354444
2024-05-24,28.28,29.07,27.44,27.72,358224
2024-05-27,27.72,27.78,27.5,27.67,73085
2024-05-28,28.28,28.28,27.72,27.75,145042
2024-05-29,27.84,27.92,27.53,27.56,270226
2024-05-30,27.44,27.89,27.08,27.33,158380
2024-05-31,27.33,28.28,27.16,27.84,562668
2024-06-03,28.28,29.4,27.84,29.12,499439
2024-06-04,29.12,29.12,28.45,28.51,360715
2024-06-05,28.79,29.01,28.45,28.68,583669
2024-06-06,28.79,28.84,28.0,28.4,268518
2024-06-07,28.51,28.73,28.23,28.45,198135
2024-06-10,28.12,29.12,28.12,28.4,228263
2024-06-11,28.4,28.51,27.75,27.89,264237
2024-06-12,27.95,28.0,27.5,27.86,265095
2024-06-13,27.92,27.92,27.56,27.56,223408
2024-06-14,27.56,27.75,26.88,26.88,282707
2024-06-17,26.91,26.91,25.82,26.27,335925
2024-06-18,26.74,26.88,26.41,26.88,158427
2024-06-19,27.05,27.56,26.74,26.83,204862
2024-06-20,26.88,27.08,26.27,26.41,139492
2024-06-21,26.41,26.88,26.32,26.46,200364
2024-06-24,26.21,26.86,25.96,25.96,274467
