date,open,high,low,close,volume
2023-08-09,16.93,16.93,16.93,16.93,0
2023-08-10,16.93,16.93,16.93,16.93,0
2023-08-11,16.93,16.93,16.93,16.93,0
2023-08-14,16.93,16.93,16.93,16.93,0
2023-08-15,16.93,16.93,16.93,16.93,0
2023-08-16,16.93,16.93,16.93,16.93,0
2023-08-17,16.93,16.93,16.93,16.93,0
2023-08-18,16.93,16.93,16.93,16.93,0
2023-08-21,16.93,16.93,16.93,16.93,0
2023-08-22,16.93,16.93,16.93,16.93,0
2023-08-23,16.93,16.93,16.93,16.93,0
2023-08-24,17.19,17.19,17.19,17.19,400
2023-08-25,17.19,17.19,17.19,17.19,0
2023-08-28,17.19,17.19,17.19,17.19,0
2023-08-29,17.19,17.19,17.19,17.19,0
2023-08-30,17.19,17.19,17.19,17.19,0
2023-08-31,17.19,17.19,17.19,17.19,0
2023-09-05,17.19,17.19,17.19,17.19,0
2023-09-06,17.19,17.19,17.19,17.19,0
2023-09-07,17.19,17.19,17.19,17.19,0
2023-09-08,17.19,17.19,17.19,17.19,0
2023-09-11,17.19,17.19,17.19,17.19,0
2023-09-12,17.19,17.19,17.19,17.19,100
2023-09-13,17.19,17.19,17.19,17.19,0
2023-09-14,17.19,17.19,17.19,17.19,0
2023-09-15,17.19,17.19,17.19,17.19,0
2023-09-18,17.19,17.19,17.19,17.19,0
2023-09-19,17.19,17.19,17.19,17.19,0
2023-09-20,17.19,17.19,17.19,17.19,0
2023-09-21,17.19,17.19,17.19,17.19,0
2023-09-22,17.19,17.19,17.19,17.19,0
2023-09-25,17.19,17.19,17.19,17.19,0
2023-09-26,17.19,17.19,17.19,17.19,0
2023-09-27,17.19,17.19,17.19,17.19,0
2023-09-28,17.19,17.19,17.19,17.19,0
2023-09-29,17.19,17.19,17.19,17.19,0
2023-10-02,17.19,17.19,17.19,17.19,0
2023-10-03,17.19,17.19,17.19,17.19,0
2023-10-04,17.19,17.19,17.19,17.19,0
2023-10-05,17.19,17.19,17.19,17.19,0
2023-10-06,14.72,14.99,14.72,14.81,3400
2023-10-09,14.11,14.81,14.11,14.81,300
2023-10-10,14.55,14.55,14.55,14.55,0
2023-10-11,14.55,14.55,14.55,14.55,0
2023-10-12,14.55,14.55,14.55,14.55,0
2023-10-13,13.44,13.44,13.44,13.44,100
2023-10-16,13.44,13.44,13.44,13.44,0
2023-10-17,15.19,15.19,15.19,15.19,1000
2023-10-18,13.81,13.81,13.81,13.81,100
2023-10-19,13.81,13.81,13.81,13.81,0
2023-10-20,15.74,15.83,15.74,15.83,3000
2023-10-23,13.9,13.9,13.9,13.9,100
2023-10-24,13.9,13.9,13.9,13.9,0
2023-10-25,13.9,13.9,13.9,13.9,0
2023-10-26,15.83,15.93,15.83,15.93,1200
2023-10-27,13.53,15.83,13.53,15.83,12210
2023-10-30,12.43,12.43,12.43,12.43,100
2023-10-31,14.27,14.27,14.27,14.27,5000
2023-11-01,14.27,14.27,14.27,14.27,0
2023-11-02,12.15,14.73,12.15,14.73,2110
2023-11-03,12.89,12.89,12.89,12.89,100
2023-11-06,11.6,14.82,11.6,14.82,600
2023-11-07,14.27,14.27,14.27,14.27,0
2023-11-08,14.27,14.27,14.27,14.27,1
2023-11-09,12.89,16.11,12.89,16.11,6100
2023-11-10,13.81,13.81,13.81,13.81,100
2023-11-13,13.81,13.81,13.81,13.81,89
2023-11-14,13.81,13.81,13.81,13.81,100
2023-11-15,13.81,13.81,13.81,13.81,0
2023-11-16,13.81,13.81,13.81,13.81,0
2023-11-17,13.81,13.81,13.81,13.81,0
2023-11-20,13.81,13.81,13.81,13.81,0
2023-11-21,15.65,15.65,15.65,15.65,500
2023-11-22,15.65,15.65,15.65,15.65,400
2023-11-23,15.65,15.65,15.65,15.65,0
2023-11-24,15.65,15.65,15.65,15.65,0
2023-11-27,15.65,15.65,15.65,15.65,0
2023-11-28,15.65,15.65,15.65,15.65,0
2023-11-29,15.65,15.65,15.65,15.65,0
2023-11-30,15.65,15.65,15.65,15.65,0
2023-12-01,15.65,15.65,15.65,15.65,0
2023-12-04,16.11,16.11,15.65,15.65,1500
2023-12-05,15.83,15.83,15.83,15.83,0
2023-12-06,15.83,15.83,15.83,15.83,0
2023-12-07,13.9,13.9,13.9,13.9,100
2023-12-08,13.9,13.9,13.9,13.9,0
2023-12-11,13.9,13.9,13.9,13.9,0
2023-12-12,15.93,15.93,15.93,15.93,100
2023-12-13,13.81,13.81,13.81,13.81,100
2023-12-14,13.81,13.81,13.81,13.81,0
2023-12-15,13.81,13.81,13.81,13.81,0
2023-12-18,15.83,15.83,15.83,15.83,100
2023-12-19,14.27,14.27,14.27,14.27,201
2023-12-20,14.27,14.27,14.27,14.27,0
2023-12-21,14.27,14.27,14.27,14.27,0
2023-12-22,14.27,14.27,14.27,14.27,0
2023-12-25,14.27,14.27,14.27,14.27,0
