date,open,high,low,close,volume
2024-01-17,18.0,18.0,18.0,18.0,2700
2024-01-18,18.0,18.0,18.0,18.0,0
2024-01-19,18.0,18.0,18.0,18.0,0
2024-01-22,18.0,18.0,18.0,18.0,0
2024-01-23,18.54,18.54,17.64,18.54,1200
2024-01-24,17.64,18.45,17.64,18.45,1200
2024-01-25,18.45,18.45,18.45,18.45,0
2024-01-26,18.45,18.45,18.45,18.45,0
2024-01-29,18.45,18.45,18.45,18.45,300
2024-01-30,18.0,18.18,18.0,18.18,6700
2024-01-31,18.18,18.18,18.18,18.18,200
2024-02-01,18.18,18.18,18.18,18.18,0
2024-02-02,18.18,18.18,18.18,18.18,0
2024-02-05,18.18,19.98,17.73,18.0,17100
2024-02-06,18.0,18.0,18.0,18.0,301
2024-02-07,17.82,18.0,17.64,18.0,800
2024-02-15,18.0,18.0,18.0,18.0,0
2024-02-16,18.0,19.35,18.0,18.0,8119
2024-02-19,18.0,18.0,17.82,18.0,7400
2024-02-20,17.73,17.73,17.73,17.73,710
2024-02-21,18.0,18.0,17.73,18.0,10500
2024-02-22,17.91,17.91,17.91,17.91,500
2024-02-23,17.73,17.91,17.73,17.82,12600
2024-02-26,17.82,17.91,17.82,17.91,550
2024-02-27,17.91,18.0,17.91,18.0,800
2024-02-28,17.91,18.0,17.73,18.0,8844
2024-02-29,17.91,18.0,17.91,18.0,2200
2024-03-01,18.0,18.09,18.0,18.09,911
2024-03-04,18.9,18.9,18.9,18.9,1010
2024-03-05,19.44,19.44,18.99,18.99,269
2024-03-06,20.88,20.88,20.88,20.88,100
2024-03-07,18.9,18.9,18.81,18.81,9700
2024-03-08,18.36,18.36,18.36,18.36,1100
2024-03-11,18.18,18.18,18.18,18.18,100
2024-03-12,19.62,19.62,18.27,18.27,2100
2024-03-13,18.36,18.54,18.36,18.54,200
2024-03-14,20.34,20.34,18.45,18.45,2300
2024-03-15,18.63,18.63,18.45,18.45,2200
2024-03-18,18.45,18.45,18.45,18.45,0
2024-03-19,18.45,18.45,18.45,18.45,0
2024-03-20,18.45,18.45,18.45,18.45,8000
2024-03-21,18.36,18.72,18.36,18.72,200
2024-03-22,18.45,18.45,18.0,18.45,18100
2024-03-25,18.09,18.09,18.09,18.09,100
2024-03-26,18.09,18.9,18.09,18.9,300
2024-03-27,18.9,18.9,18.9,18.9,0
