date,open,high,low,close,volume
2024-01-30,43.62,44.45,43.52,44.4,7142787
2024-01-31,44.7,44.89,43.67,44.01,8747005
2024-02-01,44.01,45.67,44.01,45.18,11309166
2024-02-02,45.48,46.36,45.09,46.36,11953031
2024-02-05,46.46,46.55,45.77,46.36,7541893
2024-02-06,46.46,46.46,45.77,45.97,5406983
2024-02-07,45.92,46.02,45.43,45.58,5709528
2024-02-15,45.92,45.97,44.84,44.84,9344418
2024-02-16,45.38,45.58,44.79,45.28,5004113
2024-02-19,45.48,46.16,45.14,45.77,7508409
2024-02-20,45.92,45.92,44.99,45.77,7874063
2024-02-21,45.67,45.67,44.99,45.09,6482170
2024-02-22,45.28,45.28,44.21,44.3,11207252
2024-02-23,44.3,44.55,42.98,43.03,17645284
2024-02-26,43.03,43.52,42.1,43.37,13536146
2024-02-27,43.72,44.21,43.42,43.77,9639563
2024-02-28,44.01,44.84,43.77,44.3,13794972
2024-02-29,45.38,45.97,44.99,45.18,13896914
2024-03-01,45.53,46.26,45.09,45.58,15367910
2024-03-04,45.58,46.9,45.58,46.36,16601088
2024-03-05,46.55,48.9,46.46,48.9,22389795
2024-03-06,48.9,49.19,47.24,47.63,15090680
2024-03-07,47.63,48.17,47.04,47.92,9444782
2024-03-08,48.17,48.17,45.97,46.7,20605075
2024-03-11,46.46,47.24,45.23,45.38,13810505
2024-03-12,45.14,46.85,45.04,45.72,16655934
2024-03-13,45.77,47.63,45.77,47.48,8938689
2024-03-14,47.73,47.92,46.06,46.21,13310287
2024-03-15,46.21,46.65,45.53,46.31,8872873
2024-03-18,46.16,46.9,44.65,44.89,12159957
2024-03-19,44.99,45.38,44.35,44.5,8067807
2024-03-20,44.6,47.58,44.6,46.94,20647586
2024-03-21,47.43,47.87,46.94,47.43,9100016
2024-03-22,47.63,48.31,46.94,48.02,12088266
2024-03-25,47.92,49.19,47.24,47.24,10372726
2024-03-26,47.24,47.82,46.75,47.58,7526287
2024-03-27,47.73,50.27,47.48,49.59,12745979
2024-03-28,49.68,51.05,49.29,49.88,11657703
2024-03-29,49.88,50.86,49.68,49.98,11817070
2024-04-01,49.68,51.44,49.59,50.27,13705151
2024-04-02,49.88,50.47,48.85,50.47,12316214
2024-04-03,49.88,50.07,48.8,49.1,14389427
2024-04-04,48.9,49.59,47.92,49.59,13053485
2024-04-05,48.9,50.37,48.36,49.88,8147867
2024-04-08,49.88,49.88,48.71,48.9,6087872
2024-04-09,48.9,51.93,48.71,51.64,19495883
2024-04-10,51.74,52.03,50.56,50.86,10164178
2024-04-11,50.07,51.64,50.07,51.15,6972154
2024-04-12,51.15,51.44,50.47,50.86,6668264
2024-04-15,50.56,50.86,48.41,48.8,16511173
2024-04-16,48.41,48.9,47.63,48.8,11621543
2024-04-17,49.29,49.29,47.87,48.31,6953731
2024-04-19,48.17,48.22,46.99,47.14,9476611
2024-04-22,48.12,48.31,47.09,47.53,12295137
2024-04-23,48.02,49.19,47.58,48.71,18045910
2024-04-24,49.1,51.15,48.75,51.15,11536286
2024-04-25,50.95,52.62,50.27,52.62,19326311
2024-04-26,52.32,53.79,51.83,53.69,11871272
2024-05-02,54.77,55.55,53.5,54.38,21962618
2024-05-03,54.48,55.94,53.79,54.48,29623206
2024-05-06,54.87,57.51,54.57,57.02,11265169
2024-05-07,57.51,58.19,56.24,58.0,9467128
2024-05-08,57.31,58.0,56.92,57.8,8131162
2024-05-09,57.7,57.9,57.12,57.6,10479475
2024-05-10,57.51,57.7,56.14,57.6,9755665
2024-05-13,57.6,57.6,56.72,57.02,7244896
2024-05-14,57.21,59.66,56.72,58.78,16227401
2024-05-15,59.27,60.73,58.68,59.46,13076073
2024-05-16,59.56,59.76,58.39,58.58,12949145
2024-05-17,58.49,58.97,57.7,58.29,8968094
2024-05-20,58.68,60.25,58.19,58.68,9205739
2024-05-21,59.27,59.95,58.68,59.17,4734596
2024-05-22,59.27,60.25,58.29,59.66,8949719
2024-05-23,59.37,60.64,58.68,60.64,8863412
2024-05-24,59.85,60.34,57.6,59.17,13652574
2024-05-27,58.78,59.17,57.9,58.68,6370667
2024-05-28,59.07,61.42,58.78,60.15,9936155
2024-05-29,60.25,60.64,59.17,59.17,6886334
2024-05-30,58.58,61.42,57.9,61.42,14766103
2024-05-31,61.42,62.98,61.03,62.2,10266854
2024-06-03,62.49,62.69,61.81,62.59,8262258
2024-06-04,62.59,62.79,61.71,62.4,6573371
2024-06-05,61.61,61.91,60.25,60.64,13787924
2024-06-06,60.64,61.13,60.25,60.54,7075634
2024-06-07,60.93,61.42,60.44,60.73,4301690
2024-06-10,60.83,61.91,60.64,61.61,4853340
2024-06-11,61.91,62.01,60.44,60.93,6442107
2024-06-12,61.22,62.49,60.64,62.01,5027446
2024-06-13,62.3,62.98,61.71,62.59,7867076
2024-06-14,62.59,62.79,61.61,61.61,8122406
2024-06-17,61.42,61.42,59.66,60.64,9508710
2024-06-18,60.73,61.13,59.76,60.83,7177615
2024-06-19,60.54,62.3,60.25,61.91,7690035
2024-06-20,61.81,62.1,61.13,62.1,5640281
2024-06-21,61.61,63.28,61.03,62.1,7139460
2024-06-24,62.1,62.1,60.15,60.64,11383093
2024-06-25,60.64,61.32,60.25,60.64,6383936
2024-06-26,61.13,61.81,59.95,61.22,8188670
2024-06-27,60.64,62.2,60.64,62.01,8299953
2024-06-28,62.2,62.2,60.73,61.51,6190923
2024-07-01,61.71,64.87,61.12,64.87,21794068
2024-07-02,64.87,65.06,63.78,65.06,9250617
2024-07-03,64.96,65.46,64.18,64.57,7440330
2024-07-04,64.77,65.36,63.98,64.18,5864615
2024-07-05,64.27,64.87,64.08,64.67,7943334
2024-07-08,64.67,66.44,64.67,66.05,10455136
2024-07-09,66.25,66.25,65.36,65.85,7983193
2024-07-10,65.75,65.85,64.27,64.27,10913791
2024-07-11,64.47,64.77,63.68,63.88,8305703
2024-07-12,63.88,64.47,63.19,63.88,8740735
2024-07-15,63.98,64.08,63.19,63.39,3696509
2024-07-16,63.68,64.37,63.19,63.19,7683411
2024-07-17,63.78,63.78,61.32,62.6,16988598
2024-07-18,62.6,64.08,62.5,64.08,7940635
2024-07-19,64.08,65.36,63.78,64.67,12010974
2024-07-22,64.27,64.47,62.89,64.37,5886642
2024-07-23,64.08,64.08,61.12,61.61,9203393
2024-07-24,60.73,61.12,57.77,60.53,15070437
2024-07-25,59.15,60.13,58.85,60.13,4906818
2024-07-26,59.64,60.13,59.54,60.13,4385963
2024-07-29,60.53,61.51,60.23,61.12,5343067
2024-07-30,61.12,62.3,61.02,62.11,5472963
2024-07-31,62.99,63.58,62.6,62.89,10337623
2024-08-01,62.89,62.89,60.63,61.22,10609909
2024-08-02,60.13,62.01,59.84,62.01,7608084
2024-08-05,60.63,61.42,59.44,60.73,11581727
2024-08-06,60.92,61.42,59.74,61.42,6422290
2024-08-07,61.42,61.61,60.63,61.42,4796608
2024-08-08,61.12,62.01,61.02,61.51,5793851
2024-08-09,61.81,64.87,61.61,64.67,17526008
2024-08-12,64.96,65.85,64.67,65.65,11016974
2024-08-13,65.85,66.25,64.57,65.75,9396736
2024-08-14,65.85,66.05,64.87,65.65,6296454
2024-08-15,65.36,65.46,64.37,64.96,7151226
2024-08-16,65.06,68.51,64.96,68.02,18529166
2024-08-19,68.02,68.71,67.63,68.02,6423896
2024-08-20,68.02,68.51,67.33,68.51,8141978
2024-08-21,68.41,69.2,67.92,68.81,8951937
2024-08-22,68.71,69.2,68.12,69.01,5284532
2024-08-23,69.01,69.2,68.32,69.01,4429255
2024-08-26,69.01,69.79,68.61,68.81,5965744
2024-08-27,68.41,68.81,66.84,68.81,14482117
2024-08-28,68.71,68.71,67.72,68.41,6604598
2024-08-29,67.92,68.41,67.63,68.12,4227863
2024-08-30,68.12,68.81,67.72,68.81,5298059
2024-09-04,67.72,68.71,67.23,68.12,4464829
2024-09-05,67.82,67.92,66.64,66.94,8484028
2024-09-06,66.64,67.03,65.85,67.03,8349711
2024-09-09,66.74,67.03,66.25,66.54,3679402
2024-09-10,66.54,67.72,66.54,66.84,6458432
2024-09-11,66.84,66.94,66.15,66.84,6806260
2024-09-12,67.03,67.03,66.25,66.54,3875544
2024-09-13,66.25,66.54,65.56,66.25,7129047
2024-09-16,65.95,66.05,65.06,65.16,5298849
2024-09-17,65.26,65.85,64.57,65.85,8764583
2024-09-18,65.95,67.63,65.85,67.23,10681518
2024-09-19,67.53,67.53,66.74,67.23,5283173
2024-09-20,67.63,67.72,67.03,67.03,5019168
2024-09-23,67.03,67.03,65.85,66.34,5050063
2024-09-24,66.54,67.82,66.54,67.13,6643981
2024-09-25,67.53,67.72,67.03,67.72,5448917
2024-09-26,67.82,68.51,67.33,67.33,7186856
2024-09-27,67.63,67.63,65.85,66.54,13137510
2024-09-30,66.54,67.13,65.95,67.13,5929874
2024-10-01,67.33,67.72,66.84,66.84,9999390
2024-10-02,66.54,66.94,66.05,66.44,7160079
2024-10-03,66.44,66.44,64.87,65.36,14750853
2024-10-04,65.56,65.85,65.26,65.46,5275165
2024-10-07,65.75,66.15,64.96,65.36,5551286
2024-10-08,65.75,65.75,64.08,64.27,11013225
2024-10-09,64.08,64.37,62.7,63.29,20856754
2024-10-10,63.58,64.47,63.19,64.08,8672895
2024-10-11,64.08,64.37,62.6,63.58,10014598
2024-10-14,63.98,64.08,62.7,62.7,8411163
2024-10-15,62.99,63.88,62.8,63.49,12473279
2024-10-16,63.49,64.77,63.39,64.57,13714898
2024-10-17,64.87,64.87,64.27,64.87,6631676
2024-10-18,64.96,65.16,64.27,64.77,6165300
2024-10-21,64.37,65.06,63.98,64.87,4335467
2024-10-22,65.36,65.85,64.57,65.36,9785541
2024-10-23,65.16,65.36,64.18,64.77,6102276
2024-10-24,64.47,65.06,63.98,64.47,4643461
2024-10-25,64.47,65.06,64.08,64.57,4952910
2024-10-28,64.57,64.67,63.98,64.57,3960667
2024-10-29,64.67,65.56,64.47,65.56,9541809
2024-10-30,65.56,65.56,64.77,65.06,8929924
2024-10-31,65.06,65.56,64.67,65.56,6148018
2024-11-01,64.96,65.16,64.57,65.06,21334802
2024-11-04,64.96,64.96,63.78,64.18,9366267
2024-11-05,63.98,64.67,63.88,64.67,5273396
2024-11-06,64.77,64.77,64.08,64.67,5417070
2024-11-07,64.87,64.87,63.88,64.47,5245828
2024-11-08,64.47,64.47,63.58,64.08,4700721
2024-11-11,63.58,64.08,62.01,62.11,9395316
2024-11-12,62.2,62.3,59.94,59.94,10608648
2024-11-13,59.94,61.42,59.44,61.02,7235706
2024-11-14,60.63,60.73,59.84,60.43,4484483
2024-11-15,59.94,60.23,58.95,59.05,6654179
2024-11-18,59.05,59.05,56.29,58.06,12086406
2024-11-19,58.16,58.16,56.68,56.68,5341277
2024-11-20,56.39,57.27,55.2,55.99,9757972
2024-11-21,56.19,58.06,55.7,57.87,8169014
2024-11-22,57.87,58.56,57.57,58.16,5807948
2024-11-25,57.97,58.46,57.77,58.16,4571207
2024-11-26,58.46,59.25,58.16,59.15,4372919
2024-11-27,59.05,60.04,58.66,59.35,4939448
2024-11-28,59.44,59.74,58.85,59.15,3776527
2024-11-29,59.15,59.64,58.06,59.64,5589666
2024-12-02,59.84,59.84,59.05,59.54,2792248
2024-12-03,59.25,59.44,58.75,58.95,4021266
2024-12-04,58.56,58.95,57.18,57.27,8862185
2024-12-05,57.57,60.33,57.27,60.13,8618282
2024-12-06,59.94,61.02,59.64,60.23,7828290
2024-12-09,60.73,60.73,59.94,60.23,4413080
