date,open,high,low,close,volume
2024-01-30,20.5,20.8,20.3,20.8,42008
2024-01-31,21.45,21.45,20.5,21.0,54200
2024-02-01,21.0,21.0,20.55,20.65,21600
2024-02-02,20.5,20.8,20.5,20.75,86925
2024-02-05,20.75,20.75,20.4,20.7,65113
2024-02-06,20.45,20.7,20.45,20.7,75605
2024-02-07,20.5,20.7,20.5,20.5,29649
2024-02-15,20.85,20.95,20.55,20.7,73466
2024-02-16,20.7,20.95,20.6,20.7,149193
2024-02-19,20.7,20.8,20.4,20.5,195694
2024-02-20,20.5,20.55,20.3,20.45,148152
2024-02-21,20.5,20.65,20.45,20.6,92259
2024-02-22,20.6,21.4,20.3,21.2,355710
2024-02-23,21.25,21.4,20.1,20.7,126323
2024-02-26,20.5,21.0,20.5,20.6,64637
2024-02-27,20.8,21.35,20.65,21.35,199733
2024-02-28,21.35,21.4,21.0,21.3,134458
2024-02-29,21.4,21.5,20.9,21.0,110370
2024-03-01,20.8,21.7,20.8,21.4,168176
2024-03-04,21.5,21.7,21.2,21.55,187919
2024-03-05,23.05,23.05,22.8,23.05,631459
2024-03-06,24.4,24.4,23.45,24.0,586310
2024-03-07,24.0,24.8,24.0,24.8,419900
2024-03-08,25.0,25.0,23.6,24.35,349720
2024-03-11,24.5,24.5,22.7,23.55,338070
2024-03-12,23.55,23.55,23.0,23.0,191215
2024-03-13,23.0,24.5,23.0,24.5,323653
2024-03-14,25.0,25.0,24.15,24.35,195072
2024-03-15,24.35,25.0,24.05,25.0,261400
2024-03-18,25.2,25.8,24.0,25.55,2688331
2024-03-19,25.55,25.8,24.8,25.1,263361
2024-03-20,24.8,25.1,24.4,25.0,250730
2024-03-21,25.1,25.8,24.45,25.8,502745
2024-03-22,25.5,25.5,25.2,25.5,143914
2024-03-25,25.7,25.95,25.0,25.0,388312
2024-03-26,25.0,25.2,24.5,25.2,63622
2024-03-27,25.2,25.5,24.65,25.4,75787
2024-03-28,25.1,25.5,24.9,25.45,52660
2024-03-29,25.45,25.8,24.7,25.8,157715
2024-04-01,25.45,25.75,25.0,25.5,474662
2024-04-02,25.0,25.5,24.5,25.45,301076
