date,open,high,low,close,volume
2024-01-30,13.6,13.8,13.0,13.7,61843
2024-01-31,13.5,13.6,12.0,12.9,165900
2024-02-01,12.3,12.5,10.8,11.7,178116
2024-02-02,12.5,12.5,11.8,11.9,31060
2024-02-05,13.0,13.0,11.4,12.2,30400
2024-02-06,12.8,12.8,11.8,12.5,46610
2024-02-07,11.9,12.2,11.9,12.1,12675
2024-02-15,12.6,12.6,12.0,12.2,6511
2024-02-16,12.5,12.5,12.1,12.3,22571
2024-02-19,12.8,12.8,12.5,12.7,23500
2024-02-20,12.9,12.9,12.4,12.7,13211
2024-02-21,12.8,12.8,12.6,12.6,9642
2024-02-22,12.8,12.8,12.4,12.5,14315
2024-02-23,12.5,12.6,12.2,12.2,21201
2024-02-26,12.3,12.4,12.1,12.1,2904
2024-02-27,12.1,12.9,12.1,12.5,23303
2024-02-28,12.7,12.7,12.1,12.4,11313
2024-02-29,12.7,12.7,12.0,12.3,7257
2024-03-01,12.2,12.3,12.1,12.2,23400
2024-03-04,12.5,12.5,12.2,12.2,18602
2024-03-05,12.7,12.7,12.3,12.4,7706
2024-03-06,12.7,12.7,12.2,12.4,77517
2024-03-07,12.5,12.5,12.1,12.1,10305
2024-03-08,12.4,12.4,12.0,12.4,16400
2024-03-11,12.4,12.4,12.0,12.0,7400
2024-03-12,12.3,12.3,11.9,11.9,23684
2024-03-13,12.0,12.0,11.6,11.9,33310
2024-03-14,11.7,12.4,11.7,11.9,14401
2024-03-15,11.8,12.1,11.7,11.8,19339
2024-03-18,11.8,11.9,11.4,11.7,31127
2024-03-19,11.4,11.8,11.4,11.5,13440
2024-03-20,11.8,12.4,11.4,11.6,20400
2024-03-21,11.8,11.9,11.4,11.4,28711
2024-03-22,11.6,11.7,11.4,11.7,20370
2024-03-25,11.5,11.7,11.4,11.7,27900
2024-03-26,11.5,11.8,11.5,11.7,16802
2024-03-27,11.7,11.8,11.6,11.8,6401
2024-03-28,11.8,11.8,11.5,11.6,14701
2024-03-29,11.5,11.8,11.5,11.5,11300
2024-04-01,11.5,11.7,11.5,11.7,8301
2024-04-02,11.3,11.5,11.2,11.5,17700
2024-04-03,11.4,11.4,11.2,11.2,21200
2024-04-04,11.8,11.8,10.8,11.1,79222
2024-04-05,11.1,11.1,9.5,9.5,111375
2024-04-08,10.0,10.4,9.0,9.0,80000
2024-04-09,9.5,10.0,8.8,8.8,72001
2024-04-10,8.9,9.1,8.5,8.5,134731
2024-04-11,8.5,9.1,8.5,8.9,37901
2024-04-12,9.1,9.5,9.1,9.1,37300
2024-04-15,9.2,9.5,9.0,9.0,21500
2024-04-16,9.3,9.3,8.7,8.7,11711
2024-04-17,9.3,10.2,9.1,10.2,184000
2024-04-19,11.0,11.0,10.0,10.8,21410
2024-04-22,10.7,10.7,10.0,10.6,11501
2024-04-23,10.6,10.8,10.0,10.1,5600
2024-04-24,10.6,10.6,10.4,10.5,4503
2024-04-25,10.7,11.0,10.0,10.6,6801
2024-04-26,10.4,10.9,9.8,10.7,3301
2024-05-02,10.9,11.9,10.9,11.1,2301
2024-05-03,11.4,11.4,10.0,10.5,16146
2024-05-06,10.4,10.4,9.7,10.3,1819
2024-05-07,10.6,10.6,9.9,10.4,1464
2024-05-08,9.6,10.2,9.6,10.2,9800
2024-05-09,9.8,10.0,9.5,9.6,11003
2024-05-10,10.1,10.1,9.9,9.9,635
2024-05-13,10.5,10.6,9.7,10.0,4309
2024-05-14,10.1,10.1,10.1,10.1,1501
2024-05-15,10.1,10.1,9.6,9.7,10401
