date,open,high,low,close,volume
2022-06-22,1.1,1.1,1.1,1.1,0
2022-06-23,1.1,1.1,1.1,1.1,0
2022-06-24,1.1,1.2,1.0,1.1,334505
2022-06-27,1.1,1.1,1.1,1.1,0
2022-06-28,1.1,1.1,1.1,1.1,0
2022-06-29,1.1,1.1,1.1,1.1,0
2022-06-30,1.1,1.1,1.1,1.1,0
2022-07-01,1.1,1.1,1.0,1.1,105930
2022-07-04,1.0,1.0,1.0,1.0,0
2022-07-05,1.0,1.0,1.0,1.0,0
2022-07-06,1.0,1.0,1.0,1.0,0
2022-07-07,1.0,1.0,1.0,1.0,0
2022-07-08,0.9,1.0,0.9,0.9,366700
2022-07-11,0.9,0.9,0.9,0.9,0
2022-07-12,0.9,0.9,0.9,0.9,0
2022-07-13,0.9,0.9,0.9,0.9,0
2022-07-14,0.9,0.9,0.9,0.9,0
2022-07-15,0.9,1.0,0.8,1.0,306020
2022-07-18,0.9,0.9,0.9,0.9,0
2022-07-19,0.9,0.9,0.9,0.9,0
2022-07-20,0.9,0.9,0.9,0.9,0
2022-07-21,0.9,0.9,0.9,0.9,0
2022-07-22,0.9,1.0,0.9,1.0,682701
2022-07-25,1.0,1.0,1.0,1.0,0
2022-07-26,1.0,1.0,1.0,1.0,0
2022-07-27,1.0,1.0,1.0,1.0,0
2022-07-28,1.0,1.0,1.0,1.0,0
2022-07-29,1.1,1.1,1.0,1.1,366400
2022-08-01,1.1,1.1,1.1,1.1,0
2022-08-02,1.1,1.1,1.1,1.1,0
2022-08-03,1.1,1.1,1.1,1.1,0
2022-08-04,1.1,1.1,1.1,1.1,0
2022-08-05,1.1,1.2,1.1,1.2,778903
2022-08-08,1.2,1.2,1.2,1.2,0
2022-08-09,1.2,1.2,1.2,1.2,0
2022-08-10,1.2,1.2,1.2,1.2,0
2022-08-11,1.2,1.2,1.2,1.2,0
2022-08-12,1.3,1.3,1.2,1.2,865400
2022-08-15,1.2,1.2,1.2,1.2,0
2022-08-16,1.2,1.2,1.2,1.2,0
2022-08-17,1.2,1.2,1.2,1.2,0
2022-08-18,1.2,1.2,1.2,1.2,0
2022-08-19,1.2,1.2,1.1,1.1,307900
2022-08-22,1.1,1.1,1.1,1.1,0
2022-08-23,1.1,1.1,1.1,1.1,0
2022-08-24,1.1,1.1,1.1,1.1,0
2022-08-25,1.1,1.1,1.1,1.1,0
2022-08-26,1.1,1.1,1.0,1.1,363800
2022-08-29,1.1,1.1,1.1,1.1,0
2022-08-30,1.1,1.1,1.1,1.1,0
2022-08-31,1.1,1.1,1.1,1.1,0
2022-09-05,1.1,1.1,1.1,1.1,0
2022-09-06,1.1,1.1,1.1,1.1,0
2022-09-07,1.1,1.1,1.1,1.1,0
2022-09-08,1.1,1.1,1.1,1.1,0
2022-09-09,1.0,1.1,1.0,1.1,163100
2022-09-12,1.0,1.0,1.0,1.0,0
2022-09-13,1.0,1.0,1.0,1.0,0
2022-09-14,1.0,1.0,1.0,1.0,0
2022-09-15,1.0,1.0,1.0,1.0,0
2022-09-16,0.9,1.0,0.9,1.0,148955
2022-09-19,1.0,1.0,1.0,1.0,0
2022-09-20,1.0,1.0,1.0,1.0,0
2022-09-21,1.0,1.0,1.0,1.0,0
2022-09-22,1.0,1.0,1.0,1.0,0
2022-09-23,1.0,1.1,0.9,1.0,117133
2022-09-26,1.0,1.0,1.0,1.0,0
2022-09-27,1.0,1.0,1.0,1.0,0
2022-09-28,1.0,1.0,1.0,1.0,0
2022-09-29,1.0,1.0,1.0,1.0,0
2022-09-30,0.9,0.9,0.9,0.9,132400
2022-10-03,0.9,0.9,0.9,0.9,0
2022-10-04,0.9,0.9,0.9,0.9,0
2022-10-05,0.9,0.9,0.9,0.9,0
2022-10-06,0.9,0.9,0.9,0.9,0
2022-10-07,0.9,0.9,0.8,0.8,151671
2022-10-10,0.8,0.8,0.8,0.8,0
2022-10-11,0.8,0.8,0.8,0.8,0
2022-10-12,0.8,0.8,0.8,0.8,0
2022-10-13,0.8,0.8,0.8,0.8,0
2022-10-14,0.8,0.8,0.7,0.8,540263
