date,open,high,low,close,volume
2024-01-30,70.36,70.92,70.28,70.92,3200
2024-01-31,70.68,70.92,70.2,70.76,16517
2024-02-01,70.76,70.76,70.28,70.6,7364
2024-02-02,70.6,70.68,70.52,70.6,13675
2024-02-05,70.6,70.6,70.28,70.28,38422
2024-02-06,70.36,71.96,70.2,71.88,21180
2024-02-07,71.88,71.96,71.88,71.88,14250
2024-02-15,71.88,72.6,71.88,72.2,8325
2024-02-16,72.12,72.52,72.04,72.52,8833
2024-02-19,72.52,73.4,72.52,72.84,27316
2024-02-20,72.84,73.08,72.44,73.0,34122
2024-02-21,73.56,74.68,72.84,74.2,31889
2024-02-22,74.2,74.28,73.48,74.04,21295
2024-02-23,74.04,75.0,74.04,74.12,70777
2024-02-26,74.44,77.47,74.28,76.67,74996
2024-02-27,77.07,78.43,76.83,78.11,38108
2024-02-28,78.67,82.66,78.67,80.75,95710
2024-02-29,80.83,82.26,79.87,80.27,52403
2024-03-01,80.27,82.26,79.87,80.91,55667
2024-03-04,81.38,83.86,80.59,81.62,74322
2024-03-05,83.86,84.66,81.46,81.94,43960
2024-03-06,81.14,82.26,79.55,79.87,64520
2024-03-07,82.26,83.86,79.87,83.06,108338
2024-03-08,84.42,84.42,82.26,82.26,42480
2024-03-11,82.98,82.98,80.91,81.22,43352
2024-03-12,81.22,81.78,80.75,80.83,56824
2024-03-13,80.75,83.86,80.67,82.74,82729
2024-03-14,83.86,84.66,81.54,82.66,54865
2024-03-15,81.46,83.06,80.67,82.18,42713
2024-03-18,82.18,82.18,79.07,80.03,76611
2024-03-19,79.87,81.46,79.87,80.35,15470
2024-03-20,79.95,81.46,79.87,81.46,8710
2024-03-21,81.46,81.46,80.75,80.75,18715
2024-03-22,81.07,81.46,80.67,80.99,27339
2024-03-25,81.07,82.26,80.27,80.27,6964
2024-03-26,80.27,81.07,80.27,80.99,5378
2024-03-27,80.67,80.83,80.35,80.83,8800
2024-03-28,80.51,81.78,80.51,80.91,20311
2024-03-29,80.91,80.91,80.75,80.83,14721
2024-04-01,81.07,81.07,79.87,79.87,15229
2024-04-02,79.87,80.03,79.87,80.03,6212
2024-04-03,80.67,80.91,80.51,80.51,12821
2024-04-04,80.67,80.67,78.67,79.87,22791
2024-04-05,79.31,79.31,78.27,78.27,24474
2024-04-08,78.83,79.31,78.27,78.27,17252
2024-04-09,78.43,78.67,77.95,78.67,7983
2024-04-10,78.43,78.67,78.35,78.35,4700
2024-04-11,78.27,78.27,77.79,78.27,9602
2024-04-12,79.08,79.16,78.75,78.75,8138
2024-04-15,78.75,78.83,76.66,76.66,14420
2024-04-16,76.66,76.66,75.04,75.93,26440
2024-04-17,75.69,75.69,75.04,75.45,12823
2024-04-19,75.45,75.45,72.62,72.62,42111
2024-04-22,72.62,74.23,72.62,74.23,11597
2024-04-23,74.23,74.23,72.62,72.62,10920
2024-04-24,73.43,74.64,73.43,74.48,25526
2024-04-25,74.32,74.32,74.23,74.23,2813
2024-04-26,74.23,74.23,73.83,73.83,5754
2024-05-02,73.99,74.8,73.99,74.72,3410
2024-05-03,75.04,75.93,75.04,75.61,21736
2024-05-06,75.69,76.25,75.69,76.25,16935
2024-05-07,76.66,77.46,75.85,77.22,10468
2024-05-08,77.22,77.22,75.77,75.85,11607
2024-05-09,76.09,79.08,76.09,77.14,27499
2024-05-10,78.27,78.27,77.06,77.06,10274
2024-05-13,77.62,77.62,75.61,75.85,23204
2024-05-14,75.85,75.85,75.28,75.85,11428
2024-05-15,75.85,76.41,75.85,76.25,13423
2024-05-16,76.25,78.83,76.25,76.98,10714
2024-05-17,76.98,76.98,76.25,76.49,15025
2024-05-20,76.66,77.46,76.66,77.06,7131
2024-05-21,77.06,77.06,76.01,76.17,17728
2024-05-22,76.33,76.66,76.25,76.25,13355
2024-05-23,77.46,77.46,76.41,76.49,5821
2024-05-24,76.49,76.66,75.85,75.85,57102
2024-05-27,75.85,76.66,75.85,75.93,10632
2024-05-28,76.01,76.49,75.93,76.09,13921
2024-05-29,76.17,77.06,76.09,76.49,34557
2024-05-30,76.49,76.49,75.85,76.25,13320
2024-05-31,76.25,76.33,75.93,76.09,6302
2024-06-03,76.25,76.25,76.01,76.17,24133
2024-06-04,76.17,76.17,75.45,75.61,14938
2024-06-05,75.77,75.77,74.23,75.04,21479
2024-06-06,74.96,75.04,74.64,74.64,16868
2024-06-07,74.88,74.88,73.99,73.99,24911
2024-06-10,73.99,74.4,73.91,74.07,25412
2024-06-11,74.15,75.04,73.99,74.32,21063
2024-06-12,74.4,74.56,74.07,74.56,8453
2024-06-13,74.64,75.04,74.4,74.64,16789
2024-06-14,74.8,75.2,74.56,74.8,25029
2024-06-17,75.45,75.45,74.64,74.88,10397
2024-06-18,76.25,81.34,74.88,78.75,70925
2024-06-19,79.48,80.45,77.14,77.22,16988
2024-06-20,78.11,79.08,76.17,78.19,21561
2024-06-21,78.19,78.19,76.66,76.66,23833
2024-06-24,76.66,77.46,74.23,77.3,45045
2024-06-25,77.3,77.3,74.72,74.88,7655
2024-06-26,75.04,75.45,74.8,75.45,5700
2024-06-27,75.45,75.45,74.72,74.72,6900
2024-06-28,75.04,75.45,74.48,74.48,14403
2024-07-01,74.48,74.72,74.48,74.64,8716
2024-07-02,74.8,74.8,74.23,74.23,14107
2024-07-03,75.04,75.12,74.64,74.64,6023
2024-07-04,74.72,75.61,74.72,74.88,3709
2024-07-05,74.96,74.96,74.56,74.88,8700
2024-07-08,75.04,75.61,74.96,74.96,11571
2024-07-09,74.96,75.45,74.64,75.2,7814
2024-07-10,75.2,75.2,74.72,74.8,9701
2024-07-11,74.88,74.88,74.64,74.8,10458
2024-07-12,74.8,75.04,74.72,74.8,4280
2024-07-15,75.45,75.45,74.23,74.32,15029
2024-07-16,74.48,75.04,74.23,74.64,15795
2024-07-17,74.8,74.96,74.07,74.56,19519
2024-07-18,74.07,74.56,74.07,74.23,12042
2024-07-19,74.32,74.4,73.91,73.91,6707
2024-07-22,73.83,73.83,72.62,72.7,17607
2024-07-23,72.7,72.7,71.01,71.49,17101
2024-07-24,71.89,71.89,70.2,71.33,12459
2024-07-25,72.62,72.62,72.22,72.46,3416
2024-07-26,73.27,73.27,72.54,72.54,7903
2024-07-29,72.3,72.3,71.81,71.81,4348
2024-07-30,72.22,72.22,71.81,71.81,4402
2024-07-31,71.81,71.81,71.65,71.65,5913
2024-08-01,71.73,71.73,70.2,70.2,32908
2024-08-02,70.93,71.01,69.64,69.96,10475
2024-08-05,70.04,70.04,64.63,66.97,18680
2024-08-06,67.78,68.18,66.57,68.18,11054
2024-08-07,70.12,70.12,68.59,69.88,3286
2024-08-08,69.39,69.64,68.99,69.39,2681
2024-08-09,69.47,70.36,69.47,70.36,3500
2024-08-12,70.2,71.41,70.04,70.68,4895
2024-08-13,70.68,71.01,70.12,70.12,16335
2024-08-14,70.2,72.62,70.04,70.2,4250
2024-08-15,70.2,72.54,69.39,69.39,4316
2024-08-16,70.28,70.6,69.55,69.96,16885
2024-08-19,69.96,70.2,69.96,70.2,21660
2024-08-20,71.01,71.01,70.36,70.36,9123
2024-08-21,70.85,71.49,70.77,71.41,13010
2024-08-22,71.57,71.57,70.85,70.85,6724
2024-08-23,71.57,71.57,70.2,71.01,16361
2024-08-26,71.41,71.65,70.93,71.01,5646
2024-08-27,71.01,71.01,70.2,70.6,10212
2024-08-28,70.77,71.09,70.77,71.01,6252
2024-08-29,71.49,71.49,70.68,70.68,2520
2024-08-30,70.68,71.49,70.68,71.41,4401
2024-09-04,71.33,73.02,71.33,73.02,33831
2024-09-05,72.7,72.7,72.14,72.14,16514
2024-09-06,72.22,72.22,71.89,71.98,9106
2024-09-09,71.81,71.81,70.36,70.36,6503
2024-09-10,72.54,72.54,70.28,71.01,1337
2024-09-11,70.52,70.52,70.44,70.52,4915
2024-09-12,70.6,71.73,70.52,70.52,11627
2024-09-13,70.77,71.01,70.68,71.01,1305
2024-09-16,71.01,71.01,70.77,70.85,7615
2024-09-17,70.77,71.01,70.6,71.01,2804
2024-09-18,71.01,71.81,71.01,71.65,2613
2024-09-19,71.01,71.25,71.01,71.01,5203
2024-09-20,71.09,71.89,71.01,71.17,17200
2024-09-23,71.17,71.81,71.01,71.73,4901
2024-09-24,71.17,71.33,71.17,71.17,5315
2024-09-25,72.86,72.86,71.49,71.73,8230
2024-09-26,71.73,72.54,71.41,72.54,8411
2024-09-27,72.06,72.14,71.81,71.81,4642
2024-09-30,71.89,71.89,71.25,71.25,2515
2024-10-01,71.41,71.81,71.09,71.81,26760
2024-10-02,71.57,71.57,71.01,71.01,7300
2024-10-03,71.17,71.17,70.85,70.85,4809
2024-10-04,70.85,71.01,69.8,71.01,19773
2024-10-07,70.6,70.6,70.28,70.28,2121
2024-10-08,70.28,71.01,70.12,70.2,12056
2024-10-09,70.36,71.01,70.36,70.6,1558
2024-10-10,70.85,71.41,70.6,71.01,4002
2024-10-11,71.01,71.49,70.6,71.49,2635
2024-10-14,71.01,71.17,70.85,70.85,1628
2024-10-15,71.01,71.01,70.85,70.85,1030
2024-10-16,70.6,71.01,70.6,70.77,3400
2024-10-17,71.17,71.17,71.01,71.01,2200
2024-10-18,71.09,71.09,70.6,71.01,903
2024-10-21,71.33,71.33,70.28,71.01,6502
2024-10-22,70.93,71.01,70.44,70.44,6691
2024-10-23,70.6,70.68,70.28,70.28,7300
2024-10-24,71.65,74.32,71.65,73.43,59024
2024-10-25,74.23,75.28,74.23,75.04,27465
2024-10-28,75.45,75.93,75.04,75.04,22373
2024-10-29,75.69,75.69,74.96,75.04,15026
2024-10-30,75.45,75.53,75.04,75.28,10268
2024-10-31,75.85,76.17,75.53,75.85,17176
2024-11-01,75.85,75.85,74.88,75.45,20915
2024-11-04,75.45,75.45,71.01,74.8,6312
2024-11-05,74.88,75.04,74.64,74.64,21740
2024-11-06,75.45,75.45,75.04,75.36,10089
2024-11-07,75.61,75.61,75.04,75.2,19423
2024-11-08,75.85,75.85,75.36,75.45,9069
2024-11-11,75.77,75.77,75.36,75.45,27575
2024-11-12,75.45,75.77,75.45,75.53,16417
2024-11-13,75.69,75.85,75.53,75.85,23943
2024-11-14,75.77,77.06,75.69,77.06,42162
2024-11-15,76.74,77.06,75.85,76.66,33950
2024-11-18,78.27,78.27,75.85,76.66,41484
2024-11-19,76.33,82.78,74.07,74.33,14484
2024-11-20,74.33,74.33,71.89,71.98,35087
2024-11-21,72.32,72.67,70.93,71.28,31666
2024-11-22,71.45,73.2,71.45,72.76,14423
2024-11-25,72.76,72.76,72.06,72.06,8020
2024-11-26,72.32,72.41,71.45,71.89,17366
2024-11-27,71.89,73.2,71.45,72.5,7593
2024-11-28,72.85,72.85,72.06,72.85,5182
2024-11-29,72.85,73.2,71.89,72.06,4828
2024-12-02,72.41,72.59,71.89,71.89,6447
2024-12-03,72.32,72.76,72.24,72.32,8796
2024-12-04,72.85,72.85,72.24,72.24,5687
2024-12-05,72.5,72.5,72.32,72.5,7423
2024-12-06,72.76,75.37,72.76,74.94,50817
2024-12-09,75.72,75.72,74.15,74.33,5716
2024-12-10,74.68,74.68,73.89,74.15,14225
2024-12-11,74.15,74.15,73.2,73.46,5253
2024-12-12,73.63,73.63,72.32,72.41,14000
2024-12-13,73.46,73.46,73.2,73.2,4647
2024-12-16,73.2,74.94,73.2,74.59,22815
2024-12-17,74.24,74.94,73.63,74.5,5515
2024-12-18,75.2,75.2,74.07,74.07,2155
2024-12-19,73.63,74.59,73.28,74.07,4404
2024-12-20,74.07,75.37,73.63,74.24,11929
2024-12-23,74.42,74.94,74.24,74.94,37158
2024-12-24,74.68,75.2,74.59,75.2,29475
2024-12-25,74.85,75.81,74.85,75.64,10895
2024-12-26,75.9,79.99,75.9,78.86,90308
2024-12-27,78.42,78.42,76.86,77.55,14151
2024-12-30,77.55,78.42,75.55,75.55,39589
2024-12-31,75.81,76.68,74.94,76.07,10575
2025-01-02,76.07,76.68,76.07,76.16,7115
2025-01-03,76.51,76.59,74.59,74.94,15031
