date,open,high,low,close,volume
2022-10-26,12.8,12.8,12.8,12.8,0
2022-10-27,12.8,13.3,12.8,13.3,800
2022-10-28,13.6,13.6,13.6,13.6,500
2022-10-31,13.1,13.1,13.0,13.0,4000
2022-11-01,13.2,13.6,13.1,13.6,4000
2022-11-02,14.2,14.2,14.2,14.2,200
2022-11-03,14.2,14.2,14.2,14.2,0
2022-11-04,12.2,12.2,12.2,12.2,100
2022-11-07,13.8,13.8,13.8,13.8,100
2022-11-08,13.8,13.8,13.8,13.8,0
2022-11-09,13.8,13.8,13.8,13.8,0
2022-11-10,13.8,13.8,13.8,13.8,0
2022-11-11,11.9,11.9,11.9,11.9,100
2022-11-14,12.9,13.5,12.9,12.9,3500
2022-11-15,14.8,14.8,14.8,14.8,100
2022-11-16,14.8,14.8,14.8,14.8,0
2022-11-17,14.8,14.8,14.8,14.8,0
2022-11-18,14.8,14.8,14.8,14.8,0
2022-11-21,14.8,14.8,14.8,14.8,0
2022-11-22,14.8,14.8,14.8,14.8,0
2022-11-23,14.8,14.8,14.8,14.8,0
2022-11-24,14.8,14.8,14.8,14.8,0
2022-11-25,14.8,14.8,14.8,14.8,0
2022-11-28,14.8,14.8,14.8,14.8,0
2022-11-29,16.9,16.9,13.3,13.3,300
2022-11-30,13.4,13.4,13.4,13.4,800
2022-12-01,13.4,13.4,13.4,13.4,0
2022-12-02,14.0,14.0,14.0,14.0,500
2022-12-05,14.0,14.0,14.0,14.0,0
2022-12-06,12.5,12.5,11.9,12.0,26000
2022-12-07,12.9,12.9,12.9,12.9,100
2022-12-08,12.5,13.0,12.5,13.0,600
2022-12-09,14.7,14.7,12.0,12.0,8100
2022-12-12,13.4,13.4,12.0,13.4,5700
2022-12-13,13.7,13.7,13.7,13.7,100
2022-12-14,13.7,13.7,13.7,13.7,0
2022-12-15,13.7,13.7,13.7,13.7,0
2022-12-16,13.7,13.7,13.7,13.7,0
2022-12-19,13.7,13.7,13.7,13.7,0
2022-12-20,13.7,13.7,13.7,13.7,0
2022-12-21,13.7,13.7,13.7,13.7,0
2022-12-22,13.7,13.7,13.7,13.7,0
2022-12-23,13.7,13.7,13.7,13.7,0
2022-12-26,13.7,13.7,13.7,13.7,0
2022-12-27,13.7,13.7,13.7,13.7,0
2022-12-28,13.7,13.7,13.7,13.7,0
2022-12-29,13.7,15.6,12.9,12.9,400
2022-12-30,11.8,11.8,11.8,11.8,800
2023-01-03,13.4,13.4,13.4,13.4,100
2023-01-04,15.2,15.2,13.5,13.5,1100
2023-01-05,13.7,13.7,13.7,13.7,0
2023-01-06,13.7,13.7,13.7,13.7,0
2023-01-09,15.6,15.6,13.0,13.0,1100
2023-01-10,14.9,14.9,14.9,14.9,100
2023-01-11,17.0,17.0,17.0,17.0,100
2023-01-12,17.0,17.0,17.0,17.0,0
2023-01-13,14.5,14.5,14.5,14.5,3100
2023-01-16,13.0,14.3,13.0,14.3,5100
2023-01-17,14.8,14.8,13.0,13.0,2100
2023-01-18,14.9,14.9,12.5,12.5,4400
2023-01-19,13.0,13.0,13.0,13.0,0
2023-01-27,12.5,12.5,12.5,12.5,400
2023-01-30,12.5,12.5,12.5,12.5,0
2023-01-31,14.3,14.3,14.3,14.3,100
2023-02-01,14.3,14.3,14.3,14.3,0
2023-02-02,14.3,14.3,14.3,14.3,0
2023-02-03,12.3,12.3,12.3,12.3,1000
2023-02-06,12.3,12.3,12.3,12.3,0
2023-02-07,12.3,12.3,12.3,12.3,0
2023-02-08,12.3,12.3,12.3,12.3,0
2023-02-09,13.8,13.8,13.8,13.8,100
2023-02-10,15.6,15.6,15.6,15.6,200
2023-02-13,15.6,15.6,15.6,15.6,0
2023-02-14,15.6,15.6,15.6,15.6,0
2023-02-15,17.8,17.8,17.8,17.8,116
2023-02-16,17.8,17.8,17.8,17.8,0
2023-02-17,17.8,17.8,17.8,17.8,0
2023-02-20,17.8,17.8,17.8,17.8,0
2023-02-21,17.8,17.8,17.8,17.8,0
2023-02-22,17.8,17.8,17.8,17.8,0
2023-02-23,17.8,17.8,17.8,17.8,0
2023-02-24,17.8,17.8,17.8,17.8,0
2023-02-27,17.8,17.8,17.8,17.8,0
2023-02-28,17.8,17.8,17.8,17.8,0
2023-03-01,17.8,17.8,17.8,17.8,0
2023-03-02,17.8,17.8,17.8,17.8,0
2023-03-03,17.8,17.8,17.8,17.8,0
2023-03-06,17.8,17.8,17.8,17.8,0
2023-03-07,17.8,17.8,17.8,17.8,0
2023-03-08,17.8,17.8,17.8,17.8,0
2023-03-09,17.8,17.8,17.8,17.8,0
2023-03-10,20.3,20.3,15.2,15.2,300
2023-03-13,14.4,14.4,14.4,14.4,101
2023-03-14,16.4,16.4,12.3,12.3,300
2023-03-15,13.7,13.7,13.7,13.7,0
2023-03-16,11.8,11.9,11.8,11.8,3701
2023-03-17,13.4,13.4,10.3,10.3,400
2023-03-20,12.6,12.6,11.5,11.5,2300
2023-03-21,13.1,13.1,13.1,13.1,200
2023-03-22,14.9,14.9,11.6,14.9,300
2023-03-23,15.7,15.7,13.8,13.8,1700
2023-03-24,15.7,15.7,12.9,12.9,2900
2023-03-27,13.0,13.0,13.0,13.0,200
2023-03-28,13.0,13.0,11.5,11.5,300
2023-03-29,12.5,12.5,12.5,12.5,0
2023-03-30,10.9,10.9,10.9,10.9,100
2023-03-31,12.0,12.0,10.8,10.8,300
2023-04-03,10.2,13.2,10.0,11.5,4425
2023-04-04,11.2,12.0,11.2,12.0,9000
2023-04-05,11.7,11.7,11.7,11.7,0
2023-04-06,10.3,10.3,10.3,10.3,100
2023-04-07,11.8,11.8,11.8,11.8,5000
2023-04-10,13.4,13.4,10.4,10.4,312
2023-04-11,10.2,10.2,10.2,10.2,100
2023-04-12,10.2,10.2,10.2,10.2,13
2023-04-13,10.2,10.2,10.2,10.2,0
2023-04-14,10.2,10.2,10.2,10.2,0
2023-04-17,10.2,10.2,10.2,10.2,0
2023-04-18,8.7,8.7,8.7,8.7,1015
2023-04-19,8.7,8.7,8.7,8.7,0
2023-04-20,8.7,8.7,8.7,8.7,20
2023-04-21,8.7,8.7,8.7,8.7,0
2023-04-24,8.7,8.7,8.7,8.7,0
2023-04-25,8.7,8.7,8.7,8.7,0
2023-04-26,8.7,8.7,8.7,8.7,0
2023-04-27,10.0,10.0,10.0,10.0,100
2023-04-28,11.5,11.5,11.5,11.5,100
2023-05-04,13.2,13.2,13.2,13.2,112
2023-05-05,13.2,13.2,13.1,13.1,300
2023-05-08,15.0,15.0,14.0,14.0,210
2023-05-09,14.9,14.9,14.9,14.9,100
2023-05-10,12.7,12.7,12.7,12.7,1415
2023-05-11,10.9,10.9,10.9,10.9,100
2023-05-12,9.3,12.5,9.3,12.5,600
2023-05-15,13.7,13.7,13.7,13.7,100
2023-05-16,13.9,13.9,13.9,13.9,100
