date,open,high,low,close,volume
2024-01-17,7.01,7.01,6.95,6.95,6900
2024-01-18,6.95,6.95,6.95,6.95,6087
2024-01-19,6.95,7.15,6.95,7.01,18827
2024-01-22,7.01,7.01,6.95,6.95,9802
2024-01-23,7.01,7.01,6.95,7.01,15067
2024-01-24,7.01,7.15,7.01,7.15,29400
2024-01-25,7.15,7.15,7.08,7.08,7202
2024-01-26,7.15,7.15,7.15,7.15,24542
2024-01-29,7.15,7.15,7.15,7.15,22100
2024-01-30,7.21,7.21,7.15,7.21,31200
2024-01-31,7.28,7.34,7.21,7.28,74590
2024-02-01,7.28,7.34,7.28,7.28,3600
2024-02-02,7.28,7.34,7.28,7.28,8302
2024-02-05,7.28,7.54,7.28,7.48,19857
2024-02-06,7.54,7.54,7.41,7.41,7663
2024-02-07,7.41,7.41,7.28,7.34,33144
2024-02-15,7.41,7.41,7.28,7.34,18303
2024-02-16,7.34,7.48,7.28,7.48,65241
2024-02-19,7.41,7.41,7.28,7.34,13403
2024-02-20,7.28,7.34,7.28,7.34,16711
2024-02-21,7.34,7.34,7.28,7.34,505
2024-02-22,7.34,7.34,7.28,7.28,24237
2024-02-23,7.34,7.34,7.28,7.28,35214
2024-02-26,7.34,7.34,7.28,7.28,1950
2024-02-27,7.34,7.41,7.28,7.34,6951
2024-02-28,7.28,7.41,7.28,7.34,11733
2024-02-29,7.34,7.41,7.28,7.28,11582
2024-03-01,7.28,7.41,7.28,7.34,5400
2024-03-04,7.41,7.48,7.41,7.48,15840
2024-03-05,7.34,7.48,7.34,7.48,837
2024-03-06,7.34,7.48,7.34,7.41,7711
2024-03-07,7.48,7.48,7.41,7.41,10701
2024-03-08,7.41,7.41,7.41,7.41,6054
2024-03-11,7.34,7.41,7.34,7.41,19600
2024-03-12,7.41,7.41,7.34,7.41,7002
2024-03-13,7.41,7.41,7.28,7.34,47629
2024-03-14,7.48,7.54,7.48,7.48,12727
2024-03-15,7.48,7.48,7.48,7.48,100
2024-03-18,7.28,7.48,7.28,7.34,29111
2024-03-19,7.28,7.34,7.28,7.34,8300
2024-03-20,7.28,7.34,7.28,7.34,10120
2024-03-21,7.34,7.34,7.34,7.34,14333
2024-03-22,7.34,7.34,7.34,7.34,16807
2024-03-25,7.34,7.34,7.34,7.34,32618
2024-03-26,7.28,7.34,7.28,7.34,44057
2024-03-27,7.34,7.48,7.34,7.41,16038
2024-03-28,7.41,7.48,7.41,7.48,2500
2024-03-29,7.41,7.48,7.41,7.48,40701
2024-04-01,7.41,7.48,7.41,7.48,7201
2024-04-02,7.28,7.48,7.28,7.48,27888
2024-04-03,7.61,7.94,7.54,7.81,97825
2024-04-04,7.74,7.81,7.67,7.81,18125
2024-04-05,7.61,7.81,7.61,7.74,43722
2024-04-08,7.61,7.94,7.61,7.74,52049
2024-04-09,7.74,7.81,7.74,7.81,19300
2024-04-10,7.81,7.87,7.81,7.81,16613
2024-04-11,7.87,7.87,7.87,7.87,100
2024-04-12,7.81,7.87,7.74,7.87,7107
2024-04-15,7.74,7.74,7.61,7.74,6901
2024-04-16,7.48,7.67,7.41,7.54,29330
2024-04-17,7.48,7.61,7.48,7.48,2511
2024-04-19,7.48,7.54,7.28,7.48,17300
2024-04-22,7.61,7.81,7.61,7.74,13839
2024-04-23,7.54,7.74,7.41,7.74,29802
2024-04-24,7.61,7.74,7.61,7.74,13700
2024-04-25,7.74,7.74,7.67,7.74,50684
2024-04-26,7.74,7.74,7.74,7.74,34710
2024-05-02,7.74,8.2,7.74,8.14,109800
2024-05-03,8.14,8.2,7.94,7.94,59503
2024-05-06,8.07,8.27,8.07,8.27,46043
2024-05-07,8.27,8.53,8.27,8.4,78234
2024-05-08,8.4,8.87,8.4,8.73,106400
2024-05-09,8.73,8.73,8.47,8.53,43979
2024-05-10,8.6,8.6,8.47,8.53,36501
2024-05-13,8.47,8.53,8.4,8.53,49892
2024-05-14,8.47,8.53,8.4,8.47,29224
2024-05-15,8.53,8.93,8.53,8.87,144691
2024-05-16,8.93,9.2,8.8,9.13,189077
2024-05-17,9.2,9.59,9.13,9.33,284002
2024-05-20,9.4,9.66,9.33,9.4,91871
2024-05-21,9.46,9.46,9.0,9.4,104147
2024-05-22,9.4,9.46,9.26,9.4,73339
2024-05-23,9.59,9.59,9.06,9.33,102465
2024-05-24,9.4,9.79,9.2,9.4,207830
2024-05-27,9.53,9.66,9.4,9.53,56638
2024-05-28,9.59,9.86,9.53,9.66,62548
2024-05-29,9.73,9.86,9.66,9.73,60100
2024-05-30,9.79,9.79,9.4,9.73,20347
2024-05-31,9.79,9.86,9.53,9.66,38130
2024-06-03,9.86,9.86,9.53,9.59,35803
2024-06-04,9.59,9.59,9.4,9.46,67886
2024-06-05,9.46,9.46,9.33,9.4,27100
2024-06-06,9.4,9.59,9.26,9.46,37050
2024-06-07,9.46,10.26,9.4,9.79,162033
2024-06-10,9.79,10.92,9.79,10.52,131935
2024-06-11,10.59,10.59,9.99,10.12,54100
2024-06-12,10.06,10.32,9.92,10.19,39619
2024-06-13,10.19,10.19,9.86,10.06,57230
2024-06-14,9.92,10.19,9.73,9.99,40238
2024-06-17,9.73,9.99,9.73,9.92,31415
2024-06-18,9.86,9.92,9.66,9.79,55296
2024-06-19,9.73,9.92,9.66,9.92,16201
2024-06-20,9.92,10.65,9.79,10.39,174923
2024-06-21,10.52,10.72,10.26,10.45,100905
2024-06-24,10.65,10.92,10.26,10.45,80806
2024-06-25,10.32,11.05,10.26,10.72,109803
2024-06-26,10.78,10.78,10.52,10.59,38600
2024-06-27,10.59,10.78,10.45,10.59,22551
2024-06-28,10.78,10.78,10.19,10.19,39521
2024-07-01,10.45,10.45,10.32,10.32,11709
2024-07-02,10.32,10.78,10.26,10.52,58882
2024-07-03,10.72,10.72,10.45,10.65,93620
2024-07-04,10.78,11.31,10.78,11.05,305350
2024-07-05,11.25,11.51,10.92,11.05,87093
2024-07-08,11.05,11.51,10.98,11.38,177804
2024-07-09,11.58,11.58,11.12,11.18,75985
2024-07-10,11.25,11.25,10.98,11.05,81031
2024-07-11,10.59,11.12,10.19,10.78,71171
2024-07-12,10.92,10.92,10.72,10.85,55801
2024-07-15,10.98,11.05,10.78,10.85,20003
2024-07-16,10.92,11.05,10.72,10.72,62807
2024-07-17,10.72,10.72,10.32,10.52,66525
2024-07-18,10.59,10.59,10.39,10.52,66603
2024-07-19,10.39,10.45,10.26,10.32,97300
2024-07-22,10.59,10.92,10.45,10.59,54757
2024-07-23,10.72,10.85,10.26,10.26,51231
2024-07-24,10.45,10.52,10.26,10.45,64100
2024-07-25,10.59,10.65,10.26,10.39,17428
2024-07-26,10.59,10.78,10.52,10.59,42850
2024-07-29,10.72,10.78,10.59,10.65,28515
2024-07-30,10.72,12.24,10.72,11.71,356985
2024-07-31,11.58,11.58,11.25,11.31,60857
2024-08-01,11.45,11.45,10.39,10.52,160110
2024-08-02,10.52,10.78,10.19,10.65,104384
2024-08-05,10.45,10.45,9.66,10.06,157106
2024-08-06,10.19,10.59,9.99,10.59,65655
2024-08-07,10.59,10.59,10.19,10.32,22208
2024-08-08,10.39,10.39,10.26,10.26,95650
2024-08-09,10.39,11.05,10.39,10.92,152719
2024-08-12,10.92,11.31,10.92,11.25,138244
2024-08-13,11.38,11.38,11.18,11.25,114621
2024-08-14,11.25,11.25,10.98,11.18,89781
2024-08-15,11.12,11.12,10.78,10.85,204608
2024-08-16,11.08,12.37,11.08,11.97,60832
2024-08-19,12.05,12.05,11.81,11.97,32942
2024-08-20,11.89,12.13,11.81,11.89,65760
2024-08-21,11.97,12.05,11.89,11.97,26001
2024-08-22,11.73,11.97,11.73,11.89,53521
2024-08-23,11.81,12.05,11.81,11.97,33902
2024-08-26,11.89,11.97,11.73,11.89,21816
2024-08-27,11.89,11.97,11.73,11.97,55105
2024-08-28,11.73,11.81,11.65,11.81,23534
2024-08-29,11.81,11.89,11.73,11.81,56907
2024-08-30,11.89,12.37,11.89,12.21,63416
2024-09-04,12.29,12.69,12.29,12.45,98096
2024-09-05,12.45,12.53,12.37,12.45,63050
2024-09-06,12.45,12.45,12.29,12.45,30005
2024-09-09,12.29,12.37,12.13,12.29,20721
2024-09-10,12.21,12.21,12.13,12.13,40302
2024-09-11,12.05,12.29,11.97,12.29,49800
2024-09-12,12.29,12.29,12.05,12.05,33074
2024-09-13,12.13,12.21,12.05,12.21,20961
2024-09-16,12.05,12.13,11.89,12.05,48502
2024-09-17,12.13,12.13,11.89,11.97,54184
2024-09-18,11.89,11.97,11.89,11.97,19679
2024-09-19,12.05,12.37,11.73,11.97,31039
2024-09-20,12.29,12.37,12.05,12.21,91410
2024-09-23,12.21,12.29,12.05,12.21,48501
2024-09-24,12.21,12.29,12.21,12.29,22300
2024-09-25,12.05,12.29,12.05,12.29,45485
2024-09-26,12.29,12.37,12.21,12.37,37501
2024-09-27,12.29,12.37,12.13,12.21,25800
2024-09-30,12.29,12.29,12.05,12.21,28401
2024-10-01,12.21,12.29,12.05,12.29,39816
2024-10-02,12.21,12.37,12.21,12.37,64600
2024-10-03,12.37,13.25,12.37,12.69,89285
2024-10-04,12.69,12.93,12.69,12.85,34590
2024-10-07,12.93,13.09,12.77,12.77,40580
2024-10-08,12.93,13.01,12.77,12.85,37700
2024-10-09,12.85,12.85,12.45,12.53,25052
2024-10-10,12.69,12.69,12.61,12.69,19313
2024-10-11,12.77,12.77,12.45,12.53,17185
2024-10-14,12.53,12.53,12.45,12.53,36200
2024-10-15,12.61,12.85,12.45,12.69,31519
2024-10-16,12.53,12.93,12.53,12.93,87536
2024-10-17,12.85,12.93,12.77,12.85,60370
2024-10-18,12.85,12.85,12.85,12.85,20000
2024-10-21,13.09,13.49,13.09,13.33,215610
2024-10-22,13.49,13.65,12.77,13.01,160960
