date,open,high,low,close,volume
2024-01-30,25.02,25.42,25.02,25.42,307435
2024-01-31,25.52,25.57,25.02,25.02,412455
2024-02-01,25.02,25.52,25.02,25.12,379642
2024-02-02,25.22,25.47,25.02,25.02,520494
2024-02-05,25.07,25.22,23.3,24.43,371397
2024-02-06,24.43,24.83,24.43,24.43,289365
2024-02-07,24.43,24.78,24.43,24.58,244615
2024-02-15,24.93,25.02,24.63,24.83,291254
2024-02-16,24.97,25.17,24.78,25.12,395835
2024-02-19,25.52,25.52,25.17,25.32,434987
2024-02-20,25.32,25.62,25.22,25.32,470768
2024-02-21,25.37,25.52,25.12,25.22,424503
2024-02-22,25.42,25.42,25.02,25.02,364667
2024-02-23,25.12,25.12,24.14,24.14,562426
2024-02-26,24.04,24.19,23.69,23.79,373991
2024-02-27,23.79,24.33,23.79,24.04,278936
2024-02-28,24.24,25.12,24.14,24.53,473314
2024-02-29,24.58,25.02,24.33,24.63,209434
2024-03-01,24.63,25.57,24.63,25.42,1417748
2024-03-04,25.42,25.62,25.32,25.32,696305
2024-03-05,25.32,25.71,25.22,25.47,665944
2024-03-06,25.62,26.21,25.42,25.81,984019
2024-03-07,25.76,25.81,25.42,25.52,488841
2024-03-08,25.42,26.4,25.22,25.91,1379169
2024-03-11,25.86,26.21,25.52,25.52,791125
2024-03-12,25.52,27.04,25.47,26.55,2024908
2024-03-13,26.65,27.49,26.65,27.19,1736537
2024-03-14,27.39,28.08,27.04,27.88,2288704
2024-03-15,27.88,29.16,27.44,28.96,1776261
2024-03-18,28.72,29.56,27.09,27.78,1536412
2024-03-19,28.08,28.08,27.14,27.59,574934
2024-03-20,27.78,28.52,27.29,28.42,1195010
2024-03-21,28.52,28.87,28.18,28.47,621474
2024-03-22,28.47,28.62,28.18,28.42,682870
2024-03-25,28.42,28.57,27.19,27.88,706645
2024-03-26,27.88,28.13,27.59,27.98,321009
2024-03-27,28.57,28.62,27.93,28.42,618964
2024-03-28,28.57,28.67,28.23,28.47,383295
2024-03-29,28.47,29.46,28.47,28.57,1083139
2024-04-01,28.57,28.57,27.88,28.13,426520
2024-04-02,27.73,28.37,27.68,28.28,405257
2024-04-03,28.57,28.77,27.49,27.73,674308
2024-04-04,27.09,27.49,26.5,26.8,1114524
2024-04-05,26.4,27.44,26.4,26.8,472153
2024-04-08,27.19,27.19,26.5,26.9,206398
2024-04-09,26.9,27.83,26.65,27.68,476683
2024-04-10,27.78,27.78,27.19,27.19,295053
2024-04-11,26.6,27.34,26.6,26.99,184810
2024-04-12,27.29,27.39,26.8,27.39,197684
2024-04-15,27.54,27.54,25.52,25.52,611354
2024-04-16,24.88,25.22,24.14,25.12,533786
2024-04-17,25.12,25.12,24.14,24.14,325562
2024-04-19,23.1,23.99,22.81,22.96,472168
2024-04-22,23.94,23.94,23.15,23.5,249785
2024-04-23,23.25,23.64,22.66,22.66,190205
2024-04-24,23.79,23.79,22.86,23.79,288611
2024-04-25,23.6,23.89,23.45,23.6,150918
2024-04-26,23.15,24.38,23.15,24.04,290524
2024-05-02,24.63,24.63,24.14,24.38,116750
2024-05-03,24.33,24.63,23.99,23.99,203256
2024-05-06,24.38,24.48,23.64,24.43,244791
2024-05-07,24.58,24.93,24.43,24.73,336962
2024-05-08,24.73,25.57,24.43,24.73,501610
2024-05-09,24.93,25.02,24.33,24.33,315508
2024-05-10,24.43,25.27,24.43,24.83,699779
2024-05-13,25.32,25.32,24.63,24.68,198003
2024-05-14,25.07,25.07,24.43,24.53,223288
2024-05-15,24.63,25.02,24.53,24.68,696330
2024-05-16,25.02,25.22,24.58,24.73,574234
2024-05-17,24.78,25.32,24.63,25.12,878309
2024-05-20,25.17,25.62,25.12,25.12,745859
2024-05-21,25.22,26.06,25.12,25.22,1131159
2024-05-22,25.62,25.62,25.17,25.22,739120
2024-05-23,25.22,26.16,25.12,25.66,1715542
2024-05-24,25.71,27.44,25.71,27.44,4391498
