date,open,high,low,close,volume
2024-01-30,12.43,12.6,12.39,12.6,29304
2024-01-31,12.6,12.6,12.43,12.43,6765
2024-02-01,12.43,12.43,12.35,12.43,23100
2024-02-02,12.43,12.43,12.35,12.35,28379
2024-02-05,12.39,12.43,12.35,12.35,23214
2024-02-06,12.35,12.43,12.35,12.43,8518
2024-02-07,12.39,12.56,12.39,12.47,6251
2024-02-15,12.47,12.6,12.35,12.6,31948
2024-02-16,12.65,12.65,12.43,12.47,19367
2024-02-19,12.52,12.65,12.43,12.52,9912
2024-02-20,12.52,12.65,12.52,12.56,20519
2024-02-21,12.65,12.65,12.52,12.56,12423
2024-02-22,12.56,12.65,12.52,12.6,11308
2024-02-23,12.6,12.69,12.43,12.43,30047
2024-02-26,12.47,12.56,12.47,12.52,4302
2024-02-27,12.47,12.6,12.47,12.56,10236
2024-02-28,12.47,12.47,12.35,12.43,83035
2024-02-29,12.39,12.6,12.26,12.43,75722
2024-03-01,12.52,12.52,12.43,12.43,2219
2024-03-04,12.56,12.65,12.43,12.47,26319
2024-03-05,12.47,12.78,12.47,12.78,16818
2024-03-06,12.78,12.78,12.65,12.73,26601
2024-03-07,12.69,12.78,12.56,12.65,11205
2024-03-08,12.6,12.65,12.6,12.6,8916
2024-03-11,12.6,12.73,12.47,12.52,21550
2024-03-12,12.43,12.52,12.43,12.43,4163
2024-03-13,12.43,12.69,12.43,12.56,13500
2024-03-14,12.73,12.73,12.65,12.69,21107
2024-03-15,12.69,12.73,12.6,12.69,8935
2024-03-18,12.6,12.6,12.52,12.6,14211
2024-03-19,12.6,12.69,12.52,12.52,4331
2024-03-20,12.52,12.95,12.52,12.69,8153
2024-03-21,12.56,12.82,12.56,12.69,6228
2024-03-22,12.69,12.78,12.65,12.69,9624
2024-03-25,12.73,12.73,12.69,12.69,13331
2024-03-26,12.69,12.69,12.6,12.65,18100
2024-03-27,12.6,12.78,12.6,12.78,25199
2024-03-28,12.78,12.86,12.73,12.82,37107
2024-03-29,12.73,12.86,12.69,12.82,14215
2024-04-01,12.82,12.82,12.6,12.82,28662
2024-04-02,12.69,12.73,12.69,12.69,10904
2024-04-03,12.65,12.86,12.65,12.78,49710
2024-04-04,12.65,12.82,12.65,12.69,29081
2024-04-05,12.78,12.78,12.6,12.69,58814
2024-04-08,12.69,12.69,12.56,12.69,29709
2024-04-09,12.65,12.69,12.52,12.6,29932
2024-04-10,12.6,12.65,12.56,12.65,21100
2024-04-11,12.65,12.65,12.6,12.65,12202
2024-04-12,12.65,12.69,12.6,12.65,7907
2024-04-15,12.65,12.69,12.56,12.56,19616
2024-04-16,12.52,12.65,12.43,12.47,22719
2024-04-17,12.52,12.65,12.47,12.47,29126
2024-04-19,12.47,12.52,12.09,12.13,44315
2024-04-22,12.43,12.43,12.13,12.39,33005
2024-04-23,12.39,12.43,12.17,12.35,22383
2024-04-24,12.35,12.56,12.3,12.3,18162
2024-04-25,12.39,12.43,12.3,12.35,4109
2024-04-26,12.3,12.43,12.22,12.43,31198
2024-05-02,12.35,12.43,12.13,12.35,31212
2024-05-03,12.35,12.35,12.22,12.3,12813
2024-05-06,12.3,12.52,12.3,12.52,24410
2024-05-07,12.52,12.6,12.43,12.52,17310
2024-05-08,12.52,12.6,12.52,12.52,20100
2024-05-09,12.52,12.65,12.47,12.6,20847
2024-05-10,12.6,12.69,12.56,12.65,21402
2024-05-13,12.65,12.65,12.6,12.65,32208
2024-05-14,12.6,12.65,12.6,12.65,9014
2024-05-15,12.65,12.73,12.6,12.6,20500
2024-05-16,12.6,12.69,12.6,12.6,14932
2024-05-17,12.6,12.65,12.6,12.65,10910
2024-05-20,12.69,12.78,12.6,12.78,39504
2024-05-21,12.78,12.78,12.65,12.69,21045
2024-05-22,12.78,13.12,12.78,12.95,105526
2024-05-23,13.21,13.47,13.21,13.38,135745
2024-05-24,13.38,13.47,13.21,13.34,107859
2024-05-27,13.47,13.47,13.21,13.3,34421
2024-05-28,13.42,13.47,13.25,13.34,31257
2024-05-29,13.38,13.73,13.38,13.73,105368
2024-05-30,13.64,14.03,13.64,14.03,282385
2024-05-31,14.07,14.12,13.81,14.12,135937
2024-06-03,14.42,14.55,14.24,14.46,162150
2024-06-04,14.42,15.11,14.33,14.94,500352
2024-06-05,14.85,14.98,14.59,14.68,92656
2024-06-06,14.68,14.68,14.24,14.24,117756
2024-06-07,14.29,14.5,14.07,14.2,88464
2024-06-10,14.5,14.59,14.12,14.2,284260
2024-06-11,14.5,14.5,14.24,14.33,187448
2024-06-12,14.33,14.59,14.24,14.59,220517
2024-06-13,14.13,14.87,14.13,14.5,146556
2024-06-14,14.5,14.5,13.52,13.66,137200
2024-06-17,13.66,13.94,13.66,13.85,45928
2024-06-18,13.61,14.03,13.52,13.99,96878
2024-06-19,13.94,13.94,13.47,13.75,39985
