date,open,high,low,close,volume
2023-10-19,3.1,3.1,3.0,3.0,6249
2023-10-20,2.9,2.9,2.8,2.9,17304
2023-10-23,3.0,3.0,3.0,3.0,101
2023-10-24,3.1,3.3,3.1,3.3,23033
2023-10-25,3.3,3.3,3.2,3.3,521
2023-10-26,3.2,3.2,3.0,3.0,27500
2023-10-27,2.7,3.1,2.7,3.1,6200
2023-10-30,3.2,3.2,3.0,3.2,1500
2023-10-31,3.2,3.2,3.2,3.2,5
2023-11-01,3.2,3.2,3.2,3.2,10
2023-11-02,3.2,3.2,3.2,3.2,100
2023-11-03,3.1,3.2,3.1,3.2,200
2023-11-06,3.2,3.2,3.2,3.2,101
2023-11-07,3.2,3.2,2.9,2.9,1432
2023-11-08,2.9,3.1,2.9,3.1,54035
2023-11-09,3.2,3.4,3.2,3.4,31873
2023-11-10,3.4,3.7,3.1,3.5,27525
2023-11-13,3.5,3.7,3.4,3.5,7017
2023-11-14,3.5,3.5,3.2,3.2,16801
2023-11-15,3.3,3.4,3.0,3.3,45000
2023-11-16,3.3,3.4,3.1,3.3,1100
2023-11-17,3.4,3.4,3.1,3.2,7001
2023-11-20,3.1,3.2,3.1,3.2,300
2023-11-21,3.3,3.3,3.0,3.2,8346
2023-11-22,3.2,3.2,3.0,3.2,2600
2023-11-23,3.3,3.3,3.1,3.2,7907
2023-11-24,3.0,3.0,3.0,3.0,2800
2023-11-27,3.2,3.2,3.0,3.2,2700
2023-11-28,3.1,3.1,3.1,3.1,1038
2023-11-29,2.8,3.2,2.8,3.2,3600
2023-11-30,3.0,3.1,3.0,3.0,8980
2023-12-01,3.1,3.1,3.0,3.1,300
2023-12-04,3.0,3.1,2.9,3.1,11070
2023-12-05,3.0,3.1,3.0,3.1,3161
2023-12-06,3.1,3.2,3.0,3.2,8500
2023-12-07,3.2,3.2,3.2,3.2,0
2023-12-08,3.0,3.1,3.0,3.1,1600
2023-12-11,3.1,3.1,3.0,3.1,500
2023-12-12,3.0,3.1,3.0,3.1,6201
2023-12-13,2.9,3.0,2.9,3.0,1800
2023-12-14,3.0,3.1,3.0,3.1,900
2023-12-15,3.1,3.1,3.1,3.1,0
2023-12-18,3.0,3.1,3.0,3.0,15300
2023-12-19,3.1,3.3,3.0,3.3,18900
2023-12-20,3.3,3.6,3.3,3.6,57149
2023-12-21,3.3,3.9,3.3,3.9,19117
2023-12-22,3.9,4.0,3.9,3.9,900
2023-12-25,3.8,3.8,3.8,3.8,100
2023-12-26,3.5,3.8,3.5,3.8,1200
2023-12-27,3.8,4.1,3.8,4.1,29999
2023-12-28,4.0,4.0,3.7,4.0,2600
2023-12-29,3.6,3.9,3.6,3.9,24600
2024-01-02,3.6,4.0,3.6,4.0,31800
2024-01-03,4.0,4.0,3.6,3.9,25000
2024-01-04,3.7,3.8,3.7,3.8,2217
2024-01-05,3.5,3.8,3.5,3.8,4600
2024-01-08,3.5,3.8,3.5,3.6,20100
2024-01-09,3.6,3.8,3.4,3.8,5100
2024-01-10,3.8,3.9,3.5,3.5,37600
2024-01-11,3.8,3.8,3.3,3.4,5700
2024-01-12,3.7,3.7,3.3,3.4,18605
2024-01-15,3.6,3.7,3.4,3.6,11910
2024-01-16,3.6,3.9,3.6,3.9,28700
