date,open,high,low,close,volume
2024-01-30,6.32,6.52,6.29,6.49,221506
2024-01-31,6.49,6.51,6.33,6.34,139851
2024-02-01,6.33,6.43,6.31,6.31,56813
2024-02-02,6.33,6.43,6.33,6.35,162106
2024-02-05,6.35,6.43,6.24,6.31,149554
2024-02-06,6.33,6.42,6.3,6.35,68100
2024-02-07,6.33,6.37,6.31,6.37,66060
2024-02-15,6.37,6.43,6.34,6.38,117600
2024-02-16,6.4,6.44,6.4,6.42,161784
2024-02-19,6.43,6.61,6.43,6.61,214943
2024-02-20,6.72,6.72,6.54,6.61,155700
2024-02-21,6.57,6.6,6.45,6.54,135301
2024-02-22,6.56,6.6,6.51,6.54,509910
2024-02-23,6.58,6.93,6.56,6.66,952738
2024-02-26,6.7,6.87,6.62,6.79,473561
2024-02-27,6.88,6.88,6.71,6.82,226396
2024-02-28,6.87,6.87,6.63,6.66,285797
2024-02-29,6.66,6.66,6.53,6.55,291591
2024-03-01,6.55,6.61,6.54,6.61,137521
2024-03-04,6.61,6.71,6.59,6.7,420700
2024-03-05,6.7,6.7,6.56,6.59,225161
2024-03-06,6.65,6.67,6.57,6.59,125836
2024-03-07,6.59,6.63,6.55,6.59,161614
2024-03-08,6.57,6.59,6.44,6.55,210980
2024-03-11,6.55,6.61,6.47,6.5,147901
2024-03-12,6.5,6.56,6.47,6.5,107840
2024-03-13,6.55,6.58,6.47,6.51,256019
2024-03-14,6.51,6.58,6.5,6.51,157800
2024-03-15,6.49,6.55,6.47,6.52,241766
2024-03-18,6.52,6.55,6.33,6.52,399590
2024-03-19,6.58,6.75,6.55,6.57,189150
2024-03-20,6.65,6.65,6.52,6.57,101539
2024-03-21,6.57,6.76,6.56,6.66,383978
2024-03-22,6.74,6.74,6.61,6.63,168566
2024-03-25,6.63,6.68,6.55,6.55,135805
2024-03-26,6.55,6.55,6.45,6.51,139427
2024-03-27,6.55,6.7,6.51,6.55,124509
2024-03-28,6.55,6.61,6.5,6.52,188212
2024-03-29,6.53,6.53,6.49,6.51,86241
2024-04-01,6.51,6.53,6.47,6.48,128003
2024-04-02,6.48,6.48,6.39,6.44,237720
2024-04-03,6.45,6.5,6.4,6.4,96600
2024-04-04,6.45,6.45,6.32,6.33,145137
2024-04-05,6.33,6.41,6.16,6.33,129354
2024-04-08,6.33,6.34,6.23,6.24,88100
2024-04-09,6.24,6.31,6.17,6.3,168642
2024-04-10,6.31,6.33,6.22,6.33,67600
2024-04-11,6.2,6.36,6.18,6.21,76700
2024-04-12,6.29,6.29,6.14,6.15,153903
2024-04-15,6.0,6.13,5.73,5.74,255340
2024-04-16,5.9,5.9,5.51,5.67,193012
2024-04-17,5.67,5.77,5.63,5.63,47811
2024-04-19,5.63,5.74,5.58,5.68,140534
2024-04-22,5.69,6.06,5.69,5.97,123420
2024-04-23,5.97,6.04,5.86,5.86,57100
2024-04-24,5.88,6.24,5.88,6.12,75100
2024-04-25,6.1,6.38,6.09,6.29,215140
2024-04-26,6.42,6.52,6.29,6.29,216400
2024-05-02,6.24,6.33,5.92,6.24,104140
2024-05-03,6.24,6.24,5.97,6.08,89503
2024-05-06,6.08,6.15,6.08,6.15,103002
2024-05-07,6.15,6.23,6.1,6.23,74900
2024-05-08,6.15,6.38,6.14,6.33,170504
2024-05-09,6.43,6.43,6.16,6.33,18137
2024-05-10,6.24,6.32,6.17,6.24,92401
2024-05-13,6.31,6.31,6.2,6.29,51903
2024-05-14,6.29,6.29,6.22,6.27,92501
2024-05-15,6.27,6.36,6.21,6.23,113152
2024-05-16,6.26,6.42,6.23,6.26,105753
2024-05-17,6.24,6.29,6.21,6.26,48403
2024-05-20,6.37,6.37,6.24,6.24,111900
2024-05-21,6.24,6.26,6.2,6.23,241130
2024-05-22,6.24,6.26,6.21,6.21,172106
2024-05-23,6.24,6.24,6.15,6.2,174002
2024-05-24,6.2,6.22,6.11,6.13,65678
2024-05-27,6.22,6.22,6.13,6.15,56365
2024-05-28,6.16,6.21,6.12,6.14,55565
2024-05-29,6.21,6.38,6.13,6.3,254557
2024-05-30,6.15,6.31,6.15,6.25,88163
2024-05-31,6.25,6.25,6.19,6.19,70534
2024-06-03,6.2,6.29,6.13,6.21,158563
2024-06-04,6.21,6.29,6.16,6.2,46402
2024-06-05,6.2,6.36,6.2,6.28,350760
2024-06-06,6.26,6.61,6.26,6.38,361705
2024-06-07,6.54,6.54,6.33,6.39,183900
2024-06-10,6.39,6.4,6.28,6.29,198704
2024-06-11,6.29,6.29,6.24,6.24,86270
2024-06-12,6.24,6.25,6.15,6.24,98001
2024-06-13,6.3,6.33,6.2,6.24,144215
2024-06-14,6.25,6.31,6.16,6.16,127600
2024-06-17,6.19,6.19,6.13,6.16,52800
2024-06-18,6.16,6.26,6.16,6.2,107800
2024-06-19,6.16,6.24,6.13,6.21,86401
2024-06-20,6.21,6.21,6.13,6.2,132601
2024-06-21,6.21,6.21,6.13,6.13,209612
2024-06-24,6.15,6.21,6.1,6.12,134722
2024-06-25,6.15,6.17,6.14,6.15,41205
2024-06-26,6.15,6.15,6.14,6.15,75302
2024-06-27,6.23,6.23,6.13,6.15,36930
2024-06-28,6.12,6.18,6.12,6.12,33200
2024-07-01,6.15,6.15,6.06,6.1,39128
